Player,Squad,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR,Season,Competition
matteo bianchetti,Cremonese,1993,25,22,2132,1,0,5,0,6,47,4,2022-2023,serie-a
alessandro bianco,Fiorentina,2002,7,2,153,0,0,1,0,4,9,2,2022-2023,serie-a
jaka bijol,Udinese,1999,32,32,2728,3,2,10,0,3,66,7,2022-2023,serie-a
cristiano biraghi,Fiorentina,1992,33,30,2551,2,4,1,0,69,161,113,2022-2023,serie-a
samuele birindelli,Monza,1999,31,14,1400,0,1,8,0,55,43,121,2022-2023,serie-a
kristijan bistrovic,Lecce,1998,11,5,461,0,0,0,0,4,16,8,2022-2023,serie-a
alexis blin,Lecce,1996,35,26,2376,1,0,8,0,13,101,32,2022-2023,serie-a
jeremie boga,Atalanta,1997,23,5,782,2,5,0,0,64,53,78,2022-2023,serie-a
emil bohinen,Salernitana,1999,24,9,832,0,0,0,0,12,31,16,2022-2023,serie-a
giacomo bonaventura,Fiorentina,1989,30,21,1911,5,1,4,1,64,102,91,2022-2023,serie-a
federico bonazzoli,Salernitana,1997,24,12,1119,2,1,1,0,11,43,67,2022-2023,serie-a
warren bondo,Monza,2003,4,0,60,0,0,1,0,3,5,2,2022-2023,serie-a
kevin bonifazi,Bologna,1996,13,9,902,0,0,2,0,4,33,0,2022-2023,serie-a
leonardo bonucci,Juventus,1987,16,9,879,1,0,2,0,2,28,1,2022-2023,serie-a
erik botheim,Salernitana,2000,28,9,866,1,3,2,0,11,21,61,2022-2023,serie-a
mehdi bourabia,Spezia,1991,37,36,2771,1,3,3,0,37,113,58,2022-2023,serie-a
edoardo bove,Roma,2002,22,10,992,1,0,2,0,9,33,26,2022-2023,serie-a
jayden braaf,Hellas Verona,2002,6,2,288,0,0,1,0,10,5,29,2022-2023,serie-a
domagoj bradaric,Salernitana,1999,31,24,2250,0,3,5,0,63,52,107,2022-2023,serie-a
josip brekalo,Fiorentina,1998,6,1,229,0,0,1,0,11,18,31,2022-2023,serie-a
gleison bremer,Juventus,1997,30,30,2634,4,1,6,0,8,54,4,2022-2023,serie-a
dylan bronn,Salernitana,1995,24,19,1683,0,0,5,1,10,70,5,2022-2023,serie-a
marcelo brozovic,Inter,1992,28,19,1770,3,5,8,0,29,114,35,2022-2023,serie-a
cristian buonaiuto,Cremonese,1992,29,7,980,1,0,3,0,35,39,89,2022-2023,serie-a
alessandro buongiorno,Torino,1999,34,30,2721,1,2,8,0,13,81,19,2022-2023,serie-a
leonardo buta,Udinese,2002,2,0,16,0,0,0,0,1,1,1,2022-2023,serie-a
arthur cabral,Fiorentina,1998,28,15,1432,8,1,4,0,11,21,86,2022-2023,serie-a
liberato cacace,Empoli,2000,12,5,587,0,0,1,0,21,41,31,2022-2023,serie-a
davide calabria,Milan,1996,25,21,1690,1,4,6,0,26,108,80,2022-2023,serie-a
mattia caldara,Spezia,1994,20,13,1253,0,0,6,0,5,35,4,2022-2023,serie-a
luca caldirola,Monza,1991,31,27,2353,2,0,6,0,12,63,13,2022-2023,serie-a
hakan calhanoglu,Inter,1994,33,28,2363,3,6,3,0,46,172,68,2022-2023,serie-a
mohamed camara,Roma,1997,15,8,696,0,0,3,0,13,30,14,2022-2023,serie-a
nicolo cambiaghi,Empoli,2000,28,12,1285,6,1,5,1,73,42,99,2022-2023,serie-a
andrea cambiaso,Bologna,2000,32,25,2170,0,3,2,0,64,83,105,2022-2023,serie-a
matteo cancellieri,Lazio,2002,20,1,256,0,0,4,0,15,2,33,2022-2023,serie-a
antonio candreva,Salernitana,1987,35,32,2726,7,4,3,1,71,135,171,2022-2023,serie-a
gianluca caprari,Monza,1993,37,32,2441,5,2,7,0,100,92,188,2022-2023,serie-a
francesco caputo,Sampdoria,1987,15,13,1094,1,0,0,0,6,11,76,2022-2023,serie-a
francesco caputo,Empoli,1987,21,20,1708,5,4,1,0,16,21,128,2022-2023,serie-a
andrea carboni,Monza,2001,4,1,167,0,0,0,0,4,9,2,2022-2023,serie-a
franco carboni,Monza,2003,3,0,66,0,0,0,0,7,2,8,2022-2023,serie-a
valentin carboni,Inter,2005,5,0,25,0,0,0,0,2,1,3,2022-2023,serie-a
marco carnesecchi,Cremonese,2000,27,27,2430,0,1,1,0,0,0,0,2022-2023,serie-a
nicolo casale,Lazio,1998,29,27,2437,1,1,6,0,11,70,3,2022-2023,serie-a
