Player,Squad,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR,Season,Competition
robin hack,Gladbach,1998.0,33,27,2172,4,7,4,0,51,95,141,2024-2025,bundesliga
amadou haidara,RB Leipzig,1998.0,28,16,1320,0,1,7,0,7,65,24,2024-2025,bundesliga
andreas hancheolsen,Mainz 05,1997.0,22,12,1284,1,1,4,1,2,34,5,2024-2025,bundesliga
phil harres,Holstein Kiel,2002.0,26,17,1544,8,1,3,0,12,16,71,2024-2025,bundesliga
ramon hendriks,Stuttgart,2001.0,25,10,1154,0,1,3,0,8,36,22,2024-2025,bundesliga
paul hennrich,Hoffenheim,2005.0,1,0,12,0,0,0,0,1,0,0,2024-2025,bundesliga
benjamin henrichs,RB Leipzig,1997.0,15,10,935,0,2,3,0,9,29,55,2024-2025,bundesliga
mario hermoso,Leverkusen,1995.0,4,3,293,0,0,0,0,2,20,3,2024-2025,bundesliga
piero hincapie,Leverkusen,2002.0,32,28,2670,2,2,8,0,52,152,72,2024-2025,bundesliga
adam hlozek,Hoffenheim,2002.0,27,22,1871,8,4,2,0,54,68,102,2024-2025,bundesliga
nicolas hofler,Freiburg,1990.0,20,7,794,0,0,3,0,1,30,3,2024-2025,bundesliga
jonas hofmann,Leverkusen,1992.0,11,4,356,2,1,1,0,10,14,29,2024-2025,bundesliga
philipp hofmann,Bochum,1993.0,32,27,2277,3,3,4,0,8,53,112,2024-2025,bundesliga
lucas holer,Freiburg,1994.0,31,21,1867,6,4,3,0,21,47,122,2024-2025,bundesliga
benedict hollerbach,Union Berlin,2001.0,34,30,2540,9,1,3,0,103,68,214,2024-2025,bundesliga
lewis holtby,Holstein Kiel,1990.0,25,13,1238,0,1,1,1,14,47,34,2024-2025,bundesliga
gerrit holtmann,Bochum,1995.0,23,12,1136,2,1,2,0,50,33,97,2024-2025,bundesliga
franck honorat,Gladbach,1996.0,19,18,1439,4,7,0,0,63,45,124,2024-2025,bundesliga
mathias honsak,Heidenheim,1996.0,22,12,1181,5,1,1,0,37,29,58,2024-2025,bundesliga
timo horn,Bochum,1993.0,13,13,1170,0,0,2,0,0,1,0,2024-2025,bundesliga
lukas hradecky,Leverkusen,1989.0,29,29,2610,0,0,1,0,0,0,0,2024-2025,bundesliga
robin hranac,Hoffenheim,2000.0,4,2,219,0,0,0,0,2,4,0,2024-2025,bundesliga
hong hyunseok,Mainz 05,1999.0,23,4,530,0,1,0,0,10,23,31,2024-2025,bundesliga
oscar hjlund,Eint Frankfurt,2005.0,20,7,722,1,0,0,0,17,49,9,2024-2025,bundesliga
arijon ibrahimovic,Bayern Munich,2005.0,1,0,1,0,0,0,0,0,0,0,2024-2025,bundesliga
andrej ilic,Union Berlin,2000.0,16,11,937,7,0,1,0,5,13,59,2024-2025,bundesliga
jackson irvine,St. Pauli,1993.0,29,29,2610,0,6,2,0,19,117,58,2024-2025,bundesliga
ko itakura,Gladbach,1997.0,31,31,2790,3,0,5,0,23,69,5,2024-2025,bundesliga
hiroki ito,Bayern Munich,1999.0,6,3,250,1,0,1,0,3,18,6,2024-2025,bundesliga
marko ivezic,Holstein Kiel,2001.0,23,18,1657,0,0,5,0,3,40,9,2024-2025,bundesliga
lee jaesung,Mainz 05,1992.0,33,31,2650,7,6,4,0,28,105,165,2024-2025,bundesliga
kristijan jakic,Augsburg,1997.0,31,27,2306,0,1,2,0,24,106,49,2024-2025,bundesliga
luca jaquez,Stuttgart,2003.0,5,2,253,0,0,0,0,5,18,0,2024-2025,bundesliga
dominik javorcek,Holstein Kiel,2002.0,13,4,386,0,2,2,0,7,4,23,2024-2025,bundesliga
finn jeltsch,Stuttgart,2006.0,12,9,780,0,0,2,0,8,31,5,2024-2025,bundesliga
fredrik jensen,Augsburg,1997.0,20,9,763,0,0,0,0,16,20,58,2024-2025,bundesliga
moritz jenz,Mainz 05,1999.0,19,18,1600,0,0,4,0,1,47,3,2024-2025,bundesliga
carl johansson,Holstein Kiel,1994.0,10,7,568,0,0,0,1,0,12,0,2024-2025,bundesliga
anthony jung,Werder Bremen,1991.0,28,20,1898,0,0,1,0,20,121,6,2024-2025,bundesliga
josip juranovic,Union Berlin,1995.0,17,13,1159,0,1,4,0,19,52,45,2024-2025,bundesliga
david jurasek,Hoffenheim,2000.0,14,6,619,0,1,0,0,17,22,42,2024-2025,bundesliga
yusuf kabaday,Augsburg,2004.0,5,0,71,1,0,0,0,2,3,8,2024-2025,bundesliga
almugera kabar,Dortmund,2006.0,5,1,137,0,0,2,1,5,6,2,2024-2025,bundesliga
issa kabore,Werder Bremen,2001.0,9,3,308,0,0,0,0,15,8,35,2024-2025,bundesliga
pavel kaderabek,Hoffenheim,1992.0,24,18,1576,2,0,6,0,15,47,86,2024-2025,bundesliga
jakub kaminski,Wolfsburg,2002.0,22,12,1130,0,2,2,0,41,40,69,2024-2025,bundesliga
kevin kampl,RB Leipzig,1990.0,26,18,1593,1,0,5,0,21,106,32,2024-2025,bundesliga
harry kane,Bayern Munich,1993.0,31,28,2381,26,9,5,0,29,97,143,2024-2025,bundesliga
atakan karazor,Stuttgart,1996.0,32,31,2618,2,4,10,1,19,140,33,2024-2025,bundesliga
mikkel kaufmann,Heidenheim,2001.0,9,3,372,0,0,2,0,4,10,21,2024-2025,bundesliga
yannik keitel,Stuttgart,2000.0,11,2,270,0,0,1,0,2,11,3,2024-2025,bundesliga
andu kelati,Holstein Kiel,2002.0,8,2,288,1,1,2,1,3,19,11,2024-2025,bundesliga
thomas keller,Heidenheim,1999.0,6,2,148,0,0,2,0,0,6,0,2024-2025,bundesliga
aljoscha kemlein,Union Berlin,2004.0,15,11,922,1,0,3,0,5,42,19,2024-2025,bundesliga
luca kerber,Heidenheim,2002.0,23,7,783,2,0,4,0,1,16,12,2024-2025,bundesliga
rani khedira,Union Berlin,1994.0,32,31,2723,1,1,7,0,12,80,34,2024-2025,bundesliga
joshua kimmich,Bayern Munich,1995.0,33,32,2847,3,7,4,0,51,362,77,2024-2025,bundesliga
tim kleindienst,Gladbach,1995.0,31,31,2737,16,7,5,1,45,63,145,2024-2025,bundesliga
lukas klostermann,RB Leipzig,1996.0,28,20,1838,1,0,5,0,16,83,26,2024-2025,bundesliga
ansgar knauff,Eint Frankfurt,2002.0,30,18,1597,4,5,3,0,53,58,146,2024-2025,bundesliga
magnus knudsen,Holstein Kiel,2001.0,31,22,1850,0,1,7,0,16,54,25,2024-2025,bundesliga
gregor kobel,Dortmund,1997.0,32,32,2880,0,0,1,0,0,1,0,2024-2025,bundesliga
robin koch,Eint Frankfurt,1996.0,30,30,2586,3,0,3,0,9,93,4,2024-2025,bundesliga
derrick kohn,Werder Bremen,1999.0,27,14,1343,2,2,2,0,36,39,122,2024-2025,bundesliga
dominik kohr,Mainz 05,1994.0,28,28,2295,2,0,11,1,26,101,31,2024-2025,bundesliga
marco komenda,Holstein Kiel,1996.0,19,17,1307,0,0,3,0,13,53,16,2024-2025,bundesliga
mert komur,Augsburg,2005.0,20,5,654,2,1,1,0,18,11,46,2024-2025,bundesliga
kacper koscierski,Bochum,2007.0,1,0,7,0,0,0,0,0,0,0,2024-2025,bundesliga
henri koudossou,Augsburg,1999.0,21,4,748,0,0,1,0,19,23,48,2024-2025,bundesliga
konstantinos koulierakis,Wolfsburg,2003.0,30,28,2468,0,2,4,0,20,104,8,2024-2025,bundesliga
matej kovar,Leverkusen,2000.0,5,5,450,0,0,0,0,0,0,0,2024-2025,bundesliga
andrej kramaric,Hoffenheim,1991.0,32,32,2767,11,8,4,0,75,143,202,2024-2025,bundesliga
frans kratzig,Heidenheim,2003.0,16,15,1217,1,2,1,0,25,37,57,2024-2025,bundesliga
frans kratzig,Stuttgart,2003.0,1,1,56,0,0,0,0,0,2,2,2024-2025,bundesliga
tom krau,Bochum,2001.0,14,13,1077,0,0,2,0,16,84,20,2024-2025,bundesliga
rasmus kristensen,Eint Frankfurt,1997.0,30,28,2513,5,3,4,0,51,172,162,2024-2025,bundesliga
lukas kubler,Freiburg,1992.0,28,22,1842,5,1,5,0,24,78,49,2024-2025,bundesliga
jonah kusiasare,Bayern Munich,2007.0,1,0,3,0,0,0,0,0,0,0,2024-2025,bundesliga
moritzbroni kwarteng,Bochum,1998.0,7,0,172,0,0,1,0,4,12,16,2024-2025,bundesliga
nediljko labrovic,Augsburg,1999.0,15,15,1350,0,0,0,0,0,0,0,2024-2025,bundesliga
konrad laimer,Bayern Munich,1997.0,29,19,1699,2,2,8,0,87,141,113,2024-2025,bundesliga
stefan lainer,Gladbach,1992.0,21,6,757,1,0,2,0,25,25,32,2024-2025,bundesliga
hugo larsson,Eint Frankfurt,2004.0,33,28,2393,3,1,2,0,16,121,33,2024-2025,bundesliga
diogo leite,Union Berlin,1999.0,30,29,2546,1,2,3,0,20,116,16,2024-2025,bundesliga
maxim leitsch,Mainz 05,1998.0,14,6,674,1,0,2,0,4,25,5,2024-2025,bundesliga
jamie leweling,Stuttgart,2001.0,27,22,1663,2,2,4,0,55,51,164,2024-2025,bundesliga
philipp lienhart,Freiburg,1996.0,32,31,2770,1,0,5,0,44,138,9,2024-2025,bundesliga
marin ljubicic,Union Berlin,2002.0,13,1,281,1,1,1,0,1,6,19,2024-2025,bundesliga
anthony losilla,Bochum,1986.0,21,13,1137,0,0,1,0,3,45,11,2024-2025,bundesliga
yannik luhrs,Dortmund,2003.0,3,1,127,0,0,0,0,2,1,1,2024-2025,bundesliga
castello lukeba,RB Leipzig,2002.0,23,18,1577,0,0,2,0,18,80,23,2024-2025,bundesliga
senne lynen,Werder Bremen,1999.0,32,32,2733,0,1,9,0,9,91,28,2024-2025,bundesliga
shuto machino,Holstein Kiel,1999.0,32,23,1953,11,2,2,0,30,59,108,2024-2025,bundesliga
arne maier,Augsburg,1999.0,28,7,938,0,0,0,1,19,44,56,2024-2025,bundesliga
patrick mainka,Heidenheim,1994.0,34,34,3060,1,1,3,0,21,102,12,2024-2025,bundesliga
lovro majer,Wolfsburg,1998.0,9,3,304,2,1,1,0,8,17,10,2024-2025,bundesliga
jordy makengo,Freiburg,2001.0,19,7,745,0,0,1,0,9,15,35,2024-2025,bundesliga
jarzinho malanga,Stuttgart,2006.0,1,0,2,0,0,0,0,0,0,2,2024-2025,bundesliga
julian malatini,Werder Bremen,2001.0,10,5,454,1,1,1,0,8,24,4,2024-2025,bundesliga
donyell malen,Dortmund,1999.0,14,6,614,3,0,1,0,23,17,75,2024-2025,bundesliga
lennard maloney,Heidenheim,1999.0,11,10,760,0,0,1,0,1,14,0,2024-2025,bundesliga
lennard maloney,Mainz 05,1999.0,5,0,26,0,0,1,0,1,0,0,2024-2025,bundesliga
johan manzambi,Freiburg,2005.0,11,4,335,2,1,2,0,7,10,12,2024-2025,bundesliga
omar marmoush,Eint Frankfurt,1999.0,17,17,1448,15,9,2,0,73,50,125,2024-2025,bundesliga
giorgos masouras,Bochum,1994.0,14,12,1055,2,1,1,0,26,19,82,2024-2025,bundesliga
erhan masovic,Bochum,1998.0,16,10,910,1,1,2,0,1,35,4,2024-2025,bundesliga
igor matanovic,Eint Frankfurt,2003.0,16,2,312,1,0,0,0,2,6,19,2024-2025,bundesliga
chrislain matsima,Augsburg,2002.0,30,28,2551,1,1,4,0,14,84,13,2024-2025,bundesliga
jean matteo bahoya,Eint Frankfurt,2005.0,24,10,921,2,3,3,0,24,28,93,2024-2025,bundesliga
maurides,St. Pauli,1994.0,1,0,2,0,0,0,0,0,0,0,2024-2025,bundesliga
keke maximilian topp,Werder Bremen,2004.0,19,1,252,2,2,1,0,10,9,27,2024-2025,bundesliga
