Player,Squad,PSxG,PSxG/SoT,PSxG+/-,Launch%,Crosses_Opp,Crosses_stp%,#OPA,Season,Competition
alisson,Liverpool,28.7,0.26,-0.3,14.1,299,4.3,33,2023-2024,premierleague
alphonse areola,West Ham,52.1,0.24,2.1,43.9,468,5.8,7,2023-2024,premierleague
daniel bentley,Wolves,5.8,0.39,-1.2,36.0,50,0.0,3,2023-2024,premierleague
martin dubravka,Newcastle Utd,42.2,0.29,0.2,15.6,296,6.8,22,2023-2024,premierleague
ederson,Manchester City,27.2,0.3,1.2,18.3,247,10.1,50,2023-2024,premierleague
ukasz fabianski,West Ham,19.8,0.33,-0.2,50.0,114,7.0,1,2023-2024,premierleague
mark flekken,Brentford,55.4,0.31,-7.6,36.6,568,7.7,37,2023-2024,premierleague
wes foderingham,Sheffield Utd,70.4,0.33,-3.6,54.5,468,6.0,42,2023-2024,premierleague
ivo grbic,Sheffield Utd,14.7,0.25,-8.3,57.5,193,5.7,14,2023-2024,premierleague
dean henderson,Crystal Palace,27.4,0.31,-1.6,46.7,246,2.0,17,2023-2024,premierleague
sam johnstone,Crystal Palace,20.0,0.27,-6.0,55.0,339,7.1,12,2023-2024,premierleague
thomas kaminski,Luton Town,77.6,0.34,-3.4,52.0,558,2.9,76,2023-2024,premierleague
loris karius,Newcastle Utd,2.0,0.29,-1.0,48.1,10,10.0,3,2023-2024,premierleague
caoimhin kelleher,Liverpool,11.3,0.3,1.3,22.4,77,6.5,13,2023-2024,premierleague
bernd leno,Fulham,55.7,0.26,-1.3,23.7,472,4.0,40,2023-2024,premierleague
emiliano martinez,Aston Villa,50.6,0.37,6.6,21.0,373,12.1,69,2023-2024,premierleague
remi matthews,Crystal Palace,0.1,0.15,-0.9,100.0,1,100.0,0,2023-2024,premierleague
arijanet muric,Burnley,21.7,0.26,6.7,36.4,143,14.0,31,2023-2024,premierleague
neto,Bournemouth,55.2,0.31,1.2,44.1,413,6.3,34,2023-2024,premierleague
robin olsen,Aston Villa,11.1,0.3,-1.9,20.5,46,13.0,1,2023-2024,premierleague
andre onana,Manchester Utd,59.7,0.27,2.7,31.0,601,7.0,37,2023-2024,premierleague
stefan ortega,Manchester City,9.0,0.33,2.0,24.7,65,9.2,13,2023-2024,premierleague
ore petrovic,Chelsea,28.3,0.26,-6.7,22.1,312,6.4,20,2023-2024,premierleague
jordan pickford,Everton,52.4,0.28,4.4,56.7,570,5.3,54,2023-2024,premierleague
nick pope,Newcastle Utd,16.8,0.3,0.8,21.1,143,6.3,28,2023-2024,premierleague
ionut radu,Bournemouth,2.9,0.27,-4.1,19.3,19,10.5,0,2023-2024,premierleague
aaron ramsdale,Arsenal,3.7,0.26,-1.3,34.9,46,17.4,9,2023-2024,premierleague
david raya,Arsenal,20.4,0.26,-2.6,32.2,329,12.2,50,2023-2024,premierleague
jose sa,Wolves,65.9,0.31,8.9,33.3,522,8.6,28,2023-2024,premierleague
robert sanchez,Chelsea,24.2,0.28,-0.8,21.3,202,9.4,27,2023-2024,premierleague
matz sels,Nott'ham Forest,17.1,0.27,-7.9,45.9,222,5.0,4,2023-2024,premierleague
james shea,Luton Town,0.1,0.06,0.1,83.3,3,0.0,1,2023-2024,premierleague
jason steele,Brighton,25.7,0.32,-6.3,20.1,173,4.0,41,2023-2024,premierleague
thomas strakosha,Brentford,1.5,0.2,-0.5,41.1,37,5.4,1,2023-2024,premierleague
james trafford,Burnley,54.1,0.3,-5.9,33.9,419,7.2,43,2023-2024,premierleague
mark travers,Bournemouth,5.0,0.23,0.0,55.4,60,5.0,3,2023-2024,premierleague
matt turner,Nott'ham Forest,22.1,0.26,-5.9,42.7,296,10.1,18,2023-2024,premierleague
bart verbruggen,Brighton,25.4,0.25,-2.6,17.1,232,7.3,31,2023-2024,premierleague
guglielmo vicario,Tottenham,60.0,0.32,2.0,14.3,511,6.5,81,2023-2024,premierleague
odysseas vlachodimos,Nott'ham Forest,7.9,0.31,-4.1,25.4,92,3.3,2,2023-2024,premierleague
