nombre,club_actual,temporada,liga,Posicion,nacido,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,goles_esperados,asistencias_esperadas,goles_esperados_noPen,key_passes,xGChain,xGBuildup,entradas_1/3,entradas_2/3,entradas_3/3,duelos_ganados,entradas,entradas_ganadas,bloqueos,bloqueos_tiro,bloqueos_pase,altura,valor,xG_xA_por_90,eficiencia_gol,asistencias_esperadas_por_90
matteo pessina,serie-a,2024-2025,serie-a,MF,1997,11,10,854.0,0.0,0.0,2,0,8,28,20,0.18470822,0.10581813,0.18470822,4,1.6727564288303256,1.504181757569313,3,11,1,64.3,15,4,6,0,6,,,0.03,0.0,0.01
matthew cash,premier-league,2022-2023,premier-league,,,,,,,,,,,,,0.1666707,0.4675994,0.1666707,8,5.986693885177374,5.530507996678352,,,,,,,,,,,,,,
matthew cash,premier-league,2024-2025,premier-league,,,,,,,,,,,,,0.49553847,1.486632,0.49553847,10,7.091400654055178,6.572270311415196,,,,,,,,,,,,,,
mattia destro,serie-a,2022-2023,serie-a,"FW,MF",1991,17,6,572.0,1.0,0.0,3,0,4,4,20,1.9058446,0.5060577,1.9058446,4,1.889341903850436,0.083670899271965,0,1,0,,1,1,2,0,2,,,0.38,0.5247017601317239,0.08
mattia liberali,serie-a,2024-2025,serie-a,MF,2007,1,1,61.0,0.0,0.0,0,0,1,5,4,0.06840145,0.076099336,0.06840145,1,0.3106605112552643,0.1809192299842834,0,1,1,100.0,2,1,0,0,0,,,0.21,0.0,0.11
mattia liberali,serie-a,2024-2025,serie-a,MF,2007,1,1,61.0,0.0,0.0,0,0,1,5,4,0.06840145,0.076099336,0.06840145,1,0.3106605112552643,0.1809192299842834,0,1,1,100.0,2,1,0,0,0,,,0.21,0.0,0.11
mattia valoti,serie-a,2024-2025,serie-a,MF,1993,5,0,40.0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0,0,0.0203121155500412,0.0203121155500412,3,0,0,0.0,3,3,2,0,2,,,0.0,,0.0
mattia valoti,serie-a,2024-2025,serie-a,MF,1993,5,0,40.0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0,0,0.0203121155500412,0.0203121155500412,3,0,0,0.0,3,3,2,0,2,,,0.0,,0.0
mattia viti,serie-a,2024-2025,serie-a,DF,2002,30,30,2572.0,1.0,0.0,3,0,17,86,10,1.030985,0.22200748,1.030985,5,3.366817817091942,3.027767294086516,42,20,3,65.4,65,45,41,18,23,,,0.04,0.969946218599718,0.01
mattia viti,serie-a,2024-2025,serie-a,DF,2002,30,30,2572.0,1.0,0.0,3,0,17,86,10,1.030985,0.22200748,1.030985,5,3.366817817091942,3.027767294086516,42,20,3,65.4,65,45,41,18,23,,,0.04,0.969946218599718,0.01
