Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,drib_Att,drib_Succ%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
valentin barco,Sevilla,45,92,100,3,13,23.1,254,4,0,6,4,2024-2025,laliga
borna barisic,Leganés,0,2,2,0,0,,1,0,0,0,0,2024-2025,laliga
kike barja,Osasuna,24,46,98,17,16,43.8,384,9,5,16,5,2024-2025,laliga
enzo barrenechea,Valencia,378,1038,198,14,31,35.5,1515,17,0,23,18,2024-2025,laliga
ander barrenetxea,Real Sociedad,102,263,402,63,69,37.7,1239,26,19,47,26,2024-2025,laliga
pablo barrios,Atlético Madrid,415,1001,378,29,42,59.5,2315,35,6,49,23,2024-2025,laliga
thierno barry,Villarreal,44,246,346,126,50,36.0,1041,35,25,86,27,2024-2025,laliga
marc bartra,Betis,862,561,70,18,15,46.7,2534,15,1,12,5,2024-2025,laliga
aboubacar bassinga,Las Palmas,0,4,0,0,0,,4,0,0,0,1,2024-2025,laliga
augusto batalla,Rayo Vallecano,1245,15,0,0,6,100.0,2275,0,0,1,0,2024-2025,laliga
rafael bauza,Espanyol,22,39,14,1,2,50.0,102,2,0,1,0,2024-2025,laliga
sheraldo becker,Real Sociedad,41,113,236,36,11,36.4,1038,16,14,17,4,2024-2025,laliga
donny van de beek,Girona,113,246,230,61,13,46.2,588,15,2,13,15,2024-2025,laliga
luken beitia,Real Sociedad,6,1,0,0,0,,1,0,0,0,0,2024-2025,laliga
ismael bekhoucha,Getafe,14,13,9,0,3,66.7,35,0,0,2,0,2024-2025,laliga
hector bellerin,Betis,122,190,73,11,8,75.0,344,4,0,6,1,2024-2025,laliga
jude bellingham,Real Madrid,239,910,752,110,75,54.7,2818,61,14,54,43,2024-2025,laliga
fran beltran,Celta Vigo,385,1088,246,14,19,52.6,2137,29,2,23,22,2024-2025,laliga
carlos benavidez,Alavés,83,167,47,2,6,66.7,283,2,1,5,0,2024-2025,laliga
iker benito,Osasuna,4,11,4,0,1,0.0,25,1,0,1,0,2024-2025,laliga
yuri berchiche,Athletic Club,454,884,305,16,16,37.5,2158,29,3,18,2,2024-2025,laliga
alex berenguer,Athletic Club,98,462,713,86,82,40.2,2050,40,27,52,50,2024-2025,laliga
marc bernal,Barcelona,47,116,21,1,3,66.7,150,2,0,2,2,2024-2025,laliga
juan bernat,Villarreal,42,63,56,13,8,37.5,168,3,1,3,2,2024-2025,laliga
juan bernat,Getafe,62,132,103,15,23,52.2,190,6,2,17,15,2024-2025,laliga
juan berrocal,Getafe,246,238,16,8,0,,390,1,0,3,0,2024-2025,laliga
antonio blanco,Alavés,353,991,216,6,21,71.4,1407,17,0,29,26,2024-2025,laliga
daley blind,Girona,910,1600,364,21,28,53.6,5550,67,3,16,12,2024-2025,laliga
adama boiro,Athletic Club,158,309,165,14,26,30.8,890,21,5,23,15,2024-2025,laliga
enzo boyomo,Osasuna,821,850,69,21,16,56.3,2884,6,1,19,10,2024-2025,laliga
enzo boyomo,Valladolid,131,79,6,4,1,100.0,282,0,0,0,0,2024-2025,laliga
darko brasanac,Leganés,169,307,197,28,7,28.6,414,12,1,16,9,2024-2025,laliga
tajon buchanan,Villarreal,41,69,119,25,22,45.5,499,9,6,18,7,2024-2025,laliga
ante budimir,Osasuna,52,335,407,170,43,23.3,541,15,8,83,44,2024-2025,laliga
manu bueno,Sevilla,15,43,33,2,2,50.0,121,3,0,2,2,2024-2025,laliga
endika bujan,Athletic Club,0,0,7,2,2,50.0,13,0,0,0,0,2024-2025,laliga
pau cabanes,Villarreal,17,35,71,11,12,41.7,245,9,5,8,3,2024-2025,laliga
pau cabanes,Alavés,16,49,63,7,13,30.8,309,9,3,10,3,2024-2025,laliga
leandro cabrera,Espanyol,1047,681,76,33,2,50.0,2284,9,0,9,1,2024-2025,laliga
fernando calero,Espanyol,288,187,24,2,0,,525,2,0,6,0,2024-2025,laliga
eduardo camavinga,Real Madrid,272,494,207,15,31,48.4,1699,27,7,7,11,2024-2025,laliga
sergio camello,Rayo Vallecano,39,173,196,46,23,56.5,554,16,8,38,23,2024-2025,laliga
jose campana,Las Palmas,224,577,153,5,18,44.4,988,12,1,17,15,2024-2025,laliga
peio canales,Athletic Club,14,63,64,3,11,45.5,221,4,2,4,3,2024-2025,laliga
antonio candela,Valladolid,239,216,80,7,15,40.0,841,8,1,8,5,2024-2025,laliga
sergi canos,Valencia,34,76,122,20,13,7.7,279,6,4,13,5,2024-2025,laliga
dani cardenas,Rayo Vallecano,189,1,0,0,0,,246,0,0,0,0,2024-2025,laliga
irvin cardona,Espanyol,27,98,123,23,13,23.1,460,14,6,22,4,2024-2025,laliga
marc cardona,Las Palmas,16,34,23,6,7,14.3,55,0,0,2,4,2024-2025,laliga
sergi cardona,Villarreal,711,632,506,63,30,33.3,2057,34,10,24,11,2024-2025,laliga
johnny cardoso,Betis,397,846,201,26,42,61.9,1557,16,1,36,23,2024-2025,laliga
jose carlos gonzalez,Las Palmas,1,5,3,0,0,,8,0,0,0,0,2024-2025,laliga
carmona,Sevilla,726,1149,346,20,50,38.0,2754,25,8,37,18,2024-2025,laliga
sergio carreira,Celta Vigo,277,408,380,52,30,46.7,1421,22,16,16,14,2024-2025,laliga
dani carvajal,Real Madrid,126,232,176,12,5,40.0,513,5,0,8,6,2024-2025,laliga
william carvalho,Betis,94,255,87,6,5,60.0,592,9,0,6,6,2024-2025,laliga
marc casado,Barcelona,223,1040,276,9,9,44.4,1540,22,0,17,9,2024-2025,laliga
catena,Osasuna,988,864,65,40,11,72.7,2558,3,0,11,1,2024-2025,laliga
maximiliano caufriez,Valencia,17,6,0,0,0,,3,0,0,0,0,2024-2025,laliga
dani ceballos,Real Madrid,267,940,277,9,15,53.3,2951,30,2,11,7,2024-2025,laliga
franco cervi,Celta Vigo,37,78,45,1,2,50.0,173,2,0,3,2,2024-2025,laliga
raul chasco,Valladolid,36,32,7,0,2,0.0,54,0,0,3,1,2024-2025,laliga
pep chavarria,Rayo Vallecano,602,801,500,31,32,31.3,2300,34,6,39,6,2024-2025,laliga
