Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,drib_Att,drib_Succ%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
tim breithaupt,Augsburg,117,196,44,1,1,100.0,190,1,0,6,5,2023-2024,bundesliga
maximilian breunig,Freiburg,0,4,2,0,0,,0,0,0,2,0,2023-2024,bundesliga
bennit broger,Wolfsburg,1,5,2,0,2,0.0,8,0,0,1,1,2023-2024,bundesliga
john brooks,Hoffenheim,588,509,28,14,4,75.0,1574,2,0,3,4,2023-2024,bundesliga
moritz broschinski,Bochum,24,141,238,58,31,35.5,397,10,9,47,35,2023-2024,bundesliga
alexander brunst,Darmstadt 98,150,5,0,0,0,,226,0,0,0,0,2023-2024,bundesliga
marius bulter,Hoffenheim,189,350,329,49,48,37.5,1295,31,13,24,19,2023-2024,bundesliga
jonathan burkardt,Mainz 05,46,269,292,73,57,40.4,924,25,10,52,37,2023-2024,bundesliga
oliver burke,Werder Bremen,1,10,2,0,1,100.0,24,1,0,0,0,2023-2024,bundesliga
marnon busch,Heidenheim,152,201,119,0,5,60.0,570,9,0,2,1,2023-2024,bundesliga
aurelio buta,Eint Frankfurt,334,620,355,47,32,34.4,1452,29,17,22,20,2023-2024,bundesliga
anthony caci,Mainz 05,587,865,358,41,39,59.0,2115,20,10,23,10,2023-2024,bundesliga
emre can,Dortmund,568,972,177,18,29,51.7,2363,16,3,29,21,2023-2024,bundesliga
irvin cardona,Augsburg,2,4,18,5,1,0.0,61,2,2,2,0,2023-2024,bundesliga
rasmus carstensen,Köln,326,459,304,36,30,43.3,1376,26,3,37,22,2023-2024,bundesliga
fabio carvalho,RB Leipzig,13,45,61,7,7,42.9,231,6,1,7,2,2023-2024,bundesliga
koen casteels,Wolfsburg,995,9,0,0,0,,1910,0,0,1,0,2023-2024,bundesliga
vaclav cerny,Wolfsburg,64,180,234,37,33,42.4,786,19,10,22,15,2023-2024,bundesliga
julian chabot,Köln,1213,731,65,40,19,47.4,2914,14,2,18,2,2023-2024,bundesliga
el chadaille bitshiabu,RB Leipzig,26,30,11,1,0,,75,1,1,0,0,2023-2024,bundesliga
fares chaibi,Eint Frankfurt,112,481,549,71,20,35.0,1441,39,12,42,16,2023-2024,bundesliga
timothy chandler,Eint Frankfurt,1,7,22,2,0,,20,1,0,0,1,2023-2024,bundesliga
fabio chiarodia,Gladbach,73,31,5,0,0,,148,0,0,0,1,2023-2024,bundesliga
jacob christensen,Köln,40,68,14,1,2,50.0,160,1,0,5,0,2023-2024,bundesliga
nnamdi collins,Eint Frankfurt,20,54,12,1,2,50.0,89,0,1,0,1,2023-2024,bundesliga
kingsley coman,Bayern Munich,75,220,513,93,67,43.3,2204,35,35,26,22,2023-2024,bundesliga
bambase conte,Hoffenheim,6,15,18,5,6,33.3,79,2,2,1,2,2023-2024,bundesliga
danny da costa,Mainz 05,163,254,175,11,13,53.8,613,9,3,8,7,2023-2024,bundesliga
nicolas cozza,Wolfsburg,75,125,25,1,7,57.1,266,1,0,8,0,2023-2024,bundesliga
tomas cvancara,Gladbach,26,169,140,45,16,31.3,314,7,7,28,11,2023-2024,bundesliga
finn dahmen,Augsburg,1394,44,0,0,0,,3052,0,0,1,0,2023-2024,bundesliga
