Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,drib_Att,drib_Succ%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
tammy abraham,Roma,4,31,34,9,6,33.3,111,2,2,9,2,2023-2024,serie-a
francesco acerbi,Inter,941,946,98,25,3,66.7,3081,11,0,4,1,2023-2024,serie-a
yacine adli,Milan,262,913,281,8,32,68.8,2144,27,3,18,10,2023-2024,serie-a
michel aebischer,Bologna,405,1032,270,23,25,56.0,2248,23,3,27,19,2023-2024,serie-a
lucien agoume,Inter,1,4,1,0,1,0.0,5,1,0,0,0,2023-2024,serie-a
marley ake,Udinese,1,0,0,0,0,,0,0,0,1,0,2023-2024,serie-a
ebenezer akinsanmiro,Inter,3,6,1,0,0,,11,1,0,1,1,2023-2024,serie-a
jeandaniel akpaakpro,Monza,111,187,58,5,10,30.0,591,9,1,13,7,2023-2024,serie-a
david akpan ankeye,Genoa,2,6,10,1,5,40.0,61,1,1,2,0,2023-2024,serie-a
luis alberto,Lazio,231,1004,690,61,45,55.6,3192,62,10,33,24,2023-2024,serie-a
carlos alcaraz,Juventus,22,133,69,12,9,33.3,310,13,1,8,4,2023-2024,serie-a
pontus almqvist,Lecce,105,332,360,80,93,39.8,1930,47,35,59,39,2023-2024,serie-a
lorenzo amatucci,Fiorentina,1,15,10,1,0,,17,0,0,0,0,2023-2024,serie-a
bruno amione,Hellas Verona,176,157,15,7,2,50.0,402,3,0,8,1,2023-2024,serie-a
felipe anderson,Lazio,252,792,742,93,107,40.2,2896,62,26,65,32,2023-2024,serie-a
angelino,Roma,284,351,199,7,13,46.2,864,13,0,9,6,2023-2024,serie-a
houssem aouar,Roma,48,238,157,27,21,52.4,621,15,6,16,15,2023-2024,serie-a
simone aresti,Cagliari,2,0,0,0,0,,11,0,0,0,0,2023-2024,serie-a
marko arnautovic,Inter,25,169,165,41,6,16.7,272,8,4,22,10,2023-2024,serie-a
kristjan asllani,Inter,197,483,136,3,5,60.0,1030,7,0,6,3,2023-2024,serie-a
emil audero,Inter,200,0,0,0,0,,377,0,0,0,0,2023-2024,serie-a
tommaso augello,Cagliari,529,625,408,9,29,51.7,2135,34,1,21,8,2023-2024,serie-a
carlos augusto,Inter,427,553,317,52,21,57.1,1863,31,12,21,14,2023-2024,serie-a
yann aurel bisseck,Inter,350,306,84,19,13,38.5,1551,24,1,10,4,2023-2024,serie-a
sardar azmoun,Roma,24,110,101,29,13,30.8,206,9,1,17,10,2023-2024,serie-a
paulo azzi,Cagliari,166,249,216,19,28,46.4,1398,39,5,14,5,2023-2024,serie-a
oussama el azzouzi,Bologna,105,287,58,8,3,0.0,577,3,0,5,5,2023-2024,serie-a
milan badelj,Genoa,425,1029,255,18,33,51.5,1728,17,1,31,19,2023-2024,serie-a
jaime baez,Frosinone,31,110,111,14,10,50.0,431,6,2,11,11,2023-2024,serie-a
nicola bagnolini,Bologna,4,0,0,0,0,,1,0,0,0,0,2023-2024,serie-a
nedim bajrami,Sassuolo,69,213,318,43,31,54.8,1390,25,11,27,11,2023-2024,serie-a
mitchel bakker,Atalanta,70,116,77,10,12,58.3,457,8,2,10,3,2023-2024,serie-a
tommaso baldanzi,Empoli,28,151,176,26,26,26.9,641,16,6,19,13,2023-2024,serie-a
tommaso baldanzi,Roma,26,122,116,19,22,36.4,499,16,5,5,7,2023-2024,serie-a
lameck banda,Lecce,76,231,316,62,99,42.4,1778,34,35,57,29,2023-2024,serie-a
daniel bandeira,Hellas Verona,47,164,67,2,4,75.0,392,4,1,4,6,2023-2024,serie-a
mattia bani,Genoa,868,517,37,17,4,25.0,1524,2,0,10,2,2023-2024,serie-a
antonin barak,Fiorentina,38,218,219,40,13,30.8,634,23,1,15,16,2023-2024,serie-a
nicolo barella,Inter,424,1281,739,58,59,49.2,3389,73,9,39,29,2023-2024,serie-a
enzo barrenechea,Frosinone,622,1408,205,13,18,44.4,1526,12,0,20,16,2023-2024,serie-a
davide bartesaghi,Milan,25,18,8,0,1,0.0,53,3,0,1,2,2023-2024,serie-a
federico baschirotto,Lecce,1172,876,53,24,0,,3312,9,0,12,4,2023-2024,serie-a
toma basic,Salernitana,175,394,121,6,15,66.7,758,15,0,23,3,2023-2024,serie-a
alessandro bastoni,Inter,769,986,388,35,19,52.6,4361,66,6,12,10,2023-2024,serie-a
simone bastoni,Empoli,123,216,132,12,9,44.4,464,11,0,12,9,2023-2024,serie-a
reda belahyane,Hellas Verona,10,20,6,0,0,,27,1,0,1,1,2023-2024,serie-a
raoul bellanova,Torino,403,812,678,60,98,43.9,3913,57,17,45,23,2023-2024,serie-a
andrea belotti,Fiorentina,14,135,156,47,6,16.7,237,4,4,23,13,2023-2024,serie-a
andrea belotti,Roma,17,116,107,34,15,46.7,350,9,6,21,12,2023-2024,serie-a
lucas beltran,Fiorentina,49,280,343,89,31,38.7,542,10,6,56,31,2023-2024,serie-a
ismael bennacer,Milan,158,556,240,15,30,56.7,1211,21,3,17,18,2023-2024,serie-a
domenico berardi,Sassuolo,67,340,430,63,28,39.3,1220,26,14,31,24,2023-2024,serie-a
bartosz bereszynski,Empoli,374,537,147,3,27,48.1,1219,10,3,19,6,2023-2024,serie-a
etrit berisha,Empoli,530,2,0,0,0,,997,0,0,1,0,2023-2024,serie-a
medon berisha,Lecce,23,72,19,3,5,20.0,123,2,0,2,2,2023-2024,serie-a
victor bernth kristiansen,Bologna,667,918,320,13,23,47.8,2280,15,2,14,7,2023-2024,serie-a
beto,Udinese,0,7,10,1,3,66.7,18,0,0,3,0,2023-2024,serie-a
davide bettella,Monza,2,2,1,0,0,,0,0,0,0,1,2023-2024,serie-a
sam beukema,Bologna,1170,1060,61,14,8,50.0,4162,10,1,6,3,2023-2024,serie-a
jaka bijol,Udinese,669,395,38,29,0,,1564,2,0,3,4,2023-2024,serie-a
el bilal toure,Atalanta,6,56,117,21,14,21.4,417,15,2,18,16,2023-2024,serie-a
