Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,drib_Att,drib_Succ%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
marco bertini,Lazio,0,0,0,0,0,,0,0,0,0,0,2022-2023,serie-a
beto,Udinese,49,274,336,130,76,42.1,594,15,14,114,43,2022-2023,serie-a
matteo bianchetti,Cremonese,692,447,37,13,3,66.7,1377,2,0,6,3,2022-2023,serie-a
alessandro bianco,Fiorentina,18,59,14,1,2,0.0,144,1,0,2,5,2022-2023,serie-a
jaka bijol,Udinese,1068,612,53,40,5,40.0,2415,7,2,10,4,2022-2023,serie-a
cristiano biraghi,Fiorentina,534,904,793,26,20,35.0,2798,51,10,16,6,2022-2023,serie-a
samuele birindelli,Monza,277,372,321,30,20,55.0,1645,35,7,24,15,2022-2023,serie-a
kristijan bistrovic,Lecce,29,84,55,3,1,100.0,119,1,0,3,5,2022-2023,serie-a
alexis blin,Lecce,352,697,257,33,11,45.5,1095,17,1,34,15,2022-2023,serie-a
jeremie boga,Atalanta,43,228,344,37,95,50.5,1904,47,20,31,11,2022-2023,serie-a
emil bohinen,Salernitana,172,335,110,6,18,44.4,868,12,0,10,9,2022-2023,serie-a
giacomo bonaventura,Fiorentina,132,573,456,69,54,42.6,2260,60,10,23,29,2022-2023,serie-a
federico bonazzoli,Salernitana,33,269,191,31,23,52.2,435,10,3,42,12,2022-2023,serie-a
warren bondo,Monza,8,40,13,0,4,75.0,147,3,0,1,1,2022-2023,serie-a
kevin bonifazi,Bologna,448,364,22,4,7,71.4,1823,3,0,9,5,2022-2023,serie-a
leonardo bonucci,Juventus,326,326,10,7,1,100.0,854,2,0,3,1,2022-2023,serie-a
erik botheim,Salernitana,38,146,118,23,7,28.6,259,5,3,19,12,2022-2023,serie-a
mehdi bourabia,Spezia,422,832,409,21,64,43.8,1777,30,5,54,27,2022-2023,serie-a
edoardo bove,Roma,107,301,131,20,13,38.5,404,9,2,25,17,2022-2023,serie-a
jayden braaf,Hellas Verona,16,63,54,16,24,62.5,294,9,5,13,15,2022-2023,serie-a
domagoj bradaric,Salernitana,398,609,368,22,50,34.0,2396,46,8,27,10,2022-2023,serie-a
josip brekalo,Fiorentina,10,49,71,8,10,60.0,342,10,2,7,6,2022-2023,serie-a
gleison bremer,Juventus,1100,827,76,50,7,42.9,2297,6,0,18,8,2022-2023,serie-a
dylan bronn,Salernitana,562,590,48,10,11,54.5,1487,6,0,7,2,2022-2023,serie-a
marcelo brozovic,Inter,439,987,291,22,27,59.3,2296,29,7,19,6,2022-2023,serie-a
cristian buonaiuto,Cremonese,62,282,319,49,47,42.6,974,29,9,36,28,2022-2023,serie-a
alessandro buongiorno,Torino,860,976,110,33,16,37.5,2324,16,2,33,6,2022-2023,serie-a
leonardo buta,Udinese,2,7,5,0,0,,43,0,0,0,0,2022-2023,serie-a
arthur cabral,Fiorentina,36,168,289,102,35,42.9,397,14,9,60,24,2022-2023,serie-a
liberato cacace,Empoli,166,243,122,12,20,40.0,814,14,4,6,7,2022-2023,serie-a
davide calabria,Milan,414,768,307,16,14,21.4,1966,23,2,14,7,2022-2023,serie-a
mattia caldara,Spezia,450,304,46,17,5,40.0,830,4,0,9,4,2022-2023,serie-a
luca caldirola,Monza,891,674,75,12,3,33.3,2623,11,0,5,1,2022-2023,serie-a
hakan calhanoglu,Inter,367,1015,581,26,24,33.3,2601,55,6,32,12,2022-2023,serie-a
mohamed camara,Roma,61,262,81,8,13,53.8,585,10,2,11,6,2022-2023,serie-a
nicolo cambiaghi,Empoli,87,255,311,56,57,38.6,1603,30,23,44,21,2022-2023,serie-a
andrea cambiaso,Bologna,620,771,423,40,60,51.7,2822,59,17,42,18,2022-2023,serie-a
matteo cancellieri,Lazio,20,50,66,16,9,33.3,346,8,9,13,3,2022-2023,serie-a
antonio candreva,Salernitana,332,783,708,46,34,23.5,2245,50,10,25,13,2022-2023,serie-a
gianluca caprari,Monza,128,668,577,103,91,44.0,2661,50,42,79,32,2022-2023,serie-a
francesco caputo,Sampdoria,11,126,172,49,9,33.3,192,4,7,21,14,2022-2023,serie-a
francesco caputo,Empoli,34,207,239,103,12,8.3,449,7,7,45,24,2022-2023,serie-a
andrea carboni,Monza,41,43,20,4,3,33.3,190,2,0,0,0,2022-2023,serie-a
franco carboni,Monza,17,28,21,1,7,42.9,169,3,1,0,0,2022-2023,serie-a
valentin carboni,Inter,4,12,10,1,2,50.0,83,0,0,2,1,2022-2023,serie-a
marco carnesecchi,Cremonese,1036,0,0,0,0,,1600,0,0,0,0,2022-2023,serie-a
nicolo casale,Lazio,871,917,27,14,3,33.3,3784,3,0,5,1,2022-2023,serie-a
tommaso cassandro,Lecce,4,3,1,0,0,,4,0,0,0,0,2022-2023,serie-a
michele castagnetti,Cremonese,209,560,184,9,12,66.7,970,11,0,15,3,2022-2023,serie-a
gaetano castrovilli,Fiorentina,56,148,127,22,16,43.8,467,13,0,11,9,2022-2023,serie-a
danilo cataldi,Lazio,370,954,174,0,18,33.3,1108,9,0,7,8,2022-2023,serie-a
pietro ceccaroni,Lecce,9,10,3,1,0,,16,0,0,0,0,2022-2023,serie-a
federico ceccherini,Hellas Verona,308,386,96,15,3,66.7,1123,14,2,13,8,2022-2023,serie-a
assan ceesay,Lecce,69,270,311,71,36,61.1,590,15,8,64,25,2022-2023,serie-a
emil ceide,Sassuolo,30,80,124,39,25,32.0,709,13,23,15,8,2022-2023,serie-a
zeki celik,Roma,350,491,276,18,16,37.5,1444,31,6,17,13,2022-2023,serie-a
michele cerofolini,Fiorentina,201,1,0,0,0,,370,0,0,0,0,2022-2023,serie-a
federico chiesa,Juventus,56,166,265,49,45,53.3,1193,28,16,26,19,2022-2023,serie-a
vlad chiriches,Cremonese,358,194,6,2,4,75.0,664,2,0,2,4,2022-2023,serie-a
daniel ciofani,Cremonese,25,119,163,51,4,0.0,149,11,1,24,10,2022-2023,serie-a
tio cipot,Spezia,16,32,42,5,7,42.9,157,4,1,5,6,2022-2023,serie-a
patrick ciurria,Monza,396,694,534,51,54,33.3,2362,48,9,47,16,2022-2023,serie-a
nicolo cocetta,Udinese,8,6,0,0,0,,4,0,0,0,0,2022-2023,serie-a
omar colley,Sampdoria,451,390,20,9,2,100.0,1020,1,0,4,2,2022-2023,serie-a
lorenzo colombo,Lecce,24,266,304,74,37,29.7,408,12,6,79,38,2022-2023,serie-a
andrea colpani,Monza,55,267,232,31,41,48.8,1110,32,8,22,17,2022-2023,serie-a
andrea consigli,Sassuolo,1468,11,1,0,0,,2708,0,0,1,0,2022-2023,serie-a
andrea conti,Sampdoria,0,8,3,0,0,,5,0,0,0,1,2022-2023,serie-a
diego coppola,Hellas Verona,337,302,61,9,4,50.0,787,9,0,8,2,2022-2023,serie-a
alex cordaz,Inter,21,0,0,0,0,,14,0,0,0,0,2022-2023,serie-a
joaquin correa,Inter,25,183,183,37,32,43.8,646,13,9,29,16,2022-2023,serie-a
alessandro cortinovis,Hellas Verona,3,0,5,0,0,,4,0,0,0,0,2022-2023,serie-a
lassana coulibaly,Salernitana,399,933,245,17,93,51.6,2571,39,7,61,33,2022-2023,serie-a
