Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,drib_Att,drib_Succ%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
paxten aaronson,Eint Frankfurt,6,41,53,17,6,50.0,143,2,2,5,2,2022-2023,bundesliga
sargis adamyan,Köln,36,134,147,48,27,22.2,352,8,5,28,16,2022-2023,bundesliga
karim adeyemi,Dortmund,68,240,384,65,94,36.2,1489,32,21,43,26,2022-2023,bundesliga
amine adli,Leverkusen,74,394,327,67,58,44.8,1368,29,15,52,18,2022-2023,bundesliga
felix agu,Werder Bremen,7,13,14,2,3,0.0,24,2,0,1,2,2022-2023,bundesliga
naouirou ahamada,Stuttgart,139,387,160,22,44,45.5,1511,27,6,34,11,2022-2023,bundesliga
ludovic ajorque,Mainz 05,34,291,236,76,12,58.3,267,11,1,46,13,2022-2023,bundesliga
kevin akpoguma,Hoffenheim,613,609,93,16,22,31.8,1537,13,3,16,7,2022-2023,bundesliga
lucas alario,Eint Frankfurt,22,51,61,24,8,62.5,116,6,1,4,8,2022-2023,bundesliga
faride alidou,Eint Frankfurt,23,65,52,5,10,20.0,223,4,4,5,5,2022-2023,bundesliga
eder alvarez balanta,Schalke 04,38,60,17,2,4,75.0,130,1,0,1,2,2022-2023,bundesliga
lukas ambros,Wolfsburg,3,5,1,0,1,0.0,7,0,0,0,0,2022-2023,bundesliga
nadiem amiri,Leverkusen,119,339,174,15,38,47.4,1069,26,7,14,10,2022-2023,bundesliga
robert andrich,Leverkusen,540,1021,171,19,7,71.4,1660,18,1,20,4,2022-2023,bundesliga
angelino,Hoffenheim,506,771,533,32,28,46.4,1459,26,4,27,15,2022-2023,bundesliga
waldemar anton,Stuttgart,1128,1083,249,36,38,50.0,4557,34,4,24,17,2022-2023,bundesliga
christopher antwiadjei,Bochum,102,304,605,63,80,38.8,1485,49,20,89,32,2022-2023,bundesliga
charles aranguiz,Leverkusen,84,225,61,8,7,57.1,278,3,0,8,2,2022-2023,bundesliga
maximilian arnold,Wolfsburg,470,1108,364,11,17,47.1,2330,25,1,18,22,2022-2023,bundesliga
takuma asano,Bochum,65,213,289,80,35,37.1,919,19,16,62,31,2022-2023,bundesliga
fisnik asllani,Hoffenheim,8,36,53,16,3,33.3,103,3,3,7,2,2022-2023,bundesliga
mehmet aydin,Schalke 04,128,165,97,5,14,28.6,416,12,2,13,3,2022-2023,bundesliga
ayman azhil,Leverkusen,0,0,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
sardar azmoun,Leverkusen,43,175,135,48,11,54.5,343,8,8,23,10,2022-2023,bundesliga
sanoussy ba,RB Leipzig,0,0,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
mitchel bakker,Leverkusen,331,570,250,29,39,28.2,1353,17,8,23,15,2022-2023,bundesliga
ridle baku,Wolfsburg,521,880,498,45,61,37.7,2381,23,8,59,20,2022-2023,bundesliga
aymen barkok,Mainz 05,53,156,158,16,20,45.0,726,16,4,16,9,2022-2023,bundesliga
leandro barreiro martins,Mainz 05,221,432,231,58,19,26.3,640,16,2,39,13,2022-2023,bundesliga
gil bastiao dias,Stuttgart,46,111,97,13,19,52.6,531,5,4,17,11,2022-2023,bundesliga
maximilian bauer,Augsburg,590,362,36,13,5,40.0,1272,8,0,10,5,2022-2023,bundesliga
oliver baumann,Hoffenheim,1489,15,0,0,0,,2259,0,0,0,0,2022-2023,bundesliga
timo baumgartl,Union Berlin,160,187,26,9,0,,626,4,0,3,0,2022-2023,bundesliga
julian baumgartlinger,Augsburg,93,156,44,3,4,25.0,203,2,0,7,3,2022-2023,bundesliga
christoph baumgartner,Hoffenheim,204,655,505,118,116,46.6,2487,59,33,81,36,2022-2023,bundesliga
noah joel sarenren bazee,Augsburg,1,4,4,1,2,50.0,15,1,0,1,0,2022-2023,bundesliga
ihlas bebou,Hoffenheim,63,235,288,69,58,44.8,680,19,15,61,17,2022-2023,bundesliga
sheraldo becker,Union Berlin,57,263,602,117,59,44.1,2043,48,45,62,35,2022-2023,bundesliga
kevin behrens,Union Berlin,53,312,327,83,24,50.0,350,8,6,45,20,2022-2023,bundesliga
stefan bell,Mainz 05,849,653,59,18,7,85.7,1604,6,0,13,4,2022-2023,bundesliga
karim bellarabi,Leverkusen,9,25,35,4,5,20.0,90,3,2,1,2,2022-2023,bundesliga
jude bellingham,Dortmund,342,1171,606,105,151,57.0,3912,50,24,63,58,2022-2023,bundesliga
ramy bensebaini,Gladbach,685,870,345,54,32,37.5,2012,24,11,35,18,2022-2023,bundesliga
mergim berisha,Augsburg,55,184,322,81,31,16.1,480,15,11,42,27,2022-2023,bundesliga
ermin bicakcic,Hoffenheim,76,43,18,4,0,,91,2,0,2,0,2022-2023,bundesliga
tom bischof,Hoffenheim,35,77,74,8,9,11.1,178,11,2,10,6,2022-2023,bundesliga
leonardo bittencourt,Werder Bremen,176,568,303,38,64,40.6,1649,48,7,42,10,2022-2023,bundesliga
