Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,drib_Att,drib_Succ%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
abner,Betis,128,189,113,11,10,30.0,469,7,4,10,4,2022-2023,laliga
alvaro aceves,Valladolid,8,0,0,0,0,,34,0,0,0,0,2022-2023,laliga
marcos acuna,Sevilla,406,670,467,26,54,48.1,2178,43,5,29,20,2022-2023,laliga
julen agirrezabala,Athletic Club,249,4,0,0,0,,551,0,0,0,0,2022-2023,laliga
alvaro aguado,Valladolid,255,742,315,18,31,41.9,2508,43,3,24,9,2022-2023,laliga
joseph aidoo,Celta Vigo,1114,938,46,15,13,61.5,3226,6,0,12,9,2022-2023,laliga
sergio akieme,Almería,434,563,307,35,51,52.9,2232,34,11,29,25,2022-2023,laliga
babatunde akinsola,Valladolid,1,2,1,0,0,,14,1,0,2,1,2022-2023,laliga
paul akouokou,Betis,102,117,16,1,5,60.0,122,2,0,5,0,2022-2023,laliga
david alaba,Real Madrid,531,530,240,22,4,75.0,2070,24,2,7,5,2022-2023,laliga
angel alarcon,Barcelona,2,2,8,1,1,0.0,19,0,0,0,1,2022-2023,laliga
tomas alarcon,Cádiz,20,68,25,1,0,,81,0,0,3,4,2022-2023,laliga
jordi alba,Barcelona,300,764,506,39,8,50.0,2082,27,6,7,7,2022-2023,laliga
raul albiol,Villarreal,856,796,44,9,7,57.1,4616,10,0,11,5,2022-2023,laliga
ruben alcaraz,Cádiz,309,768,224,22,24,50.0,1587,27,3,34,31,2022-2023,laliga
omar alderete,Getafe,458,591,81,25,22,77.3,1937,15,2,15,8,2022-2023,laliga
ivan alejo,Cádiz,131,185,283,22,47,25.5,1275,32,2,38,23,2022-2023,laliga
carles alena,Getafe,149,579,312,28,43,55.8,1235,23,2,47,24,2022-2023,laliga
alejandro alfaro,Elche,0,1,1,0,1,0.0,0,1,0,0,0,2022-2023,laliga
angel algobia,Getafe,147,390,92,9,6,66.7,716,4,3,12,7,2022-2023,laliga
mohamed ali cho,Real Sociedad,33,106,151,29,39,41.0,704,6,14,29,9,2022-2023,laliga
domingos andre ribeiro almeida,Valencia,244,820,652,24,90,51.1,3196,71,3,42,49,2022-2023,laliga
marcos alonso,Barcelona,402,624,94,11,2,100.0,2674,11,0,8,1,2022-2023,laliga
carlos alvarez,Sevilla,0,3,3,0,0,,1,0,0,1,0,2022-2023,laliga
gaston alvarez,Getafe,218,376,144,8,19,42.1,437,8,0,13,3,2022-2023,laliga
yeray alvarez,Athletic Club,698,896,74,16,11,54.5,4073,17,1,8,1,2022-2023,laliga
selim amallah,Valladolid,21,77,44,11,25,44.0,254,7,3,6,10,2022-2023,laliga
amath,Mallorca,70,171,229,40,34,41.2,840,23,12,41,22,2022-2023,laliga
jordan amavi,Getafe,33,65,23,1,1,0.0,121,5,1,2,0,2022-2023,laliga
marcos andre,Valencia,8,50,69,23,17,52.9,124,3,0,21,5,2022-2023,laliga
fabrizio angileri,Getafe,88,157,80,3,11,36.4,220,7,0,4,4,2022-2023,laliga
josep antoni gaya,Mallorca,15,3,1,0,0,,2,0,0,1,1,2022-2023,laliga
jose antonio,Cádiz,2,4,9,0,4,25.0,36,2,0,2,1,2022-2023,laliga
anuar,Valladolid,20,30,20,8,4,50.0,127,2,3,7,4,2022-2023,laliga
mauro arambarri,Getafe,118,304,102,3,4,100.0,503,10,0,13,4,2022-2023,laliga
ronald araujo,Barcelona,487,882,77,29,14,71.4,3727,13,1,9,6,2022-2023,laliga
adu ares,Athletic Club,5,18,46,3,9,55.6,246,4,1,1,3,2022-2023,laliga
sergio arribas,Real Madrid,1,6,6,1,0,,17,0,0,0,0,2022-2023,laliga
roberto arroyo,Valladolid,1,3,3,1,1,100.0,25,0,1,1,2,2022-2023,laliga
ricard artero,Girona,14,36,20,6,4,75.0,106,4,0,4,3,2022-2023,laliga
santiago arzamendia,Cádiz,90,135,70,5,6,33.3,349,9,2,8,4,2022-2023,laliga
sergio asenjo,Valladolid,384,0,0,0,0,,556,0,0,2,0,2022-2023,laliga
marco asensio,Real Madrid,66,375,517,71,33,69.7,1856,39,11,19,13,2022-2023,laliga
iago aspas,Celta Vigo,111,643,748,145,56,39.3,2370,58,30,52,46,2022-2023,laliga
pierreemerick aubameyang,Barcelona,1,2,1,1,0,,1,0,0,0,0,2022-2023,laliga
ludwig augustinsson,Mallorca,28,32,20,2,0,,62,1,0,0,0,2022-2023,laliga
ezequiel avila,Osasuna,83,275,383,61,34,50.0,710,18,6,39,18,2022-2023,laliga
iddrisu baba,Mallorca,253,476,60,8,19,57.9,498,5,0,28,15,2022-2023,laliga
sran babic,Almería,976,633,43,16,8,50.0,2792,13,1,10,3,2022-2023,laliga
loic bade,Sevilla,572,431,34,10,9,66.7,1276,5,0,6,2,2022-2023,laliga
edgar badia,Elche,1188,2,0,0,0,,1937,0,0,2,0,2022-2023,laliga
alex baena,Villarreal,152,512,454,66,62,43.5,1847,42,14,41,34,2022-2023,laliga
alejandro balde,Barcelona,419,874,672,78,97,51.5,4093,69,34,41,24,2022-2023,laliga
mikel balenziaga,Athletic Club,14,39,25,0,1,100.0,50,2,0,0,1,2022-2023,laliga
ivan balliu,Rayo Vallecano,503,925,695,26,31,35.5,2879,51,4,22,9,2022-2023,laliga
leo baptistao,Almería,158,391,262,61,36,38.9,1484,31,9,56,17,2022-2023,laliga
keidi bare,Espanyol,67,207,62,5,6,33.3,439,13,1,6,3,2022-2023,laliga
