Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,drib_Att,drib_Succ%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
max aarons,Bournemouth,19,40,15,0,2,0.0,68,0,0,1,0,2024-2025,premier-league
joshua acheampong,Chelsea,48,81,8,3,2,50.0,409,2,0,2,0,2024-2025,premier-league
tyler adams,Bournemouth,349,779,224,18,18,22.2,1447,22,1,28,12,2024-2025,premier-league
tosin adarabioyo,Chelsea,630,674,27,14,6,66.7,1809,2,0,4,0,2024-2025,premier-league
simon adingra,Brighton,66,174,315,76,50,42.0,1300,21,27,39,12,2024-2025,premier-league
emmanuel agbadou,Wolves,649,504,28,7,13,76.9,1752,4,0,6,4,2024-2025,premier-league
asher agbinone,Crystal Palace,0,2,6,0,2,0.0,23,0,0,0,1,2024-2025,premier-league
ola aina,Nott'ham Forest,613,717,409,22,72,45.8,2787,46,10,44,22,2024-2025,premier-league
rayan aitnouri,Wolves,577,916,685,96,137,46.0,3205,62,28,52,47,2024-2025,premier-league
kristoffer ajer,Brentford,265,368,168,38,16,43.8,1180,11,2,15,12,2024-2025,premier-league
manuel akanji,Manchester City,559,920,405,19,2,100.0,4234,64,0,5,5,2024-2025,premier-league
nathan ake,Manchester City,205,331,61,5,1,100.0,1501,12,1,4,3,2024-2025,premier-league
carlos alcaraz,Southampton,1,8,9,2,2,0.0,98,1,0,0,0,2024-2025,premier-league
carlos alcaraz,Everton,63,168,156,19,18,50.0,707,21,2,14,13,2024-2025,premier-league
trent alexanderarnold,Liverpool,593,1014,660,44,37,45.9,2860,36,9,19,15,2024-2025,premier-league
alisson,Liverpool,991,20,0,0,1,100.0,1586,0,0,1,0,2024-2025,premier-league
miguel almiron,Newcastle Utd,10,35,36,9,2,50.0,93,3,2,0,2,2024-2025,premier-league
olabade aluko,Leicester City,0,6,1,0,1,0.0,0,0,0,0,1,2024-2025,premier-league
edson alvarez,West Ham,361,693,194,12,33,42.4,1714,22,2,27,15,2024-2025,premier-league
will alves,Leicester City,0,0,1,0,0,,5,0,0,0,0,2024-2025,premier-league
harry amass,Manchester Utd,82,88,84,5,8,37.5,376,6,2,18,5,2024-2025,premier-league
samuel amoameyaw,Southampton,5,5,7,1,4,0.0,68,0,1,0,2,2024-2025,premier-league
mathis amougou,Chelsea,2,4,3,0,0,,5,1,0,0,1,2024-2025,premier-league
joachim andersen,Crystal Palace,38,50,5,0,0,,103,1,0,0,1,2024-2025,premier-league
joachim andersen,Fulham,1233,1013,102,22,6,66.7,3435,14,1,6,3,2024-2025,premier-league
elliot anderson,Nott'ham Forest,424,891,547,72,75,48.0,2366,32,21,60,49,2024-2025,premier-league
andre,Wolves,439,1046,155,3,32,50.0,1688,17,0,30,21,2024-2025,premier-league
michail antonio,West Ham,26,124,151,36,27,33.3,695,13,9,35,19,2024-2025,premier-league
antony,Manchester Utd,22,26,54,8,11,36.4,182,6,1,5,1,2024-2025,premier-league
julian araujo,Bournemouth,90,136,55,2,1,0.0,258,3,0,5,2,2024-2025,premier-league
cameron archer,Southampton,69,179,154,52,37,40.5,564,10,14,40,26,2024-2025,premier-league
alphonse areola,West Ham,1038,12,0,0,0,,1348,0,0,0,0,2024-2025,premier-league
joe aribo,Southampton,313,670,299,44,49,42.9,2021,29,12,27,19,2024-2025,premier-league
adam armstrong,Southampton,44,143,192,49,14,42.9,599,13,6,11,18,2024-2025,premier-league
harrison armstrong,Everton,3,12,7,2,1,100.0,43,2,0,2,3,2024-2025,premier-league
kepa arrizabalaga,Bournemouth,1057,29,1,1,1,100.0,1797,0,0,0,0,2024-2025,premier-league
marco asensio,Aston Villa,38,158,200,30,19,63.2,682,21,5,9,8,2024-2025,premier-league
brandon austin,Tottenham,36,0,0,0,0,,46,0,0,0,0,2024-2025,premier-league
taiwo awoniyi,Nott'ham Forest,16,78,74,21,9,44.4,183,5,2,19,19,2024-2025,premier-league
yasin ayari,Brighton,275,624,354,45,45,40.0,1466,25,6,38,22,2024-2025,premier-league
jordan ayew,Crystal Palace,0,7,5,1,0,,12,0,0,0,1,2024-2025,premier-league
jordan ayew,Leicester City,103,407,312,55,64,40.6,1540,37,11,63,40,2024-2025,premier-league
benoit badiashile,Chelsea,138,186,13,0,1,0.0,340,5,0,1,0,2024-2025,premier-league
leon bailey,Aston Villa,77,155,323,70,57,38.6,1371,23,34,35,25,2024-2025,premier-league
carlos baleba,Brighton,410,994,339,12,57,57.9,2810,45,3,39,42,2024-2025,premier-league
ross barkley,Aston Villa,75,275,121,19,16,75.0,733,15,2,7,8,2024-2025,premier-league
harvey barnes,Newcastle Utd,97,257,462,128,64,37.5,2467,48,47,33,23,2024-2025,premier-league
calvin bassey,Fulham,1205,1151,132,19,33,45.5,4940,20,5,34,8,2024-2025,premier-league
altay bayndr,Manchester Utd,166,2,0,0,0,,196,0,0,0,0,2024-2025,premier-league
jan bednarek,Southampton,1091,924,41,15,3,100.0,1742,5,1,9,3,2024-2025,premier-league
armel bella kotchap,Southampton,147,115,3,1,1,0.0,326,0,0,1,0,2024-2025,premier-league
jeanricner bellegarde,Wolves,148,394,318,48,61,23.0,1573,38,11,42,29,2024-2025,premier-league
rodrigo bentancur,Tottenham,323,774,216,24,19,47.4,1502,24,5,19,20,2024-2025,premier-league
daniel bentley,Wolves,68,1,0,0,0,,134,0,0,0,0,2024-2025,premier-league
sander berge,Fulham,374,799,217,14,20,55.0,2065,25,2,15,16,2024-2025,premier-league
lucas bergvall,Tottenham,188,478,232,22,45,46.7,1634,21,4,20,19,2024-2025,premier-league
victor bernth kristiansen,Leicester City,577,722,329,17,18,44.4,1866,26,5,15,13,2024-2025,premier-league
beto,Everton,51,233,242,86,38,50.0,478,12,9,71,37,2024-2025,premier-league
philip billing,Bournemouth,20,72,57,12,3,33.3,163,1,1,7,4,2024-2025,premier-league
yves bissouma,Tottenham,304,584,159,5,22,31.8,1611,17,0,25,15,2024-2025,premier-league
oscar bobb,Manchester City,2,6,7,0,2,100.0,32,0,0,0,0,2024-2025,premier-league
lamare bogarde,Aston Villa,95,191,40,4,4,50.0,599,6,1,6,8,2024-2025,premier-league
willy boly,Nott'ham Forest,63,32,2,1,0,,45,0,0,1,0,2024-2025,premier-league
sven botman,Newcastle Utd,132,160,16,11,3,33.3,337,1,0,5,1,2024-2025,premier-league
jarrod bowen,West Ham,132,466,678,171,130,33.8,2501,46,61,70,77,2024-2025,premier-league
conor bradley,Liverpool,197,299,178,43,25,40.0,1356,22,9,13,5,2024-2025,premier-league
jarrad branthwaite,Everton,783,676,69,28,6,50.0,2515,14,2,8,4,2024-2025,premier-league
james bree,Southampton,221,308,170,11,8,50.0,808,12,1,9,5,2024-2025,premier-league
ben brereton,Southampton,19,76,112,20,4,25.0,394,13,4,9,4,2024-2025,premier-league
nathan broadhead,Ipswich Town,41,161,126,21,34,50.0,584,16,5,19,15,2024-2025,premier-league
armando broja,Everton,14,47,72,18,16,50.0,281,8,3,16,13,2024-2025,premier-league
david brooks,Bournemouth,59,207,289,39,34,32.4,1115,25,10,30,14,2024-2025,premier-league
emi buendia,Aston Villa,17,35,31,3,2,0.0,119,5,0,4,3,2024-2025,premier-league
santiago bueno,Wolves,522,485,21,6,4,0.0,1430,2,0,2,2,2024-2025,premier-league
facundo buonanotte,Leicester City,128,452,307,39,83,33.7,1347,26,9,58,39,2024-2025,premier-league
cameron burgess,Ipswich Town,609,327,48,24,0,,1002,4,0,3,0,2024-2025,premier-league
dan burn,Newcastle Utd,1305,959,130,52,4,75.0,2798,8,1,24,3,2024-2025,premier-league
wes burns,Ipswich Town,69,129,160,18,24,37.5,696,13,10,17,13,2024-2025,premier-league
nathan butleroyedeji,Arsenal,0,0,1,1,0,,0,0,0,0,0,2024-2025,premier-league
moises caicedo,Chelsea,562,1570,476,15,64,45.3,3384,38,2,37,25,2024-2025,premier-league
