Player,Squad,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR,Season,Competition
stephy mavididi,Montpellier,1998,26,14,1288,4,2,1,1,34,22,91,2022-2023,ligue-1
christian mawissa,Toulouse,2005,2,1,98,0,0,1,0,1,6,1,2022-2023,ligue-1
fernand mayembo,Ajaccio,1996,11,8,707,0,0,1,0,2,11,1,2022-2023,ligue-1
derek mazousacko,Troyes,2004,1,0,16,0,0,0,0,1,1,1,2022-2023,ligue-1
kylian mbappe,Paris S-G,1998,34,32,2818,29,5,6,0,165,128,468,2022-2023,ligue-1
chancel mbemba,Marseille,1994,36,32,2849,5,0,2,0,47,183,49,2022-2023,ligue-1
jason mbock,Angers,1999,2,0,25,0,0,0,0,0,1,2,2022-2023,ligue-1
nathanael mbuku,Reims,2002,6,0,66,0,0,0,0,4,3,6,2022-2023,ligue-1
facundo medina,Lens,1999,32,32,2779,2,4,7,0,81,238,30,2022-2023,ligue-1
bamo meite,Lorient,2001,17,16,1503,1,0,5,0,10,32,1,2022-2023,ligue-1
farid el melali,Angers,1997,17,9,806,0,0,1,0,42,24,54,2022-2023,ligue-1
birger meling,Rennes,1994,27,10,1209,0,1,3,1,37,91,74,2022-2023,ligue-1
nuno mendes,Paris S-G,2002,23,18,1548,1,6,2,0,51,77,195,2022-2023,ligue-1
pedro mendes,Montpellier,1990,1,0,13,0,0,0,0,0,0,0,2022-2023,ligue-1
thiago mendes,Lyon,1992,31,22,2063,1,1,3,0,10,170,20,2022-2023,ligue-1
antoine mendy,Nice,2004,11,7,518,0,1,0,0,2,21,37,2022-2023,ligue-1
arial mendy,Clermont Foot,1994,5,1,223,0,0,0,0,6,7,22,2022-2023,ligue-1
batista mendy,Angers,2000,35,35,2859,0,0,8,1,27,195,49,2022-2023,ligue-1
gideon mensah,Auxerre,1998,26,26,2262,0,0,5,0,56,116,110,2022-2023,ligue-1
quentin merlin,Nantes,2002,24,22,1791,1,2,2,0,43,94,96,2022-2023,ligue-1
lionel messi,Paris S-G,1987,32,32,2837,16,16,0,0,114,300,220,2022-2023,ligue-1
amine messoussa,Lille,2004,1,0,1,0,0,0,0,0,0,1,2022-2023,ligue-1
arkadiusz milik,Marseille,1994,2,2,129,0,0,1,0,1,1,9,2022-2023,ligue-1
takumi minamino,Monaco,1995,18,10,724,1,3,2,0,26,28,66,2022-2023,ligue-1
terem moffi,Nice,1999,16,15,1328,6,3,2,0,25,20,77,2022-2023,ligue-1
terem moffi,Lorient,1999,18,17,1386,12,0,1,0,29,20,61,2022-2023,ligue-1
mostafa mohamed,Nantes,1997,36,18,1939,8,2,1,0,13,22,109,2022-2023,ligue-1
florent mollet,Nantes,1991,19,11,1089,1,2,3,0,25,73,67,2022-2023,ligue-1
marlos moreno,Troyes,1996,2,0,13,0,0,0,0,0,1,0,2022-2023,ligue-1
lebo mothiba,Strasbourg,1996,19,3,435,3,0,0,0,7,7,30,2022-2023,ligue-1
steve mounie,Brest,1994,23,20,1655,6,0,2,0,23,32,89,2022-2023,ligue-1
bevic moussitioko,Ajaccio,1995,17,7,698,1,0,1,0,10,10,45,2022-2023,ligue-1
samuel moutoussamy,Nantes,1996,35,27,2399,0,2,8,0,41,156,45,2022-2023,ligue-1
francois mughe,Marseille,2004,1,0,11,0,0,0,0,0,0,0,2022-2023,ligue-1
nordi mukiele,Paris S-G,1997,19,12,1137,0,3,0,0,19,26,57,2022-2023,ligue-1
marshall munetsi,Reims,1996,34,31,2700,7,3,6,0,33,95,87,2022-2023,ligue-1
yvon mvogo,Lorient,1994,21,21,1812,0,0,0,0,0,0,0,2022-2023,ligue-1
