Player,Squad,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR,Season,Competition
trevoh chalobah,Chelsea,1999.0,13,11,910,0,1,2,0,4,37,2,2024-2025,premier-league
conor chaplin,Ipswich Town,1997.0,22,10,857,1,1,2,0,13,29,23,2024-2025,premier-league
youssef chermiti,Everton,2004.0,4,0,45,0,0,1,0,0,1,6,2024-2025,premier-league
federico chiesa,Liverpool,1997.0,6,1,108,0,0,0,0,3,3,7,2024-2025,premier-league
ben chilwell,Crystal Palace,1996.0,8,1,259,1,0,1,0,5,8,15,2024-2025,premier-league
chiquinho,Wolves,2000.0,1,0,7,0,0,0,0,0,0,0,2024-2025,premier-league
hamza choudhury,Leicester City,1997.0,4,1,131,0,0,0,0,4,3,6,2024-2025,premier-league
ryan christie,Bournemouth,1995.0,29,27,2117,2,3,9,0,34,137,44,2024-2025,premier-league
harry clarke,Ipswich Town,2001.0,7,4,379,0,0,3,1,5,14,2,2024-2025,premier-league
jack clarke,Ipswich Town,2000.0,32,12,1181,0,4,2,0,39,44,57,2024-2025,premier-league
nathaniel clyne,Crystal Palace,1991.0,13,5,483,0,0,1,0,6,7,8,2024-2025,premier-league
conor coady,Leicester City,1993.0,22,19,1714,1,0,3,0,3,32,0,2024-2025,premier-league
seamus coleman,Everton,1988.0,5,3,215,0,0,1,0,1,11,7,2024-2025,premier-league
nathan collins,Brentford,2001.0,38,38,3420,2,3,5,0,32,127,18,2024-2025,premier-league
toby collyer,Manchester Utd,2004.0,6,0,179,0,0,0,0,0,5,2,2024-2025,premier-league
levi colwill,Chelsea,2003.0,35,35,3149,2,1,9,0,14,131,12,2024-2025,premier-league
lewis cook,Bournemouth,1997.0,36,32,2978,1,3,8,1,33,158,52,2024-2025,premier-league
maxwel cornet,Southampton,1996.0,2,1,72,0,0,1,0,1,0,5,2024-2025,premier-league
vladimir coufal,West Ham,1992.0,22,11,1067,0,0,5,0,26,39,33,2024-2025,premier-league
woyo coulibaly,Leicester City,1999.0,4,1,109,0,0,1,0,4,3,2,2024-2025,premier-league
aaron cresswell,West Ham,1989.0,18,10,824,0,0,3,0,6,36,4,2024-2025,premier-league
marc cucurella,Chelsea,1998.0,36,33,2988,5,1,10,1,35,118,117,2024-2025,premier-league
jorge cuenca,Fulham,1999.0,8,4,351,0,0,0,0,0,10,0,2024-2025,premier-league
matheus cunha,Wolves,1999.0,33,29,2597,15,6,4,0,112,144,161,2024-2025,premier-league
patson daka,Leicester City,1998.0,23,6,736,1,0,0,0,11,8,36,2024-2025,premier-league
diogo dalot,Manchester Utd,1999.0,33,31,2814,0,3,5,0,62,103,168,2024-2025,premier-league
mikkel damsgaard,Brentford,2000.0,38,34,2911,2,10,2,0,73,234,137,2024-2025,premier-league
danilo,Nott'ham Forest,2001.0,8,5,275,0,0,0,0,2,11,1,2024-2025,premier-league
jayden danns,Liverpool,2006.0,1,0,11,0,0,0,0,0,0,0,2024-2025,premier-league
kevin danso,Tottenham,1998.0,10,9,842,0,0,0,0,11,19,1,2024-2025,premier-league
ben davies,Tottenham,1993.0,17,14,1331,0,0,5,0,14,52,6,2024-2025,premier-league
leif davis,Ipswich Town,2000.0,33,32,2743,1,2,5,1,52,59,137,2024-2025,premier-league
craig dawson,Wolves,1990.0,15,10,971,0,0,2,0,6,20,5,2024-2025,premier-league
kevin de bruyne,Manchester City,1991.0,28,19,1702,4,7,2,0,51,157,150,2024-2025,premier-league
bobby de cordovareid,Leicester City,1993.0,23,9,744,1,2,2,0,14,15,48,2024-2025,premier-league
liam delap,Ipswich Town,2003.0,37,32,2593,12,2,12,0,61,30,110,2024-2025,premier-league
sepp van den berg,Brentford,2001.0,31,29,2586,0,0,3,0,12,79,28,2024-2025,premier-league
justin devenny,Crystal Palace,2003.0,23,4,507,1,1,1,0,5,21,13,2024-2025,premier-league
kiernan dewsburyhall,Chelsea,1998.0,13,2,264,0,1,0,0,5,14,11,2024-2025,premier-league
amad diallo,Manchester Utd,2002.0,26,20,1901,8,6,5,0,109,60,200,2024-2025,premier-league
ruben dias,Manchester City,1997.0,27,25,2271,0,0,4,0,43,160,8,2024-2025,premier-league
luis diaz,Liverpool,1997.0,36,28,2399,13,5,2,0,108,110,293,2024-2025,premier-league
tyler dibling,Southampton,2006.0,33,20,1874,2,0,6,0,69,64,96,2024-2025,premier-league
lucas digne,Aston Villa,1993.0,32,28,2351,0,4,4,0,23,57,142,2024-2025,premier-league
issa diop,Fulham,1997.0,21,15,1339,0,0,2,0,6,25,3,2024-2025,premier-league
axel disasi,Aston Villa,1998.0,7,5,490,0,0,2,0,10,16,5,2024-2025,premier-league
axel disasi,Chelsea,1998.0,6,4,364,1,0,1,0,6,16,2,2024-2025,premier-league
roman dixon,Everton,2004.0,1,1,90,0,0,0,0,0,0,1,2024-2025,premier-league
nasser djiga,Wolves,2002.0,5,1,66,0,0,0,0,0,3,2,2024-2025,premier-league
matt doherty,Wolves,1992.0,30,25,2109,2,1,6,0,29,79,41,2024-2025,premier-league
jeremy doku,Manchester City,2002.0,29,16,1516,3,6,1,0,213,69,286,2024-2025,premier-league
nicolas dominguez,Nott'ham Forest,1998.0,34,23,1963,0,1,9,0,16,83,33,2024-2025,premier-league
patrick dorgu,Manchester Utd,2004.0,12,10,842,0,0,3,1,41,34,83,2024-2025,premier-league
alfie dorrington,Tottenham,2005.0,1,0,14,0,0,0,0,0,0,0,2024-2025,premier-league
abdoulaye doucoure,Everton,1993.0,33,31,2564,3,2,5,1,42,82,96,2024-2025,premier-league
cheick doucoure,Crystal Palace,2000.0,13,4,452,0,0,1,0,2,19,7,2024-2025,premier-league
flynn downes,Southampton,1999.0,27,25,2151,1,0,12,0,29,66,29,2024-2025,premier-league
tommy doyle,Wolves,2001.0,24,3,488,0,1,1,0,6,40,4,2024-2025,premier-league
radu dragusin,Tottenham,2002.0,16,14,1252,0,0,1,0,7,37,2,2024-2025,premier-league
martin dubravka,Newcastle Utd,1989.0,10,10,900,0,0,0,0,0,0,0,2024-2025,premier-league
lewis dunk,Brighton,1991.0,25,23,2083,0,0,5,0,20,142,3,2024-2025,premier-league
jader duran,Aston Villa,2003.0,20,4,638,7,0,3,1,7,13,44,2024-2025,premier-league
claudio echeverri,Manchester City,2006.0,1,0,6,0,0,0,0,0,1,1,2024-2025,premier-league
ederson,Manchester City,1993.0,26,26,2320,0,4,4,0,0,2,0,2024-2025,premier-league
george edmundson,Ipswich Town,1997.0,1,0,2,0,0,0,0,0,0,0,2024-2025,premier-league
odsonne edouard,Crystal Palace,1998.0,2,1,115,0,0,0,0,3,4,7,2024-2025,premier-league
odsonne edouard,Leicester City,1998.0,4,0,29,0,0,0,0,0,1,2,2024-2025,premier-league
samuel edozie,Southampton,2003.0,2,0,65,0,0,1,0,6,4,23,2024-2025,premier-league
