Player,Squad,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR,Season,Competition
jeffinho,Lyon,1999,10,3,308,1,1,0,0,15,14,36,2023-2024,ligue1
antoine joujou,Le Havre,2003,23,6,779,0,2,1,0,35,22,82,2023-2024,ligue1
christopher jullien,Montpellier,1993,20,13,1233,1,0,5,0,1,26,4,2023-2024,ligue1
eli junior kroupi,Lorient,2006,30,11,1084,5,3,1,0,10,12,63,2023-2024,ligue1
abdoul kader bamba,Nantes,1994,23,1,611,2,1,2,0,41,31,73,2023-2024,ligue1
yaya kader fofana,Reims,2004,4,0,32,0,0,0,0,1,3,1,2023-2024,ligue1
tino kadewere,Lyon,1996,11,2,296,0,0,0,0,4,12,28,2023-2024,ligue1
tino kadewere,Nantes,1996,14,8,781,1,0,1,0,15,26,53,2023-2024,ligue1
arnaud kalimuendo,Rennes,2002,30,25,2139,10,1,6,0,27,37,181,2023-2024,ligue1
gedeon kalulu,Lorient,1997,19,11,970,0,1,0,0,17,35,60,2023-2024,ligue1
warren kamanzi,Toulouse,2000,24,12,1187,0,3,1,0,35,56,55,2023-2024,ligue1
lee kangin,Paris S-G,2001,23,18,1464,3,4,2,0,50,103,150,2023-2024,ligue1
yann karamoh,Montpellier,1998,12,1,284,1,0,1,0,7,3,28,2023-2024,ligue1
ayman kari,Lorient,2004,14,12,893,1,1,1,0,22,37,53,2023-2024,ligue1
panos katseris,Lorient,2001,15,13,1041,1,1,4,0,24,21,86,2023-2024,ligue1
kevin keben biakolo,Toulouse,2004,8,7,521,0,0,1,0,5,13,10,2023-2024,ligue1
yassine kechta,Le Havre,2002,32,21,1849,2,1,4,0,41,122,67,2023-2024,ligue1
thilo kehrer,Monaco,1996,15,15,1323,1,1,4,1,13,90,16,2023-2024,ligue1
habib keita,Clermont Foot,2002,27,12,1278,1,0,4,0,9,53,23,2023-2024,ligue1
reda khadra,Reims,2001,29,14,1368,1,3,1,0,35,40,110,2023-2024,ligue1
wahbi khazri,Montpellier,1991,25,13,1131,1,0,6,0,27,33,76,2023-2024,ligue1
abdukodir khusanov,Lens,2004,11,9,809,0,0,5,0,5,23,1,2023-2024,ligue1
philipp kohn,Monaco,1998,22,22,1980,0,0,0,0,0,0,0,2023-2024,ligue1
randal kolo muani,Paris S-G,1998,26,13,1268,6,5,1,0,36,42,125,2023-2024,ligue1
cheick konate,Clermont Foot,2004,19,12,1068,1,1,4,0,22,37,86,2023-2024,ligue1
geoffrey kondogbia,Marseille,1993,26,15,1463,0,0,3,0,7,93,25,2023-2024,ligue1
abdoul kone,Reims,2005,3,3,193,0,0,1,0,3,5,1,2023-2024,ligue1
amadou kone,Reims,2005,16,4,475,0,0,4,1,2,28,2,2023-2024,ligue1
ibrahima kone,Lorient,1999,1,0,32,0,0,0,0,0,0,1,2023-2024,ligue1
nguessan kouadio,Metz,2003,6,1,110,0,0,0,0,1,5,2,2023-2024,ligue1
koffi kouao,Metz,1998,13,10,860,0,2,2,0,10,29,29,2023-2024,ligue1
therence koudou,Reims,2004,9,3,314,0,0,3,0,8,14,21,2023-2024,ligue1
boubakar kouyate,Montpellier,1997,23,22,1928,0,2,5,1,4,58,3,2023-2024,ligue1
sael kumbedi,Lyon,2005,17,8,924,0,1,3,0,19,42,75,2023-2024,ligue1
layvin kurzawa,Paris S-G,1992,1,0,9,0,0,0,0,0,0,1,2023-2024,ligue1
daler kuzyaev,Le Havre,1993,30,24,2090,2,2,1,0,23,119,97,2023-2024,ligue1
grejohn kyei,Clermont Foot,1995,26,10,1026,2,1,1,0,12,30,85,2023-2024,ligue1
gaetan laborde,Nice,1994,34,22,1906,5,2,2,0,33,46,161,2023-2024,ligue1
alexandre lacazette,Lyon,1991,29,27,2293,19,2,3,1,22,61,144,2023-2024,ligue1
alban lafont,Nantes,1999,28,28,2496,0,0,2,0,0,3,0,2023-2024,ligue1
kenny lala,Brest,1991,33,33,2970,2,3,7,0,45,200,98,2023-2024,ligue1
mathis lambourde,Rennes,2006,1,0,10,0,0,0,0,1,0,2,2023-2024,ligue1
mohamed lamine bayo,Le Havre,1998,22,16,1389,5,1,4,0,18,20,115,2023-2024,ligue1
didier lamkel ze,Metz,1996,9,7,550,1,0,1,0,15,19,23,2023-2024,ligue1
julien laporte,Lorient,1993,23,20,1818,0,0,4,0,5,56,3,2023-2024,ligue1
theo le bris,Lorient,2002,26,15,1516,0,2,2,0,56,58,117,2023-2024,ligue1
julien le cardinal,Brest,1997,12,5,473,0,0,3,0,3,24,4,2023-2024,ligue1
julien le cardinal,Lens,1997,2,0,58,0,0,0,0,1,4,2,2023-2024,ligue1
jeremy le douaron,Brest,1998,33,19,1618,4,0,3,0,48,21,130,2023-2024,ligue1
enzo le fee,Rennes,2000,25,19,1527,0,1,3,0,45,124,58,2023-2024,ligue1
vincent le goff,Lorient,1989,9,8,541,1,1,1,0,9,22,51,2023-2024,ligue1
adrien lebeau,Brest,1999,7,0,54,0,1,0,0,1,0,5,2023-2024,ligue1
jeanlouis leca,Lens,1985,1,1,90,0,0,0,0,0,0,0,2023-2024,ligue1
benjamin lecomte,Montpellier,1991,30,30,2700,0,1,1,0,0,0,0,2023-2024,ligue1
pierre leesmelou,Brest,1993,29,29,2517,4,0,12,1,51,193,43,2023-2024,ligue1
johann lepenant,Lyon,2002,6,2,253,0,0,1,0,5,24,6,2023-2024,ligue1
leo leroy,Montpellier,2000,21,3,499,0,1,4,0,8,21,9,2023-2024,ligue1
gautier lloris,Le Havre,1995,31,31,2778,2,0,2,0,13,105,5,2023-2024,ligue1
abou lo,Metz,2000,6,2,197,0,0,0,1,0,4,2,2023-2024,ligue1
bradley locko,Brest,2002,33,33,2959,0,3,5,0,83,129,162,2023-2024,ligue1
renan lodi,Marseille,1998,14,14,1235,0,0,6,0,25,51,77,2023-2024,ligue1
elysee logbo,Le Havre,2004,10,2,248,0,0,0,0,1,2,7,2023-2024,ligue1
anthony lopes,Lyon,1990,31,31,2790,0,0,0,0,1,1,0,2023-2024,ligue1
pau lopez,Marseille,1994,33,33,2939,0,0,1,0,0,0,0,2023-2024,ligue1
jordan lotomba,Nice,1998,28,21,1804,1,0,4,0,36,52,40,2023-2024,ligue1
tom louchet,Nice,2003,13,3,409,1,1,1,0,6,18,40,2023-2024,ligue1
imran louza,Lorient,1999,14,10,863,1,3,1,0,19,83,36,2023-2024,ligue1
dejan lovren,Lyon,1989,10,8,718,0,0,2,1,5,20,1,2023-2024,ligue1
joshua mbahia,Clermont Foot,2005,1,0,14,0,0,1,0,0,1,2,2023-2024,ligue1
othmane maamma,Montpellier,2005,2,1,88,1,0,0,0,7,2,3,2023-2024,ligue1
deiver machado,Lens,1993,19,13,1124,4,0,4,0,22,26,74,2023-2024,ligue1
soungoutou magassa,Monaco,2003,21,15,1346,0,0,7,0,7,92,13,2023-2024,ligue1
hugo magnetti,Brest,1998,33,30,2340,2,0,6,0,36,101,61,2023-2024,ligue1
yohann magnin,Clermont Foot,1997,31,17,1687,1,0,2,0,14,71,47,2023-2024,ligue1
frank magri,Toulouse,1999,29,14,1438,5,2,5,0,31,34,121,2023-2024,ligue1
adel mahamoud,Nantes,2003,1,0,10,0,0,0,0,0,2,1,2023-2024,ligue1
habib maiga,Metz,1996,7,1,147,0,0,0,0,1,3,1,2023-2024,ligue1
ainsley maitlandniles,Lyon,1997,23,16,1432,1,4,1,1,26,76,82,2023-2024,ligue1
radosaw majecki,Monaco,1999,12,12,1080,0,0,1,0,0,1,0,2023-2024,ligue1
lovro majer,Rennes,1998,1,0,16,0,0,0,0,1,0,1,2023-2024,ligue1
jeanvictor makengo,Lorient,1998,11,5,479,0,0,0,0,11,28,17,2023-2024,ligue1
aaron malouda,Lille,2005,1,0,1,0,0,0,0,0,0,0,2023-2024,ligue1
hianga mananga mbock,Brest,1999,2,0,9,0,0,0,0,1,2,0,2023-2024,ligue1
steve mandanda,Rennes,1985,34,34,3060,0,0,1,0,0,2,0,2023-2024,ligue1
orel mangala,Lyon,1998,8,4,398,2,0,0,0,9,26,21,2023-2024,ligue1
vito mannone,Lille,1988,2,1,91,0,0,0,0,0,0,0,2023-2024,ligue1
faitout maouassa,Lens,1998,3,1,76,0,0,0,0,2,0,2,2023-2024,ligue1
guillermo maripan,Monaco,1994,23,21,1767,1,0,0,1,4,59,5,2023-2024,ligue1
marquinhos,Nantes,2003,7,1,154,0,0,0,0,2,4,11,2023-2024,ligue1
marquinhos,Paris S-G,1994,21,18,1537,0,1,1,0,18,114,3,2023-2024,ligue1
jonas martin,Brest,1990,31,9,1208,0,1,5,0,28,105,32,2023-2024,ligue1
clinton mata,Lyon,1992,28,25,2220,0,3,6,0,32,97,60,2023-2024,ligue1
eliot matazo,Monaco,2002,6,0,102,0,1,2,0,2,10,2,2023-2024,ligue1
nemanja matic,Rennes,1988,13,11,1027,0,0,7,0,14,83,8,2023-2024,ligue1
nemanja matic,Lyon,1988,15,15,1254,0,0,2,0,26,118,17,2023-2024,ligue1
chrislain matsima,Clermont Foot,2002,14,13,1180,1,0,2,0,13,45,1,2023-2024,ligue1
chrislain matsima,Monaco,2002,6,3,298,0,1,2,0,5,31,5,2023-2024,ligue1
azor matusiwa,Reims,1998,16,16,1385,1,0,3,0,12,78,12,2023-2024,ligue1
azor matusiwa,Rennes,1998,12,9,794,0,1,2,0,3,64,12,2023-2024,ligue1
aiman maurer,Clermont Foot,2004,5,0,56,0,0,0,0,1,2,8,2023-2024,ligue1
christian mawissa,Toulouse,2005,17,12,1118,2,0,3,0,26,39,11,2023-2024,ligue1
noam mayokatika,Marseille,2003,1,0,1,0,0,0,0,0,0,0,2023-2024,ligue1
senny mayulu,Paris S-G,2006,8,3,324,0,1,0,0,4,11,38,2023-2024,ligue1
