Player,Squad,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR,Season,Competition
junior sambia,Salernitana,1996,18,10,1032,1,2,4,0,23,41,37,2023-2024,serie-a
antonio sanabria,Torino,1996,35,23,2133,5,0,2,0,19,57,109,2023-2024,serie-a
renato sanches,Roma,1997,7,1,146,1,0,2,0,5,10,5,2023-2024,serie-a
alexis sanchez,Inter,1988,23,6,763,2,5,0,0,16,53,58,2023-2024,serie-a
alex sandro,Juventus,1991,16,8,721,1,0,1,0,16,43,9,2023-2024,serie-a
nicola sansone,Lecce,1991,25,4,767,2,2,4,0,15,36,75,2023-2024,serie-a
riccardo saponara,Hellas Verona,1991,12,3,342,0,0,0,0,12,14,32,2023-2024,serie-a
zanos savva,Torino,2005,2,0,28,1,0,0,0,0,1,1,2023-2024,serie-a
saba sazonov,Torino,2002,12,2,356,0,0,2,0,0,8,0,2023-2024,serie-a
giorgio scalvini,Atalanta,2003,33,31,2544,1,3,3,0,30,116,33,2023-2024,serie-a
gianluca scamacca,Atalanta,1999,29,17,1453,12,6,1,0,22,41,167,2023-2024,serie-a
perr schuurs,Torino,1999,9,9,770,1,0,2,0,9,19,4,2023-2024,serie-a
simone scuffet,Cagliari,1996,31,31,2789,0,0,3,0,0,1,0,2023-2024,serie-a
demba seck,Torino,2001,9,5,425,0,0,1,0,23,12,25,2023-2024,serie-a
demba seck,Frosinone,2001,11,3,298,0,0,0,0,11,9,23,2023-2024,serie-a
nikola sekulov,Juventus,2002,1,0,11,0,0,0,0,0,0,1,2023-2024,serie-a
vivaldo semedo,Udinese,2005,1,0,12,0,0,0,0,1,0,0,2023-2024,serie-a
stefano sensi,Inter,1995,4,0,46,0,1,0,0,3,3,4,2023-2024,serie-a
suat serdar,Hellas Verona,1997,25,19,1659,0,2,7,0,20,68,36,2023-2024,serie-a
andres sfait,Salernitana,2004,2,0,23,0,0,0,0,1,1,2,2023-2024,serie-a
stephan el shaarawy,Roma,1992,33,19,1738,3,4,2,0,46,44,131,2023-2024,serie-a
eldor shomurodov,Cagliari,1995,22,10,936,3,3,1,0,12,18,52,2023-2024,serie-a
steven shpendi,Empoli,2003,12,4,411,0,1,0,0,3,6,32,2023-2024,serie-a
marco silvestri,Udinese,1991,17,17,1530,0,0,0,0,0,0,0,2023-2024,serie-a
giovanni simeone,Napoli,1995,28,8,800,1,0,3,0,11,13,76,2023-2024,serie-a
