Player,Squad,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR,Season,Competition
paxten aaronson,Eint Frankfurt,2003,7,0,173,0,0,1,0,8,6,15,2022-2023,bundesliga
sargis adamyan,Köln,1993,24,4,644,1,2,3,0,12,24,58,2022-2023,bundesliga
karim adeyemi,Dortmund,2002,24,20,1386,6,5,9,0,49,47,131,2022-2023,bundesliga
amine adli,Leverkusen,2000,26,16,1435,5,3,2,2,46,49,137,2022-2023,bundesliga
felix agu,Werder Bremen,1999,3,0,49,0,0,0,0,0,2,2,2022-2023,bundesliga
naouirou ahamada,Stuttgart,2002,17,17,1398,2,2,4,1,43,56,54,2022-2023,bundesliga
ludovic ajorque,Mainz 05,1994,17,15,1211,6,1,5,0,5,31,85,2022-2023,bundesliga
kevin akpoguma,Hoffenheim,1995,28,21,1950,0,0,11,0,17,85,23,2022-2023,bundesliga
lucas alario,Eint Frankfurt,1992,20,2,331,1,0,0,0,2,8,17,2022-2023,bundesliga
faride alidou,Eint Frankfurt,2001,15,0,182,0,1,0,0,8,16,24,2022-2023,bundesliga
eder alvarez balanta,Schalke 04,1993,6,3,238,0,0,3,0,3,12,0,2022-2023,bundesliga
lukas ambros,Wolfsburg,2004,1,0,17,0,0,0,0,0,0,0,2022-2023,bundesliga
nadiem amiri,Leverkusen,1996,25,9,977,4,1,6,0,30,55,30,2022-2023,bundesliga
robert andrich,Leverkusen,1994,29,28,2406,2,2,7,0,12,99,8,2022-2023,bundesliga
angelino,Hoffenheim,1997,33,30,2617,0,8,2,0,24,108,120,2022-2023,bundesliga
waldemar anton,Stuttgart,1996,34,34,2934,1,2,4,0,56,135,52,2022-2023,bundesliga
christopher antwiadjei,Bochum,1994,29,22,1981,3,6,2,0,67,36,231,2022-2023,bundesliga
charles aranguiz,Leverkusen,1989,10,4,493,1,0,1,0,3,32,7,2022-2023,bundesliga
maximilian arnold,Wolfsburg,1994,32,32,2767,5,3,5,0,29,150,19,2022-2023,bundesliga
takuma asano,Bochum,1994,25,21,1713,3,3,1,0,32,34,119,2022-2023,bundesliga
fisnik asllani,Hoffenheim,2002,8,0,167,0,0,0,0,4,1,19,2022-2023,bundesliga
mehmet aydin,Schalke 04,2002,16,3,567,0,0,0,0,9,15,21,2022-2023,bundesliga
ayman azhil,Leverkusen,2001,1,0,1,0,0,0,0,0,0,0,2022-2023,bundesliga
sardar azmoun,Leverkusen,1995,23,8,927,4,1,1,0,11,32,45,2022-2023,bundesliga
sanoussy ba,RB Leipzig,2004,1,0,1,0,0,0,0,0,0,0,2022-2023,bundesliga
