Player,Squad,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR,Season,Competition
pablo barrios,Atlético Madrid,2003.0,24,17,1555,0,1,5,0,37,98,56,2023-2024,laliga
marc bartra,Betis,1991.0,3,3,225,0,0,1,0,2,5,0,2023-2024,laliga
augusto batalla,Granada,1996.0,17,17,1530,0,0,3,0,0,1,1,2023-2024,laliga
bebe,Rayo Vallecano,1990.0,19,0,212,2,0,1,0,17,6,24,2023-2024,laliga
sheraldo becker,Real Sociedad,1995.0,15,8,771,2,2,1,0,28,13,87,2023-2024,laliga
hector bellerin,Betis,1995.0,23,20,1711,0,1,0,1,32,81,80,2023-2024,laliga
jude bellingham,Real Madrid,2003.0,28,27,2315,19,6,5,1,85,196,177,2023-2024,laliga
fran beltran,Celta Vigo,1999.0,33,28,2428,0,0,2,0,28,134,30,2023-2024,laliga
carlos benavidez,Alavés,1998.0,29,10,1136,3,1,5,0,9,60,5,2023-2024,laliga
yuri berchiche,Athletic Club,1990.0,27,22,1930,3,1,5,0,36,132,77,2023-2024,laliga
alex berenguer,Athletic Club,1995.0,35,15,1592,7,3,4,0,61,30,143,2023-2024,laliga
antonio blanco,Alavés,2000.0,33,29,2426,0,1,5,1,20,133,22,2023-2024,laliga
daley blind,Girona,1990.0,34,33,2972,1,2,6,0,48,209,22,2023-2024,laliga
adri bosch,Granada,2001.0,1,0,26,0,0,0,0,1,1,1,2023-2024,laliga
yassine bounou,Sevilla,1991.0,1,1,90,0,0,0,0,0,0,0,2023-2024,laliga
lucas boye,Granada,1996.0,31,30,2541,6,3,8,1,36,65,131,2023-2024,laliga
darko brasanac,Osasuna,1992.0,2,0,48,0,0,0,0,2,1,3,2023-2024,laliga
brau,Granada,2001.0,1,0,31,0,0,0,0,2,0,0,2023-2024,laliga
claudio bravo,Betis,1983.0,7,7,630,0,0,0,0,0,1,0,2023-2024,laliga
ben brereton,Villarreal,1999.0,14,2,270,0,0,2,0,6,14,35,2023-2024,laliga
ante budimir,Osasuna,1991.0,33,29,2435,17,2,4,0,21,42,99,2023-2024,laliga
manu bueno,Sevilla,2004.0,4,1,117,0,0,1,0,1,3,1,2023-2024,laliga
pablo busto,Betis,2005.0,2,0,44,0,0,0,0,1,1,1,2023-2024,laliga
jose callejon,Granada,1987.0,25,7,803,0,1,2,0,10,35,50,2023-2024,laliga
eduardo camavinga,Real Madrid,2002.0,31,21,1817,0,2,9,0,49,106,31,2023-2024,laliga
sergio camello,Rayo Vallecano,2001.0,31,20,1661,3,1,3,0,22,41,79,2023-2024,laliga
jose campana,Las Palmas,1993.0,8,1,171,0,0,0,0,1,15,4,2023-2024,laliga
joao cancelo,Barcelona,1994.0,32,29,2503,2,4,7,0,106,141,193,2023-2024,laliga
sergi canos,Valencia,1997.0,27,15,1229,1,2,1,0,32,52,88,2023-2024,laliga
etienne capoue,Villarreal,1988.0,32,15,1455,1,1,8,0,24,80,38,2023-2024,laliga
isaac carcelen,Cádiz,1993.0,35,29,2611,0,0,2,0,25,75,70,2023-2024,laliga
dani cardenas,Rayo Vallecano,1997.0,1,1,90,0,0,0,0,0,0,0,2023-2024,laliga
marc cardona,Las Palmas,1995.0,26,6,737,4,1,4,0,10,13,74,2023-2024,laliga
sergi cardona,Las Palmas,1999.0,35,30,2814,1,2,11,0,60,160,165,2023-2024,laliga
johnny cardoso,Betis,2001.0,17,15,1328,1,2,3,0,10,45,11,2023-2024,laliga
carmona,Getafe,2002.0,30,15,1313,1,1,8,0,29,39,55,2023-2024,laliga
yannick carrasco,Atlético Madrid,1993.0,3,3,221,0,1,0,0,9,6,17,2023-2024,laliga
alvaro carreras,Granada,2003.0,13,5,475,0,0,1,0,13,14,31,2023-2024,laliga
dani carvajal,Real Madrid,1992.0,28,25,2171,4,3,5,1,30,82,168,2023-2024,laliga
william carvalho,Betis,1992.0,22,4,680,1,3,2,0,12,58,12,2023-2024,laliga
marc casado,Barcelona,2003.0,2,0,15,0,0,0,0,1,1,0,2023-2024,laliga
catena,Osasuna,1994.0,30,28,2534,1,3,8,1,5,77,1,2023-2024,laliga
dani ceballos,Real Madrid,1996.0,20,5,598,0,2,2,0,16,47,23,2023-2024,laliga
alex centelles,Almería,1997.0,14,11,980,0,1,2,0,16,31,53,2023-2024,laliga
franco cervi,Celta Vigo,1994.0,17,5,546,0,1,2,0,16,24,36,2023-2024,laliga
pep chavarria,Rayo Vallecano,1998.0,22,12,1167,1,1,6,1,28,74,84,2023-2024,laliga
andreas christensen,Barcelona,1996.0,30,27,1979,2,2,4,0,24,117,6,2023-2024,laliga
chumi,Almería,1999.0,31,26,2434,0,1,4,0,11,68,4,2023-2024,laliga
victor chust,Cádiz,2000.0,22,22,1864,0,1,3,2,10,80,2,2023-2024,laliga
pathe ciss,Rayo Vallecano,1994.0,31,16,1664,1,0,10,0,14,84,22,2023-2024,laliga
silvi clua,Girona,2005.0,1,0,1,0,0,0,0,0,0,0,2023-2024,laliga
saul coco,Las Palmas,1999.0,30,26,2295,1,0,6,1,9,69,1,2023-2024,laliga
santi comesana,Villarreal,1996.0,27,20,1653,2,0,8,2,23,92,48,2023-2024,laliga
copete,Mallorca,1999.0,19,17,1333,1,1,7,0,3,52,2,2023-2024,laliga
francis coquelin,Villarreal,1991.0,17,10,910,0,0,4,0,5,47,14,2023-2024,laliga
theo corbeanu,Granada,2002.0,9,2,182,1,0,2,0,5,5,13,2023-2024,laliga
jesus corona,Sevilla,1993.0,2,0,17,0,0,0,0,0,0,4,2023-2024,laliga
