Player,Squad,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR,Season,Competition
keyliane abdallah,Marseille,2006.0,1,0,3,0,0,0,0,1,0,0,2024-2025,ligue1
yunis abdelhamid,Saint-Étienne,1987.0,16,11,1033,0,0,2,0,4,22,3,2024-2025,ligue1
himad abdelli,Angers,1999.0,32,32,2842,6,1,4,0,107,207,111,2024-2025,ligue1
mohamed abdelmoneim,Nice,1999.0,12,10,855,0,0,2,0,6,52,5,2024-2025,ligue1
ali abdi,Nice,1993.0,25,17,1393,5,2,2,0,35,42,101,2024-2025,ligue1
matthis abline,Nantes,2003.0,34,33,2768,9,2,3,0,75,48,169,2024-2025,ligue1
abner,Lyon,2000.0,19,12,1090,1,1,1,0,31,66,55,2024-2025,ligue1
zakaria aboukhlal,Toulouse,2000.0,26,22,1901,7,2,4,0,34,22,164,2024-2025,ligue1
akor adams,Montpellier,2000.0,15,13,1075,3,1,2,0,11,6,45,2024-2025,ligue1
martin adeline,Reims,2003.0,1,0,26,0,0,0,0,1,0,1,2024-2025,ligue1
adryelson,Lyon,1998.0,1,0,1,0,0,1,0,0,1,0,2024-2025,ligue1
emmanuel agbadou,Reims,1997.0,14,14,1260,0,0,3,0,10,77,0,2024-2025,ligue1
jeremy agbonifo,Lens,2005.0,8,1,300,1,0,1,0,13,6,36,2024-2025,ligue1
ruben aguilar,Lens,1993.0,16,13,1124,1,2,4,0,32,74,101,2024-2025,ligue1
naouirou ahamada,Rennes,2002.0,3,0,58,0,0,0,0,2,1,1,2024-2025,ligue1
jeaneudes aholou,Angers,1994.0,26,26,1959,2,0,7,0,15,68,16,2024-2025,ligue1
ayman aiki,Saint-Étienne,2005.0,5,1,127,0,0,0,0,4,5,8,2024-2025,ligue1
ludovic ajorque,Brest,1994.0,31,29,2495,13,2,5,0,10,41,124,2024-2025,ligue1
umit akdag,Toulouse,2003.0,9,6,500,0,0,2,0,4,29,9,2024-2025,ligue1
sergio akieme,Reims,1997.0,30,29,2523,2,3,5,0,55,86,97,2024-2025,ligue1
maghnes akliouche,Monaco,2002.0,32,27,2406,5,10,2,0,127,173,226,2024-2025,ligue1
paul akouokou,Lyon,1997.0,2,0,19,0,0,1,0,0,1,0,2024-2025,ligue1
clement akpa,Auxerre,2001.0,31,29,2486,0,1,7,0,27,74,24,2024-2025,ligue1
chuba akpom,Lille,1995.0,14,6,639,3,1,0,0,6,7,38,2024-2025,ligue1
mohamed ali cho,Nice,2004.0,27,21,1621,3,4,2,0,81,59,133,2024-2025,ligue1
jim allevinah,Angers,1995.0,28,23,1750,1,3,3,0,57,48,99,2024-2025,ligue1
thiago almada,Lyon,2001.0,16,9,951,1,4,3,0,38,97,50,2024-2025,ligue1
jordan amavi,Brest,1994.0,11,8,790,0,0,2,0,22,36,21,2024-2025,ligue1
kelvin amian,Nantes,1998.0,30,23,2165,1,0,5,0,32,73,77,2024-2025,ligue1
michael amir murillo,Marseille,1996.0,30,27,2437,1,3,3,0,43,140,100,2024-2025,ligue1
samuel amoameyaw,Strasbourg,2006.0,9,3,320,2,0,0,0,11,12,18,2024-2025,ligue1
mathis amougou,Saint-Étienne,2006.0,17,9,859,0,0,2,0,8,36,17,2024-2025,ligue1
benjamin andre,Lille,1990.0,30,30,2692,0,3,12,0,29,209,72,2024-2025,ligue1
kyllian antonio,Lens,2008.0,3,2,139,0,0,0,0,1,0,0,2024-2025,ligue1
dennis appiah,Saint-Étienne,1992.0,29,22,2128,0,1,2,0,51,108,110,2024-2025,ligue1
carlens arcus,Angers,1996.0,28,25,2047,0,1,3,0,39,70,79,2024-2025,ligue1
hakon arnar haraldsson,Lille,2003.0,25,21,1755,5,3,3,0,52,102,143,2024-2025,ligue1
marco asensio,Paris S-G,1996.0,12,8,618,2,4,0,0,19,36,49,2024-2025,ligue1
lorenz assignon,Rennes,2000.0,32,27,2357,3,4,9,0,98,116,206,2024-2025,ligue1
dehmaine assoumani,Nantes,2005.0,12,0,98,0,0,0,0,4,1,15,2024-2025,ligue1
valentin atangana edoa,Reims,2005.0,34,33,2854,1,0,7,0,41,93,38,2024-2025,ligue1
florian aye,Auxerre,1997.0,26,4,575,2,0,0,0,5,7,30,2024-2025,ligue1
andre ayew,Le Havre,1989.0,27,15,1453,4,1,2,0,5,18,43,2024-2025,ligue1
neil el aynaoui,Lens,2001.0,24,17,1588,8,1,4,0,11,75,29,2024-2025,ligue1
shavy babicka,Toulouse,2000.0,30,11,1186,4,2,2,0,36,21,122,2024-2025,ligue1
juma bah,Lens,2006.0,10,8,686,0,0,2,0,3,9,1,2024-2025,ligue1
theo bair,Auxerre,1999.0,29,11,939,2,1,1,0,15,16,42,2024-2025,ligue1
mitchel bakker,Lille,2000.0,24,14,1139,3,2,3,1,43,57,120,2024-2025,ligue1
darryl bakola,Marseille,2007.0,2,0,14,0,0,1,0,0,0,0,2024-2025,ligue1
dilane bakwa,Strasbourg,2002.0,30,29,2497,6,8,4,0,107,129,249,2024-2025,ligue1
leonardo balerdi,Marseille,1999.0,27,27,2273,0,0,9,1,13,105,5,2024-2025,ligue1
fode ballotoure,Le Havre,1997.0,10,9,589,0,0,0,0,15,13,14,2024-2025,ligue1
folarin balogun,Monaco,2001.0,13,7,615,4,0,0,0,21,9,73,2024-2025,ligue1
abdoulaye bamba,Angers,1990.0,19,16,1510,0,0,2,0,1,16,3,2024-2025,ligue1
mohamed bamba,Reims,2004.0,2,0,10,0,0,0,0,0,3,0,2024-2025,ligue1
valentin barco,Strasbourg,2004.0,14,14,1157,0,2,2,0,20,64,55,2024-2025,ligue1
bradley barcola,Paris S-G,2002.0,34,27,2181,14,10,2,0,137,96,374,2024-2025,ligue1
melvin bard,Nice,2000.0,24,22,1938,2,1,4,2,53,88,95,2024-2025,ligue1
gabriel bares,Montpellier,2000.0,6,0,56,0,0,0,0,1,3,0,2024-2025,ligue1
teo barisic,Lyon,2004.0,1,0,2,0,0,0,0,0,0,0,2024-2025,ligue1
dylan batubinsika,Saint-Étienne,1996.0,25,22,2016,1,0,3,1,11,51,1,2024-2025,ligue1
haris belkebla,Angers,1994.0,22,21,1792,0,1,1,0,8,69,15,2024-2025,ligue1
yassin belkhdim,Angers,2002.0,29,16,1523,1,1,4,0,17,37,31,2024-2025,ligue1
