Player,Squad,Tack_Def_3rd,Tack_Mid_3rd,Tack_Att_3rd,Tkl%,Tkl,TklW,Int,Blocks,Block_Shots,Block_Pass,Clearences,Err,Season,Competition
michele di gregorio,Monza,0,0,0,0.0,0,0,4,1,0,1,18,3,2022-2023,serie-a
giovanni di lorenzo,Napoli,33,19,8,51.0,25,29,30,30,9,21,60,0,2022-2023,serie-a
angel di maria,Juventus,3,5,2,15.8,3,5,7,15,0,15,0,0,2022-2023,serie-a
boulaye dia,Salernitana,3,6,3,28.6,2,5,7,10,0,10,27,1,2022-2023,serie-a
brahim diaz,Milan,5,22,5,33.3,5,15,7,11,0,11,6,0,2022-2023,serie-a
federico dimarco,Inter,6,18,7,47.4,9,25,18,15,4,11,20,0,2022-2023,serie-a
koffi djidji,Torino,32,17,1,56.3,18,25,34,29,14,15,72,0,2022-2023,serie-a
berat djimsiti,Atalanta,21,13,0,68.0,17,19,36,17,7,10,74,1,2022-2023,serie-a
dodo,Fiorentina,20,14,6,47.8,22,22,25,26,2,24,37,0,2022-2023,serie-a
josh doig,Hellas Verona,6,7,6,37.5,6,8,11,25,6,19,13,1,2022-2023,serie-a
nicolas dominguez,Bologna,34,33,12,51.3,39,49,21,29,3,26,29,1,2022-2023,serie-a
giulio donati,Monza,1,1,2,50.0,3,1,4,3,1,2,11,0,2022-2023,serie-a
bartomiej dragowski,Spezia,1,0,0,20.0,1,0,1,0,0,0,15,3,2022-2023,serie-a
ondrej duda,Hellas Verona,7,12,3,56.3,9,14,13,11,0,11,8,0,2022-2023,serie-a
denzel dumfries,Inter,17,13,5,64.7,22,18,12,33,9,24,26,0,2022-2023,serie-a
alfred duncan,Fiorentina,0,17,1,47.6,10,10,8,9,0,9,6,0,2022-2023,serie-a
paulo dybala,Roma,1,8,5,30.8,8,4,8,12,1,11,4,0,2022-2023,serie-a
edin dzeko,Inter,0,3,0,0.0,0,2,3,15,1,14,25,0,2022-2023,serie-a
festy ebosele,Udinese,8,7,0,40.0,4,10,2,5,0,5,5,0,2022-2023,serie-a
enzo ebosse,Udinese,11,4,0,69.2,9,9,11,27,6,21,29,0,2022-2023,serie-a
tyronne ebuehi,Empoli,11,7,4,69.2,9,14,12,23,12,11,79,1,2022-2023,serie-a
ederson,Atalanta,18,42,7,43.9,29,34,36,56,7,49,31,0,2022-2023,serie-a
kingsley ehizibue,Udinese,28,13,6,64.4,29,31,10,21,3,18,42,1,2022-2023,serie-a
albin ekdal,Spezia,14,20,3,42.2,19,20,26,24,2,22,36,0,2022-2023,serie-a
emmanuel ekong,Empoli,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,serie-a
mikael ellertsson,Spezia,1,3,0,0.0,0,2,2,2,1,1,0,0,2022-2023,serie-a
elif elmas,Napoli,8,12,4,47.8,11,13,11,18,2,16,5,0,2022-2023,serie-a
martin erlic,Sassuolo,18,8,1,43.5,10,16,31,36,23,13,120,1,2022-2023,serie-a
gonzalo escalante,Cremonese,8,8,0,76.9,10,8,10,7,1,6,4,0,2022-2023,serie-a
salvatore esposito,Spezia,8,5,2,23.8,5,12,11,9,1,8,18,0,2022-2023,serie-a
nicolo fagioli,Juventus,12,15,2,29.6,8,19,8,16,2,14,7,1,2022-2023,serie-a
wladimiro falcone,Lecce,2,0,0,100.0,2,0,2,0,0,0,21,3,2022-2023,serie-a
davide faraoni,Hellas Verona,19,13,2,39.0,16,24,15,30,11,19,37,0,2022-2023,serie-a
federico fazio,Salernitana,8,7,0,36.4,4,12,28,9,4,5,61,0,2022-2023,serie-a
jacopo fazzini,Empoli,20,8,3,52.9,18,17,7,15,3,12,19,0,2022-2023,serie-a
lewis ferguson,Bologna,16,20,8,50.0,20,25,19,22,7,15,25,0,2022-2023,serie-a
alex ferrari,Sampdoria,7,2,0,50.0,4,5,19,21,10,11,25,0,2022-2023,serie-a
alex ferrari,Cremonese,32,7,1,66.7,28,23,25,19,4,15,45,1,2022-2023,serie-a
salvador ferrer,Spezia,2,2,0,33.3,1,2,1,3,1,2,4,0,2022-2023,serie-a
vincenzo fiorillo,Salernitana,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,serie-a
alessandro florenzi,Milan,3,2,1,57.1,4,4,4,1,0,1,2,0,2022-2023,serie-a
davide frattesi,Sassuolo,24,29,10,56.8,25,36,16,27,6,21,42,0,2022-2023,serie-a
matteo gabbia,Milan,12,5,0,75.0,6,10,5,8,3,5,29,0,2022-2023,serie-a
manolo gabbiadini,Sampdoria,8,9,6,39.1,9,15,6,16,2,14,25,0,2022-2023,serie-a
gianluca gaetano,Napoli,1,3,1,,0,3,1,1,0,1,0,0,2022-2023,serie-a
roberto gagliardini,Inter,9,6,1,47.6,10,6,4,14,5,9,15,0,2022-2023,serie-a
adolfo gaich,Hellas Verona,0,3,2,16.7,1,3,3,7,2,5,7,1,2022-2023,serie-a
pablo galdames millan,Cremonese,8,3,3,15.2,5,10,10,13,2,11,13,0,2022-2023,serie-a
antonino gallo,Lecce,35,12,9,66.7,38,36,13,37,6,31,71,0,2022-2023,serie-a
federico gatti,Juventus,9,4,2,60.0,9,11,21,20,14,6,54,2,2022-2023,serie-a
valentin gendrey,Lecce,54,25,9,56.3,40,57,37,45,4,41,89,0,2022-2023,serie-a
paolo ghiglione,Cremonese,10,3,3,43.5,10,11,4,9,4,5,12,0,2022-2023,serie-a
mario gila,Lazio,3,0,0,0.0,0,1,3,0,0,0,3,0,2022-2023,serie-a
gvidas gineitis,Torino,0,2,1,50.0,1,1,0,0,0,0,1,0,2022-2023,serie-a
olivier giroud,Milan,2,4,2,20.0,2,5,3,11,3,8,23,0,2022-2023,serie-a
pierluigi gollini,Fiorentina,1,0,0,100.0,1,0,0,0,0,0,2,0,2022-2023,serie-a
pierluigi gollini,Napoli,0,0,0,,0,0,0,0,0,0,1,0,2022-2023,serie-a
joan gonzalez,Lecce,20,18,10,33.3,17,28,16,37,8,29,28,0,2022-2023,serie-a
nicolas gonzalez,Fiorentina,3,10,4,31.3,5,10,4,14,0,14,6,0,2022-2023,serie-a
robin gosens,Inter,15,10,9,60.0,15,18,23,16,2,14,15,0,2022-2023,serie-a
alberto grassi,Empoli,13,13,0,62.5,15,21,27,23,12,11,45,0,2022-2023,serie-a
andrew gravillon,Torino,0,3,0,,0,3,9,4,2,2,16,0,2022-2023,serie-a
axel guessand,Udinese,2,0,0,50.0,1,1,2,1,0,1,3,0,2022-2023,serie-a
koray gunter,Hellas Verona,1,8,1,57.1,4,6,30,24,15,9,46,0,2022-2023,serie-a
koray gunter,Sampdoria,6,4,0,66.7,6,8,11,10,5,5,46,0,2022-2023,serie-a
emmanuel gyasi,Spezia,11,10,3,25.0,9,15,8,24,6,18,26,0,2022-2023,serie-a
norbert gyomber,Salernitana,25,6,1,66.7,16,23,35,33,22,11,92,0,2022-2023,serie-a
christian gytkjr,Monza,1,4,1,40.0,2,2,0,6,1,5,2,0,2022-2023,serie-a
nicolas haas,Empoli,16,6,5,50.0,12,13,8,16,4,12,27,0,2022-2023,serie-a
samir handanovic,Inter,0,0,0,,0,0,0,0,0,0,5,0,2022-2023,serie-a
abdou harroui,Sassuolo,6,7,4,28.6,2,6,2,6,1,5,10,0,2022-2023,serie-a
hans hateboer,Atalanta,11,8,2,40.7,11,13,12,23,4,19,25,0,2022-2023,serie-a
liam henderson,Empoli,6,5,2,19.0,4,10,10,10,2,8,10,0,2022-2023,serie-a
jack hendry,Cremonese,0,0,0,0.0,0,0,1,2,1,1,7,0,2022-2023,serie-a
matheus henrique,Sassuolo,9,11,6,50.0,12,12,12,15,4,11,10,0,2022-2023,serie-a
thomas henry,Hellas Verona,1,1,3,20.0,1,3,0,6,2,4,14,0,2022-2023,serie-a
theo hernandez,Milan,27,15,1,57.9,22,24,21,34,7,27,35,1,2022-2023,serie-a
isak hien,Hellas Verona,54,19,0,62.3,38,36,31,40,17,23,92,1,2022-2023,serie-a
morten hjulmand,Lecce,49,40,1,55.2,37,52,72,43,11,32,54,0,2022-2023,serie-a
emil holm,Spezia,13,8,5,51.6,16,15,9,21,6,15,41,0,2022-2023,serie-a
martin hongla,Hellas Verona,4,4,0,100.0,5,5,6,7,1,6,9,0,2022-2023,serie-a
petko hristov,Spezia,2,4,0,62.5,5,4,4,4,2,2,12,0,2022-2023,serie-a
ajdin hrustic,Hellas Verona,1,1,0,50.0,1,1,0,2,0,2,2,1,2022-2023,serie-a
elseid hysaj,Lazio,24,11,4,56.1,23,23,20,31,7,24,42,0,2022-2023,serie-a
rasmus hjlund,Atalanta,0,2,2,16.7,1,3,1,9,1,8,5,0,2022-2023,serie-a
roger ibanez,Roma,38,26,3,66.7,32,33,66,30,11,19,95,2,2022-2023,serie-a
zlatan ibrahimovic,Milan,0,0,0,,0,0,0,1,1,0,2,0,2022-2023,serie-a
antonio iervolino,Salernitana,0,0,0,0.0,0,0,0,0,0,0,0,0,2022-2023,serie-a
igor,Fiorentina,21,18,4,74.1,20,29,25,33,14,19,56,2,2022-2023,serie-a
jonathan ikone,Fiorentina,5,6,5,35.7,5,8,4,18,1,17,3,0,2022-2023,serie-a
ivan ilic,Hellas Verona,9,7,0,54.5,6,10,8,10,1,9,14,0,2022-2023,serie-a
ivan ilic,Torino,6,11,1,50.0,10,7,5,12,3,9,10,0,2022-2023,serie-a
samuel ilingjunior,Juventus,3,1,3,44.4,4,2,2,5,1,4,6,0,2022-2023,serie-a
emirhan ilkhan,Torino,0,1,0,100.0,1,1,2,3,1,2,2,0,2022-2023,serie-a
emirhan ilkhan,Sampdoria,2,2,2,66.7,2,3,0,5,1,4,3,0,2022-2023,serie-a
ciro immobile,Lazio,4,4,3,66.7,6,5,1,10,2,8,14,0,2022-2023,serie-a
ardian ismajli,Empoli,25,15,0,75.0,18,32,27,47,31,16,120,0,2022-2023,serie-a
mihailo ivanovic,Sampdoria,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,serie-a
armando izzo,Monza,44,27,2,64.4,29,50,50,29,17,12,87,1,2022-2023,serie-a
mato jajalo,Udinese,0,0,0,0.0,0,0,0,0,0,0,2,0,2022-2023,serie-a
jese,Sampdoria,0,2,0,0.0,0,0,1,3,1,2,2,0,2022-2023,serie-a
juan jesus,Napoli,9,6,1,75.0,9,11,10,18,11,7,29,0,2022-2023,serie-a
orir johann helgason,Lecce,1,0,1,66.7,2,2,3,3,1,2,3,0,2022-2023,serie-a
luka jovic,Fiorentina,1,4,1,25.0,2,3,2,7,2,5,10,0,2022-2023,serie-a
hamed junior traore,Sassuolo,4,6,1,36.4,4,6,2,4,0,4,0,1,2022-2023,serie-a
yayah kallon,Hellas Verona,5,4,5,58.3,7,10,8,10,0,10,5,0,2022-2023,serie-a
