Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
ibrahima niane,Angers,29,190,151,40,367,29,27.6,18,62.1,435,11,4,36,21,2022-2023,ligue-1
mbaye niang,Auxerre,48,279,217,68,536,41,22.0,27,65.9,605,18,12,72,21,2022-2023,ligue-1
rasmus nicolaisen,Toulouse,1123,960,55,33,2130,15,60.0,3,20.0,4790,9,2,7,6,2022-2023,ligue-1
arnaud nordin,Montpellier,123,389,464,109,954,98,38.8,30,30.6,2781,63,37,62,42,2022-2023,ligue-1
riad nouri,Ajaccio,105,379,305,26,780,38,34.2,22,57.9,1223,29,6,30,18,2022-2023,ligue-1
alexander nubel,Monaco,1208,8,0,0,1215,0,,0,,2509,0,0,1,0,2022-2023,ligue-1
gerzino nyamsi,Strasbourg,472,503,43,18,1008,15,66.7,4,26.7,2479,9,0,11,2,2022-2023,ligue-1
wilson odobert,Troyes,112,325,353,52,765,95,34.7,57,60.0,2530,49,25,47,27,2022-2023,ligue-1
florent ogier,Clermont Foot,586,476,39,9,1098,8,50.0,3,37.5,1777,5,0,7,1,2022-2023,ligue-1
warmed omari,Rennes,475,613,27,8,1106,4,75.0,0,0.0,2601,9,0,7,4,2022-2023,ligue-1
jonas omlin,Montpellier,448,2,0,0,450,1,0.0,1,100.0,1024,0,0,0,0,2022-2023,ligue-1
ado onaiwu,Toulouse,42,202,198,35,438,15,40.0,8,53.3,619,11,6,24,26,2022-2023,ligue-1
jean onana,Lens,138,373,76,9,583,7,100.0,0,0.0,1007,14,2,9,9,2022-2023,ligue-1
lois openda,Lens,24,247,458,166,711,54,35.2,28,51.9,1505,40,39,59,24,2022-2023,ligue-1
dango ouattara,Lorient,145,251,339,84,720,79,35.4,35,44.3,1766,28,34,45,22,2022-2023,ligue-1
zinedine ould khaled,Angers,4,31,8,1,43,2,0.0,2,100.0,41,0,0,1,2,2022-2023,ligue-1
azzedine ounahi,Marseille,8,59,45,3,110,8,75.0,1,12.5,256,5,1,2,5,2022-2023,ligue-1
azzedine ounahi,Angers,106,457,240,42,787,74,54.1,28,37.8,2149,45,17,26,12,2022-2023,ligue-1
adam ounas,Lille,56,270,420,37,727,82,45.1,31,37.8,2014,43,11,25,25,2022-2023,ligue-1
ante palaversa,Troyes,3,12,5,1,20,0,,0,,16,0,0,0,0,2022-2023,ligue-1
nicolas pallois,Nantes,688,771,35,14,1475,9,77.8,2,22.2,2486,8,1,18,9,2022-2023,ligue-1
erik palmerbrown,Troyes,1073,684,40,16,1784,15,46.7,4,26.7,3173,7,2,12,15,2022-2023,ligue-1
lucas paqueta,Lyon,22,92,33,8,146,3,33.3,2,66.7,203,2,2,2,1,2022-2023,ligue-1
leandro paredes,Paris S-G,10,57,8,0,75,0,,0,,203,3,0,0,0,2022-2023,ligue-1
dimitri payet,Marseille,53,239,321,39,604,32,56.3,11,34.4,1242,17,7,15,9,2022-2023,ligue-1
theo pellenard,Auxerre,23,11,2,1,36,0,,0,,13,0,0,0,0,2022-2023,ligue-1
timothee pembele,Paris S-G,30,43,41,7,113,5,80.0,1,20.0,227,2,2,4,1,2022-2023,ligue-1
