Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
niklas dorsch,Heidenheim,190,480,147,8,798,14,50.0,6,42.9,1013,10,1,16,13,2024-2025,bundesliga
patrick drewes,Bochum,902,11,0,0,913,0,,0,,1284,0,0,0,0,2024-2025,bundesliga
tim drexler,Hoffenheim,91,125,11,0,223,0,,0,,208,2,0,3,5,2024-2025,bundesliga
marvin ducksch,Werder Bremen,83,457,575,116,1103,19,36.8,11,57.9,816,20,12,31,11,2024-2025,bundesliga
julien duranville,Dortmund,8,36,93,17,135,30,40.0,12,40.0,412,9,9,6,15,2024-2025,bundesliga
adam dzwigaa,St. Pauli,106,138,36,6,280,2,50.0,1,50.0,164,0,0,2,2,2024-2025,bundesliga
johannes eggestein,St. Pauli,46,371,302,78,711,17,41.2,10,58.8,615,17,8,53,30,2024-2025,bundesliga
maximilian eggestein,Freiburg,403,1054,315,50,1757,24,45.8,13,54.2,2107,25,3,28,19,2024-2025,bundesliga
hugo ekitike,Eint Frankfurt,68,430,583,196,1051,119,43.7,61,51.3,2307,57,52,99,34,2024-2025,bundesliga
elif elmas,RB Leipzig,10,13,5,2,28,1,100.0,0,0.0,11,0,0,0,2,2024-2025,bundesliga
nico elvedi,Gladbach,1052,730,48,17,1827,0,,0,,2540,12,0,6,1,2024-2025,bundesliga
arne engels,Augsburg,1,14,17,2,32,1,0.0,1,100.0,38,3,0,0,0,2024-2025,bundesliga
patrick erras,Holstein Kiel,357,242,23,14,622,0,,0,,596,1,0,3,0,2024-2025,bundesliga
samuel essende,Augsburg,43,262,270,93,564,52,26.9,32,61.5,699,19,20,86,37,2024-2025,bundesliga
frank feller,Heidenheim,70,0,0,0,70,0,,0,,37,0,0,0,0,2024-2025,bundesliga
kilian fischer,Wolfsburg,527,666,348,20,1529,23,43.5,13,56.5,2047,31,5,31,9,2024-2025,bundesliga
jonas fohrenbach,Heidenheim,416,483,221,17,1112,17,41.2,9,52.9,1474,11,4,16,3,2024-2025,bundesliga
marco friedl,Werder Bremen,1025,715,35,5,1769,8,75.0,2,25.0,2108,5,0,12,7,2024-2025,bundesliga
marvin friedrich,Gladbach,426,370,27,17,822,2,100.0,0,0.0,1284,3,0,5,3,2024-2025,bundesliga
jeremie frimpong,Leverkusen,144,394,677,112,1205,78,32.1,47,60.3,2389,41,32,45,26,2024-2025,bundesliga
chris fuhrich,Stuttgart,109,438,687,115,1220,85,47.1,42,49.4,3161,68,54,37,26,2024-2025,bundesliga
shio fukuda,Gladbach,0,6,12,5,18,3,33.3,2,66.7,7,1,0,1,1,2024-2025,bundesliga
cristian gamboa,Bochum,47,75,34,4,154,2,0.0,2,100.0,147,1,1,3,0,2024-2025,bundesliga
aleix garcia,Leverkusen,225,831,452,11,1503,5,80.0,1,20.0,1633,34,1,10,5,2024-2025,bundesliga
viggo gebel,RB Leipzig,0,3,3,1,6,1,0.0,1,100.0,4,0,0,1,0,2024-2025,bundesliga
lutsharel geertruida,RB Leipzig,375,758,147,19,1266,14,50.0,7,50.0,1357,15,3,14,4,2024-2025,bundesliga
dennis geiger,Hoffenheim,84,260,99,8,441,8,50.0,2,25.0,605,15,2,9,8,2024-2025,bundesliga
valentin gendrey,Hoffenheim,241,337,302,28,874,11,27.3,8,72.7,852,15,7,24,11,2024-2025,bundesliga
yannick gerhardt,Wolfsburg,222,407,231,32,854,8,12.5,7,87.5,1001,14,5,19,3,2024-2025,bundesliga
max geschwill,Holstein Kiel,412,348,72,13,827,5,40.0,3,60.0,781,4,0,5,2,2024-2025,bundesliga
dimitris giannoulis,Augsburg,474,722,626,48,1802,82,35.4,48,58.5,2189,37,12,49,13,2024-2025,bundesliga
armin gigovic,Holstein Kiel,240,509,201,38,935,55,36.4,26,47.3,1268,23,7,45,23,2024-2025,bundesliga
benedikt gimber,Heidenheim,939,664,59,22,1643,16,50.0,4,25.0,1673,9,0,25,7,2024-2025,bundesliga
matthias ginter,Freiburg,845,866,113,56,1816,6,66.7,2,33.3,2819,12,1,10,0,2024-2025,bundesliga
jamie gittens,Dortmund,85,293,520,110,873,171,45.0,72,42.1,2826,56,63,49,35,2024-2025,bundesliga
serge gnabry,Bayern Munich,68,288,407,96,757,40,45.0,20,50.0,1226,22,25,25,7,2024-2025,bundesliga
tidiam gomis,RB Leipzig,6,25,40,10,70,7,71.4,1,14.3,143,2,1,4,3,2024-2025,bundesliga
leon goretzka,Bayern Munich,224,868,289,27,1373,8,87.5,1,12.5,2279,35,3,4,4,2024-2025,bundesliga
robin gosens,Union Berlin,12,20,19,1,51,0,,0,,37,2,0,2,0,2024-2025,bundesliga
mario gotze,Eint Frankfurt,158,493,347,43,986,23,39.1,12,52.2,1214,23,6,26,27,2024-2025,bundesliga
jeffrey gouweleeuw,Augsburg,925,1000,152,42,2060,12,58.3,5,41.7,3400,24,1,19,6,2024-2025,bundesliga
kamil grabara,Wolfsburg,1195,29,0,0,1224,2,100.0,0,0.0,1760,0,0,0,0,2024-2025,bundesliga
michael gregoritsch,Freiburg,27,96,99,33,220,7,57.1,3,42.9,202,3,3,14,9,2024-2025,bundesliga
vincenzo grifo,Freiburg,240,921,618,71,1765,45,55.6,19,42.2,2516,35,21,36,17,2024-2025,bundesliga
florian grillitsch,Hoffenheim,140,263,92,3,488,12,41.7,6,50.0,585,8,0,5,10,2024-2025,bundesliga
alex grimaldo,Leverkusen,376,906,1099,87,2365,50,40.0,25,50.0,3220,52,20,53,13,2024-2025,bundesliga
pascal gro,Dortmund,416,1150,625,50,2178,9,33.3,6,66.7,2372,43,5,22,9,2024-2025,bundesliga
