Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
sebastiano luperto,Cagliari,1065,777,81,29,1913,6,16.7,4,66.7,2539,15,2,12,3,2024-2025,serie-a
zito luvumbo,Cagliari,44,166,277,67,477,63,39.7,25,39.7,1426,21,35,67,29,2024-2025,serie-a
charalampos lykogiannis,Bologna,216,362,237,11,810,8,50.0,2,25.0,611,8,1,7,3,2024-2025,serie-a
mathias lvik,Parma,19,33,19,2,70,4,50.0,2,50.0,56,1,0,6,1,2024-2025,serie-a
giangiacomo magnani,Hellas Verona,276,240,30,14,540,4,25.0,3,75.0,516,6,0,4,1,2024-2025,serie-a
mike maignan,Milan,1606,30,0,0,1635,1,100.0,0,0.0,3456,0,0,1,0,2024-2025,serie-a
antoine makoumbou,Cagliari,452,714,210,4,1367,19,52.6,8,42.1,1324,18,0,17,24,2024-2025,serie-a
daniel maldini,Monza,70,287,242,41,584,72,41.7,37,51.4,1287,31,10,36,31,2024-2025,serie-a
daniel maldini,Atalanta,10,63,68,24,140,18,33.3,10,55.6,301,8,10,8,5,2024-2025,serie-a
youssef maleh,Empoli,167,432,158,15,744,13,30.8,6,46.2,557,11,1,25,10,2024-2025,serie-a
ruslan malinovskyi,Genoa,43,134,66,0,242,4,75.0,1,25.0,244,9,0,7,5,2024-2025,serie-a
dennis man,Parma,100,426,517,87,1027,75,33.3,45,60.0,1914,40,31,44,31,2024-2025,serie-a
gianluca mancini,Roma,906,1133,208,42,2240,9,11.1,4,44.4,3350,44,3,10,8,2024-2025,serie-a
christos mandas,Lazio,339,13,0,0,351,0,,0,,754,0,0,0,1,2024-2025,serie-a
rolando mandragora,Fiorentina,249,637,246,24,1118,14,50.0,6,42.9,964,16,0,11,4,2024-2025,serie-a
alberto manzoni,Atalanta,3,10,1,0,14,0,,0,,12,0,0,0,0,2024-2025,serie-a
alessandro marcandalli,Genoa,17,6,1,0,24,0,,0,,4,1,0,0,0,2024-2025,serie-a
alessandro marcandalli,Venezia,84,105,12,4,200,1,0.0,1,100.0,156,2,0,4,0,2024-2025,serie-a
filip marchwinski,Lecce,0,2,3,0,5,0,,0,,1,0,0,0,0,2024-2025,serie-a
pablo mari,Monza,753,534,12,5,1296,6,100.0,0,0.0,1700,4,0,4,5,2024-2025,serie-a
pablo mari,Fiorentina,447,319,21,5,784,1,0.0,1,100.0,596,4,0,0,2,2024-2025,serie-a
luca marianucci,Empoli,290,286,35,5,609,10,50.0,3,30.0,722,5,0,7,3,2024-2025,serie-a
mirko maric,Monza,9,26,19,6,54,1,100.0,0,0.0,51,0,0,3,1,2024-2025,serie-a
mirko maric,Venezia,24,79,60,12,161,6,33.3,4,66.7,136,5,0,12,5,2024-2025,serie-a
rafa marin,Napoli,56,72,4,2,131,0,,0,,188,2,0,1,0,2024-2025,serie-a
razvan marin,Cagliari,168,462,241,22,858,24,54.2,11,45.8,1106,19,4,18,16,2024-2025,serie-a
guillermo maripan,Torino,770,822,56,23,1636,8,25.0,6,75.0,2538,11,2,19,5,2024-2025,serie-a
aaron martin,Genoa,566,802,608,20,1951,27,44.4,12,44.4,2293,31,4,22,17,2024-2025,serie-a
josep martinez,Inter,245,1,0,0,246,0,,0,,344,0,0,0,0,2024-2025,serie-a
lautaro martinez,Inter,84,413,494,162,981,47,36.2,25,53.2,1101,27,12,70,54,2024-2025,serie-a
lucas martinez quarta,Fiorentina,157,139,21,6,316,2,100.0,0,0.0,589,2,1,5,1,2024-2025,serie-a
kevin martins,Monza,30,30,22,2,80,6,66.7,2,33.3,144,2,2,8,1,2024-2025,serie-a
adam marusic,Lazio,410,697,341,31,1433,23,43.5,12,52.2,1263,27,0,12,13,2024-2025,serie-a
adam masina,Torino,660,768,80,12,1502,12,50.0,6,50.0,2121,9,1,12,8,2024-2025,serie-a
patrizio masini,Genoa,211,514,165,22,878,25,40.0,9,36.0,744,16,1,25,12,2024-2025,serie-a
alan matturro,Genoa,243,170,47,9,458,5,60.0,2,40.0,646,5,1,6,3,2024-2025,serie-a
andrea mazza,Monza,7,0,0,0,7,0,,0,,17,0,0,0,0,2024-2025,serie-a
luca mazzitelli,Como,56,134,49,10,235,5,80.0,1,20.0,245,5,0,3,5,2024-2025,serie-a
