Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
pascu,Villarreal,0,3,3,0,6,1,100.0,0,0.0,1,0,0,1,0,2023-2024,laliga
gabriel paulista,Atlético Madrid,201,116,3,3,319,0,,0,,500,0,0,0,1,2023-2024,laliga
gabriel paulista,Valencia,533,415,18,8,963,1,0.0,1,100.0,1619,3,0,2,1,2023-2024,laliga
nicolas paz,Real Madrid,2,17,13,0,32,2,0.0,2,100.0,125,3,0,0,0,2023-2024,laliga
alfonso pedraza,Villarreal,234,287,222,26,734,30,33.3,19,63.3,1491,36,10,12,2,2023-2024,laliga
pedri,Barcelona,171,773,427,36,1359,38,42.1,20,52.6,2333,42,7,31,15,2023-2024,laliga
adria pedrosa,Sevilla,307,477,408,22,1178,38,31.6,18,47.4,1475,38,9,35,23,2023-2024,laliga
pejino,Las Palmas,29,124,170,15,321,34,44.1,18,52.9,511,15,4,17,13,2023-2024,laliga
facundo pellistri,Granada,66,150,260,50,460,28,42.9,14,50.0,1015,14,13,42,20,2023-2024,laliga
inaki pena,Barcelona,313,1,0,0,314,0,,0,,437,0,0,0,0,2023-2024,laliga
marcos pena,Almería,104,162,11,1,274,1,0.0,1,100.0,140,2,0,3,3,2023-2024,laliga
ruben pena,Osasuna,290,501,468,41,1241,73,47.9,33,45.2,1843,43,9,45,33,2023-2024,laliga
alberto perea,Granada,1,3,4,0,8,1,0.0,0,0.0,10,0,0,0,0,2023-2024,laliga
ayoze perez,Betis,126,510,513,156,1125,112,44.6,54,48.2,2436,51,41,70,51,2023-2024,laliga
carles perez,Celta Vigo,55,147,200,25,393,37,37.8,18,48.6,882,20,8,20,17,2023-2024,laliga
francisco perez,Valencia,144,362,374,43,856,101,39.6,47,46.5,1719,29,17,72,42,2023-2024,laliga
kike perez,Rayo Vallecano,76,285,155,15,510,33,27.3,19,57.6,879,10,3,30,16,2023-2024,laliga
maximo perrone,Las Palmas,457,901,144,8,1492,24,45.8,11,45.8,1239,11,2,23,14,2023-2024,laliga
njegos petrovic,Granada,20,59,31,1,108,5,60.0,2,40.0,163,1,0,5,0,2023-2024,laliga
german pezzella,Betis,1028,705,53,35,1779,6,50.0,3,50.0,2271,7,0,19,4,2023-2024,laliga
kamil piatkowski,Granada,185,102,15,5,301,1,100.0,0,0.0,406,1,0,7,1,2023-2024,laliga
yeremi pino,Villarreal,57,83,126,22,261,17,52.9,6,35.3,333,5,8,16,9,2023-2024,laliga
portu,Getafe,5,4,28,4,36,3,0.0,3,100.0,97,4,0,2,1,2023-2024,laliga
portu,Girona,43,183,207,55,426,19,21.1,14,73.7,809,30,10,23,15,2023-2024,laliga
jose pozo,Rayo Vallecano,2,9,5,0,16,0,,0,,19,1,0,4,0,2023-2024,laliga
alejandro pozo pozo,Almería,186,340,184,11,708,14,7.1,12,85.7,758,15,3,16,4,2023-2024,laliga
benat prados,Athletic Club,156,614,233,14,990,19,63.2,6,31.6,1229,21,1,19,19,2023-2024,laliga
