Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
brenden aaronson,Union Berlin,108,301,293,47,675,77,44.2,41,53.2,1387,29,9,41,38,2023-2024,bundesliga
paxten aaronson,Eint Frankfurt,6,39,28,5,72,7,28.6,4,57.1,50,0,1,5,4,2023-2024,bundesliga
junior adamu,Freiburg,7,32,18,6,54,3,0.0,2,66.7,48,1,0,5,5,2023-2024,bundesliga
sargis adamyan,Köln,30,151,136,52,312,18,38.9,10,55.6,344,9,5,27,17,2023-2024,bundesliga
karim adeyemi,Dortmund,69,170,227,63,458,60,30.0,32,53.3,1171,22,27,29,25,2023-2024,bundesliga
amine adli,Leverkusen,52,231,299,66,575,27,48.1,10,37.0,1021,25,16,17,10,2023-2024,bundesliga
felix agu,Werder Bremen,302,363,229,24,886,35,40.0,17,48.6,1223,16,7,32,10,2023-2024,bundesliga
ludovic ajorque,Mainz 05,53,314,238,85,601,11,18.2,8,72.7,291,6,1,42,10,2023-2024,bundesliga
kevin akpoguma,Hoffenheim,360,449,59,5,861,13,69.2,4,30.8,1054,11,2,10,1,2023-2024,bundesliga
faride alidou,Köln,77,210,243,51,522,70,34.3,38,54.3,1191,23,18,39,27,2023-2024,bundesliga
skelly alvero,Werder Bremen,26,54,21,6,100,2,100.0,0,0.0,172,3,0,2,1,2023-2024,bundesliga
nadiem amiri,Mainz 05,149,504,346,15,983,55,45.5,24,43.6,1094,25,5,22,19,2023-2024,bundesliga
nadiem amiri,Leverkusen,9,62,48,2,116,6,16.7,4,66.7,187,4,1,2,0,2023-2024,bundesliga
kofi amoako,Wolfsburg,1,0,0,0,1,0,,0,,0,0,0,0,0,2023-2024,bundesliga
robert andrich,Leverkusen,319,1049,281,16,1638,12,58.3,4,33.3,1978,34,1,13,7,2023-2024,bundesliga
waldemar anton,Stuttgart,1245,1612,138,34,2977,22,68.2,7,31.8,5711,19,5,28,12,2023-2024,bundesliga
christopher antwiadjei,Bochum,74,170,378,51,614,35,20.0,24,68.6,1071,22,17,31,24,2023-2024,bundesliga
asaf arania,Darmstadt 98,0,2,3,0,5,0,,0,,9,1,0,0,0,2023-2024,bundesliga
maximilian arnold,Wolfsburg,429,1089,324,5,1827,11,63.6,3,27.3,1846,15,1,20,17,2023-2024,bundesliga
arthur,Leverkusen,35,42,56,8,131,5,40.0,3,60.0,307,6,2,2,3,2023-2024,bundesliga
takuma asano,Bochum,71,218,363,95,636,37,43.2,18,48.6,1280,27,28,47,33,2023-2024,bundesliga
jonathan asp jensen,Bayern Munich,1,0,0,0,1,0,,0,,0,0,0,0,0,2023-2024,bundesliga
noah atubolu,Freiburg,1440,22,0,0,1461,0,,0,,2508,0,0,2,0,2023-2024,bundesliga
matthias bader,Darmstadt 98,384,494,267,25,1134,48,37.5,24,50.0,1673,30,6,36,14,2023-2024,bundesliga
ridle baku,Wolfsburg,313,574,457,54,1328,40,42.5,18,45.0,1536,31,9,48,20,2023-2024,bundesliga
samuel bamba,Dortmund,4,5,22,8,30,1,100.0,0,0.0,103,3,1,5,0,2023-2024,bundesliga
aymen barkok,Mainz 05,19,116,103,19,237,8,25.0,4,50.0,344,4,5,12,5,2023-2024,bundesliga
leandro barreiro martins,Mainz 05,337,709,268,68,1303,33,45.5,15,45.5,922,20,6,42,14,2023-2024,bundesliga
daniel batz,Mainz 05,162,4,0,0,166,0,,0,,265,0,0,0,0,2023-2024,bundesliga
maximilian bauer,Augsburg,312,238,38,5,586,3,66.7,1,33.3,896,4,0,6,0,2023-2024,bundesliga
elias baum,Eint Frankfurt,7,18,1,0,26,2,0.0,2,100.0,21,0,0,2,1,2023-2024,bundesliga
oliver baumann,Hoffenheim,1492,31,0,0,1521,0,,0,,2092,0,0,0,0,2023-2024,bundesliga
christoph baumgartner,RB Leipzig,94,305,275,67,662,37,48.6,15,40.5,1252,31,13,38,28,2023-2024,bundesliga
ihlas bebou,Hoffenheim,101,272,393,76,755,63,41.3,32,50.8,1052,36,22,63,25,2023-2024,bundesliga
adrian beck,Heidenheim,96,304,169,31,560,34,61.8,13,38.2,702,12,0,25,18,2023-2024,bundesliga
sheraldo becker,Union Berlin,33,112,208,24,347,14,42.9,8,57.1,737,17,7,14,4,2023-2024,bundesliga
chris bedia,Union Berlin,2,17,23,8,40,2,100.0,0,0.0,31,1,1,6,1,2023-2024,bundesliga
donny van de beek,Eint Frankfurt,30,94,50,12,173,6,50.0,3,50.0,112,2,0,6,3,2023-2024,bundesliga
kevin behrens,Wolfsburg,12,97,132,30,239,8,37.5,5,62.5,143,3,3,15,10,2023-2024,bundesliga
kevin behrens,Union Berlin,43,226,235,69,499,7,57.1,3,42.9,342,13,4,39,12,2023-2024,bundesliga
maximilian beier,Hoffenheim,61,315,505,145,872,87,37.9,45,51.7,1373,32,36,79,32,2023-2024,bundesliga
stefan bell,Mainz 05,231,182,20,8,431,2,100.0,0,0.0,336,1,0,2,1,2023-2024,bundesliga
ramy bensebaini,Dortmund,288,522,202,19,1000,17,94.1,0,0.0,1200,22,1,19,3,2023-2024,bundesliga
mergim berisha,Hoffenheim,5,18,33,9,55,2,100.0,0,0.0,96,1,1,8,8,2023-2024,bundesliga
mergim berisha,Augsburg,5,9,14,3,28,2,0.0,2,100.0,53,1,1,1,1,2023-2024,bundesliga
bernardo,Bochum,761,1070,286,51,2103,23,52.2,9,39.1,1777,23,1,32,16,2023-2024,bundesliga
matus bero,Bochum,142,352,254,33,737,19,21.1,14,73.7,543,15,2,31,17,2023-2024,bundesliga
janniklas beste,Heidenheim,218,456,649,56,1301,81,37.0,45,55.6,2149,57,12,52,32,2023-2024,bundesliga
pep biel,Augsburg,23,71,63,11,156,7,85.7,1,14.3,138,2,1,13,1,2023-2024,bundesliga
tom bischof,Hoffenheim,19,65,58,5,141,3,66.7,1,33.3,242,7,0,5,3,2023-2024,bundesliga
leonardo bittencourt,Werder Bremen,197,547,296,32,1024,44,38.6,25,56.8,1950,51,5,37,11,2023-2024,bundesliga
hendry blank,Dortmund,38,28,0,0,66,0,,0,,80,0,0,0,1,2023-2024,bundesliga
janis blaswich,RB Leipzig,920,75,0,0,993,0,,0,,1174,0,0,1,0,2023-2024,bundesliga
sacha boey,Bayern Munich,28,34,24,3,85,6,33.3,3,50.0,98,1,0,2,0,2023-2024,bundesliga
victor boniface,Leverkusen,26,236,392,137,642,93,49.5,42,45.2,1110,31,28,58,30,2023-2024,bundesliga
leonardo bonucci,Union Berlin,122,157,15,1,291,2,50.0,1,50.0,287,0,0,2,0,2023-2024,bundesliga
yvandro borges sanches,Gladbach,1,4,9,2,14,0,,0,,17,0,1,1,0,2023-2024,bundesliga
sebastiaan bornauw,Wolfsburg,547,440,25,14,1009,5,80.0,1,20.0,807,5,0,9,1,2023-2024,bundesliga
rafael borre,Werder Bremen,40,206,183,40,422,22,31.8,14,63.6,487,14,5,30,16,2023-2024,bundesliga
julian brandt,Dortmund,196,682,679,57,1547,67,40.3,38,56.7,2220,58,17,44,42,2023-2024,bundesliga
fabian bredlow,Stuttgart,190,0,0,0,190,0,,0,,401,0,0,0,0,2023-2024,bundesliga
tim breithaupt,Augsburg,117,196,44,1,355,1,100.0,0,0.0,190,1,0,6,5,2023-2024,bundesliga
maximilian breunig,Freiburg,0,4,2,0,6,0,,0,,0,0,0,2,0,2023-2024,bundesliga
bennit broger,Wolfsburg,1,5,2,0,8,2,0.0,1,50.0,8,0,0,1,1,2023-2024,bundesliga
john brooks,Hoffenheim,588,509,28,14,1115,4,75.0,1,25.0,1574,2,0,3,4,2023-2024,bundesliga
moritz broschinski,Bochum,24,141,238,58,399,31,35.5,19,61.3,397,10,9,47,35,2023-2024,bundesliga
alexander brunst,Darmstadt 98,150,5,0,0,155,0,,0,,226,0,0,0,0,2023-2024,bundesliga
marius bulter,Hoffenheim,189,350,329,49,859,48,37.5,21,43.8,1295,31,13,24,19,2023-2024,bundesliga
jonathan burkardt,Mainz 05,46,269,292,73,593,57,40.4,29,50.9,924,25,10,52,37,2023-2024,bundesliga
oliver burke,Werder Bremen,1,10,2,0,13,1,100.0,0,0.0,24,1,0,0,0,2023-2024,bundesliga
marnon busch,Heidenheim,152,201,119,0,469,5,60.0,1,20.0,570,9,0,2,1,2023-2024,bundesliga
