Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
abner,Betis,128,189,113,11,425,10,30.0,7,70.0,469,7,4,10,4,2022-2023,laliga
alvaro aceves,Valladolid,8,0,0,0,8,0,,0,,34,0,0,0,0,2022-2023,laliga
marcos acuna,Sevilla,406,670,467,26,1523,54,48.1,23,42.6,2178,43,5,29,20,2022-2023,laliga
julen agirrezabala,Athletic Club,249,4,0,0,253,0,,0,,551,0,0,0,0,2022-2023,laliga
alvaro aguado,Valladolid,255,742,315,18,1292,31,41.9,9,29.0,2508,43,3,24,9,2022-2023,laliga
joseph aidoo,Celta Vigo,1114,938,46,15,2082,13,61.5,2,15.4,3226,6,0,12,9,2022-2023,laliga
sergio akieme,Almería,434,563,307,35,1283,51,52.9,18,35.3,2232,34,11,29,25,2022-2023,laliga
babatunde akinsola,Valladolid,1,2,1,0,4,0,,0,,14,1,0,2,1,2022-2023,laliga
paul akouokou,Betis,102,117,16,1,233,5,60.0,2,40.0,122,2,0,5,0,2022-2023,laliga
david alaba,Real Madrid,531,530,240,22,1293,4,75.0,1,25.0,2070,24,2,7,5,2022-2023,laliga
angel alarcon,Barcelona,2,2,8,1,12,1,0.0,0,0.0,19,0,0,0,1,2022-2023,laliga
tomas alarcon,Cádiz,20,68,25,1,113,0,,0,,81,0,0,3,4,2022-2023,laliga
jordi alba,Barcelona,300,764,506,39,1558,8,50.0,4,50.0,2082,27,6,7,7,2022-2023,laliga
raul albiol,Villarreal,856,796,44,9,1687,7,57.1,3,42.9,4616,10,0,11,5,2022-2023,laliga
ruben alcaraz,Cádiz,309,768,224,22,1283,24,50.0,10,41.7,1587,27,3,34,31,2022-2023,laliga
omar alderete,Getafe,458,591,81,25,1114,22,77.3,5,22.7,1937,15,2,15,8,2022-2023,laliga
ivan alejo,Cádiz,131,185,283,22,590,47,25.5,25,53.2,1275,32,2,38,23,2022-2023,laliga
carles alena,Getafe,149,579,312,28,1024,43,55.8,13,30.2,1235,23,2,47,24,2022-2023,laliga
alejandro alfaro,Elche,0,1,1,0,2,1,0.0,1,100.0,0,1,0,0,0,2022-2023,laliga
angel algobia,Getafe,147,390,92,9,626,6,66.7,2,33.3,716,4,3,12,7,2022-2023,laliga
mohamed ali cho,Real Sociedad,33,106,151,29,281,39,41.0,18,46.2,704,6,14,29,9,2022-2023,laliga
domingos andre ribeiro almeida,Valencia,244,820,652,24,1686,90,51.1,31,34.4,3196,71,3,42,49,2022-2023,laliga
marcos alonso,Barcelona,402,624,94,11,1114,2,100.0,0,0.0,2674,11,0,8,1,2022-2023,laliga
carlos alvarez,Sevilla,0,3,3,0,6,0,,0,,1,0,0,1,0,2022-2023,laliga
gaston alvarez,Getafe,218,376,144,8,732,19,42.1,9,47.4,437,8,0,13,3,2022-2023,laliga
yeray alvarez,Athletic Club,698,896,74,16,1651,11,54.5,1,9.1,4073,17,1,8,1,2022-2023,laliga
selim amallah,Valladolid,21,77,44,11,138,25,44.0,12,48.0,254,7,3,6,10,2022-2023,laliga
amath,Mallorca,70,171,229,40,464,34,41.2,15,44.1,840,23,12,41,22,2022-2023,laliga
jordan amavi,Getafe,33,65,23,1,119,1,0.0,1,100.0,121,5,1,2,0,2022-2023,laliga
marcos andre,Valencia,8,50,69,23,125,17,52.9,4,23.5,124,3,0,21,5,2022-2023,laliga
fabrizio angileri,Getafe,88,157,80,3,324,11,36.4,6,54.5,220,7,0,4,4,2022-2023,laliga
josep antoni gaya,Mallorca,15,3,1,0,19,0,,0,,2,0,0,1,1,2022-2023,laliga
jose antonio,Cádiz,2,4,9,0,15,4,25.0,1,25.0,36,2,0,2,1,2022-2023,laliga
anuar,Valladolid,20,30,20,8,70,4,50.0,0,0.0,127,2,3,7,4,2022-2023,laliga
mauro arambarri,Getafe,118,304,102,3,514,4,100.0,0,0.0,503,10,0,13,4,2022-2023,laliga
ronald araujo,Barcelona,487,882,77,29,1437,14,71.4,3,21.4,3727,13,1,9,6,2022-2023,laliga
adu ares,Athletic Club,5,18,46,3,69,9,55.6,2,22.2,246,4,1,1,3,2022-2023,laliga
sergio arribas,Real Madrid,1,6,6,1,13,0,,0,,17,0,0,0,0,2022-2023,laliga
roberto arroyo,Valladolid,1,3,3,1,7,1,100.0,0,0.0,25,0,1,1,2,2022-2023,laliga
ricard artero,Girona,14,36,20,6,68,4,75.0,0,0.0,106,4,0,4,3,2022-2023,laliga
santiago arzamendia,Cádiz,90,135,70,5,290,6,33.3,4,66.7,349,9,2,8,4,2022-2023,laliga
