Player,Squad,Liga,Season,PSxG,PSxG/SoT,PSxG+/-,Launch%,Crosses_Opp,Crosses_stp%,#OPA
julen agirrezabala,valencia,La-Liga,2025-2026,1.6,0.2,-0.4,0.256,41,0.049,8
augusto batalla,rayo vallecano,La-Liga,2025-2026,2.9,0.14,-0.1,0.531,28,0.071,11
thibaut courtois,real madrid,La-Liga,2025-2026,2.0,0.12,0.0,0.309,54,0.037000000000000005,11
pablo cunat,levante,La-Liga,2025-2026,4.7,0.34,0.7,0.489,46,0.043,1
matias dituro,elche,La-Liga,2025-2026,3.8,0.27,-0.2,0.31,57,0.12300000000000001,9
marko dmitrovic,espanyol,La-Liga,2025-2026,3.9,0.28,0.9,0.506,46,0.022000000000000002,2
aaron escandell,oviedo,La-Liga,2025-2026,8.3,0.31,1.3,0.41700000000000004,72,0.027999999999999997,10
joan garcia,barcelona,La-Liga,2025-2026,4.5,0.32,1.5,0.079,25,0.04,18
paulo gazzaniga,girona,La-Liga,2025-2026,3.0,0.5,-1.0,0.261,5,0.0,1
sergio herrera,osasuna,La-Liga,2025-2026,2.7,0.19,0.7,0.32299999999999995,36,0.083,8
luiz lucio reis junior,villarreal,La-Liga,2025-2026,3.3,0.22,0.3,0.27,28,0.036000000000000004,0
pau lopez,betis,La-Liga,2025-2026,1.1,0.15,0.1,0.304,28,0.036000000000000004,2
rjan nyland,sevilla,La-Liga,2025-2026,6.3,0.34,-0.7,0.316,52,0.0,5
jan oblak,atletico madrid,La-Liga,2025-2026,2.7,0.2,-1.3,0.297,45,0.022000000000000002,1
ionut radu,celta vigo,La-Liga,2025-2026,4.1,0.37,-0.9,0.25,41,0.073,3
alex remiro,real sociedad,La-Liga,2025-2026,5.5,0.38,-0.5,0.281,42,0.024,8
leo roman,mallorca,La-Liga,2025-2026,5.0,0.3,-1.0,0.596,25,0.04,2
mathew ryan,levante,La-Liga,2025-2026,1.6,0.33,-0.4,0.33299999999999996,17,0.059000000000000004,0
unai simon,athletic club,La-Liga,2025-2026,3.2,0.29,0.2,0.377,41,0.122,3
antonio sivera,alaves,La-Liga,2025-2026,5.5,0.35,2.5,0.7240000000000001,67,0.045,2
david soria,getafe,La-Liga,2025-2026,2.0,0.19,-1.0,0.852,63,0.032,1
