Player,Squad,Liga,Season,GA,SoTA,Save%,CS%,PKatt,P_Save%
julen agirrezabala,valencia,La-Liga,2025-2026,2,8,0.75,0.33299999999999996,0,
augusto batalla,rayo vallecano,La-Liga,2025-2026,3,9,0.889,0.0,2,0.0
thibaut courtois,real madrid,La-Liga,2025-2026,2,10,0.9,0.5,1,0.0
pablo cunat,levante,La-Liga,2025-2026,5,14,0.643,0.0,0,
matias dituro,elche,La-Liga,2025-2026,4,14,0.7140000000000001,0.25,0,
marko dmitrovic,espanyol,La-Liga,2025-2026,3,14,0.7859999999999999,0.33299999999999996,0,
aaron escandell,oviedo,La-Liga,2025-2026,7,29,0.759,0.25,0,
joan garcia,barcelona,La-Liga,2025-2026,3,12,0.833,0.33299999999999996,1,0.0
paulo gazzaniga,girona,La-Liga,2025-2026,4,6,0.33299999999999996,0.0,0,
sergio herrera,osasuna,La-Liga,2025-2026,2,10,0.9,0.33299999999999996,1,0.0
luiz lucio reis junior,villarreal,La-Liga,2025-2026,3,11,0.727,0.5,1,1.0
pau lopez,betis,La-Liga,2025-2026,1,7,0.857,0.5,0,
rjan nyland,sevilla,La-Liga,2025-2026,7,16,0.625,0.25,1,0.0
jan oblak,atletico madrid,La-Liga,2025-2026,4,10,0.7,0.25,1,0.0
ionut radu,celta vigo,La-Liga,2025-2026,5,11,0.545,0.0,0,
alex remiro,real sociedad,La-Liga,2025-2026,6,12,0.583,0.0,1,0.0
leo roman,mallorca,La-Liga,2025-2026,6,17,0.647,0.0,0,
mathew ryan,levante,La-Liga,2025-2026,2,5,0.6,0.0,0,
unai simon,athletic club,La-Liga,2025-2026,4,11,0.636,0.25,0,
antonio sivera,alaves,La-Liga,2025-2026,3,17,0.8240000000000001,0.25,0,
david soria,getafe,La-Liga,2025-2026,4,11,0.636,0.5,0,
alvaro valles,betis,La-Liga,2025-2026,3,11,0.727,0.0,0,
krapyvtsov vladyslav,girona,La-Liga,2025-2026,6,9,0.444,0.0,1,0.0
alisson,liverpool,Premier-League,2025-2026,4,7,0.429,0.33299999999999996,0,
altay bayndr,manchester utd,Premier-League,2025-2026,4,9,0.556,0.0,0,
marco bizot,aston villa,Premier-League,2025-2026,3,7,0.7140000000000001,0.5,1,0.0
karl darlow,leeds united,Premier-League,2025-2026,1,3,0.667,0.0,0,
martin dubravka,burnley,Premier-League,2025-2026,6,13,0.615,0.33299999999999996,1,0.0
dean henderson,crystal palace,Premier-League,2025-2026,1,7,0.857,0.75,0,
mads hermansen,west ham,Premier-League,2025-2026,11,20,0.45,0.25,0,
sam johnstone,wolves,Premier-League,2025-2026,1,4,0.75,0.0,0,
caoimhin kelleher,brentford,Premier-League,2025-2026,7,16,0.625,0.25,1,0.0
bernd leno,fulham,Premier-League,2025-2026,4,16,0.875,0.25,3,0.0
emiliano martinez,aston villa,Premier-League,2025-2026,1,4,0.75,0.5,0,
lucas perri,leeds united,Premier-League,2025-2026,5,8,0.5,0.667,1,0.0
ore petrovic,bournemouth,Premier-League,2025-2026,5,14,0.643,0.5,0,
jordan pickford,everton,Premier-League,2025-2026,3,12,0.833,0.5,2,0.5
nick pope,newcastle utd,Premier-League,2025-2026,3,11,0.727,0.75,0,
david raya,arsenal,Premier-League,2025-2026,1,12,0.917,0.75,0,
robin roefs,sunderland,Premier-League,2025-2026,3,15,0.8,0.5,1,1.0
jose sa,wolves,Premier-League,2025-2026,8,12,0.33299999999999996,0.0,0,
robert sanchez,chelsea,Premier-League,2025-2026,3,13,0.769,0.5,0,
matz sels,nottham forest,Premier-League,2025-2026,8,20,0.7,0.0,2,0.0
james trafford,manchester city,Premier-League,2025-2026,4,15,0.8,0.33299999999999996,1,0.0
