Player,Squad,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG,Season,Competition
gerard moreno,Villarreal,41,19,0.15,9.0,7.5,0.19,-2.0,2022-2023,laliga
tete morente,Elche,46,14,0.09,4.2,4.2,0.09,-0.2,2022-2023,laliga
ilaix moriba,Valencia,21,5,0.0,1.2,1.2,0.06,-1.2,2022-2023,laliga
manu morlanes,Villarreal,0,0,,0.0,0.0,,0.0,2022-2023,laliga
manu morlanes,Mallorca,7,2,0.14,0.3,0.3,0.04,0.7,2022-2023,laliga
loren moron,Betis,0,0,,0.0,0.0,,0.0,2022-2023,laliga
cristhian mosquera,Valencia,2,0,0.0,0.2,0.2,0.1,-0.2,2022-2023,laliga
abdul mumin,Rayo Vallecano,6,1,0.0,0.4,0.4,0.07,-0.4,2022-2023,laliga
iker muniain,Athletic Club,28,7,0.0,3.0,3.0,0.11,-3.0,2022-2023,laliga
aihen munoz,Real Sociedad,6,2,0.0,0.2,0.2,0.03,-0.2,2022-2023,laliga
iker munoz,Osasuna,2,1,0.0,0.1,0.1,0.03,-0.1,2022-2023,laliga
pablo munoz,Rayo Vallecano,0,0,,0.0,0.0,,0.0,2022-2023,laliga
vedat muriqi,Mallorca,71,25,0.15,12.5,8.6,0.12,2.5,2022-2023,laliga
yunus musah,Valencia,22,3,0.0,1.8,1.8,0.08,-1.8,2022-2023,laliga
francisco mwepu,Cádiz,0,0,,0.0,0.0,,0.0,2022-2023,laliga
nacho,Real Madrid,9,4,0.11,0.8,0.8,0.09,0.2,2022-2023,laliga
juanjo narvaez,Valladolid,3,0,0.0,0.2,0.2,0.06,-0.2,2022-2023,laliga
matija nastasic,Mallorca,4,2,0.25,0.5,0.5,0.13,0.5,2022-2023,laliga
roberto navarro,Real Sociedad,12,5,0.0,1.0,1.0,0.09,-1.0,2022-2023,laliga
jesus navas,Sevilla,10,3,0.0,0.3,0.3,0.03,-0.3,2022-2023,laliga
alvaro negredo,Cádiz,22,7,0.05,1.8,1.8,0.08,-0.8,2022-2023,laliga
tanguy nianzou,Sevilla,6,1,0.17,0.5,0.5,0.08,0.5,2022-2023,laliga
saul niguez,Atlético Madrid,21,9,0.14,2.4,2.4,0.11,0.6,2022-2023,laliga
fernando nino,Villarreal,1,0,0.0,0.1,0.1,0.08,-0.1,2022-2023,laliga
randy nteka,Elche,14,4,0.0,1.3,1.3,0.09,-1.3,2022-2023,laliga
randy nteka,Rayo Vallecano,4,0,0.0,0.2,0.2,0.06,-0.2,2022-2023,laliga
unai nunez,Celta Vigo,15,5,0.0,1.2,1.2,0.08,-1.2,2022-2023,laliga
jan oblak,Atlético Madrid,0,0,,0.0,0.0,,0.0,2022-2023,laliga
brian ocampo,Cádiz,13,2,0.08,0.5,0.5,0.04,0.5,2022-2023,laliga
lucas ocampos,Sevilla,27,6,0.04,4.5,2.1,0.08,-0.5,2022-2023,laliga
alvaro odriozola,Real Madrid,1,0,0.0,0.2,0.2,0.24,-0.2,2022-2023,laliga
olasagasti,Real Sociedad,3,1,0.0,0.0,0.0,0.02,0.0,2022-2023,laliga
lucas olaza,Valladolid,5,2,0.0,0.4,0.4,0.08,-0.4,2022-2023,laliga
brian olivan,Espanyol,15,4,0.07,0.6,0.6,0.04,0.4,2022-2023,laliga
lucas oliveira rosa,Valladolid,6,1,0.0,0.4,0.4,0.06,-0.4,2022-2023,laliga
aimar oroz,Osasuna,22,7,0.09,3.6,2.8,0.13,-0.6,2022-2023,laliga
pedro ortiz,Sevilla,0,0,,0.0,0.0,,0.0,2022-2023,laliga
mikel oyarzabal,Real Sociedad,16,8,0.13,4.6,2.3,0.14,-0.6,2022-2023,laliga
cenk ozkacar,Valencia,11,2,0.0,0.8,0.8,0.07,-0.8,2022-2023,laliga
fernando pacheco,Almería,0,0,,0.0,0.0,,0.0,2022-2023,laliga
fernando pacheco,Espanyol,0,0,,0.0,0.0,,0.0,2022-2023,laliga
jon pacheco,Real Sociedad,3,0,0.0,0.1,0.1,0.02,-0.1,2022-2023,laliga
goncalo paciencia,Celta Vigo,30,10,0.07,1.9,1.9,0.06,0.1,2022-2023,laliga
helibelton palacios,Elche,4,3,0.0,0.4,0.4,0.09,-0.4,2022-2023,laliga
isaac palazon camacho,Rayo Vallecano,91,22,0.09,7.7,5.3,0.06,1.3,2022-2023,laliga
aitor paredes,Athletic Club,8,3,0.0,0.5,0.5,0.06,-0.5,2022-2023,laliga
daniel parejo,Villarreal,26,8,0.04,4.7,1.3,0.05,-1.7,2022-2023,laliga
moises parra gutierrez,Getafe,0,0,,0.0,0.0,,0.0,2022-2023,laliga
raul parra,Cádiz,0,0,,0.0,0.0,,0.0,2022-2023,laliga
