Player,Squad,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG,Season,Competition
yunis abdelhamid,Reims,32,3,0.03,2.4,2.4,0.07,-1.4,2022-2023,ligue1
himad abdelli,Angers,24,7,0.08,1.4,1.4,0.06,0.6,2022-2023,ligue1
salis abdul samed,Lens,13,4,0.08,0.9,0.9,0.07,0.1,2022-2023,ligue1
laurent abergel,Lorient,13,2,0.0,0.5,0.5,0.04,-0.5,2022-2023,ligue1
matthis abline,Auxerre,24,8,0.04,3.6,2.0,0.08,-1.6,2022-2023,ligue1
matthis abline,Rennes,6,2,0.17,0.8,0.8,0.13,0.2,2022-2023,ligue1
zakaria aboukhlal,Toulouse,83,30,0.12,11.5,11.5,0.14,-1.5,2022-2023,ligue1
mohamed achi,Nantes,1,0,0.0,0.1,0.1,0.12,-0.1,2022-2023,ligue1
martin adeline,Reims,1,0,0.0,0.1,0.1,0.07,-0.1,2022-2023,ligue1
emmanuel agbadou,Reims,22,3,0.0,1.7,1.7,0.08,-1.7,2022-2023,ligue1
lucien agoume,Troyes,9,3,0.0,0.8,0.8,0.09,-0.8,2022-2023,ligue1
ruben aguilar,Monaco,4,2,0.0,0.2,0.2,0.06,-0.2,2022-2023,ligue1
amar ahmed,Troyes,0,0,,0.0,0.0,,0.0,2022-2023,ligue1
jeaneudes aholou,Strasbourg,21,8,0.14,1.2,1.2,0.06,1.8,2022-2023,ligue1
ludovic ajorque,Strasbourg,22,7,0.0,3.3,2.5,0.11,-2.3,2022-2023,ligue1
maghnes akliouche,Monaco,5,2,0.0,0.5,0.5,0.09,-0.5,2022-2023,ligue1
dogan alemdar,Rennes,0,0,,0.0,0.0,,0.0,2022-2023,ligue1
jim allevinah,Clermont Foot,30,8,0.03,2.5,2.5,0.08,-1.5,2022-2023,ligue1
mickael alphonse,Ajaccio,10,2,0.0,0.5,0.5,0.05,-0.5,2022-2023,ligue1
ibrahim amadou,Angers,2,0,0.0,0.1,0.1,0.03,-0.1,2022-2023,ligue1
ayoub amraoui,Nice,1,0,0.0,0.0,0.0,0.01,0.0,2022-2023,ligue1
benjamin andre,Lille,24,4,0.04,1.6,1.6,0.07,-0.6,2022-2023,ligue1
komnen andric,Clermont Foot,28,11,0.11,5.5,3.9,0.14,-1.5,2022-2023,ligue1
houssem aouar,Lyon,14,6,0.07,1.4,1.4,0.11,-0.4,2022-2023,ligue1
adil aouchiche,Lorient,8,3,0.0,0.5,0.5,0.07,-0.5,2022-2023,ligue1
dennis appiah,Nantes,5,1,0.0,0.4,0.4,0.08,-0.4,2022-2023,ligue1
stredair appuah,Nantes,3,0,0.0,0.1,0.1,0.02,-0.1,2022-2023,ligue1
tairyk arconte,Brest,2,1,0.0,0.3,0.3,0.14,-0.3,2022-2023,ligue1
mohamed el arouch,Lyon,0,0,,0.0,0.0,,0.0,2022-2023,ligue1
lorenz assignon,Rennes,3,1,0.0,0.3,0.3,0.11,-0.3,2022-2023,ligue1
youcef atal,Nice,12,5,0.08,1.0,1.0,0.09,0.0,2022-2023,ligue1
valentin atangana edoa,Reims,1,0,0.0,0.0,0.0,0.04,0.0,2022-2023,ligue1
mathias autret,Auxerre,23,11,0.04,2.5,1.7,0.07,-0.5,2022-2023,ligue1
cedric avinel,Ajaccio,3,1,0.33,1.0,1.0,0.41,0.0,2022-2023,ligue1
loic bade,Rennes,2,0,0.0,0.2,0.2,0.1,-0.2,2022-2023,ligue1
benoit badiashile,Monaco,5,3,0.4,0.6,0.6,0.13,1.4,2022-2023,ligue1
eric bailly,Marseille,3,0,0.0,0.2,0.2,0.06,-0.2,2022-2023,ligue1
denys bain,Auxerre,0,0,,0.0,0.0,,0.0,2022-2023,ligue1
brandon baiye,Clermont Foot,0,0,,0.0,0.0,,0.0,2022-2023,ligue1
cedric bakambu,Marseille,0,0,,0.0,0.0,,0.0,2022-2023,ligue1
thierno balde,Troyes,7,1,0.0,0.3,0.3,0.04,-0.3,2022-2023,ligue1
carlos baleba,Lille,12,2,0.0,0.5,0.5,0.04,-0.5,2022-2023,ligue1
leonardo balerdi,Marseille,11,0,0.0,1.3,1.3,0.12,-1.3,2022-2023,ligue1
folarin balogun,Reims,121,50,0.12,26.6,21.0,0.18,-5.6,2022-2023,ligue1
abdoulaye bamba,Angers,0,0,,0.0,0.0,,0.0,2022-2023,ligue1
jonathan bamba,Lille,71,28,0.08,8.2,8.2,0.12,-2.2,2022-2023,ligue1
bradley barcola,Lyon,27,13,0.19,3.4,3.4,0.13,1.6,2022-2023,ligue1
melvin bard,Nice,7,2,0.0,0.5,0.5,0.07,-0.5,2022-2023,ligue1
ross barkley,Nice,38,17,0.11,4.3,4.3,0.11,-0.3,2022-2023,ligue1
mickael barreto,Ajaccio,19,4,0.05,0.9,0.9,0.05,0.1,2022-2023,ligue1
cyrille bayala,Ajaccio,22,6,0.05,2.0,2.0,0.09,-1.0,2022-2023,ligue1
yanis begraoui,Toulouse,0,0,,0.0,0.0,,0.0,2022-2023,ligue1
alexis beka beka,Nice,9,3,0.0,0.5,0.5,0.05,-0.5,2022-2023,ligue1
jeremie bela,Clermont Foot,12,5,0.08,0.6,0.6,0.05,0.4,2022-2023,ligue1
reda belahyane,Nice,1,0,0.0,0.1,0.1,0.09,-0.1,2022-2023,ligue1
youcef belaili,Ajaccio,27,9,0.04,6.2,1.8,0.07,-0.2,2022-2023,ligue1
youcef belaili,Brest,9,1,0.0,0.7,0.7,0.08,-0.7,2022-2023,ligue1
haris belkebla,Brest,9,2,0.11,1.3,0.5,0.05,0.7,2022-2023,ligue1
jeanricner bellegarde,Strasbourg,38,13,0.05,2.5,2.5,0.07,-0.5,2022-2023,ligue1
jeanuel belocian,Rennes,1,0,0.0,0.0,0.0,0.03,0.0,2022-2023,ligue1
eliesse ben seghir,Monaco,21,8,0.19,1.9,1.9,0.09,2.1,2022-2023,ligue1
salim ben seghir,Marseille,0,0,,0.0,0.0,,0.0,2022-2023,ligue1
wissam ben yedder,Monaco,66,36,0.21,17.4,12.7,0.19,1.6,2022-2023,ligue1
nabil bentaleb,Angers,39,13,0.05,3.2,1.6,0.04,0.8,2022-2023,ligue1
patrick berg,Lens,0,0,,0.0,0.0,,0.0,2022-2023,ligue1
mitchell van bergen,Reims,25,11,0.0,2.2,2.2,0.09,-2.2,2022-2023,ligue1
quentin bernard,Auxerre,0,0,,0.0,0.0,,0.0,2022-2023,ligue1
paul bernardoni,Angers,0,0,,0.0,0.0,,0.0,2022-2023,ligue1
juan bernat,Paris S-G,7,6,0.14,0.9,0.9,0.12,0.1,2022-2023,ligue1
jason berthomier,Clermont Foot,0,0,,0.0,0.0,,0.0,2022-2023,ligue1
el bilal toure,Reims,1,1,0.0,0.0,0.0,0.03,0.0,2022-2023,ligue1
jeanclaude billong,Clermont Foot,0,0,,0.0,0.0,,0.0,2022-2023,ligue1
veljko birmancevic,Toulouse,13,3,0.0,1.3,1.3,0.1,-1.3,2022-2023,ligue1
marco bizot,Brest,0,0,,0.0,0.0,,0.0,2022-2023,ligue1
ruben blanco,Marseille,0,0,,0.0,0.0,,0.0,2022-2023,ligue1
ludovic blas,Nantes,95,32,0.05,9.3,6.4,0.07,-2.3,2022-2023,ligue1
miha blazic,Angers,8,4,0.25,1.6,1.6,0.2,0.4,2022-2023,ligue1
joaquin blazquez,Brest,0,0,,0.0,0.0,,0.0,2022-2023,ligue1
myron boadu,Monaco,7,5,0.43,2.6,2.6,0.37,0.4,2022-2023,ligue1
jerome boateng,Lyon,0,0,,0.0,0.0,,0.0,2022-2023,ligue1
antonin bobichon,Angers,1,1,0.0,0.1,0.1,0.06,-0.1,2022-2023,ligue1
quentin boisgard,Lorient,6,3,0.17,0.4,0.4,0.07,0.6,2022-2023,ligue1
neto borges,Clermont Foot,23,7,0.13,3.1,3.1,0.13,-0.1,2022-2023,ligue1
kenjivan boto,Auxerre,3,0,0.0,0.1,0.1,0.03,-0.1,2022-2023,ligue1
kouame botue,Ajaccio,7,0,0.0,1.2,1.2,0.17,-1.2,2022-2023,ligue1
badredine bouanani,Nice,24,10,0.0,1.7,1.7,0.07,-1.7,2022-2023,ligue1
hicham boudaoui,Nice,21,9,0.05,0.9,0.9,0.04,0.1,2022-2023,ligue1
franci bouebari,Strasbourg,0,0,,0.0,0.0,,0.0,2022-2023,ligue1
sofiane boufal,Angers,21,9,0.1,3.6,2.1,0.1,0.4,2022-2023,ligue1
ismael boura,Lens,2,1,0.0,0.1,0.1,0.03,-0.1,2022-2023,ligue1
benjamin bourigeaud,Rennes,71,19,0.07,8.7,7.1,0.1,-1.7,2022-2023,ligue1
bilal brahimi,Nice,20,6,0.15,1.0,1.0,0.05,2.0,2022-2023,ligue1
lilian brassier,Brest,20,3,0.0,1.1,1.1,0.05,-1.1,2022-2023,ligue1
andreas bruus,Troyes,11,3,0.0,0.7,0.7,0.07,-0.7,2022-2023,ligue1
joe bryan,Nice,1,0,0.0,0.0,0.0,0.03,0.0,2022-2023,ligue1
adam buksa,Lens,0,0,,0.0,0.0,,0.0,2022-2023,ligue1
maxime busi,Reims,3,0,0.0,0.1,0.1,0.02,-0.1,2022-2023,ligue1
marcin buka,Nice,0,0,,0.0,0.0,,0.0,2022-2023,ligue1
remy cabella,Lille,42,23,0.17,8.3,8.3,0.2,-1.3,2022-2023,ligue1
jimmy cabot,Lens,5,1,0.0,0.3,0.3,0.06,-0.3,2022-2023,ligue1
jens cajuste,Reims,27,7,0.11,1.5,1.5,0.06,1.5,2022-2023,ligue1
duje caletacar,Marseille,0,0,,0.0,0.0,,0.0,2022-2023,ligue1
mahdi camara,Brest,24,7,0.08,2.5,2.5,0.11,-0.5,2022-2023,ligue1
mohamed camara,Monaco,27,6,0.0,1.0,1.0,0.04,-1.0,2022-2023,ligue1
ousmane camara,Auxerre,1,0,0.0,0.1,0.1,0.05,-0.1,2022-2023,ligue1
ousmane camara,Angers,1,1,0.0,0.2,0.2,0.16,-0.2,2022-2023,ligue1
axel camblan,Brest,1,1,0.0,0.2,0.2,0.17,-0.2,2022-2023,ligue1
pierrick capelle,Angers,16,7,0.0,1.5,1.5,0.1,-1.5,2022-2023,ligue1
maxence caqueret,Lyon,26,13,0.15,2.6,2.6,0.1,1.4,2022-2023,ligue1
irvin cardona,Brest,4,2,0.0,0.2,0.2,0.04,-0.2,2022-2023,ligue1
igor carioca,Lorient,4,1,0.0,0.2,0.2,0.05,-0.2,2022-2023,ligue1
matis carvalho,Montpellier,0,0,,0.0,0.0,,0.0,2022-2023,ligue1
jeancharles castelletto,Nantes,9,3,0.0,0.7,0.7,0.08,-0.7,2022-2023,ligue1
yoann cathline,Lorient,26,9,0.04,1.5,1.5,0.06,-0.5,2022-2023,ligue1
maximiliano caufriez,Clermont Foot,14,6,0.07,0.9,0.9,0.07,0.1,2022-2023,ligue1
fabien centonze,Nantes,14,0,0.0,0.7,0.7,0.05,-0.7,2022-2023,ligue1
florian chabrolle,Ajaccio,2,1,0.0,0.1,0.1,0.03,-0.1,2022-2023,ligue1
el chadaille bitshiabu,Paris S-G,0,0,,0.0,0.0,,0.0,2022-2023,ligue1
fares chaibi,Toulouse,63,25,0.08,5.9,5.9,0.09,-0.9,2022-2023,ligue1
muhammed cham,Clermont Foot,51,19,0.1,6.0,4.4,0.09,1.0,2022-2023,ligue1
gaetan charbonnier,Auxerre,7,1,0.14,0.6,0.6,0.09,0.4,2022-2023,ligue1
brendan chardonnet,Brest,16,3,0.0,1.2,1.2,0.07,-1.2,2022-2023,ligue1
xavier chavalerin,Troyes,27,11,0.15,1.5,1.5,0.06,2.5,2022-2023,ligue1
ivane chegra,Ajaccio,1,0,0.0,0.0,0.0,0.03,0.0,2022-2023,ligue1
rayan cherki,Lyon,61,21,0.07,4.9,4.9,0.08,-0.9,2022-2023,ligue1
ilyes cheti,Angers,0,0,,0.0,0.0,,0.0,2022-2023,ligue1
lucas chevalier,Lille,0,0,,0.0,0.0,,0.0,2022-2023,ligue1
pedro chirivella,Nantes,16,5,0.0,0.8,0.8,0.05,-0.8,2022-2023,ligue1
joris chotard,Montpellier,12,1,0.0,0.6,0.6,0.05,-0.6,2022-2023,ligue1
yanis cimignani,Ajaccio,6,2,0.0,0.2,0.2,0.03,-0.2,2022-2023,ligue1
