Player,Squad,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG,Season,Competition
abdukodir khusanov,Lens,5,2,0.0,0.2,0.2,0.04,-0.2,2023-2024,ligue-1
philipp kohn,Monaco,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
randal kolo muani,Paris S-G,22,12,0.27,6.1,6.1,0.28,-0.1,2023-2024,ligue-1
cheick konate,Clermont Foot,14,4,0.07,0.5,0.5,0.04,0.5,2023-2024,ligue-1
geoffrey kondogbia,Marseille,8,1,0.0,0.4,0.4,0.05,-0.4,2023-2024,ligue-1
abdoul kone,Reims,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
amadou kone,Reims,6,1,0.0,0.3,0.3,0.05,-0.3,2023-2024,ligue-1
ibrahima kone,Lorient,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
nguessan kouadio,Metz,3,1,0.0,0.1,0.1,0.03,-0.1,2023-2024,ligue-1
koffi kouao,Metz,5,1,0.0,0.2,0.2,0.04,-0.2,2023-2024,ligue-1
therence koudou,Reims,2,1,0.0,0.1,0.1,0.03,-0.1,2023-2024,ligue-1
boubakar kouyate,Montpellier,14,2,0.0,0.8,0.8,0.05,-0.8,2023-2024,ligue-1
sael kumbedi,Lyon,6,4,0.0,0.2,0.2,0.04,-0.2,2023-2024,ligue-1
layvin kurzawa,Paris S-G,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
daler kuzyaev,Le Havre,16,5,0.13,1.8,1.8,0.12,0.2,2023-2024,ligue-1
grejohn kyei,Clermont Foot,30,7,0.03,4.9,4.1,0.14,-2.9,2023-2024,ligue-1
gaetan laborde,Nice,62,22,0.06,7.7,6.1,0.1,-2.7,2023-2024,ligue-1
alexandre lacazette,Lyon,60,33,0.28,11.4,9.8,0.17,7.6,2023-2024,ligue-1
alban lafont,Nantes,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
kenny lala,Brest,14,7,0.14,0.5,0.5,0.03,1.5,2023-2024,ligue-1
mathis lambourde,Rennes,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
mohamed lamine bayo,Le Havre,43,15,0.07,7.2,5.7,0.13,-2.2,2023-2024,ligue-1
didier lamkel ze,Metz,11,3,0.09,1.6,1.6,0.14,-0.6,2023-2024,ligue-1
julien laporte,Lorient,13,1,0.0,0.8,0.8,0.06,-0.8,2023-2024,ligue-1
theo le bris,Lorient,13,2,0.0,1.2,1.2,0.09,-1.2,2023-2024,ligue-1
julien le cardinal,Brest,4,2,0.0,0.3,0.3,0.07,-0.3,2023-2024,ligue-1
julien le cardinal,Lens,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
jeremy le douaron,Brest,50,19,0.08,6.2,6.2,0.12,-2.2,2023-2024,ligue-1
enzo le fee,Rennes,12,0,0.0,0.5,0.5,0.04,-0.5,2023-2024,ligue-1
vincent le goff,Lorient,4,1,0.25,0.1,0.1,0.03,0.9,2023-2024,ligue-1
adrien lebeau,Brest,2,0,0.0,0.1,0.1,0.03,-0.1,2023-2024,ligue-1
jeanlouis leca,Lens,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
benjamin lecomte,Montpellier,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
pierre leesmelou,Brest,52,13,0.08,2.4,2.4,0.05,1.6,2023-2024,ligue-1
johann lepenant,Lyon,4,2,0.0,0.1,0.1,0.03,-0.1,2023-2024,ligue-1
leo leroy,Montpellier,7,1,0.0,0.8,0.8,0.12,-0.8,2023-2024,ligue-1
gautier lloris,Le Havre,16,4,0.13,2.1,2.1,0.13,-0.1,2023-2024,ligue-1
abou lo,Metz,1,0,0.0,0.1,0.1,0.13,-0.1,2023-2024,ligue-1
bradley locko,Brest,12,2,0.0,0.3,0.3,0.02,-0.3,2023-2024,ligue-1
renan lodi,Marseille,6,2,0.0,0.3,0.3,0.05,-0.3,2023-2024,ligue-1
elysee logbo,Le Havre,4,0,0.0,0.3,0.3,0.08,-0.3,2023-2024,ligue-1
