Player,Squad,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG,Season,Competition
sam beukema,Bologna,12,4,0.08,1.9,1.9,0.16,-0.9,2023-2024,serie-a
jaka bijol,Udinese,15,2,0.0,1.9,1.9,0.13,-1.9,2023-2024,serie-a
el bilal toure,Atalanta,12,4,0.17,1.2,1.2,0.1,0.8,2023-2024,serie-a
cristiano biraghi,Fiorentina,16,5,0.13,1.6,0.8,0.05,0.4,2023-2024,serie-a
davide biraschi,Genoa,1,1,1.0,0.1,0.1,0.1,0.9,2023-2024,serie-a
samuele birindelli,Monza,25,9,0.0,1.1,1.1,0.04,-1.1,2023-2024,serie-a
alexis blin,Lecce,13,2,0.0,1.1,1.1,0.08,-1.1,2023-2024,serie-a
jerome boateng,Salernitana,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
emil bohinen,Genoa,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
emil bohinen,Salernitana,4,0,0.0,0.1,0.1,0.02,-0.1,2023-2024,serie-a
daniel boloca,Sassuolo,13,4,0.08,0.5,0.5,0.04,0.5,2023-2024,serie-a
giacomo bonaventura,Fiorentina,51,13,0.16,5.7,4.4,0.09,2.3,2023-2024,serie-a
federico bonazzoli,Hellas Verona,27,13,0.11,2.9,2.9,0.11,0.1,2023-2024,serie-a
warren bondo,Monza,17,4,0.06,0.9,0.9,0.06,0.1,2023-2024,serie-a
giovanni bonfanti,Atalanta,1,0,0.0,0.1,0.1,0.09,-0.1,2023-2024,serie-a
kevin bonifazi,Bologna,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
kevin bonifazi,Frosinone,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
gennaro borrelli,Frosinone,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
erik botheim,Salernitana,1,0,0.0,0.1,0.1,0.11,-0.1,2023-2024,serie-a
mehdi bourabia,Frosinone,2,0,0.0,0.1,0.1,0.05,-0.1,2023-2024,serie-a
edoardo bove,Roma,19,6,0.0,2.0,2.0,0.1,-2.0,2023-2024,serie-a
domagoj bradaric,Salernitana,19,4,0.0,0.8,0.8,0.04,-0.8,2023-2024,serie-a
