Player,Squad,Fls,Off,Crosses,Recov,Aerialwon%,Season,Competition
marcelo brozovic,Inter,24,0,45,141,33.3,2022-2023,serie-a
cristian buonaiuto,Cremonese,17,1,70,65,21.4,2022-2023,serie-a
alessandro buongiorno,Torino,64,0,8,167,65.6,2022-2023,serie-a
leonardo buta,Udinese,0,0,2,0,,2022-2023,serie-a
arthur cabral,Fiorentina,26,2,4,39,50.0,2022-2023,serie-a
liberato cacace,Empoli,9,0,29,38,25.0,2022-2023,serie-a
davide calabria,Milan,16,1,41,122,52.0,2022-2023,serie-a
mattia caldara,Spezia,16,1,1,93,59.3,2022-2023,serie-a
luca caldirola,Monza,30,0,5,95,51.5,2022-2023,serie-a
hakan calhanoglu,Inter,46,2,167,193,48.3,2022-2023,serie-a
mohamed camara,Roma,15,0,6,59,65.2,2022-2023,serie-a
nicolo cambiaghi,Empoli,25,1,41,64,16.7,2022-2023,serie-a
andrea cambiaso,Bologna,26,5,56,154,11.1,2022-2023,serie-a
matteo cancellieri,Lazio,14,5,7,14,57.1,2022-2023,serie-a
antonio candreva,Salernitana,7,10,218,135,28.6,2022-2023,serie-a
gianluca caprari,Monza,34,9,76,101,22.2,2022-2023,serie-a
francesco caputo,Sampdoria,5,11,3,18,22.2,2022-2023,serie-a
francesco caputo,Empoli,13,23,6,36,37.0,2022-2023,serie-a
andrea carboni,Monza,1,0,5,8,0.0,2022-2023,serie-a
franco carboni,Monza,2,0,9,7,50.0,2022-2023,serie-a
valentin carboni,Inter,0,0,1,6,0.0,2022-2023,serie-a
marco carnesecchi,Cremonese,0,0,0,29,71.4,2022-2023,serie-a
nicolo casale,Lazio,22,0,0,142,62.5,2022-2023,serie-a
tommaso cassandro,Lecce,1,0,0,0,,2022-2023,serie-a
michele castagnetti,Cremonese,16,0,38,99,39.1,2022-2023,serie-a
gaetano castrovilli,Fiorentina,12,1,12,36,26.7,2022-2023,serie-a
danilo cataldi,Lazio,12,0,44,159,16.7,2022-2023,serie-a
pietro ceccaroni,Lecce,0,0,0,3,,2022-2023,serie-a
federico ceccherini,Hellas Verona,31,0,6,102,63.8,2022-2023,serie-a
assan ceesay,Lecce,36,22,15,51,44.1,2022-2023,serie-a
emil ceide,Sassuolo,4,1,6,18,25.0,2022-2023,serie-a
zeki celik,Roma,26,2,42,96,45.8,2022-2023,serie-a
michele cerofolini,Fiorentina,0,0,0,4,,2022-2023,serie-a
federico chiesa,Juventus,13,2,43,41,16.7,2022-2023,serie-a
vlad chiriches,Cremonese,16,0,0,67,45.0,2022-2023,serie-a
daniel ciofani,Cremonese,9,6,2,28,34.3,2022-2023,serie-a
tio cipot,Spezia,1,0,7,8,33.3,2022-2023,serie-a
patrick ciurria,Monza,32,8,98,138,48.0,2022-2023,serie-a
nicolo cocetta,Udinese,0,0,0,3,,2022-2023,serie-a
omar colley,Sampdoria,15,1,0,73,47.4,2022-2023,serie-a
lorenzo colombo,Lecce,36,8,10,52,25.8,2022-2023,serie-a
andrea colpani,Monza,22,0,33,55,37.5,2022-2023,serie-a
andrea consigli,Sassuolo,0,0,0,32,90.0,2022-2023,serie-a
andrea conti,Sampdoria,0,1,0,1,,2022-2023,serie-a
diego coppola,Hellas Verona,10,0,3,70,58.0,2022-2023,serie-a
alex cordaz,Inter,0,0,0,0,,2022-2023,serie-a
joaquin correa,Inter,12,2,2,41,25.0,2022-2023,serie-a
alessandro cortinovis,Hellas Verona,0,0,1,0,0.0,2022-2023,serie-a
lassana coulibaly,Salernitana,53,1,10,222,43.3,2022-2023,serie-a
alessio cragno,Monza,0,0,0,2,,2022-2023,serie-a
bryan cristante,Roma,52,2,11,209,64.7,2022-2023,serie-a
domen crnigoj,Salernitana,6,0,0,21,41.7,2022-2023,serie-a
juan cuadrado,Juventus,33,2,83,115,45.8,2022-2023,serie-a
mickael cuisance,Sampdoria,8,1,20,40,29.4,2022-2023,serie-a
marco dalessandro,Monza,6,1,13,19,50.0,2022-2023,serie-a
danilo dambrosio,Inter,16,0,9,39,47.1,2022-2023,serie-a
luca dandrea,Sassuolo,4,1,7,13,40.0,2022-2023,serie-a
flavius daniliuc,Salernitana,33,0,0,132,58.2,2022-2023,serie-a
danilo,Juventus,33,0,18,196,58.2,2022-2023,serie-a
matteo darmian,Inter,21,3,28,121,39.5,2022-2023,serie-a
juan david cabal,Hellas Verona,7,1,8,41,54.5,2022-2023,serie-a
pawe dawidowicz,Hellas Verona,37,1,13,120,61.4,2022-2023,serie-a
charles de ketelaere,Milan,19,2,10,56,38.8,2022-2023,serie-a
