Player,Squad,Fls,Off,Crosses,Recov,Aerialwon%,Season,Competition
abner,Betis,8,0,13,43,36.0,2022-2023,laliga
alvaro aceves,Valladolid,0,0,0,2,50.0,2022-2023,laliga
marcos acuna,Sevilla,32,1,147,141,62.5,2022-2023,laliga
julen agirrezabala,Athletic Club,0,0,0,14,100.0,2022-2023,laliga
alvaro aguado,Valladolid,13,0,57,130,46.9,2022-2023,laliga
joseph aidoo,Celta Vigo,18,0,2,214,50.0,2022-2023,laliga
sergio akieme,Almería,20,0,70,127,48.3,2022-2023,laliga
babatunde akinsola,Valladolid,0,0,0,1,,2022-2023,laliga
paul akouokou,Betis,7,0,0,27,46.2,2022-2023,laliga
david alaba,Real Madrid,9,0,26,94,57.9,2022-2023,laliga
angel alarcon,Barcelona,2,0,1,1,0.0,2022-2023,laliga
tomas alarcon,Cádiz,4,0,6,14,75.0,2022-2023,laliga
jordi alba,Barcelona,11,10,91,118,34.8,2022-2023,laliga
raul albiol,Villarreal,17,1,1,108,60.3,2022-2023,laliga
ruben alcaraz,Cádiz,45,0,44,159,50.8,2022-2023,laliga
omar alderete,Getafe,35,0,7,141,66.3,2022-2023,laliga
ivan alejo,Cádiz,38,2,108,76,59.5,2022-2023,laliga
carles alena,Getafe,60,3,43,120,28.3,2022-2023,laliga
alejandro alfaro,Elche,2,0,0,0,,2022-2023,laliga
angel algobia,Getafe,31,0,11,68,25.0,2022-2023,laliga
mohamed ali cho,Real Sociedad,11,3,30,34,25.0,2022-2023,laliga
domingos andre ribeiro almeida,Valencia,31,1,127,161,32.6,2022-2023,laliga
marcos alonso,Barcelona,10,0,23,85,72.2,2022-2023,laliga
carlos alvarez,Sevilla,1,0,0,0,,2022-2023,laliga
gaston alvarez,Getafe,27,0,23,53,50.0,2022-2023,laliga
yeray alvarez,Athletic Club,22,1,9,194,58.5,2022-2023,laliga
selim amallah,Valladolid,10,1,2,10,46.7,2022-2023,laliga
amath,Mallorca,35,7,16,62,29.6,2022-2023,laliga
jordan amavi,Getafe,3,1,6,15,72.7,2022-2023,laliga
marcos andre,Valencia,9,1,1,9,40.0,2022-2023,laliga
fabrizio angileri,Getafe,7,0,12,19,63.0,2022-2023,laliga
josep antoni gaya,Mallorca,0,0,0,5,50.0,2022-2023,laliga
jose antonio,Cádiz,0,0,1,2,,2022-2023,laliga
anuar,Valladolid,3,1,1,10,28.6,2022-2023,laliga
mauro arambarri,Getafe,21,0,42,63,55.6,2022-2023,laliga
ronald araujo,Barcelona,16,1,5,94,63.0,2022-2023,laliga
adu ares,Athletic Club,2,0,8,7,100.0,2022-2023,laliga
sergio arribas,Real Madrid,0,0,1,2,,2022-2023,laliga
roberto arroyo,Valladolid,0,0,1,0,,2022-2023,laliga
ricard artero,Girona,2,0,0,8,50.0,2022-2023,laliga
santiago arzamendia,Cádiz,4,1,14,46,50.0,2022-2023,laliga
sergio asenjo,Valladolid,0,0,0,22,,2022-2023,laliga
marco asensio,Real Madrid,10,4,82,45,60.0,2022-2023,laliga
iago aspas,Celta Vigo,16,12,45,103,40.8,2022-2023,laliga
pierreemerick aubameyang,Barcelona,0,0,0,1,,2022-2023,laliga
ludwig augustinsson,Mallorca,1,0,6,13,80.0,2022-2023,laliga
ezequiel avila,Osasuna,25,14,81,54,41.2,2022-2023,laliga
iddrisu baba,Mallorca,31,0,0,122,56.9,2022-2023,laliga
sran babic,Almería,24,2,2,136,60.7,2022-2023,laliga
loic bade,Sevilla,13,0,4,97,55.7,2022-2023,laliga
edgar badia,Elche,1,0,0,33,88.9,2022-2023,laliga
alex baena,Villarreal,58,3,26,100,3.7,2022-2023,laliga
alejandro balde,Barcelona,27,5,67,145,51.4,2022-2023,laliga
mikel balenziaga,Athletic Club,3,0,3,6,,2022-2023,laliga
ivan balliu,Rayo Vallecano,42,7,105,145,43.9,2022-2023,laliga
leo baptistao,Almería,30,10,18,104,40.3,2022-2023,laliga
keidi bare,Espanyol,11,0,6,25,35.7,2022-2023,laliga
kike barja,Osasuna,18,7,110,65,42.1,2022-2023,laliga
ander barrenetxea,Real Sociedad,23,0,13,74,42.3,2022-2023,laliga
pablo barrios,Atlético Madrid,7,0,6,49,40.0,2022-2023,laliga
rodrigo battaglia,Mallorca,11,0,1,29,57.9,2022-2023,laliga
bebe,Rayo Vallecano,2,0,16,6,0.0,2022-2023,laliga
hector bellerin,Barcelona,2,0,3,10,100.0,2022-2023,laliga
fran beltran,Celta Vigo,26,2,51,196,27.3,2022-2023,laliga
iker benito,Osasuna,2,1,6,14,20.0,2022-2023,laliga
karim benzema,Real Madrid,10,22,3,35,51.9,2022-2023,laliga
yuri berchiche,Athletic Club,31,5,66,173,66.2,2022-2023,laliga
alex berenguer,Athletic Club,48,19,162,114,45.5,2022-2023,laliga
pedro bigas,Elche,17,0,5,123,68.9,2022-2023,laliga
el bilal toure,Almería,25,13,4,46,48.9,2022-2023,laliga
antonio blanco,Cádiz,2,0,0,7,100.0,2022-2023,laliga
lautaro blanco,Elche,7,2,86,49,0.0,2022-2023,laliga
theo bongonda,Cádiz,15,6,68,96,51.9,2022-2023,laliga
yassine bounou,Sevilla,0,0,0,34,66.7,2022-2023,laliga
lucas boye,Elche,61,14,15,104,46.2,2022-2023,laliga
martin braithwaite,Espanyol,20,13,20,58,44.9,2022-2023,laliga
darko brasanac,Osasuna,16,3,7,50,50.0,2022-2023,laliga
claudio bravo,Betis,0,0,0,14,100.0,2022-2023,laliga
ante budimir,Osasuna,48,12,3,37,48.3,2022-2023,laliga
manu bueno,Sevilla,1,0,0,12,25.0,2022-2023,laliga
santiago bueno,Girona,37,2,4,144,64.3,2022-2023,laliga
