Player,Squad,Fls,Off,Crosses,Recov,Aerialwon%,Season,Competition
keyliane abdallah,Marseille,0,0,0,0,0.0,2023-2024,ligue1
yunis abdelhamid,Reims,26,0,3,149,62.2,2023-2024,ligue1
salis abdul samed,Lens,34,0,3,89,22.2,2023-2024,ligue1
laurent abergel,Lorient,36,1,34,226,51.7,2023-2024,ligue1
matthis abline,Nantes,10,6,7,39,35.7,2023-2024,ligue1
zakaria aboukhlal,Toulouse,17,8,5,21,46.2,2023-2024,ligue1
akor adams,Montpellier,39,26,12,55,43.9,2023-2024,ligue1
nathaniel adjei,Lorient,10,2,2,60,57.7,2023-2024,ligue1
adryelson,Lyon,0,0,0,0,,2023-2024,ligue1
adson,Nantes,4,0,2,11,0.0,2023-2024,ligue1
emmanuel agbadou,Reims,31,2,6,217,58.4,2023-2024,ligue1
ruben aguilar,Lens,20,3,75,106,51.1,2023-2024,ligue1
tosin aiyegun,Lorient,13,3,8,33,37.5,2023-2024,ligue1
sergio akieme,Reims,17,0,21,40,60.0,2023-2024,ligue1
maghnes akliouche,Monaco,33,1,54,110,17.4,2023-2024,ligue1
paul akouokou,Lyon,9,0,0,25,61.5,2023-2024,ligue1
aboubacar ali,Strasbourg,4,0,6,5,16.7,2023-2024,ligue1
mohamed ali cho,Nice,17,3,44,30,29.4,2023-2024,ligue1
nabil alioui,Le Havre,10,5,54,36,50.0,2023-2024,ligue1
jim allevinah,Clermont Foot,15,1,47,100,38.1,2023-2024,ligue1
skelly alvero,Lyon,12,0,2,20,56.3,2023-2024,ligue1
papa amadou diallo,Metz,10,4,14,59,45.5,2023-2024,ligue1
jordan amavi,Brest,2,0,1,7,100.0,2023-2024,ligue1
kelvin amian,Nantes,13,0,14,19,60.0,2023-2024,ligue1
michael amir murillo,Marseille,10,6,16,60,57.7,2023-2024,ligue1
benjamin andre,Lille,51,1,19,195,58.2,2023-2024,ligue1
komnen andric,Clermont Foot,2,1,1,4,20.0,2023-2024,ligue1
angelo,Strasbourg,12,2,42,82,22.2,2023-2024,ligue1
stredair appuah,Nantes,1,0,2,4,100.0,2023-2024,ligue1
yoel armougom,Clermont Foot,1,0,14,6,40.0,2023-2024,ligue1
hakon arnar haraldsson,Lille,15,1,7,48,11.1,2023-2024,ligue1
mohamed el arouch,Lyon,0,0,0,1,0.0,2023-2024,ligue1
marco asensio,Paris S-G,8,0,52,43,40.0,2023-2024,ligue1
joel asoro,Metz,18,4,19,32,53.1,2023-2024,ligue1
lorenz assignon,Rennes,22,1,22,67,39.3,2023-2024,ligue1
youcef atal,Nice,3,0,6,28,50.0,2023-2024,ligue1
valentin atangana edoa,Reims,19,0,5,28,40.0,2023-2024,ligue1
arthur atta,Metz,18,4,10,54,36.7,2023-2024,ligue1
pierreemerick aubameyang,Marseille,9,21,42,67,40.0,2023-2024,ligue1
andre ayew,Le Havre,15,4,4,40,41.5,2023-2024,ligue1
neil el aynaoui,Lens,21,1,7,94,48.4,2023-2024,ligue1
abdellah baallal,Clermont Foot,0,0,0,1,100.0,2023-2024,ligue1
shavy babicka,Toulouse,5,1,13,18,45.5,2023-2024,ligue1
aliou badara balde,Nice,2,0,4,6,33.3,2023-2024,ligue1
tiemoue bakayoko,Lorient,25,2,1,94,58.5,2023-2024,ligue1
dilane bakwa,Strasbourg,32,3,155,114,35.3,2023-2024,ligue1
carlos baleba,Lille,2,0,0,2,,2023-2024,ligue1
leonardo balerdi,Marseille,25,1,2,167,61.3,2023-2024,ligue1
folarin balogun,Monaco,31,14,7,48,19.5,2023-2024,ligue1
mohamed bamba,Lorient,22,11,2,35,44.2,2023-2024,ligue1
mamady bangre,Toulouse,3,1,4,12,25.0,2023-2024,ligue1
bradley barcola,Lyon,4,2,0,11,81.8,2023-2024,ligue1
bradley barcola,Paris S-G,22,4,18,52,47.6,2023-2024,ligue1
melvin bard,Nice,40,1,70,204,44.2,2023-2024,ligue1
steven baseya,Strasbourg,0,0,0,2,0.0,2023-2024,ligue1
mohamed bechikh,Strasbourg,0,0,0,0,,2023-2024,ligue1
yanis begraoui,Toulouse,5,1,5,13,33.3,2023-2024,ligue1
jeremie bela,Clermont Foot,0,0,14,8,25.0,2023-2024,ligue1
reda belahyane,Nice,0,0,0,5,,2023-2024,ligue1
alaa bellaarouch,Strasbourg,0,0,0,18,100.0,2023-2024,ligue1
jeanricner bellegarde,Strasbourg,3,0,8,19,0.0,2023-2024,ligue1
jeanuel belocian,Rennes,12,0,13,69,50.0,2023-2024,ligue1
eliesse ben seghir,Monaco,6,1,13,19,38.5,2023-2024,ligue1
wissam ben yedder,Monaco,11,32,9,72,34.9,2023-2024,ligue1
said benrahma,Lyon,1,7,67,41,6.3,2023-2024,ligue1
nabil bentaleb,Lille,23,0,6,142,64.9,2023-2024,ligue1
lucas beraldo,Paris S-G,12,0,2,63,50.0,2023-2024,ligue1
dimitry bertaud,Montpellier,0,0,0,7,100.0,2023-2024,ligue1
marco bizot,Brest,1,0,0,35,75.0,2023-2024,ligue1
ruben blanco,Marseille,0,0,0,1,100.0,2023-2024,ligue1
ludovic blas,Rennes,44,3,53,85,22.7,2023-2024,ligue1
myron boadu,Monaco,3,1,0,3,14.3,2023-2024,ligue1
jeremie boga,Nice,7,9,88,73,42.9,2023-2024,ligue1
adama bojang,Reims,4,1,1,3,25.0,2023-2024,ligue1
neto borges,Clermont Foot,21,8,79,156,45.1,2023-2024,ligue1
saimon bouabre,Monaco,1,1,0,0,,2023-2024,ligue1
ayyoub bouaddi,Lille,8,0,2,17,33.3,2023-2024,ligue1
badredine bouanani,Nice,4,1,8,8,0.0,2023-2024,ligue1
badredine bouanani,Lorient,1,0,10,18,0.0,2023-2024,ligue1
mohamed bouchenna,Clermont Foot,1,0,0,6,,2023-2024,ligue1
hicham boudaoui,Nice,25,1,23,88,44.9,2023-2024,ligue1
benjamin bourigeaud,Rennes,16,2,165,102,35.5,2023-2024,ligue1
bilal boutobba,Clermont Foot,7,2,57,54,50.0,2023-2024,ligue1
hugo boutsingkham,Nantes,0,0,0,0,,2023-2024,ligue1
bilal brahimi,Nice,0,0,2,2,,2023-2024,ligue1
bilal brahimi,Brest,3,2,32,14,50.0,2023-2024,ligue1
lilian brassier,Brest,34,1,5,180,61.1,2023-2024,ligue1
maxime busi,Reims,1,0,4,13,66.7,2023-2024,ligue1
marcin buka,Nice,0,0,0,52,80.0,2023-2024,ligue1
remy cabella,Lille,16,3,51,87,29.2,2023-2024,ligue1
duje caletacar,Lyon,16,0,0,86,79.2,2023-2024,ligue1
lamine camara,Metz,45,1,119,180,29.7,2023-2024,ligue1
mahdi camara,Brest,37,3,45,77,51.6,2023-2024,ligue1
mohamed camara,Monaco,25,0,1,85,46.7,2023-2024,ligue1
axel camblan,Brest,3,0,1,4,14.3,2023-2024,ligue1
fali cande,Metz,14,0,8,93,57.7,2023-2024,ligue1
gino caoki,Lorient,0,0,1,2,,2023-2024,ligue1
maxence caqueret,Lyon,34,1,86,236,42.9,2023-2024,ligue1
igor carioca,Lorient,7,0,10,18,44.4,2023-2024,ligue1
antonin cartillier,Monaco,0,0,0,1,,2023-2024,ligue1
josue casimir,Le Havre,25,7,52,107,45.7,2023-2024,ligue1
cristian casseres jr,Toulouse,42,0,22,136,36.6,2023-2024,ligue1
jeancharles castelletto,Nantes,33,2,20,138,61.4,2023-2024,ligue1
maximiliano caufriez,Clermont Foot,39,0,4,72,52.8,2023-2024,ligue1
ivan cavaleiro,Lille,10,2,29,31,40.5,2023-2024,ligue1
fabien centonze,Nantes,2,0,7,7,50.0,2023-2024,ligue1
fares chaibi,Toulouse,1,0,7,3,100.0,2023-2024,ligue1
