Player,Pos,Squad,Height,Value,Season,Competition
josep martinez,Goalkeeper,Inter Milan,1.91,12000000.0,2024-2025,serie-a
yann sommer,Goalkeeper,Inter Milan,1.83,4000000.0,2024-2025,serie-a
alessandro calligaris,Goalkeeper,Inter Milan,,350000.0,2024-2025,serie-a
raffaele di gennaro,Goalkeeper,Inter Milan,1.88,300000.0,2024-2025,serie-a
alain taho,Goalkeeper,Inter Milan,,,2024-2025,serie-a
alessandro bastoni,Centre-Back,Inter Milan,1.9,80000000.0,2024-2025,serie-a
yann bisseck,Centre-Back,Inter Milan,1.96,35000000.0,2024-2025,serie-a
benjamin pavard,Centre-Back,Inter Milan,1.86,25000000.0,2024-2025,serie-a
stefan de vrij,Centre-Back,Inter Milan,1.89,5000000.0,2024-2025,serie-a
tomas palacios,Centre-Back,Inter Milan,1.96,4000000.0,2024-2025,serie-a
francesco acerbi,Centre-Back,Inter Milan,1.92,3000000.0,2024-2025,serie-a
christos alexiou,Centre-Back,Inter Milan,1.86,800000.0,2024-2025,serie-a
alessandro fontanarosa,Centre-Back,Inter Milan,1.85,700000.0,2024-2025,serie-a
gabriele re cecconi,Centre-Back,Inter Milan,,700000.0,2024-2025,serie-a
federico dimarco,Left-Back,Inter Milan,1.75,50000000.0,2024-2025,serie-a
carlos augusto,Left-Back,Inter Milan,1.84,26000000.0,2024-2025,serie-a
matteo cocchi,Left-Back,Inter Milan,1.79,1500000.0,2024-2025,serie-a
matteo motta,Left-Back,Inter Milan,,200000.0,2024-2025,serie-a
denzel dumfries,Right-Back,Inter Milan,1.88,35000000.0,2024-2025,serie-a
matteo darmian,Right-Back,Inter Milan,1.83,2500000.0,2024-2025,serie-a
mike aidoo,Right-Back,Inter Milan,1.7,500000.0,2024-2025,serie-a
hakan calhanoglu,Defensive Midfield,Inter Milan,1.78,30000000.0,2024-2025,serie-a
petar sucic,Defensive Midfield,Inter Milan,1.83,14000000.0,2024-2025,serie-a
kristjan asllani,Defensive Midfield,Inter Milan,1.79,13000000.0,2024-2025,serie-a
mattia zanchetta,Defensive Midfield,Inter Milan,,450000.0,2024-2025,serie-a
nicolo barella,Central Midfield,Inter Milan,1.75,75000000.0,2024-2025,serie-a
davide frattesi,Central Midfield,Inter Milan,1.78,35000000.0,2024-2025,serie-a
piotr zielinski,Central Midfield,Inter Milan,1.8,10000000.0,2024-2025,serie-a
henrikh mkhitaryan,Central Midfield,Inter Milan,1.77,4000000.0,2024-2025,serie-a
thomas berenbruch,Central Midfield,Inter Milan,1.77,1500000.0,2024-2025,serie-a
luka topalovic,Central Midfield,Inter Milan,1.87,1500000.0,2024-2025,serie-a
luis henrique,Right Midfield,Inter Milan,1.81,25000000.0,2024-2025,serie-a
tajon buchanan,Right Midfield,Inter Milan,1.83,6000000.0,2024-2025,serie-a
nicola zalewski,Left Midfield,Inter Milan,1.75,12000000.0,2024-2025,serie-a
valentin carboni,Attacking Midfield,Inter Milan,1.85,12000000.0,2024-2025,serie-a
daniele quieto,Left Winger,Inter Milan,1.7,250000.0,2024-2025,serie-a
giacomo de pieri,Right Winger,Inter Milan,1.74,1500000.0,2024-2025,serie-a
sebastiano esposito,Second Striker,Inter Milan,1.83,8500000.0,2024-2025,serie-a
joaquin correa,Second Striker,Inter Milan,1.88,3000000.0,2024-2025,serie-a
lautaro martinez,Centre-Forward,Inter Milan,1.74,95000000.0,2024-2025,serie-a
marcus thuram,Centre-Forward,Inter Milan,1.92,75000000.0,2024-2025,serie-a
pio esposito,Centre-Forward,Inter Milan,1.91,25000000.0,2024-2025,serie-a
