nombre,club_actual,altura,valor,temporada,liga
ederson,manchester city,1.88,40000000.0,2022-2023,premier-league
stefan ortega,manchester city,1.85,9000000.0,2022-2023,premier-league
zack steffen,manchester city,1.91,3500000.0,2022-2023,premier-league
scott carson,manchester city,1.88,200000.0,2022-2023,premier-league
ruben dias,manchester city,1.87,80000000.0,2022-2023,premier-league
nathan ake,manchester city,1.8,42000000.0,2022-2023,premier-league
john stones,manchester city,1.88,40000000.0,2022-2023,premier-league
manuel akanji,manchester city,1.88,38000000.0,2022-2023,premier-league
aymeric laporte,manchester city,1.91,25000000.0,2022-2023,premier-league
luke mbete,manchester city,1.85,2000000.0,2022-2023,premier-league
josh wilsonesbrand,manchester city,1.76,1500000.0,2022-2023,premier-league
benjamin mendy,manchester city,1.85,,2022-2023,premier-league
joao cancelo,manchester city,1.82,50000000.0,2022-2023,premier-league
rico lewis,manchester city,1.7,20000000.0,2022-2023,premier-league
kyle walker,manchester city,1.83,13000000.0,2022-2023,premier-league
rodri,manchester city,1.91,90000000.0,2022-2023,premier-league
kalvin phillips,manchester city,1.79,32000000.0,2022-2023,premier-league
maximo perrone,manchester city,1.77,10000000.0,2022-2023,premier-league
claudio gomes,manchester city,1.71,1400000.0,2022-2023,premier-league
shea charles,manchester city,1.89,,2022-2023,premier-league
ilkay gundogan,manchester city,1.8,20000000.0,2022-2023,premier-league
alex robertson,manchester city,1.82,50000.0,2022-2023,premier-league
bernardo silva,manchester city,1.73,80000000.0,2022-2023,premier-league
kevin de bruyne,manchester city,1.81,70000000.0,2022-2023,premier-league
cole palmer,manchester city,1.85,15000000.0,2022-2023,premier-league
nico oreilly,manchester city,1.93,,2022-2023,premier-league
jack grealish,manchester city,1.8,75000000.0,2022-2023,premier-league
sergio gomez,manchester city,1.71,13000000.0,2022-2023,premier-league
phil foden,manchester city,1.71,110000000.0,2022-2023,premier-league
riyad mahrez,manchester city,1.79,20000000.0,2022-2023,premier-league
ben knight,manchester city,1.7,300000.0,2022-2023,premier-league
erling haaland,manchester city,1.95,180000000.0,2022-2023,premier-league
julian alvarez,manchester city,1.7,60000000.0,2022-2023,premier-league
liam delap,manchester city,1.86,5000000.0,2022-2023,premier-league
aaron ramsdale,arsenal fc,1.9,40000000.0,2022-2023,premier-league
matt turner,arsenal fc,1.91,8000000.0,2022-2023,premier-league
karl hein,arsenal fc,1.93,1500000.0,2022-2023,premier-league
james hillson,arsenal fc,1.87,,2022-2023,premier-league
william saliba,arsenal fc,1.92,65000000.0,2022-2023,premier-league
gabriel magalhaes,arsenal fc,1.9,55000000.0,2022-2023,premier-league
jakub kiwior,arsenal fc,1.89,25000000.0,2022-2023,premier-league
auston trusty,arsenal fc,1.9,10000000.0,2022-2023,premier-league
rob holding,arsenal fc,1.89,8000000.0,2022-2023,premier-league
oleksandr zinchenko,arsenal fc,1.75,42000000.0,2022-2023,premier-league
kieran tierney,arsenal fc,1.8,25000000.0,2022-2023,premier-league
lino sousa,arsenal fc,1.85,500000.0,2022-2023,premier-league
ben white,arsenal fc,1.86,55000000.0,2022-2023,premier-league
takehiro tomiyasu,arsenal fc,1.88,25000000.0,2022-2023,premier-league
ainsley maitlandniles,arsenal fc,1.8,8000000.0,2022-2023,premier-league
cedric soares,arsenal fc,1.71,3000000.0,2022-2023,premier-league
reuell walters,arsenal fc,1.86,,2022-2023,premier-league
thomas partey,arsenal fc,1.85,35000000.0,2022-2023,premier-league
jorginho,arsenal fc,1.8,25000000.0,2022-2023,premier-league
granit xhaka,arsenal fc,1.86,20000000.0,2022-2023,premier-league
mohamed elneny,arsenal fc,1.79,6000000.0,2022-2023,premier-league
bradley ibrahim,arsenal fc,1.85,400000.0,2022-2023,premier-league
albert sambi lokonga,arsenal fc,1.83,15000000.0,2022-2023,premier-league
matt smith,arsenal fc,1.76,350000.0,2022-2023,premier-league
catalin cirjan,arsenal fc,1.74,250000.0,2022-2023,premier-league
mauro bandeira,arsenal fc,1.78,,2022-2023,premier-league
martin degaard,arsenal fc,1.78,90000000.0,2022-2023,premier-league
emile smith rowe,arsenal fc,1.82,35000000.0,2022-2023,premier-league
fabio vieira,arsenal fc,1.7,25000000.0,2022-2023,premier-league
gabriel martinelli,arsenal fc,1.78,80000000.0,2022-2023,premier-league
leandro trossard,arsenal fc,1.72,35000000.0,2022-2023,premier-league
charles sagoe jr,arsenal fc,,,2022-2023,premier-league
bukayo saka,arsenal fc,1.78,120000000.0,2022-2023,premier-league
nicolas pepe,arsenal fc,1.83,18000000.0,2022-2023,premier-league
marquinhos,arsenal fc,1.75,12000000.0,2022-2023,premier-league
