nombre,club_actual,entradas_1/3,entradas_2/3,entradas_3/3,duelos_ganados,entradas,entradas_ganadas,bloqueos,bloqueos_tiro,bloqueos_pase,temporada,liga
thomas kristensen,udinese,25,10,0,63.6,35,24,29,20,9,2023-2024,serie-a
nikola krstovic,lecce,3,9,5,60.0,17,6,12,4,8,2023-2024,serie-a
rade krunic,milan,3,6,1,44.4,10,8,7,3,4,2023-2024,serie-a
marash kumbulla,sassuolo,2,1,0,50.0,3,2,8,6,2,2023-2024,serie-a
justin kumi,sassuolo,0,0,0,,0,0,0,0,0,2023-2024,serie-a
berkan kutlu,genoa,5,1,0,50.0,6,4,3,0,3,2023-2024,serie-a
khvicha kvaratskhelia,napoli,11,19,12,30.6,42,21,15,1,14,2023-2024,serie-a
giorgi kvernadze,frosinone,2,0,1,100.0,3,0,1,0,1,2023-2024,serie-a
giorgos kyriakopoulos,monza,16,3,0,45.8,19,10,18,1,17,2023-2024,serie-a
gianluca lapadula,cagliari,0,0,1,10.0,1,1,2,1,1,2023-2024,serie-a
armand lauriente,sassuolo,8,14,9,29.5,31,20,29,4,25,2023-2024,serie-a
valentino lazaro,torino,7,9,2,68.4,18,11,14,1,13,2023-2024,serie-a
darko lazovic,hellas verona,11,6,9,51.6,26,16,10,1,9,2023-2024,serie-a
manuel lazzari,lazio,13,10,3,64.3,26,18,20,4,16,2023-2024,serie-a
nicola leali,genoa,0,0,0,,0,0,0,0,0,2023-2024,serie-a
rafael leao,milan,3,8,5,61.5,16,10,15,1,14,2023-2024,serie-a
jesper lindstrm,napoli,2,3,3,50.0,8,3,3,0,3,2023-2024,serie-a
karol linetty,torino,9,20,1,31.0,30,21,24,8,16,2023-2024,serie-a
luca lipani,sassuolo,4,3,2,27.3,9,7,9,2,7,2023-2024,serie-a
pol lirola,frosinone,14,15,1,48.6,30,18,12,1,11,2023-2024,serie-a
marcin listkowski,lecce,0,0,0,,0,0,0,0,0,2023-2024,serie-a
diego llorente,roma,20,10,1,45.8,31,19,40,27,13,2023-2024,serie-a
stanislav lobotka,napoli,18,30,13,40.0,61,39,30,8,22,2023-2024,serie-a
manuel locatelli,juventus,24,35,10,53.4,69,43,43,17,26,2023-2024,serie-a
ruben loftuscheek,milan,7,14,7,55.6,28,18,24,12,12,2023-2024,serie-a
ademola lookman,atalanta,2,11,7,36.4,20,15,19,0,19,2023-2024,serie-a
maxime lopez,fiorentina,5,10,3,50.0,18,9,3,1,2,2023-2024,serie-a
maxime lopez,sassuolo,1,1,0,50.0,2,1,1,1,0,2023-2024,serie-a
matteo lovato,torino,5,5,0,80.0,10,7,9,5,4,2023-2024,serie-a
matteo lovato,salernitana,17,8,2,66.7,27,14,14,7,7,2023-2024,serie-a
sandi lovric,udinese,9,11,5,39.1,25,12,21,2,19,2023-2024,serie-a
lorenzo lucca,udinese,4,11,4,25.0,19,11,18,3,15,2023-2024,serie-a
