nombre,club_actual,entradas_1/3,entradas_2/3,entradas_3/3,duelos_ganados,entradas,entradas_ganadas,bloqueos,bloqueos_tiro,bloqueos_pase,temporada,liga
ivan ordets,bochum,21,9,1,57.1,31,19,34,17,17,2022-2023,bundesliga
jordi oseitutu,bochum,13,5,5,52.2,23,18,12,5,7,2022-2023,bundesliga
patrick osterhage,bochum,8,10,2,68.8,20,17,17,6,11,2022-2023,bundesliga
paulo otavio,wolfsburg,46,17,9,66.7,72,46,42,6,36,2022-2023,bundesliga
thomas ouwejan,schalke,13,5,2,60.0,20,8,17,4,13,2022-2023,bundesliga
reece oxford,augsburg,1,0,0,,1,1,4,3,1,2022-2023,bundesliga
salih ozcan,dortmund,10,16,5,41.0,31,18,24,2,22,2022-2023,bundesliga
levin oztunal,union berlin,0,0,0,0.0,0,0,0,0,0,2022-2023,bundesliga
exequiel palacios,leverkusen,20,33,6,60.4,59,36,29,2,27,2022-2023,bundesliga
milos pantovic,union berlin,4,0,0,60.0,4,2,3,0,3,2022-2023,bundesliga
antonios papadopoulos,dortmund,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
kevin paredes,wolfsburg,6,3,4,75.0,13,9,7,0,7,2022-2023,bundesliga
marco pasalic,dortmund,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
felix passlack,dortmund,0,4,0,100.0,4,3,1,1,0,2022-2023,bundesliga
paulinho,leverkusen,0,0,0,,0,0,1,0,1,2022-2023,bundesliga
benjamin pavard,bayern munich,36,26,8,75.0,70,41,35,16,19,2022-2023,bundesliga
jiri pavlenka,werder bremen,1,0,0,20.0,1,0,1,0,1,2022-2023,bundesliga
kristian pedersen,koln,4,1,0,0.0,5,4,3,0,3,2022-2023,bundesliga
mads pedersen,augsburg,31,11,2,66.7,44,23,32,9,23,2022-2023,bundesliga
jordan pefok,union berlin,3,4,8,11.8,15,7,17,5,12,2022-2023,bundesliga
dzenan pejcinovic,wolfsburg,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
peter pekarik,hertha bsc,4,0,0,66.7,4,3,6,2,4,2022-2023,bundesliga
luca pellegrini,eint frankfurt,10,3,0,100.0,13,8,8,2,6,2022-2023,bundesliga
ricardo pepi,augsburg,1,0,0,100.0,1,1,1,0,1,2022-2023,bundesliga
juan perea,stuttgart,0,2,3,50.0,5,4,2,1,1,2022-2023,bundesliga
nils petersen,freiburg,0,3,3,40.0,6,4,11,2,9,2022-2023,bundesliga
lukas petkov,augsburg,4,1,0,66.7,5,1,4,1,3,2022-2023,bundesliga
luca pfeiffer,stuttgart,1,0,0,0.0,1,1,4,0,4,2022-2023,bundesliga
maximilian philipp,wolfsburg,1,1,0,100.0,2,1,1,0,1,2022-2023,bundesliga
maximilian philipp,werder bremen,3,2,1,11.1,6,5,7,1,6,2022-2023,bundesliga
amos pieper,werder bremen,25,19,2,60.0,46,28,23,11,12,2022-2023,bundesliga
marvin plattenhardt,hertha bsc,24,15,4,61.7,43,33,25,11,14,2022-2023,bundesliga
alassane plea,gladbach,5,7,4,30.8,16,8,23,3,20,2022-2023,bundesliga
joel pohjanpalo,leverkusen,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
sebastian polter,schalke,0,4,0,25.0,4,3,4,0,4,2022-2023,bundesliga
stefan posch,hoffenheim,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
yussuf poulsen,rb leipzig,1,4,1,40.0,6,4,3,1,2,2022-2023,bundesliga
grischa promel,hoffenheim,14,11,2,36.0,27,19,22,4,18,2022-2023,bundesliga
tymoteusz puchacz,union berlin,1,0,0,,1,0,0,0,0,2022-2023,bundesliga
eduardo quaresma,hoffenheim,3,2,0,33.3,5,3,3,2,1,2022-2023,bundesliga
joshua quarshie,hoffenheim,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
diant ramaj,eint frankfurt,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
nicolai rapp,werder bremen,3,0,0,0.0,3,1,0,0,0,2022-2023,bundesliga
david raum,rb leipzig,23,12,4,58.6,39,25,24,6,18,2022-2023,bundesliga
rocco reitz,gladbach,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
marco reus,dortmund,12,14,4,29.2,30,17,12,4,8,2022-2023,bundesliga
elvis rexhbecaj,augsburg,18,24,9,49.2,51,30,39,12,27,2022-2023,bundesliga
gio reyna,dortmund,2,5,7,50.0,14,7,8,2,6,2022-2023,bundesliga
marco richter,hertha bsc,18,17,8,39.6,43,23,29,2,27,2022-2023,bundesliga
manuel riemann,bochum,3,0,0,60.0,3,2,1,0,1,2022-2023,bundesliga
sebastian rode,eint frankfurt,7,28,3,31.1,38,24,18,2,16,2022-2023,bundesliga
agustin rogel,hertha bsc,13,5,0,64.7,18,9,15,8,7,2022-2023,bundesliga
merlin rohl,freiburg,1,0,0,,1,0,0,0,0,2022-2023,bundesliga
tony rolke,hertha bsc,0,0,0,,0,0,1,0,1,2022-2023,bundesliga
tom rothe,dortmund,0,1,0,100.0,1,1,0,0,0,2022-2023,bundesliga
jerome roussillon,wolfsburg,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
jerome roussillon,union berlin,6,8,2,66.7,16,9,7,2,5,2022-2023,bundesliga
sebastian rudy,hoffenheim,10,16,0,48.1,26,12,27,7,20,2022-2023,bundesliga
georginio rutter,hoffenheim,1,4,2,33.3,7,4,10,2,8,2022-2023,bundesliga
julian ryerson,union berlin,17,10,1,60.0,28,17,15,3,12,2022-2023,bundesliga
julian ryerson,dortmund,17,7,3,51.4,27,15,13,2,11,2022-2023,bundesliga
frederik rnnow,union berlin,0,0,0,0.0,0,0,0,0,0,2022-2023,bundesliga
marcel sabitzer,bayern munich,11,10,6,58.8,27,14,3,0,3,2022-2023,bundesliga
dikenirafid salifou,werder bremen,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
roland sallai,freiburg,4,3,4,40.0,11,8,7,1,6,2022-2023,bundesliga
diadie samassekou,hoffenheim,0,1,0,0.0,1,0,0,0,0,2022-2023,bundesliga
leroy sane,bayern munich,11,19,8,50.0,38,30,11,1,10,2022-2023,bundesliga
sidi sane,schalke,1,0,0,100.0,1,1,0,0,0,2022-2023,bundesliga
bouna sarr,bayern munich,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
joe scally,gladbach,25,5,1,77.4,31,20,17,6,11,2022-2023,bundesliga
kevin schade,freiburg,3,2,1,60.0,6,4,0,0,0,2022-2023,bundesliga
andras schafer,union berlin,7,12,2,42.9,21,9,12,2,10,2022-2023,bundesliga
derry scherhant,hertha bsc,3,3,1,50.0,7,6,3,0,3,2022-2023,bundesliga
patrik schick,leverkusen,0,0,0,0.0,0,0,4,1,3,2022-2023,bundesliga
kingsley schindler,koln,13,8,2,64.3,23,12,14,2,12,2022-2023,bundesliga
xaver schlager,rb leipzig,13,26,2,46.5,41,24,19,2,17,2022-2023,bundesliga
keven schlotterbeck,freiburg,0,0,0,,0,0,1,1,0,2022-2023,bundesliga
keven schlotterbeck,bochum,12,5,0,81.8,17,9,11,5,6,2022-2023,bundesliga
nico schlotterbeck,dortmund,34,24,1,69.8,59,34,38,21,17,2022-2023,bundesliga
jonathan schmid,freiburg,1,0,0,,1,1,1,0,1,2022-2023,bundesliga
romano schmid,werder bremen,5,13,6,45.5,24,15,21,3,18,2022-2023,bundesliga
kenneth schmidt,freiburg,4,2,0,83.3,6,3,4,2,2,2022-2023,bundesliga
niklas schmidt,werder bremen,12,11,2,46.4,25,10,10,0,10,2022-2023,bundesliga
benno schmitz,koln,31,28,5,51.2,64,42,34,4,30,2022-2023,bundesliga
marvin schwabe,koln,1,0,0,100.0,1,0,0,0,0,2022-2023,bundesliga
alexander schwolow,schalke,0,0,0,0.0,0,0,0,0,0,2022-2023,bundesliga
paul seguin,union berlin,9,4,4,44.4,17,8,6,0,6,2022-2023,bundesliga
davie selke,hertha bsc,1,1,0,0.0,2,1,3,1,2,2022-2023,bundesliga
davie selke,koln,0,0,0,0.0,0,0,4,1,3,2022-2023,bundesliga
suat serdar,hertha bsc,14,30,7,48.8,51,23,48,12,36,2022-2023,bundesliga
eniss shabani,mainz,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
kiliann sildillia,freiburg,10,19,4,60.0,33,20,24,9,15,2022-2023,bundesliga
andre silva,rb leipzig,2,5,5,37.5,12,6,11,1,10,2022-2023,bundesliga
mohamed simakan,rb leipzig,12,5,4,66.7,21,14,21,4,17,2022-2023,bundesliga
daley sinkgraven,leverkusen,7,3,0,77.8,10,7,8,4,4,2022-2023,bundesliga
tobias sippel,gladbach,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
hugo siquet,freiburg,2,0,0,100.0,2,2,1,0,1,2022-2023,bundesliga
tim skarke,union berlin,0,0,1,,1,1,1,0,1,2022-2023,bundesliga
tim skarke,schalke,3,8,2,72.7,13,7,5,0,5,2022-2023,bundesliga
ellyes skhiri,koln,29,42,8,39.4,79,44,52,12,40,2022-2023,bundesliga
robert skov,hoffenheim,14,7,1,38.5,22,11,22,8,14,2022-2023,bundesliga
hrvoje smolcic,eint frankfurt,6,2,0,50.0,8,7,11,4,7,2022-2023,bundesliga
danilo soares,bochum,42,23,7,59.7,72,46,29,6,23,2022-2023,bundesliga
nikola soldo,koln,8,7,0,63.6,15,9,7,6,1,2022-2023,bundesliga
yann sommer,bayern munich,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
yann sommer,gladbach,1,0,0,100.0,1,0,0,0,0,2022-2023,bundesliga
borna sosa,stuttgart,18,8,1,65.6,27,21,20,5,15,2022-2023,bundesliga
djibril sow,eint frankfurt,13,25,3,50.0,41,25,22,4,18,2022-2023,bundesliga
anton stach,mainz,10,15,2,42.1,27,21,28,2,26,2022-2023,bundesliga
kostas stafylidis,bochum,13,8,6,41.7,27,16,21,8,13,2022-2023,bundesliga
jens stage,werder bremen,15,18,1,27.0,34,17,34,11,23,2022-2023,bundesliga
veit stange,hertha bsc,1,0,0,100.0,1,1,0,0,0,2022-2023,bundesliga
josip stanisic,bayern munich,14,2,3,70.6,19,11,9,1,8,2022-2023,bundesliga
niklas stark,werder bremen,29,24,3,64.3,56,36,24,13,11,2022-2023,bundesliga
pascal stenzel,stuttgart,8,4,0,55.6,12,8,9,2,7,2022-2023,bundesliga
angelo stiller,hoffenheim,9,13,4,66.7,26,12,12,2,10,2022-2023,bundesliga
lars stindl,gladbach,4,17,3,35.7,24,14,24,5,19,2022-2023,bundesliga
kevin stoger,bochum,38,32,14,33.0,84,45,27,4,23,2022-2023,bundesliga
niklas sule,dortmund,18,3,4,60.9,25,19,28,19,9,2022-2023,bundesliga
ivan sunjic,hertha bsc,16,21,1,66.7,38,20,17,5,12,2022-2023,bundesliga
mattias svanberg,wolfsburg,8,16,1,33.3,25,16,27,5,22,2022-2023,bundesliga
dominik szoboszlai,rb leipzig,12,20,13,40.5,45,28,43,2,41,2022-2023,bundesliga
alexander srloth,rb leipzig,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
jonathan tah,leverkusen,21,4,0,66.7,25,12,30,18,12,2022-2023,bundesliga
edmond tapsoba,leverkusen,35,12,4,71.4,51,30,40,17,23,2022-2023,bundesliga
niklas tauer,mainz,2,0,0,33.3,2,1,2,1,1,2022-2023,bundesliga
mathys tel,bayern munich,0,1,1,100.0,2,2,5,1,4,2022-2023,bundesliga
semir telalovic,gladbach,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
simon terodde,schalke,4,7,4,21.4,15,8,6,2,4,2022-2023,bundesliga
malick thiaw,schalke,2,1,0,50.0,3,1,4,3,1,2022-2023,bundesliga
jan thielmann,koln,3,4,2,18.2,9,8,16,3,13,2022-2023,bundesliga
morten thorsby,union berlin,9,11,2,61.9,22,10,11,5,6,2022-2023,bundesliga
marcus thuram,gladbach,3,6,5,46.2,14,7,20,3,17,2022-2023,bundesliga
steffen tigges,koln,1,8,3,28.6,12,7,13,2,11,2022-2023,bundesliga
umut tohumcu,hoffenheim,4,5,1,33.3,10,5,4,0,4,2022-2023,bundesliga
tiago tomas,stuttgart,2,4,4,61.5,10,4,9,2,7,2022-2023,bundesliga
almamy toure,eint frankfurt,7,5,1,55.6,13,7,9,2,7,2022-2023,bundesliga
lucas tousart,hertha bsc,35,28,10,45.0,73,38,42,6,36,2022-2023,bundesliga
kevin trapp,eint frankfurt,1,0,0,0.0,1,1,2,0,2,2022-2023,bundesliga
christopher trimmel,union berlin,16,12,3,64.5,31,16,14,1,13,2022-2023,bundesliga
tuta,eint frankfurt,27,19,7,57.9,53,35,47,14,33,2022-2023,bundesliga
sven ulreich,bayern munich,1,0,0,100.0,1,1,0,0,0,2022-2023,bundesliga
lauren ulrich,stuttgart,0,0,1,,1,1,0,0,0,2022-2023,bundesliga
dayot upamecano,bayern munich,43,22,0,62.2,65,37,26,6,20,2022-2023,bundesliga
filip uremovic,hertha bsc,29,8,1,63.6,38,23,18,13,5,2022-2023,bundesliga
jere uronen,schalke,6,6,2,60.0,14,10,5,2,3,2022-2023,bundesliga
mark uth,koln,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
josha vagnoman,stuttgart,12,11,3,55.6,26,15,20,2,18,2022-2023,bundesliga
ruben vargas,augsburg,6,7,2,45.5,15,7,8,2,6,2022-2023,bundesliga
renato veiga,augsburg,4,3,2,77.8,9,6,20,6,14,2022-2023,bundesliga
milos veljkovic,werder bremen,17,13,0,62.1,30,19,32,16,16,2022-2023,bundesliga
micky van de ven,wolfsburg,26,18,1,71.8,45,30,42,24,18,2022-2023,bundesliga
gabriel vidovic,bayern munich,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
kevin vogt,hoffenheim,10,5,0,40.9,15,10,18,11,7,2022-2023,bundesliga
aster vranckx,wolfsburg,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
robert wagner,freiburg,0,0,0,,0,0,2,0,2,2022-2023,bundesliga
luca waldschmidt,wolfsburg,2,1,2,20.0,5,2,6,0,6,2022-2023,bundesliga
paul wanner,bayern munich,1,2,0,100.0,3,1,0,0,0,2022-2023,bundesliga
julian weigl,gladbach,21,21,1,56.1,43,16,23,2,21,2022-2023,bundesliga
nelson weiper,mainz,0,0,2,33.3,2,0,2,0,2,2022-2023,bundesliga
mitchell weiser,werder bremen,38,24,9,50.7,71,43,50,7,43,2022-2023,bundesliga
noah weihaupt,freiburg,3,7,1,28.6,11,6,4,0,4,2022-2023,bundesliga
marcel wenig,eint frankfurt,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
timo werner,rb leipzig,4,3,3,33.3,10,5,12,0,12,2022-2023,bundesliga
silvan widmer,mainz,15,10,1,51.3,26,17,22,8,14,2022-2023,bundesliga
patrick wimmer,wolfsburg,18,11,10,31.6,39,26,27,2,25,2022-2023,bundesliga
jonas wind,wolfsburg,2,7,5,50.0,14,6,14,4,10,2022-2023,bundesliga
frederik winther,augsburg,1,1,0,0.0,2,2,1,1,0,2022-2023,bundesliga
florian wirtz,leverkusen,9,7,2,50.0,18,10,15,1,14,2022-2023,bundesliga
hannes wolf,gladbach,4,5,2,38.5,11,8,3,0,3,2022-2023,bundesliga
marius wolf,dortmund,9,12,4,55.2,25,18,40,10,30,2022-2023,bundesliga
jeong wooyeong,freiburg,4,2,1,40.0,7,3,7,1,6,2022-2023,bundesliga
kelvin yeboah,augsburg,2,4,0,40.0,6,4,7,0,7,2022-2023,bundesliga
maya yoshida,schalke,19,13,2,62.1,34,22,40,29,11,2022-2023,bundesliga
danaxel zagadou,stuttgart,10,4,0,35.7,14,9,19,16,3,2022-2023,bundesliga
rodrigo zalazar,schalke,5,9,2,37.5,16,8,16,1,15,2022-2023,bundesliga
aaron zehnter,augsburg,0,0,0,0.0,0,0,0,0,0,2022-2023,bundesliga
robin zentner,mainz,0,0,0,0.0,0,0,0,0,0,2022-2023,bundesliga
michael zetterer,werder bremen,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
simon zoller,bochum,2,8,1,33.3,11,4,14,1,13,2022-2023,bundesliga
