nombre,club_actual,entradas_1/3,entradas_2/3,entradas_3/3,duelos_ganados,entradas,entradas_ganadas,bloqueos,bloqueos_tiro,bloqueos_pase,temporada,liga
brenden aaronson,union berlin,13,13,6,50.0,32,18,26,1,25,2023-2024,bundesliga
paxten aaronson,eint frankfurt,1,1,0,100.0,2,2,2,0,2,2023-2024,bundesliga
junior adamu,freiburg,1,2,2,50.0,5,1,1,0,1,2023-2024,bundesliga
sargis adamyan,koln,2,9,3,54.5,14,9,16,1,15,2023-2024,bundesliga
karim adeyemi,dortmund,9,4,3,40.0,16,14,11,0,11,2023-2024,bundesliga
amine adli,leverkusen,2,10,4,41.2,16,7,10,2,8,2023-2024,bundesliga
felix agu,werder bremen,28,13,4,70.7,45,29,27,7,20,2023-2024,bundesliga
ludovic ajorque,mainz,1,2,0,18.2,3,2,6,2,4,2023-2024,bundesliga
kevin akpoguma,hoffenheim,22,12,1,74.3,35,18,28,8,20,2023-2024,bundesliga
faride alidou,koln,3,6,1,22.2,10,4,23,2,21,2023-2024,bundesliga
skelly alvero,werder bremen,1,5,0,100.0,6,4,3,1,2,2023-2024,bundesliga
nadiem amiri,mainz,8,10,4,68.4,22,14,16,2,14,2023-2024,bundesliga
nadiem amiri,leverkusen,0,3,1,0.0,4,2,0,0,0,2023-2024,bundesliga
kofi amoako,wolfsburg,0,0,0,,0,0,0,0,0,2023-2024,bundesliga
robert andrich,leverkusen,8,14,8,54.2,30,18,15,4,11,2023-2024,bundesliga
waldemar anton,stuttgart,21,16,2,54.8,39,25,33,20,13,2023-2024,bundesliga
christopher antwiadjei,bochum,10,6,5,54.5,21,12,13,2,11,2023-2024,bundesliga
asaf arania,darmstadt,0,0,0,,0,0,0,0,0,2023-2024,bundesliga
maximilian arnold,wolfsburg,15,27,9,49.1,51,31,23,4,19,2023-2024,bundesliga
arthur,leverkusen,2,0,2,100.0,4,3,1,1,0,2023-2024,bundesliga
takuma asano,bochum,2,9,6,30.4,17,6,17,3,14,2023-2024,bundesliga
jonathan asp jensen,bayern munich,0,0,0,,0,0,0,0,0,2023-2024,bundesliga
noah atubolu,freiburg,0,0,0,0.0,0,0,0,0,0,2023-2024,bundesliga
matthias bader,darmstadt,32,11,8,50.8,51,25,22,4,18,2023-2024,bundesliga
ridle baku,wolfsburg,24,7,6,45.7,37,20,27,1,26,2023-2024,bundesliga
samuel bamba,dortmund,1,0,0,50.0,1,1,0,0,0,2023-2024,bundesliga
aymen barkok,mainz,2,6,1,50.0,9,5,7,0,7,2023-2024,bundesliga
leandro barreiro martins,mainz,19,37,9,60.0,65,40,45,16,29,2023-2024,bundesliga
daniel batz,mainz,0,0,0,,0,0,0,0,0,2023-2024,bundesliga
maximilian bauer,augsburg,13,4,2,52.9,19,12,14,8,6,2023-2024,bundesliga
elias baum,eint frankfurt,0,0,1,,1,0,3,2,1,2023-2024,bundesliga
oliver baumann,hoffenheim,1,0,0,50.0,1,1,0,0,0,2023-2024,bundesliga
christoph baumgartner,rb leipzig,10,12,4,36.8,26,13,20,1,19,2023-2024,bundesliga
ihlas bebou,hoffenheim,10,8,4,50.0,22,12,13,2,11,2023-2024,bundesliga
adrian beck,heidenheim,8,12,2,37.5,22,13,17,0,17,2023-2024,bundesliga
sheraldo becker,union berlin,0,2,1,0.0,3,3,2,0,2,2023-2024,bundesliga
chris bedia,union berlin,0,2,0,0.0,2,1,3,0,3,2023-2024,bundesliga
donny van de beek,eint frankfurt,3,3,2,42.9,8,3,5,1,4,2023-2024,bundesliga
kevin behrens,wolfsburg,0,1,1,0.0,2,1,9,0,9,2023-2024,bundesliga
kevin behrens,union berlin,3,7,3,25.0,13,10,7,2,5,2023-2024,bundesliga
maximilian beier,hoffenheim,5,11,4,21.1,20,12,21,1,20,2023-2024,bundesliga
stefan bell,mainz,7,1,0,50.0,8,8,7,5,2,2023-2024,bundesliga
ramy bensebaini,dortmund,21,11,2,70.6,34,21,22,7,15,2023-2024,bundesliga
mergim berisha,hoffenheim,0,0,0,,0,0,2,1,1,2023-2024,bundesliga
mergim berisha,augsburg,0,0,0,,0,0,1,0,1,2023-2024,bundesliga
bernardo,bochum,56,35,8,65.2,99,58,66,30,36,2023-2024,bundesliga
matus bero,bochum,13,12,7,40.6,32,22,24,3,21,2023-2024,bundesliga
janniklas beste,heidenheim,35,24,18,50.9,77,49,48,1,47,2023-2024,bundesliga
pep biel,augsburg,0,2,2,33.3,4,3,2,1,1,2023-2024,bundesliga
tom bischof,hoffenheim,6,1,1,22.2,8,4,3,0,3,2023-2024,bundesliga
leonardo bittencourt,werder bremen,20,17,5,38.5,42,18,18,1,17,2023-2024,bundesliga
hendry blank,dortmund,1,0,0,100.0,1,0,1,0,1,2023-2024,bundesliga
janis blaswich,rb leipzig,1,0,0,,1,1,0,0,0,2023-2024,bundesliga
sacha boey,bayern munich,2,0,0,50.0,2,0,1,0,1,2023-2024,bundesliga
victor boniface,leverkusen,0,1,5,25.0,6,4,6,1,5,2023-2024,bundesliga
leonardo bonucci,union berlin,2,4,0,100.0,6,5,5,3,2,2023-2024,bundesliga
yvandro borges sanches,gladbach,0,0,0,,0,0,0,0,0,2023-2024,bundesliga
sebastiaan bornauw,wolfsburg,19,7,0,68.4,26,12,21,12,9,2023-2024,bundesliga
rafael borre,werder bremen,2,4,4,31.3,10,7,8,2,6,2023-2024,bundesliga
julian brandt,dortmund,8,8,1,37.0,17,14,20,3,17,2023-2024,bundesliga
fabian bredlow,stuttgart,0,0,0,0.0,0,0,0,0,0,2023-2024,bundesliga
tim breithaupt,augsburg,11,9,0,61.9,20,11,15,3,12,2023-2024,bundesliga
maximilian breunig,freiburg,0,0,0,,0,0,1,0,1,2023-2024,bundesliga
bennit broger,wolfsburg,0,0,0,,0,0,0,0,0,2023-2024,bundesliga
john brooks,hoffenheim,17,10,1,50.0,28,15,29,17,12,2023-2024,bundesliga
moritz broschinski,bochum,2,5,4,25.0,11,7,11,2,9,2023-2024,bundesliga
alexander brunst,darmstadt,0,0,0,0.0,0,0,0,0,0,2023-2024,bundesliga
marius bulter,hoffenheim,9,5,4,52.2,18,11,17,3,14,2023-2024,bundesliga
jonathan burkardt,mainz,2,6,4,36.4,12,8,16,3,13,2023-2024,bundesliga
oliver burke,werder bremen,0,0,0,0.0,0,0,0,0,0,2023-2024,bundesliga
marnon busch,heidenheim,6,3,2,58.3,11,9,9,2,7,2023-2024,bundesliga
aurelio buta,eint frankfurt,19,16,5,55.3,40,25,24,5,19,2023-2024,bundesliga
anthony caci,mainz,30,25,1,61.4,56,23,43,7,36,2023-2024,bundesliga
emre can,dortmund,37,23,3,58.3,63,45,30,7,23,2023-2024,bundesliga
irvin cardona,augsburg,0,0,1,33.3,1,1,1,0,1,2023-2024,bundesliga
rasmus carstensen,koln,23,20,4,55.4,47,22,38,9,29,2023-2024,bundesliga
fabio carvalho,rb leipzig,0,2,1,33.3,3,1,8,0,8,2023-2024,bundesliga
koen casteels,wolfsburg,2,0,0,66.7,2,1,0,0,0,2023-2024,bundesliga
vaclav cerny,wolfsburg,3,4,1,14.3,8,3,13,0,13,2023-2024,bundesliga
julian chabot,koln,40,17,2,59.3,59,42,66,43,23,2023-2024,bundesliga
el chadaille bitshiabu,rb leipzig,1,0,0,,1,0,0,0,0,2023-2024,bundesliga
fares chaibi,eint frankfurt,7,12,8,44.4,27,17,37,1,36,2023-2024,bundesliga
timothy chandler,eint frankfurt,0,0,0,,0,0,0,0,0,2023-2024,bundesliga
fabio chiarodia,gladbach,5,1,2,71.4,8,5,2,1,1,2023-2024,bundesliga
jacob christensen,koln,7,3,0,57.1,10,6,8,2,6,2023-2024,bundesliga
nnamdi collins,eint frankfurt,0,0,0,,0,0,0,0,0,2023-2024,bundesliga
kingsley coman,bayern munich,5,3,4,52.9,12,7,15,1,14,2023-2024,bundesliga
bambase conte,hoffenheim,2,0,1,100.0,3,3,0,0,0,2023-2024,bundesliga
danny da costa,mainz,9,7,2,47.4,18,9,17,4,13,2023-2024,bundesliga
nicolas cozza,wolfsburg,4,4,0,28.6,8,6,3,0,3,2023-2024,bundesliga
tomas cvancara,gladbach,0,2,2,33.3,4,3,5,1,4,2023-2024,bundesliga
finn dahmen,augsburg,1,0,0,33.3,1,0,0,0,0,2023-2024,bundesliga
mahmoud dahoud,stuttgart,1,4,0,42.9,5,1,4,0,4,2023-2024,bundesliga
lukas daschner,bochum,2,3,4,44.4,9,4,7,0,7,2023-2024,bundesliga
david datro fofana,union berlin,3,5,2,44.4,10,7,4,0,4,2023-2024,bundesliga
alphonso davies,bayern munich,29,13,5,56.6,47,24,30,4,26,2023-2024,bundesliga
olivier deman,werder bremen,21,4,3,47.4,28,15,24,8,16,2023-2024,bundesliga
ermedin demirovic,augsburg,5,16,3,30.0,24,14,28,2,26,2023-2024,bundesliga
sepp van den berg,mainz,20,15,3,57.7,38,23,66,36,30,2023-2024,bundesliga
samuele di benedetto,stuttgart,0,0,0,,0,0,0,0,0,2023-2024,bundesliga
justin diehl,koln,0,0,0,,0,0,1,1,0,2023-2024,bundesliga
eric dier,bayern munich,5,5,1,83.3,11,8,20,12,8,2023-2024,bundesliga
florian dietz,koln,0,0,0,,0,0,1,0,1,2023-2024,bundesliga
junior dina ebimbe,eint frankfurt,15,17,12,43.9,44,29,28,7,21,2023-2024,bundesliga
eren dinkci,heidenheim,16,13,3,39.6,32,18,40,4,36,2023-2024,bundesliga
ritsu doan,freiburg,21,19,10,58.3,50,27,30,3,27,2023-2024,bundesliga
danilho doekhi,union berlin,18,16,0,71.4,34,23,46,25,21,2023-2024,bundesliga
niklas dorsch,augsburg,13,21,1,39.4,35,24,15,9,6,2023-2024,bundesliga
nikola dovedan,heidenheim,2,10,2,20.0,14,9,9,0,9,2023-2024,bundesliga
damion downs,koln,1,0,0,50.0,1,1,1,0,1,2023-2024,bundesliga
dion drena beljo,augsburg,0,0,0,0.0,0,0,8,1,7,2023-2024,bundesliga
tim drexler,hoffenheim,12,4,0,47.1,16,9,12,8,4,2023-2024,bundesliga
marvin ducksch,werder bremen,4,3,1,42.9,8,3,2,0,2,2023-2024,bundesliga
julien duranville,dortmund,0,1,0,100.0,1,0,0,0,0,2023-2024,bundesliga
maximilian eggestein,freiburg,25,19,5,41.7,49,24,53,19,34,2023-2024,bundesliga
lilian egloff,stuttgart,3,1,0,50.0,4,1,3,1,2,2023-2024,bundesliga
hugo ekitike,eint frankfurt,3,6,2,66.7,11,7,10,0,10,2023-2024,bundesliga
elif elmas,rb leipzig,1,6,1,75.0,8,6,5,0,5,2023-2024,bundesliga
nico elvedi,gladbach,22,10,1,75.0,33,18,40,25,15,2023-2024,bundesliga
arne engels,augsburg,15,14,4,41.4,33,18,23,1,22,2023-2024,bundesliga
ohis felix uduokhai,augsburg,18,14,5,64.0,37,21,45,35,10,2023-2024,bundesliga
edimilson fernandes,mainz,15,9,1,66.7,25,16,14,6,8,2023-2024,bundesliga
nacho ferri,eint frankfurt,1,2,0,66.7,3,3,0,0,0,2023-2024,bundesliga
max finkgrafe,koln,40,25,0,52.7,65,39,35,10,25,2023-2024,bundesliga
kilian fischer,wolfsburg,4,3,1,40.0,8,6,8,1,7,2023-2024,bundesliga
jonas fohrenbach,heidenheim,24,14,6,52.8,44,24,34,19,15,2023-2024,bundesliga
emil forsberg,rb leipzig,2,5,0,41.7,7,3,7,0,7,2023-2024,bundesliga
philipp forster,bochum,3,4,2,33.3,9,5,3,0,3,2023-2024,bundesliga
bartol franjic,darmstadt,4,10,1,25.0,15,12,12,4,8,2023-2024,bundesliga
marco friedl,werder bremen,38,15,0,75.0,53,32,45,29,16,2023-2024,bundesliga
marvin friedrich,gladbach,16,6,1,60.0,23,15,28,20,8,2023-2024,bundesliga
jeremie frimpong,leverkusen,12,7,7,40.0,26,17,26,0,26,2023-2024,bundesliga
chris fuhrich,stuttgart,6,14,10,43.2,30,19,31,0,31,2023-2024,bundesliga
shio fukuda,gladbach,1,1,0,50.0,2,0,0,0,0,2023-2024,bundesliga
niclas fullkrug,werder bremen,0,1,0,100.0,1,1,2,1,1,2023-2024,bundesliga
niclas fullkrug,dortmund,1,6,0,25.0,7,2,17,4,13,2023-2024,bundesliga
cristian gamboa,bochum,12,11,1,42.4,24,18,20,7,13,2023-2024,bundesliga
dennis geiger,hoffenheim,1,0,0,,1,0,1,1,0,2023-2024,bundesliga
yannick gerhardt,wolfsburg,16,12,3,28.1,31,20,15,2,13,2023-2024,bundesliga
anwar el ghazi,mainz,0,0,0,0.0,0,0,0,0,0,2023-2024,bundesliga
benedikt gimber,heidenheim,25,14,1,54.3,40,24,27,17,10,2023-2024,bundesliga
matthias ginter,freiburg,19,9,1,55.2,29,15,40,26,14,2023-2024,bundesliga
jamie gittens,dortmund,6,7,1,11.8,14,7,11,2,9,2023-2024,bundesliga
klaus gjasula,darmstadt,18,25,1,56.7,44,22,26,14,12,2023-2024,bundesliga
serge gnabry,bayern munich,0,5,3,15.4,8,5,5,0,5,2023-2024,bundesliga
leon goretzka,bayern munich,18,14,9,44.4,41,23,44,8,36,2023-2024,bundesliga
robin gosens,union berlin,25,31,7,68.2,63,44,52,9,43,2023-2024,bundesliga
mario gotze,eint frankfurt,18,25,8,45.2,51,34,19,3,16,2023-2024,bundesliga
