nombre,club_actual,entradas_1/3,entradas_2/3,entradas_3/3,duelos_ganados,entradas,entradas_ganadas,bloqueos,bloqueos_tiro,bloqueos_pase,temporada,liga
max aarons,bournemouth,20,7,2,58.8,29,19,9,5,4,2023-2024,premier-league
joshua acheampong,chelsea,0,0,0,,0,0,3,3,0,2023-2024,premier-league
tyler adams,bournemouth,1,3,0,66.7,4,3,2,0,2,2023-2024,premier-league
tosin adarabioyo,fulham,16,5,0,57.1,21,11,16,11,5,2023-2024,premier-league
elijah adebayo,luton town,1,0,3,8.3,4,1,13,2,11,2023-2024,premier-league
simon adingra,brighton,23,11,11,45.2,45,20,31,1,30,2023-2024,premier-league
nayef aguerd,west ham,19,7,0,72.7,26,14,33,24,9,2023-2024,premier-league
brandon aguilera,nottham forest,0,0,0,,0,0,0,0,0,2023-2024,premier-league
naouirou ahamada,crystal palace,5,6,2,47.1,13,9,3,0,3,2023-2024,premier-league
anel ahmedhodzic,sheffield utd,48,14,2,61.2,64,36,43,26,17,2023-2024,premier-league
ola aina,nottham forest,31,12,4,72.5,47,31,19,3,16,2023-2024,premier-league
rayan aitnouri,wolves,41,23,7,57.1,71,44,32,6,26,2023-2024,premier-league
kristoffer ajer,brentford,25,9,4,63.9,38,21,26,11,15,2023-2024,premier-league
manuel akanji,manchester city,16,18,8,56.4,42,28,28,12,16,2023-2024,premier-league
nathan ake,manchester city,15,8,3,65.0,26,16,17,2,15,2023-2024,premier-league
thiago alcantara,liverpool,0,0,0,,0,0,0,0,0,2023-2024,premier-league
trent alexanderarnold,liverpool,26,11,2,31.0,39,26,22,2,20,2023-2024,premier-league
alisson,liverpool,0,0,0,0.0,0,0,0,0,0,2023-2024,premier-league
miguel almiron,newcastle utd,13,15,8,37.9,36,24,29,2,27,2023-2024,premier-league
edson alvarez,west ham,47,26,7,47.0,80,39,59,20,39,2023-2024,premier-league
julian alvarez,manchester city,5,8,11,25.0,24,13,30,0,30,2023-2024,premier-league
zeki amdouni,burnley,1,15,11,28.0,27,18,23,10,13,2023-2024,premier-league
sofyan amrabat,manchester utd,17,8,2,54.8,27,16,20,7,13,2023-2024,premier-league
joachim andersen,crystal palace,33,21,2,74.4,56,35,33,18,15,2023-2024,premier-league
elliot anderson,newcastle utd,12,9,3,51.7,24,18,23,4,19,2023-2024,premier-league
jaidon anthony,bournemouth,1,0,2,14.3,3,1,3,0,3,2023-2024,premier-league
michail antonio,west ham,5,6,4,27.3,15,8,16,3,13,2023-2024,premier-league
antony,manchester utd,15,19,6,50.0,40,21,29,1,28,2023-2024,premier-league
oliver arblaster,sheffield utd,11,8,4,46.7,23,14,17,7,10,2023-2024,premier-league
cameron archer,sheffield utd,6,6,6,44.4,18,13,22,3,19,2023-2024,premier-league
cameron archer,aston villa,0,0,0,,0,0,0,0,0,2023-2024,premier-league
alphonse areola,west ham,1,0,0,33.3,1,1,0,0,0,2023-2024,premier-league
lorenz assignon,burnley,18,13,4,51.9,35,17,22,7,15,2023-2024,premier-league
serge aurier,nottham forest,9,11,0,45.5,20,14,10,3,7,2023-2024,premier-league
taiwo awoniyi,nottham forest,1,4,4,50.0,9,7,7,2,5,2023-2024,premier-league
jordan ayew,crystal palace,23,28,14,50.0,65,36,43,2,41,2023-2024,premier-league
benoit badiashile,chelsea,12,9,0,64.3,21,15,21,14,7,2023-2024,premier-league
leon bailey,aston villa,7,4,2,25.0,13,7,18,1,17,2023-2024,premier-league
stefan bajcetic,liverpool,3,1,0,60.0,4,1,0,0,0,2023-2024,premier-league
george baldock,sheffield utd,10,7,1,40.0,18,10,14,8,6,2023-2024,premier-league
carlos baleba,brighton,17,19,4,50.0,40,20,35,7,28,2023-2024,premier-league
fode ballotoure,fulham,1,3,0,50.0,4,2,1,0,1,2023-2024,premier-league
shandon baptiste,brentford,2,2,0,20.0,4,4,5,1,4,2023-2024,premier-league
valentin barco,brighton,4,5,2,75.0,11,5,3,0,3,2023-2024,premier-league
ross barkley,luton town,16,21,10,22.9,47,19,25,9,16,2023-2024,premier-league
harvey barnes,newcastle utd,3,2,1,50.0,6,1,1,0,1,2023-2024,premier-league
chris basham,sheffield utd,4,3,0,22.2,7,2,9,4,5,2023-2024,premier-league
calvin bassey,fulham,33,15,1,72.4,49,29,32,11,21,2023-2024,premier-league
owen beck,liverpool,1,1,0,,2,1,0,0,0,2023-2024,premier-league
donny van de beek,manchester utd,0,0,0,,0,0,1,0,1,2023-2024,premier-league
amarii bell,luton town,30,19,1,62.9,50,33,33,15,18,2023-2024,premier-league
jeanricner bellegarde,wolves,9,6,2,46.7,17,10,18,2,16,2023-2024,premier-league
anis ben slimane,sheffield utd,5,2,4,40.0,11,6,7,1,6,2023-2024,premier-league
said benrahma,west ham,5,3,0,26.7,8,4,8,0,8,2023-2024,premier-league
rodrigo bentancur,tottenham,10,11,2,41.7,23,15,15,4,11,2023-2024,premier-league
