goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id
0.4,0.04,0.0,4.3,50.64,0.4,20.75,1.41,52.0,1.55,0.33,83.55,4.7,45.14,90,1.34,0.72,1.45,1.23,0.0,0.0,0.0,0.87,0.29,0.0,0.0,0.0,0.0,12.4,0.29,28.28,2.49,0.98,22.69,0.76,63.64,0.18,0.43,0.8,0.29,2.06,0.87,0.72,19.3,0.07,0.11,0.43,0.0,0.07,0.0,Christian Pulišić,Milan,817957,2692
0.0,0.07,0.0,0.07,100.0,0.33,100.0,0.0,0.0,0.0,0.0,69.63,0.39,100.0,90,0.07,0.0,0.0,1.05,4.08,2.3,1.71,1.38,0.13,0.79,0.39,0.66,0.46,0.39,0.0,21.12,0.0,0.0,0.0,5.2,37.26,0.0,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.13,0.0,Filip Stanković,Venezia,986355,2688
0.37,0.09,0.0,4.31,50.72,2.05,54.92,1.19,52.7,1.32,0.12,85.12,6.37,52.0,90,1.84,1.38,1.47,1.04,0.0,0.0,0.0,0.43,0.24,0.0,0.0,0.0,0.0,6.12,0.15,23.62,0.8,0.03,9.09,1.29,68.85,0.73,1.53,0.55,0.24,2.33,1.01,0.64,15.79,0.09,0.15,0.23,0.0,0.0,0.0,Scott McTominay,Napoli,879346,2714
0.03,0.05,0.0,1.45,49.55,3.38,69.57,0.11,66.67,1.03,0.08,91.04,4.84,62.03,90,0.42,1.11,0.16,1.0,0.0,0.0,0.0,0.48,0.24,0.0,0.0,0.0,0.0,6.87,0.05,66.61,0.29,0.0,0.0,4.39,59.07,0.71,4.68,0.24,0.03,0.74,0.11,0.13,3.57,0.0,0.0,0.08,0.03,0.03,0.0,Amir Rrahmani,Napoli,332155,2714
0.38,0.08,0.0,5.0,43.42,0.38,50.0,1.44,31.15,1.14,0.23,83.29,5.38,43.83,90,2.5,0.91,1.59,1.29,0.0,0.0,0.0,0.23,0.23,0.0,0.0,0.0,0.0,11.45,0.38,24.95,2.2,1.06,27.45,1.82,70.59,0.3,0.23,0.83,0.15,3.79,1.29,1.29,10.0,0.08,0.0,0.31,0.0,0.0,0.08,Khvicha Kvaratskhelia,Napoli,889259,2714
0.0,0.0,0.0,0.2,100.0,0.2,100.0,0.0,0.0,0.0,0.0,84.96,0.4,100.0,90,0.2,0.0,0.0,1.0,2.4,2.0,0.2,0.4,0.2,0.6,0.0,0.4,0.2,0.2,0.2,38.4,0.2,0.0,0.0,6.4,50.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Josep Martínez,Inter,845291,2697
0.2,0.26,0.0,2.96,59.21,0.59,75.0,0.2,100.0,1.71,0.07,91.6,3.55,61.36,90,1.05,0.99,0.07,1.45,0.0,0.0,0.0,0.72,0.07,0.0,0.0,0.0,0.0,13.07,0.2,71.61,1.38,0.79,21.05,5.45,66.4,1.25,2.04,1.05,0.0,1.71,0.59,0.33,11.54,0.07,0.0,0.15,0.07,0.07,0.0,Leandro Paredes,Roma,255389,2702
0.06,0.29,0.0,3.17,53.48,1.17,60.66,0.25,38.1,2.28,0.06,88.74,4.34,55.24,90,0.7,1.46,0.25,1.14,0.0,0.0,0.0,0.92,0.06,0.0,0.0,0.0,0.0,18.19,0.13,67.21,0.92,0.19,25.0,5.64,67.94,0.73,2.28,0.76,0.0,0.79,0.29,0.19,8.0,0.0,0.03,0.06,0.0,0.0,0.0,Manuel Locatelli,Juventus,363860,2687
0.26,0.07,0.04,6.02,56.29,0.3,23.53,2.21,54.63,2.02,0.15,86.16,6.32,52.81,90,1.79,0.93,1.53,1.31,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,13.79,0.3,31.66,2.13,1.05,24.35,0.97,61.9,0.19,0.3,0.52,0.15,2.28,0.86,0.78,11.48,0.04,0.15,0.16,0.0,0.11,0.0,Kenan Yıldız,Juventus,1149011,2687
0.72,0.1,0.0,4.54,52.2,1.1,52.27,1.58,48.53,0.76,0.19,70.88,5.63,52.21,90,2.2,1.29,1.19,1.43,0.0,0.0,0.0,1.0,0.14,0.0,0.0,0.0,0.0,7.45,0.38,19.29,1.43,0.86,25.71,1.15,48.98,0.38,0.48,0.29,0.29,3.58,1.34,1.19,20.0,0.05,0.57,0.48,0.0,0.05,0.0,Riccardo Orsolini,Bologna,793645,2685
0.42,0.3,0.0,5.24,56.13,0.54,75.0,1.33,44.9,2.05,0.18,86.36,5.78,57.49,90,1.93,0.78,0.84,1.39,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,12.95,0.3,37.77,1.57,0.9,23.81,1.39,74.19,0.6,0.48,1.02,0.12,1.51,0.72,0.3,28.0,0.0,0.0,0.15,0.0,0.06,0.0,Alexis Saelemaekers,Roma,901891,2702
0.16,0.12,0.0,1.62,47.62,0.28,35.0,0.16,40.0,1.01,0.28,84.05,1.9,45.19,90,0.44,0.77,0.4,1.33,0.0,0.0,0.0,0.69,0.04,0.0,0.0,0.0,0.0,10.54,0.69,33.84,1.98,2.26,29.47,1.41,49.3,0.57,0.97,0.36,0.12,2.26,0.89,0.73,7.14,0.04,0.32,0.13,0.08,0.0,0.04,Federico Dimarco,Inter,284361,2697
0.29,0.06,0.03,2.41,44.68,0.14,25.0,1.03,55.38,0.75,0.11,89.54,2.56,42.79,90,0.63,0.8,0.92,1.06,0.0,0.0,0.0,0.92,0.23,0.0,0.0,0.0,0.0,13.42,0.23,38.36,1.35,0.37,28.26,1.72,73.17,1.09,0.69,0.46,0.11,2.21,0.8,0.72,12.99,0.06,0.06,0.19,0.0,0.06,0.0,Tijjani Reijnders,Milan,893549,2692
0.2,0.2,0.0,5.1,47.22,1.03,57.41,2.3,54.33,1.7,0.27,83.42,6.14,48.68,90,1.1,1.57,1.5,1.17,0.0,0.0,0.0,1.13,0.13,0.0,0.0,0.0,0.0,13.2,0.37,32.71,1.8,0.3,21.95,0.77,50.0,0.7,0.5,0.9,0.23,3.67,1.3,0.8,5.45,0.1,0.07,0.31,0.0,0.0,0.0,Nico Paz,Como,1171451,2704
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,90,0.0,0.0,0.0,1.0,3.67,2.33,1.0,0.67,0.33,0.33,0.33,0.0,0.33,0.0,0.0,19.0,0.0,0.0,0.0,3.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Pietro Terracciano,Fiorentina,136856,2693
0.05,0.05,0.05,3.87,64.29,1.08,48.78,1.34,83.33,1.77,0.11,89.32,4.95,60.13,90,0.75,0.91,0.59,1.02,0.0,0.0,0.0,1.18,0.11,0.0,0.0,0.0,0.0,5.32,0.05,52.58,0.91,0.11,22.22,5.27,66.67,0.91,4.03,0.48,0.05,0.65,0.38,0.0,8.33,0.0,0.0,0.05,0.11,0.11,0.0,Oumar Solet,Udinese,892979,2695
1.05,0.0,0.0,5.26,78.13,0.21,16.67,1.26,85.71,2.52,0.0,80.91,5.47,68.42,90,1.68,0.21,0.63,2.52,0.0,0.0,0.0,0.63,0.21,0.0,0.0,0.0,0.0,7.78,0.21,18.71,1.47,1.05,31.25,0.63,42.86,1.47,0.42,0.42,0.21,2.94,2.1,0.63,35.71,0.0,0.0,0.27,0.0,0.0,0.0,Jacob Ondrejka,Parma,1004790,2690
