goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id
0.17,0.51,0.0,5.76,65.38,1.19,46.67,1.02,60.0,3.56,0.0,83.61,6.95,61.19,90,1.19,1.36,0.51,1.19,0.0,0.0,0.0,0.51,0.17,0.0,0.0,0.0,0.0,11.53,0.17,51.86,0.68,0.51,33.33,4.41,56.52,1.02,4.41,0.51,0.0,0.85,0.34,0.17,20.0,0.0,0.17,0.04,0.0,0.0,0.0,Rasmus Kristensen,Eintracht Frankfurt,921789,2674
0.0,0.0,0.0,4.31,57.14,2.16,80.0,0.54,100.0,2.69,0.0,91.04,6.47,63.16,90,1.08,2.69,0.0,1.62,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,8.62,0.0,65.75,0.0,0.0,0.0,0.0,0.0,1.08,5.39,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.54,0.0,Aarón Anselmino,Borussia Dortmund,1500263,2673
0.0,0.0,0.0,5.02,71.43,3.35,71.43,0.33,100.0,3.68,0.0,84.13,8.36,71.43,90,1.0,1.0,0.67,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.03,0.0,53.2,0.0,0.0,0.0,4.35,41.94,0.33,9.7,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Jordan Torunarigha,Hamburger SV,801003,2676
0.0,0.35,0.0,2.35,47.62,2.47,65.63,0.24,66.67,1.41,0.0,89.85,4.82,55.41,90,0.71,1.88,0.24,1.06,0.0,0.0,0.0,0.47,0.12,0.0,0.0,0.0,0.0,16.24,0.0,69.76,0.59,0.24,25.0,3.41,49.15,1.06,5.76,0.35,0.0,0.71,0.24,0.12,0.0,0.0,0.12,0.02,0.0,0.12,0.0,Ramy Bensebaini,Borussia Dortmund,577726,2673
0.47,0.35,0.0,4.81,40.59,0.12,16.67,1.99,35.42,0.82,0.35,83.94,4.93,39.25,90,1.99,1.17,1.17,1.17,0.0,0.0,0.0,0.59,0.12,0.0,0.0,0.0,0.0,26.99,0.47,48.46,2.23,0.7,20.0,0.82,53.85,0.47,0.23,1.29,0.59,4.22,2.11,1.53,11.11,0.23,0.35,0.55,0.0,0.0,0.12,Michael Olise,FC Bayern München,978838,2672
0.13,0.13,0.0,2.38,48.72,6.5,86.67,0.25,100.0,0.63,0.0,85.66,8.88,71.72,90,1.88,1.0,1.0,1.0,0.0,0.0,0.0,1.5,0.25,0.0,0.0,0.0,0.0,2.75,0.0,53.0,0.75,0.0,0.0,3.75,55.56,1.0,9.75,0.5,0.13,0.75,0.13,0.25,16.67,0.0,0.0,0.1,0.0,0.13,0.0,Luka Vušković,Hamburger SV,1405212,2676
0.5,0.0,0.0,6.0,52.17,0.0,0.0,1.5,33.33,1.0,0.0,75.68,6.0,48.0,90,3.5,0.5,1.0,1.0,0.0,0.0,0.0,2.0,0.5,0.0,0.0,0.0,0.0,4.5,1.5,14.0,1.5,1.0,15.38,0.5,50.0,0.0,0.0,1.0,0.0,2.0,0.5,1.0,25.0,0.0,0.0,0.07,0.0,0.0,0.0,Leo Scienza,1. FC Heidenheim,1386651,5885
0.21,0.1,0.0,1.66,69.57,1.77,65.38,0.1,33.33,1.56,0.21,91.5,3.43,67.35,90,0.0,0.52,0.0,1.04,0.0,0.0,0.0,1.25,0.21,0.0,0.0,0.0,0.0,9.56,0.21,79.4,0.52,0.1,33.33,3.95,46.91,0.62,3.95,0.0,0.0,0.83,0.31,0.1,25.0,0.0,0.0,0.08,0.0,0.0,0.0,Edmond Tapsoba,Bayer 04 Leverkusen,883262,2681
0.1,0.1,0.0,2.6,56.52,2.5,59.52,0.5,50.0,1.6,0.0,90.87,5.1,57.95,90,0.7,0.8,0.1,1.0,0.0,0.0,0.0,0.6,0.1,0.0,0.0,0.0,0.0,11.6,0.0,75.6,0.2,0.2,40.0,2.8,43.75,0.8,5.1,0.7,0.0,0.5,0.1,0.2,20.0,0.0,0.0,0.03,0.0,0.1,0.0,Waldemar Anton,Borussia Dortmund,799046,2673
0.32,0.42,0.0,3.99,47.5,0.84,66.67,1.05,50.0,2.0,0.11,83.95,4.83,50.0,90,0.95,1.37,1.47,1.05,0.0,0.0,0.0,1.58,0.21,0.0,0.0,0.0,0.0,19.22,0.32,47.78,1.58,0.84,21.62,3.78,51.43,1.05,0.74,0.63,0.0,2.31,0.63,1.05,13.64,0.0,0.0,0.33,0.0,0.0,0.0,Nadiem Amiri,1. FSV Mainz 05,327755,2556
