goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id
0.83,0.3,0.0,5.2,49.16,0.12,26.67,3.3,54.41,0.33,0.51,82.15,5.32,48.25,90,1.57,0.83,1.69,1.04,0.0,0.0,0.0,0.89,0.0,0.0,0.0,0.0,0.0,17.0,0.68,32.68,2.08,0.62,30.88,1.22,74.55,0.15,0.39,0.18,0.68,4.37,1.99,0.71,19.05,0.21,1.16,,0.0,0.0,0.0,Kylian Mbappé,Paris Saint-Germain,826643,1644
0.25,0.0,0.0,4.52,54.0,0.21,62.5,2.68,64.65,0.42,0.59,86.71,4.73,54.33,90,1.46,0.25,1.71,1.09,0.0,0.0,0.0,0.88,0.08,0.0,0.0,0.0,0.0,27.35,0.71,58.13,2.68,0.33,25.0,3.35,77.67,0.17,0.0,0.42,0.46,3.72,1.21,0.88,6.74,0.46,0.42,,0.0,0.0,0.04,Lionel Messi,Paris Saint-Germain,12994,1644
0.42,0.1,0.0,3.05,48.89,0.1,30.0,1.01,53.7,0.56,0.35,81.76,3.16,47.89,90,1.49,0.31,1.18,1.08,0.0,0.0,0.0,1.01,0.03,0.0,0.0,0.0,0.0,19.01,0.62,39.97,3.43,2.46,30.08,2.78,70.8,0.31,0.07,0.83,0.1,2.36,0.87,0.66,17.65,0.1,0.1,,0.0,0.0,0.0,Dimitri Payet,Olympique de Marseille,14216,1641
0.31,0.06,0.0,1.76,39.38,0.39,23.73,0.25,42.86,1.29,0.34,76.91,2.16,35.16,90,0.22,0.7,0.56,1.06,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,12.75,0.42,34.43,3.45,2.91,35.37,2.91,51.49,0.84,1.04,1.2,0.06,1.43,0.59,0.42,21.57,0.06,0.11,,0.0,0.0,0.03,Benjamin Bourigeaud,Stade Rennais,324399,1658
0.63,0.48,0.0,7.59,45.77,0.24,55.56,2.8,46.03,1.4,0.29,82.23,7.83,46.02,90,3.39,1.5,3.14,1.06,0.0,0.0,0.0,1.11,0.0,0.0,0.0,0.0,0.0,22.49,0.73,48.55,3.0,0.58,18.75,1.79,72.55,0.19,0.1,1.16,0.44,2.61,1.45,0.48,24.07,0.05,0.53,,0.0,0.05,0.05,Neymar,Paris Saint-Germain,124712,1644
0.3,0.26,0.07,7.36,55.93,0.52,37.84,2.83,65.52,1.71,0.26,72.4,7.88,54.22,90,2.86,1.67,1.34,1.08,0.0,0.0,0.0,1.3,0.19,0.0,0.0,0.0,0.0,12.68,0.33,37.06,2.34,1.67,22.61,5.91,54.45,0.93,0.41,1.41,0.11,3.01,1.41,0.74,9.88,0.07,0.07,,0.0,0.04,0.04,Teji Savanier,Montpellier,156682,1642
0.0,0.0,0.0,7.0,100.0,1.0,100.0,1.0,100.0,6.0,0.0,76.0,8.0,100.0,90,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,0.0,0.0,0.0,3.0,60.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Moustapha Mbow,Stade de Reims,982319,1682
0.15,0.09,0.0,3.12,48.62,0.47,59.26,0.85,48.33,1.85,0.32,73.27,3.59,49.8,90,0.41,1.12,0.38,1.09,0.0,0.0,0.0,1.06,0.18,0.0,0.0,0.0,0.0,10.09,0.29,26.53,2.18,2.32,22.7,1.65,40.29,2.15,1.24,0.97,0.06,1.18,0.5,0.15,12.5,0.06,0.12,,0.0,0.0,0.0,Jonathan Clauss,RC Lens,821728,1648
0.09,0.55,0.0,7.12,62.1,0.23,31.25,2.13,80.7,2.77,0.09,91.65,7.35,60.23,90,2.22,1.48,0.97,1.11,0.0,0.0,0.0,0.97,0.05,0.0,0.0,0.0,0.0,22.85,0.28,88.8,1.43,0.09,22.22,2.96,73.56,0.83,0.42,1.48,0.09,0.32,0.09,0.05,28.57,0.05,0.05,,0.0,0.09,0.0,Marco Verratti,Paris Saint-Germain,126691,1644
0.27,0.11,0.0,4.01,49.01,0.0,0.0,1.68,50.82,1.57,0.38,80.31,4.01,49.01,90,0.76,0.49,0.87,1.41,0.0,0.0,0.0,0.6,0.11,0.0,0.0,0.0,0.0,18.5,0.76,44.92,2.93,1.9,28.69,2.55,61.84,0.33,0.16,1.25,0.33,2.77,1.19,0.76,9.8,0.05,0.38,,0.0,0.0,0.0,Ángel Di María,Paris Saint-Germain,30027,1644
