goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.97,0.0,0.0,90,0.0,0.0,0.0,1.0,7.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,7.0,43.75,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tjark Ernst,Hertha BSC,1019319,2528
0.16,0.13,0.03,4.54,61.21,0.51,33.33,0.42,61.9,2.49,0.19,89.68,5.05,56.43,90,1.63,0.7,0.83,1.06,0.0,0.0,0.0,1.02,0.13,0.0,0.0,0.0,0.0,19.47,0.35,71.39,2.85,2.33,30.42,5.12,72.73,1.31,1.12,1.09,0.0,0.9,0.38,0.19,17.86,0.06,0.0,0.07,0.0,0.06,0.1,Joshua Kimmich,FC Bayern München,259117,2672
0.4,0.07,0.0,2.75,44.32,0.4,36.36,0.47,46.67,1.04,0.3,80.94,3.15,43.12,90,1.31,0.57,1.14,1.04,0.0,0.0,0.0,1.48,0.1,0.0,0.0,0.0,0.0,11.4,0.47,35.18,3.35,2.48,36.45,1.51,44.12,0.54,0.44,1.24,0.2,1.51,0.8,0.44,26.67,0.0,0.77,0.25,0.0,0.0,0.03,Jonas Hofmann,Borussia M'gladbach,142390,2527
0.22,0.11,0.07,5.02,52.49,0.26,28.0,1.94,56.38,1.65,0.29,83.0,5.28,50.35,90,1.43,0.92,1.21,1.14,0.0,0.0,0.0,1.06,0.11,0.0,0.0,0.0,0.0,14.71,0.51,42.62,2.64,1.72,40.17,2.9,76.7,0.62,0.84,0.92,0.11,2.16,1.06,0.44,10.17,0.07,0.07,0.21,0.0,0.0,0.04,Dominik Szoboszlai,RB Leipzig,869856,36360
0.56,0.07,0.0,3.78,58.29,0.59,47.06,1.56,66.67,1.07,0.19,78.78,4.37,56.46,90,1.15,0.26,1.04,1.22,0.0,0.0,0.0,0.74,0.22,0.0,0.0,0.0,0.0,12.27,0.37,34.4,2.08,1.26,25.19,2.85,52.38,0.7,0.44,0.67,0.11,2.45,1.22,0.74,22.73,0.04,0.19,0.38,0.0,0.0,0.04,Vincenzo Grifo,SC Freiburg,171961,2538
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,100.0,0.0,0.0,90,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Levin Öztunalı,1. FC Union Berlin,229776,2547
0.0,0.0,0.0,16.07,83.33,0.0,0.0,9.64,100.0,3.21,0.0,77.78,16.07,83.33,90,3.21,3.21,0.0,3.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.64,0.0,22.5,6.43,9.64,42.86,0.0,0.0,0.0,0.0,0.0,0.0,3.21,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,Julien Duranville,Borussia Dortmund,1171540,2673
0.27,0.27,0.0,7.82,59.69,1.17,51.47,2.87,67.19,2.54,0.13,83.06,8.99,58.48,90,2.44,1.37,1.94,1.04,0.0,0.0,0.0,1.0,0.33,0.0,0.0,0.0,0.0,14.81,0.27,44.08,1.17,0.23,21.21,3.84,69.28,1.17,0.94,0.57,0.3,2.24,0.84,0.43,11.94,0.07,0.1,0.27,0.0,0.0,0.03,Jude Bellingham,Borussia Dortmund,991011,2673
0.15,0.22,0.0,3.22,66.92,2.37,65.98,0.0,0.0,2.59,0.04,89.87,5.59,66.52,90,0.63,1.04,0.07,1.11,0.0,0.0,0.0,0.93,0.15,0.0,0.0,0.0,0.0,12.29,0.15,74.24,0.7,0.44,26.67,3.59,60.25,1.63,2.81,0.44,0.07,1.26,0.44,0.26,11.76,0.04,0.19,0.09,0.0,0.0,0.0,Benjamin Pavard,FC Bayern München,787505,2672
0.16,0.16,0.0,2.86,55.73,0.2,29.41,1.06,58.7,1.41,0.47,85.12,3.06,52.7,90,0.39,0.31,0.71,1.06,0.0,0.0,0.0,1.25,0.35,0.0,0.0,0.0,0.0,17.52,0.47,51.11,2.27,1.22,27.19,1.57,47.62,1.41,0.86,0.51,0.08,1.29,0.59,0.31,12.12,0.0,0.08,0.11,0.0,0.0,0.0,Raphaël Guerreiro,Borussia Dortmund,246999,2673
