Player,Squad,PSxG,PSxG/SoT,PSxG+/-,Launch%,Crosses_Opp,Crosses_stp%,#OPA,Season,Competition
ben alexander voll,St. Pauli,2.4,0.48,0.4,59.5,15,0.0,0,2024-2025,bundesliga
noah atubolu,Freiburg,37.0,0.3,0.0,32.4,377,9.0,28,2024-2025,bundesliga
oliver baumann,Hoffenheim,52.1,0.36,1.1,41.6,407,4.4,31,2024-2025,bundesliga
tiago cardoso,Gladbach,4.7,0.2,1.7,27.0,96,14.6,1,2024-2025,bundesliga
finn dahmen,Augsburg,24.2,0.29,7.2,38.6,337,2.7,26,2024-2025,bundesliga
thomas dahne,Holstein Kiel,18.5,0.3,0.5,25.7,177,8.5,5,2024-2025,bundesliga
patrick drewes,Bochum,42.3,0.38,-3.7,50.1,285,4.2,33,2024-2025,bundesliga
frank feller,Heidenheim,0.3,0.16,0.3,42.6,25,4.0,1,2024-2025,bundesliga
kamil grabara,Wolfsburg,49.7,0.35,1.7,41.7,413,3.6,19,2024-2025,bundesliga
peter gulacsi,RB Leipzig,42.6,0.3,3.6,20.3,434,5.3,34,2024-2025,bundesliga
timo horn,Bochum,18.5,0.35,-3.5,60.8,182,3.3,18,2024-2025,bundesliga
lukas hradecky,Leverkusen,35.8,0.28,0.8,30.9,296,4.1,39,2024-2025,bundesliga
gregor kobel,Dortmund,47.4,0.35,1.4,23.7,420,5.2,47,2024-2025,bundesliga
matej kovar,Leverkusen,3.5,0.22,-0.5,21.4,52,3.8,6,2024-2025,bundesliga
nediljko labrovic,Augsburg,25.9,0.32,-6.1,38.8,217,5.5,18,2024-2025,bundesliga
alexander meyer,Dortmund,4.0,0.36,0.0,35.5,24,4.2,2,2024-2025,bundesliga
florian muller,Freiburg,11.6,0.35,-3.4,44.9,104,5.8,9,2024-2025,bundesliga
kevin muller,Heidenheim,59.3,0.33,-4.7,31.4,453,4.6,20,2024-2025,bundesliga
marius muller,Wolfsburg,7.6,0.33,2.6,39.1,99,9.1,3,2024-2025,bundesliga
manuel neuer,Bayern Munich,15.0,0.33,0.0,20.0,162,3.7,40,2024-2025,bundesliga
moritz nicolas,Gladbach,29.9,0.29,6.9,23.3,319,5.6,14,2024-2025,bundesliga
alexander nubel,Stuttgart,44.8,0.32,-7.2,30.1,415,5.1,57,2024-2025,bundesliga
jonas omlin,Gladbach,23.8,0.31,-2.2,34.9,166,1.8,13,2024-2025,bundesliga
daniel peretz,Bayern Munich,4.0,0.58,-1.0,25.0,17,0.0,8,2024-2025,bundesliga
luca philipp,Hoffenheim,12.3,0.34,-1.7,51.0,84,3.6,4,2024-2025,bundesliga
lasse rie,Mainz 05,2.2,0.27,0.2,51.4,23,8.7,8,2024-2025,bundesliga
frederik rnnow,Union Berlin,39.3,0.32,3.3,36.6,483,8.3,35,2024-2025,bundesliga
kaua santos,Eint Frankfurt,14.3,0.3,3.3,37.1,137,11.7,18,2024-2025,bundesliga
alexander schwolow,Union Berlin,9.7,0.32,-3.3,31.3,85,0.0,4,2024-2025,bundesliga
tobias sippel,Gladbach,1.2,0.3,-1.8,45.5,13,0.0,0,2024-2025,bundesliga
kevin trapp,Eint Frankfurt,34.9,0.3,1.9,31.7,394,6.1,28,2024-2025,bundesliga
sven ulreich,Bayern Munich,0.0,,0.0,27.6,7,14.3,1,2024-2025,bundesliga
jonas urbig,Bayern Munich,10.3,0.38,-1.7,26.2,81,6.2,21,2024-2025,bundesliga
maarten vandevoordt,RB Leipzig,7.3,0.36,-1.7,23.0,78,9.0,11,2024-2025,bundesliga
nikola vasilj,St. Pauli,47.4,0.32,9.4,34.2,411,5.8,27,2024-2025,bundesliga
timon weiner,Holstein Kiel,47.2,0.32,-11.8,40.2,491,5.5,18,2024-2025,bundesliga
robin zentner,Mainz 05,45.0,0.29,4.0,46.2,524,8.6,58,2024-2025,bundesliga
michael zetterer,Werder Bremen,52.9,0.33,-1.1,27.7,464,7.5,34,2024-2025,bundesliga
