Player,Squad,PSxG,PSxG/SoT,PSxG+/-,Launch%,Crosses_Opp,Crosses_stp%,#OPA,Season,Competition
alaa bellaarouch,Strasbourg,19.9,0.25,-5.1,36.4,203,9.4,21,2023-2024,ligue-1
dimitry bertaud,Montpellier,10.9,0.32,-0.1,42.4,56,5.4,0,2023-2024,ligue-1
marco bizot,Brest,36.2,0.27,2.2,39.3,382,4.7,41,2023-2024,ligue-1
ruben blanco,Marseille,1.3,0.21,-0.7,26.8,24,16.7,1,2023-2024,ligue-1
marcin buka,Nice,30.7,0.22,2.7,14.4,376,8.5,21,2023-2024,ligue-1
lucas chevalier,Lille,35.7,0.26,5.7,26.5,388,6.4,28,2023-2024,ligue-1
gregoire coudert,Brest,0.3,0.07,0.3,41.4,24,0.0,2,2023-2024,ligue-1
remy descamps,Nantes,12.5,0.35,1.5,51.1,116,6.9,0,2023-2024,ligue-1
arthur desmas,Le Havre,47.0,0.3,6.0,46.9,470,6.8,24,2023-2024,ligue-1
mory diaw,Clermont Foot,57.1,0.28,4.1,42.8,439,8.9,46,2023-2024,ligue-1
guillaume dietsch,Metz,0.8,0.31,-0.2,47.4,14,7.1,0,2023-2024,ligue-1
yehvann diouf,Reims,42.7,0.27,-3.3,25.2,522,7.3,46,2023-2024,ligue-1
gianluigi donnarumma,Paris S-G,30.4,0.25,10.4,11.4,294,5.1,23,2023-2024,ligue-1
mathieu gorgelin,Le Havre,2.9,0.39,0.9,47.1,12,0.0,1,2023-2024,ligue-1
philipp kohn,Monaco,32.0,0.27,1.0,32.5,282,7.8,19,2023-2024,ligue-1
alban lafont,Nantes,42.4,0.31,-0.6,34.2,385,8.6,33,2023-2024,ligue-1
jeanlouis leca,Lens,1.0,0.49,-1.0,31.8,8,0.0,0,2023-2024,ligue-1
benjamin lecomte,Montpellier,36.8,0.24,2.8,44.2,471,6.2,13,2023-2024,ligue-1
anthony lopes,Lyon,43.5,0.25,-4.5,34.1,438,8.2,28,2023-2024,ligue-1
pau lopez,Marseille,32.6,0.24,-5.4,24.8,406,3.7,25,2023-2024,ligue-1
radosaw majecki,Monaco,14.7,0.29,5.7,31.1,160,8.1,7,2023-2024,ligue-1
steve mandanda,Rennes,38.2,0.25,-4.8,29.9,451,8.0,37,2023-2024,ligue-1
vito mannone,Lille,1.7,0.35,-0.3,40.5,11,18.2,4,2023-2024,ligue-1
yvon mvogo,Lorient,64.0,0.28,-1.0,29.1,591,4.1,13,2023-2024,ligue-1
keylor navas,Paris S-G,4.7,0.31,-1.3,10.0,37,0.0,5,2023-2024,ligue-1
massamba ndiaye,Clermont Foot,7.8,0.29,1.8,29.7,75,9.3,3,2023-2024,ligue-1
alexandre oukidja,Metz,52.3,0.26,-4.7,57.3,569,8.1,22,2023-2024,ligue-1
denis petric,Nantes,0.3,0.28,-0.7,28.6,4,0.0,0,2023-2024,ligue-1
guillaume restes,Toulouse,45.3,0.3,-0.7,27.4,490,1.4,16,2023-2024,ligue-1
remy riou,Lyon,4.7,0.33,-1.3,16.0,32,9.4,3,2023-2024,ligue-1
brice samba,Lens,42.3,0.27,8.3,31.8,388,8.2,39,2023-2024,ligue-1
matz sels,Strasbourg,18.0,0.28,-4.0,37.4,257,2.3,19,2023-2024,ligue-1
arnau tenas,Paris S-G,6.0,0.24,-1.0,23.0,71,2.8,5,2023-2024,ligue-1
