club,club_id,player,player_id,market_value_str,market_value_eur,player_url,player_norm,club_norm,season,competition_code
AS Monaco,162,Radoslaw Majecki,346546,€6.00m,6000000.0,https://www.transfermarkt.com/radoslaw-majecki/profil/spieler/346546,radoslaw majecki,as monaco,2024,FR1
AS Monaco,162,Philipp Köhn,251322,€5.00m,5000000.0,https://www.transfermarkt.com/philipp-kohn/profil/spieler/251322,philipp kohn,as monaco,2024,FR1
AS Monaco,162,Jules Stawiecki,1075582,€200k,200000.0,https://www.transfermarkt.com/jules-stawiecki/profil/spieler/1075582,jules stawiecki,as monaco,2024,FR1
AS Monaco,162,Yann Lienard,745341,€100k,100000.0,https://www.transfermarkt.com/yann-lienard/profil/spieler/745341,yann lienard,as monaco,2024,FR1
AS Monaco,162,Thilo Kehrer,228948,€20.00m,20000000.0,https://www.transfermarkt.com/thilo-kehrer/profil/spieler/228948,thilo kehrer,as monaco,2024,FR1
AS Monaco,162,Christian Mawissa,1005240,€15.00m,15000000.0,https://www.transfermarkt.com/christian-mawissa/profil/spieler/1005240,christian mawissa,as monaco,2024,FR1
AS Monaco,162,Mohammed Salisu,563963,€12.00m,12000000.0,https://www.transfermarkt.com/mohammed-salisu/profil/spieler/563963,mohammed salisu,as monaco,2024,FR1
AS Monaco,162,Guillermo Maripán,249730,€4.00m,4000000.0,https://www.transfermarkt.com/guillermo-maripan/profil/spieler/249730,guillermo maripan,as monaco,2024,FR1
AS Monaco,162,Bradel Kiwa,1078416,-,,https://www.transfermarkt.com/bradel-kiwa/profil/spieler/1078416,bradel kiwa,as monaco,2024,FR1
AS Monaco,162,Caio Henrique,420064,€15.00m,15000000.0,https://www.transfermarkt.com/caio-henrique/profil/spieler/420064,caio henrique,as monaco,2024,FR1
AS Monaco,162,Ismail Jakobs,375137,€7.00m,7000000.0,https://www.transfermarkt.com/ismail-jakobs/profil/spieler/375137,ismail jakobs,as monaco,2024,FR1
AS Monaco,162,Kassoum Ouattara,947360,€7.00m,7000000.0,https://www.transfermarkt.com/kassoum-ouattara/profil/spieler/947360,kassoum ouattara,as monaco,2024,FR1
AS Monaco,162,Wilfried Singo,648779,€25.00m,25000000.0,https://www.transfermarkt.com/wilfried-singo/profil/spieler/648779,wilfried singo,as monaco,2024,FR1
AS Monaco,162,Vanderson,789082,€20.00m,20000000.0,https://www.transfermarkt.com/vanderson/profil/spieler/789082,vanderson,as monaco,2024,FR1
AS Monaco,162,Jordan Teze,364245,€9.00m,9000000.0,https://www.transfermarkt.com/jordan-teze/profil/spieler/364245,jordan teze,as monaco,2024,FR1
AS Monaco,162,Denis Zakaria,334526,€30.00m,30000000.0,https://www.transfermarkt.com/denis-zakaria/profil/spieler/334526,denis zakaria,as monaco,2024,FR1
AS Monaco,162,Soungoutou Magassa,745181,€12.00m,12000000.0,https://www.transfermarkt.com/soungoutou-magassa/profil/spieler/745181,soungoutou magassa,as monaco,2024,FR1
AS Monaco,162,Moatasem Al-Musrati,377641,€8.00m,8000000.0,https://www.transfermarkt.com/moatasem-al-musrati/profil/spieler/377641,moatasem al-musrati,as monaco,2024,FR1
AS Monaco,162,Aladji Bamba,975347,-,,https://www.transfermarkt.com/aladji-bamba/profil/spieler/975347,aladji bamba,as monaco,2024,FR1
AS Monaco,162,Samuel Nibombe,981700,-,,https://www.transfermarkt.com/samuel-nibombe/profil/spieler/981700,samuel nibombe,as monaco,2024,FR1
AS Monaco,162,Lamine Camara,918969,€22.00m,22000000.0,https://www.transfermarkt.com/lamine-camara/profil/spieler/918969,lamine camara,as monaco,2024,FR1
AS Monaco,162,Eliot Matazo,535834,€2.00m,2000000.0,https://www.transfermarkt.com/eliot-matazo/profil/spieler/535834,eliot matazo,as monaco,2024,FR1
AS Monaco,162,Edan Diop,745178,€600k,600000.0,https://www.transfermarkt.com/edan-diop/profil/spieler/745178,edan diop,as monaco,2024,FR1
AS Monaco,162,Mamadou Coulibaly,745173,€200k,200000.0,https://www.transfermarkt.com/mamadou-coulibaly/profil/spieler/745173,mamadou coulibaly,as monaco,2024,FR1
AS Monaco,162,Mayssam Benama,810894,€150k,150000.0,https://www.transfermarkt.com/mayssam-benama/profil/spieler/810894,mayssam benama,as monaco,2024,FR1
AS Monaco,162,Aleksandr Golovin,263918,€20.00m,20000000.0,https://www.transfermarkt.com/aleksandr-golovin/profil/spieler/263918,aleksandr golovin,as monaco,2024,FR1
AS Monaco,162,Saïmon Bouabré,955356,€300k,300000.0,https://www.transfermarkt.com/saimon-bouabre/profil/spieler/955356,saimon bouabre,as monaco,2024,FR1
AS Monaco,162,Eliesse Ben Seghir,810895,€28.00m,28000000.0,https://www.transfermarkt.com/eliesse-ben-seghir/profil/spieler/810895,eliesse ben seghir,as monaco,2024,FR1
AS Monaco,162,Takumi Minamino,165793,€15.00m,15000000.0,https://www.transfermarkt.com/takumi-minamino/profil/spieler/165793,takumi minamino,as monaco,2024,FR1
AS Monaco,162,Lucas Michal,810909,€500k,500000.0,https://www.transfermarkt.com/lucas-michal/profil/spieler/810909,lucas michal,as monaco,2024,FR1
AS Monaco,162,Maghnes Akliouche,745200,€45.00m,45000000.0,https://www.transfermarkt.com/maghnes-akliouche/profil/spieler/745200,maghnes akliouche,as monaco,2024,FR1
AS Monaco,162,Krépin Diatta,490426,€7.00m,7000000.0,https://www.transfermarkt.com/krepin-diatta/profil/spieler/490426,krepin diatta,as monaco,2024,FR1
AS Monaco,162,Mika Biereth,565821,€30.00m,30000000.0,https://www.transfermarkt.com/mika-biereth/profil/spieler/565821,mika biereth,as monaco,2024,FR1
AS Monaco,162,Folarin Balogun,503770,€18.00m,18000000.0,https://www.transfermarkt.com/folarin-balogun/profil/spieler/503770,folarin balogun,as monaco,2024,FR1
AS Monaco,162,George Ilenikhena,1004834,€15.00m,15000000.0,https://www.transfermarkt.com/george-ilenikhena/profil/spieler/1004834,george ilenikhena,as monaco,2024,FR1
AS Monaco,162,Breel Embolo,237662,€12.00m,12000000.0,https://www.transfermarkt.com/breel-embolo/profil/spieler/237662,breel embolo,as monaco,2024,FR1
AS Monaco,162,Joan Tincres,975348,€100k,100000.0,https://www.transfermarkt.com/joan-tincres/profil/spieler/975348,joan tincres,as monaco,2024,FR1
Olympique Marseille,244,Gerónimo Rulli,229604,€8.00m,8000000.0,https://www.transfermarkt.com/geronimo-rulli/profil/spieler/229604,geronimo rulli,olympique marseille,2024,FR1
Olympique Marseille,244,Jeffrey de Lange,315253,€2.00m,2000000.0,https://www.transfermarkt.com/jeffrey-de-lange/profil/spieler/315253,jeffrey de lange,olympique marseille,2024,FR1
Olympique Marseille,244,Rubén Blanco,199321,€1.00m,1000000.0,https://www.transfermarkt.com/ruben-blanco/profil/spieler/199321,ruben blanco,olympique marseille,2024,FR1
Olympique Marseille,244,Jelle Van Neck,727086,€50k,50000.0,https://www.transfermarkt.com/jelle-van-neck/profil/spieler/727086,jelle van neck,olympique marseille,2024,FR1
Olympique Marseille,244,Leonardo Balerdi,575998,€20.00m,20000000.0,https://www.transfermarkt.com/leonardo-balerdi/profil/spieler/575998,leonardo balerdi,olympique marseille,2024,FR1
