comp_name,region,country,season_start_year,squad,player_num,player_name,player_position,player_dob,player_age,player_nationality,current_club,player_height_mtrs,player_foot,date_joined,joined_from,contract_expiry,player_market_value_euro,player_url,Season,Liga
Serie A,Europe,Italy,2024,Bologna FC 1909,-,Juan Miranda,Defensive Midfield,,,Iceland,Kasimpasa,1.87,right,,Bologna Primavera,,,https://www.transfermarkt.com/juan-miranda/profil/spieler/341227,2024-2025,Serie-A
LaLiga,Europe,Spain,2024,Atlético de Madrid,-,Juan Musso,Goalkeeper,,,Romania,Real Oviedo,1.86,right,,FC Rapid 1923,,2200000,https://www.transfermarkt.com/juan-musso/profil/spieler/242359,2024-2025,La-Liga
LaLiga,Europe,Spain,2024,CD Leganés,1,Juan Soriano,Goalkeeper,,,Spain,CD Leganés,1.85,right,,CD Tenerife,,1000000,https://www.transfermarkt.com/juan-soriano/profil/spieler/251892,2024-2025,La-Liga
LaLiga,Europe,Spain,2024,Sevilla FC,-,Juanlu Sánchez,Central Midfield,,,Spain,Sevilla Atlético,1.89,right,,,,,https://www.transfermarkt.com/juanlu-sanchez/profil/spieler/676042,2024-2025,La-Liga
LaLiga,Europe,Spain,2024,UD Las Palmas,23,Juanma Herzog,Left-Back,,,Spain,UD Almería,1.87,left,,Levante UD,,1000000,https://www.transfermarkt.com/juanma-herzog/profil/spieler/1146029,2024-2025,La-Liga
LaLiga,Europe,Spain,2024,Real Valladolid CF,19,Juanmi Latasa,Right Winger,,,Senegal,Real Valladolid CF,1.73,right,,RCD Mallorca,,,https://www.transfermarkt.com/juanmi-latasa/profil/spieler/623521,2024-2025,La-Liga
LaLiga,Europe,Spain,2024,Real Betis Balompié,4,Juanmi,Central Midfield,,,United States,Atlético de Madrid,1.86,right,,Sport Club Internacional,,25000000,https://www.transfermarkt.com/juanmi/profil/spieler/126737,2024-2025,La-Liga
LaLiga,Europe,Spain,2024,Rayo Vallecano,16,Juanpe Gil,Centre-Back,,,Ghana,Rayo Vallecano,1.88,right,,Vitória Guimarães SC,,5000000,https://www.transfermarkt.com/juanpe-gil/profil/spieler/708370,2024-2025,La-Liga
LaLiga,Europe,Spain,2024,Girona FC,14,Juanpe,Defensive Midfield,,,Spain,Southampton FC,1.83,right,,FC Barcelona,,1200000,https://www.transfermarkt.com/juanpe/profil/spieler/115333,2024-2025,La-Liga
Ligue 1,Europe,France,2024,AJ Auxerre,14,Jubal,Left-Back,,,Ghana,AJ Auxerre,1.78,left,,Red Bull Salzburg,,4000000,https://www.transfermarkt.com/jubal/profil/spieler/149928,2024-2025,Ligue-1
LaLiga,Europe,Spain,2024,Real Madrid,2,Jude Bellingham,Right-Back,,,Spain,Real Madrid,1.73,right,,Bayer 04 Leverkusen,,8000000,https://www.transfermarkt.com/jude-bellingham/profil/spieler/581678,2024-2025,La-Liga
LaLiga,Europe,Spain,2024,Athletic Bilbao,-,Julen Agirrezabala,Goalkeeper,,,Mexico,Athletic Bilbao,1.9,right,,Bilbao Athletic,,3000000,https://www.transfermarkt.com/julen-agirrezabala/profil/spieler/625014,2024-2025,La-Liga
LaLiga,Europe,Spain,2024,Deportivo Alavés,-,Julen Lartitegi,Attacking Midfield,,,Spain,Deportivo Alavés B,, ,,,,,https://www.transfermarkt.com/julen-lartitegi/profil/spieler/834756,2024-2025,La-Liga
LaLiga,Europe,Spain,2024,FC Barcelona,7,Jules Koundé,Centre-Forward,,,Spain,FC Barcelona,1.84,right,,Manchester City,,40000000,https://www.transfermarkt.com/jules-kounde/profil/spieler/411975,2024-2025,La-Liga
Ligue 1,Europe,France,2024,AS Monaco,5,Jules Stawiecki,Centre-Back,,,Germany,AS Monaco,1.86,both,,West Ham United,,20000000,https://www.transfermarkt.com/jules-stawiecki/profil/spieler/1075582,2024-2025,Ligue-1
