Player,Squad,GA,SoTA,Save%,CS%,PKatt,P_Save%,Season,Competition
alvaro aceves,Valladolid,0,3,100.0,,0,,2022-2023,laliga
julen agirrezabala,Athletic Club,6,19,68.4,28.6,0,,2022-2023,laliga
sergio asenjo,Valladolid,21,51,60.8,10.0,1,0.0,2022-2023,laliga
edgar badia,Elche,63,200,72.0,11.1,10,30.0,2022-2023,laliga
yassine bounou,Sevilla,41,106,63.2,16.0,3,33.3,2022-2023,laliga
claudio bravo,Betis,9,42,81.0,33.3,1,0.0,2022-2023,laliga
juan carlos,Girona,18,43,62.8,0.0,2,0.0,2022-2023,laliga
thibaut courtois,Real Madrid,29,118,78.8,32.3,5,20.0,2022-2023,laliga
stole dimitrievski,Rayo Vallecano,49,139,67.6,24.3,5,0.0,2022-2023,laliga
marko dmitrovic,Sevilla,13,55,76.4,38.5,0,,2022-2023,laliga
aitor fernandez,Osasuna,19,77,75.3,38.1,0,,2022-2023,laliga
alvaro fernandez,Espanyol,18,50,64.0,18.2,0,,2022-2023,laliga
fernando,Almería,61,193,70.5,10.8,6,20.0,2022-2023,laliga
joan garcia,Espanyol,3,4,50.0,0.0,1,0.0,2022-2023,laliga
paulo gazzaniga,Girona,37,125,73.6,14.3,6,20.0,2022-2023,laliga
david gil,Cádiz,5,23,82.6,25.0,1,0.0,2022-2023,laliga
antonio gomis,Atlético Madrid,1,1,0.0,,0,,2022-2023,laliga
ivo grbic,Atlético Madrid,12,48,81.3,20.0,3,0.0,2022-2023,laliga
dominik greif,Mallorca,3,8,62.5,0.0,0,,2022-2023,laliga
sergio herrera,Osasuna,23,71,69.0,17.6,4,50.0,2022-2023,laliga
filip jrgensen,Villarreal,3,6,50.0,0.0,0,,2022-2023,laliga
benjamin lecomte,Espanyol,14,40,65.0,10.0,0,,2022-2023,laliga
jeremias ledesma,Cádiz,48,179,77.7,35.3,9,11.1,2022-2023,laliga
diego lopez,Rayo Vallecano,4,5,20.0,0.0,0,,2022-2023,laliga
andriy lunin,Real Madrid,7,18,61.1,42.9,0,,2022-2023,laliga
giorgi mamardashvili,Valencia,45,148,70.9,18.4,5,0.0,2022-2023,laliga
agustin marchesin,Celta Vigo,29,72,62.5,31.6,4,50.0,2022-2023,laliga
diego marino,Almería,2,5,60.0,,0,,2022-2023,laliga
jordi masip,Valladolid,42,145,74.5,28.6,9,37.5,2022-2023,laliga
jan oblak,Atlético Madrid,20,79,75.9,39.3,2,0.0,2022-2023,laliga
fernando pacheco,Almería,2,5,60.0,0.0,0,,2022-2023,laliga
fernando pacheco,Espanyol,33,88,67.0,18.8,5,20.0,2022-2023,laliga
inaki pena,Barcelona,2,4,50.0,,0,,2022-2023,laliga
predrag rajkovic,Mallorca,40,133,74.4,33.3,7,14.3,2022-2023,laliga
pepe reina,Villarreal,27,87,73.6,22.7,4,0.0,2022-2023,laliga
alex remiro,Real Sociedad,35,133,74.4,39.5,2,50.0,2022-2023,laliga
leo roman,Mallorca,0,4,100.0,100.0,0,,2022-2023,laliga
geronimo rulli,Villarreal,10,56,82.1,50.0,0,,2022-2023,laliga
rui silva,Betis,32,104,71.2,34.6,2,0.0,2022-2023,laliga
unai simon,Athletic Club,37,104,67.3,29.0,3,0.0,2022-2023,laliga
david soria,Getafe,45,166,75.3,34.2,8,50.0,2022-2023,laliga
marcandre ter stegen,Barcelona,18,98,84.7,68.4,3,0.0,2022-2023,laliga
ivan villar,Celta Vigo,24,62,66.1,21.1,4,0.0,2022-2023,laliga
axel werner,Elche,4,8,50.0,0.0,0,,2022-2023,laliga
