Player,Squad,GA,SoTA,Save%,CS%,PKatt,P_Save%,Season,Competition
ben alexander voll,St. Pauli,2,5,60.0,0.0,0,,2024-2025,bundesliga
noah atubolu,Freiburg,37,120,69.2,38.5,2,100.0,2024-2025,bundesliga
oliver baumann,Hoffenheim,53,138,63.0,14.3,5,60.0,2024-2025,bundesliga
tiago cardoso,Gladbach,3,23,87.0,50.0,0,,2024-2025,bundesliga
finn dahmen,Augsburg,19,82,79.3,47.4,2,0.0,2024-2025,bundesliga
thomas dahne,Holstein Kiel,19,55,69.1,0.0,3,33.3,2024-2025,bundesliga
patrick drewes,Bochum,46,99,56.6,9.5,5,40.0,2024-2025,bundesliga
frank feller,Heidenheim,0,2,100.0,200.0,0,,2024-2025,bundesliga
kamil grabara,Wolfsburg,49,137,65.7,17.2,3,33.3,2024-2025,bundesliga
peter gulacsi,RB Leipzig,39,137,73.0,46.7,3,33.3,2024-2025,bundesliga
timo horn,Bochum,22,54,59.3,23.1,1,,2024-2025,bundesliga
lukas hradecky,Leverkusen,38,118,71.2,20.7,4,0.0,2024-2025,bundesliga
gregor kobel,Dortmund,47,129,66.7,21.9,4,0.0,2024-2025,bundesliga
matej kovar,Leverkusen,5,16,68.8,60.0,0,,2024-2025,bundesliga
nediljko labrovic,Augsburg,32,74,60.8,13.3,3,0.0,2024-2025,bundesliga
alexander meyer,Dortmund,4,11,63.6,0.0,0,,2024-2025,bundesliga
florian muller,Freiburg,16,30,53.3,12.5,2,0.0,2024-2025,bundesliga
kevin muller,Heidenheim,64,169,65.7,21.2,6,0.0,2024-2025,bundesliga
marius muller,Wolfsburg,5,23,78.3,20.0,0,,2024-2025,bundesliga
manuel neuer,Bayern Munich,15,45,68.9,59.1,2,0.0,2024-2025,bundesliga
moritz nicolas,Gladbach,25,92,78.3,21.1,5,0.0,2024-2025,bundesliga
alexander nubel,Stuttgart,53,136,62.5,20.6,3,33.3,2024-2025,bundesliga
jonas omlin,Gladbach,26,72,66.7,9.1,3,33.3,2024-2025,bundesliga
daniel peretz,Bayern Munich,5,7,28.6,0.0,0,,2024-2025,bundesliga
luca philipp,Hoffenheim,15,35,60.0,0.0,1,0.0,2024-2025,bundesliga
lasse rie,Mainz 05,2,8,75.0,0.0,0,,2024-2025,bundesliga
frederik rnnow,Union Berlin,37,111,67.6,28.6,5,80.0,2024-2025,bundesliga
kaua santos,Eint Frankfurt,12,46,76.1,37.5,1,0.0,2024-2025,bundesliga
alexander schwolow,Union Berlin,13,28,57.1,0.0,1,0.0,2024-2025,bundesliga
tobias sippel,Gladbach,3,4,25.0,,0,,2024-2025,bundesliga
kevin trapp,Eint Frankfurt,34,117,70.9,23.1,2,100.0,2024-2025,bundesliga
sven ulreich,Bayern Munich,0,0,,100.0,0,,2024-2025,bundesliga
jonas urbig,Bayern Munich,12,28,57.1,25.0,0,,2024-2025,bundesliga
maarten vandevoordt,RB Leipzig,9,21,57.1,0.0,0,,2024-2025,bundesliga
nikola vasilj,St. Pauli,39,135,71.9,27.3,5,80.0,2024-2025,bundesliga
timon weiner,Holstein Kiel,61,140,59.3,8.0,4,0.0,2024-2025,bundesliga
robin zentner,Mainz 05,41,142,73.9,28.1,5,20.0,2024-2025,bundesliga
michael zetterer,Werder Bremen,57,156,65.4,29.4,3,0.0,2024-2025,bundesliga
