Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
james abankwah,Udinese,26,13,0,0,39,1,100.0,0,0.0,19,0,0,1,1,2022-2023,serie-a
oliver abildgaard,Hellas Verona,82,137,40,13,257,1,100.0,0,0.0,156,3,0,6,1,2022-2023,serie-a
tammy abraham,Roma,50,391,355,125,786,68,32.4,37,54.4,856,20,16,62,31,2022-2023,serie-a
christian acella,Cremonese,1,9,1,0,11,0,,0,,7,0,0,1,0,2022-2023,serie-a
francesco acerbi,Inter,858,880,167,27,1890,12,58.3,4,33.3,2867,33,2,13,7,2022-2023,serie-a
yacine adli,Milan,14,45,42,2,97,6,66.7,2,33.3,171,5,0,3,5,2022-2023,serie-a
michel aebischer,Bologna,147,400,246,28,791,13,46.2,7,53.8,841,12,4,30,17,2022-2023,serie-a
felix afenagyan,Cremonese,40,129,156,28,318,25,28.0,12,48.0,463,13,3,34,21,2022-2023,serie-a
kevin agudelo,Spezia,168,500,457,54,1084,109,45.9,50,45.9,2740,71,19,59,55,2022-2023,serie-a
ola aina,Torino,146,294,250,13,679,49,46.9,20,40.8,1112,26,4,15,8,2022-2023,serie-a
emanuel aiwum,Cremonese,506,452,51,5,997,10,30.0,5,50.0,1569,11,0,6,5,2022-2023,serie-a
jeandaniel akpaakpro,Empoli,163,338,143,24,630,55,56.4,19,34.5,748,23,8,25,15,2022-2023,serie-a
luis alberto,Lazio,269,1285,681,43,2215,41,46.3,20,48.8,3214,76,10,33,31,2022-2023,serie-a
agustin alvarez,Sassuolo,12,76,71,16,155,17,41.2,8,47.1,95,1,2,16,12,2022-2023,serie-a
kelvin amian,Spezia,506,512,383,47,1395,30,53.3,11,36.7,2090,31,3,25,18,2022-2023,serie-a
bruno amione,Hellas Verona,17,4,0,0,20,0,,0,,8,0,0,0,0,2022-2023,serie-a
bruno amione,Sampdoria,715,479,83,24,1263,10,20.0,6,60.0,1165,16,0,20,1,2022-2023,serie-a
ethan ampadu,Spezia,930,841,140,19,1889,12,75.0,1,8.3,3014,21,0,18,7,2022-2023,serie-a
sofyan amrabat,Fiorentina,298,1106,256,6,1641,17,70.6,4,23.5,2876,28,1,20,16,2022-2023,serie-a
felipe anderson,Lazio,236,830,790,129,1832,105,51.4,42,40.0,2369,62,31,85,44,2022-2023,serie-a
janis antiste,Sassuolo,7,9,7,1,23,1,0.0,1,100.0,9,0,0,1,0,2022-2023,serie-a
marcos antonio,Lazio,117,331,49,1,493,5,80.0,0,0.0,339,9,1,6,4,2022-2023,serie-a
valentin antov,Monza,127,121,19,0,267,1,100.0,0,0.0,313,2,0,3,2,2022-2023,serie-a
marko arnautovic,Bologna,44,325,255,57,615,27,48.1,11,40.7,524,12,6,42,19,2022-2023,serie-a
tolgay arslan,Udinese,145,398,234,26,770,36,41.7,13,36.1,1530,31,11,26,17,2022-2023,serie-a
santiago ascacibar,Cremonese,177,280,100,4,553,9,44.4,4,44.4,442,3,0,8,4,2022-2023,serie-a
kristoffer askildsen,Lecce,68,190,97,8,351,6,50.0,1,16.7,336,2,2,13,3,2022-2023,serie-a
kristjan asllani,Inter,115,309,87,2,507,5,40.0,3,60.0,634,9,1,3,2,2022-2023,serie-a
emil audero,Sampdoria,968,17,0,0,982,0,,0,,1827,0,0,1,0,2022-2023,serie-a
tommaso augello,Sampdoria,615,856,544,21,1981,64,56.3,23,35.9,3177,43,5,21,17,2022-2023,serie-a
carlos augusto,Monza,676,917,498,71,2073,61,54.1,24,39.3,3073,62,15,45,28,2022-2023,serie-a
kaan ayhan,Sassuolo,198,182,6,0,385,0,,0,,744,5,0,0,1,2022-2023,serie-a
jaime baez,Cremonese,10,37,16,2,62,2,50.0,0,0.0,124,3,0,1,0,2022-2023,serie-a
nedim bajrami,Empoli,66,185,219,27,457,31,35.5,18,58.1,816,21,10,24,17,2022-2023,serie-a
nedim bajrami,Sassuolo,63,150,247,29,451,32,56.3,12,37.5,739,16,12,20,9,2022-2023,serie-a
tiemoue bakayoko,Milan,16,12,2,0,30,3,33.3,2,66.7,56,1,0,1,1,2022-2023,serie-a
tommaso baldanzi,Empoli,109,408,334,46,841,60,38.3,30,50.0,1772,51,14,33,15,2022-2023,serie-a
fode ballotoure,Milan,77,168,110,9,352,15,33.3,9,60.0,427,7,0,6,6,2022-2023,serie-a
lameck banda,Lecce,75,266,403,74,720,112,42.9,48,42.9,2236,55,38,67,36,2022-2023,serie-a
filippo bandinelli,Empoli,317,658,376,29,1333,42,35.7,21,50.0,1736,41,7,42,30,2022-2023,serie-a
antonin barak,Hellas Verona,0,10,6,0,16,2,50.0,1,50.0,25,0,0,1,1,2022-2023,serie-a
antonin barak,Fiorentina,84,470,362,67,904,39,48.7,17,43.6,1435,31,8,34,28,2022-2023,serie-a
andrea barberis,Monza,38,126,31,2,194,0,,0,,253,7,1,3,6,2022-2023,serie-a
tommaso barbieri,Juventus,28,29,21,2,78,3,33.3,1,33.3,125,2,0,5,0,2022-2023,serie-a
francesco bardi,Bologna,25,0,0,0,25,0,,0,,35,0,0,0,1,2022-2023,serie-a
nicolo barella,Inter,303,962,656,57,1892,70,57.1,17,24.3,3430,69,10,52,39,2022-2023,serie-a
enzo barrenechea,Juventus,36,90,13,2,138,1,0.0,1,100.0,171,1,0,1,1,2022-2023,serie-a
musa barrow,Bologna,122,454,502,46,1064,71,33.8,41,57.7,1960,59,19,50,31,2022-2023,serie-a
federico baschirotto,Lecce,968,771,96,36,1823,5,60.0,1,20.0,2352,4,0,10,2,2022-2023,serie-a
toma basic,Lazio,75,179,115,17,367,8,37.5,4,50.0,477,8,1,13,6,2022-2023,serie-a
alberto basso,Cremonese,0,0,3,1,3,0,,0,,11,0,0,0,1,2022-2023,serie-a
alessandro bastoni,Inter,796,821,250,30,1857,15,53.3,6,40.0,3688,31,3,13,6,2022-2023,serie-a
simone bastoni,Spezia,183,306,273,24,749,20,35.0,10,50.0,853,16,2,20,14,2022-2023,serie-a
brian bayeye,Torino,29,24,11,3,64,2,100.0,0,0.0,93,2,2,3,2,2022-2023,serie-a
rodrigo becao,Udinese,805,701,172,43,1667,10,50.0,5,50.0,2219,15,3,16,2,2022-2023,serie-a
julius beck,Spezia,2,5,1,0,8,0,,0,,5,0,0,1,1,2022-2023,serie-a
raoul bellanova,Inter,115,127,135,13,373,12,58.3,2,16.7,908,12,3,4,5,2022-2023,serie-a
andrea belotti,Roma,34,164,210,52,403,33,21.2,18,54.5,452,14,11,34,15,2022-2023,serie-a
marco benassi,Fiorentina,25,64,24,3,112,1,0.0,0,0.0,120,4,0,1,1,2022-2023,serie-a
marco benassi,Cremonese,109,221,136,17,461,9,88.9,0,0.0,439,14,0,12,10,2022-2023,serie-a
ismael bennacer,Milan,300,1023,369,10,1666,49,55.1,13,26.5,2012,30,4,42,23,2022-2023,serie-a
domenico berardi,Sassuolo,102,463,628,111,1171,50,44.0,20,40.0,1586,29,31,60,23,2022-2023,serie-a
bartosz bereszynski,Sampdoria,255,317,198,13,759,15,26.7,11,73.3,860,16,1,12,5,2022-2023,serie-a
bartosz bereszynski,Napoli,33,60,32,1,124,3,33.3,2,66.7,173,7,0,1,1,2022-2023,serie-a
marco bertini,Lazio,0,0,0,0,0,0,,0,,0,0,0,0,0,2022-2023,serie-a
beto,Udinese,49,274,336,130,651,76,42.1,40,52.6,594,15,14,114,43,2022-2023,serie-a
matteo bianchetti,Cremonese,692,447,37,13,1169,3,66.7,1,33.3,1377,2,0,6,3,2022-2023,serie-a
alessandro bianco,Fiorentina,18,59,14,1,91,2,0.0,0,0.0,144,1,0,2,5,2022-2023,serie-a
jaka bijol,Udinese,1068,612,53,40,1729,5,40.0,3,60.0,2415,7,2,10,4,2022-2023,serie-a
cristiano biraghi,Fiorentina,534,904,793,26,2212,20,35.0,9,45.0,2798,51,10,16,6,2022-2023,serie-a
samuele birindelli,Monza,277,372,321,30,957,20,55.0,8,40.0,1645,35,7,24,15,2022-2023,serie-a
kristijan bistrovic,Lecce,29,84,55,3,168,1,100.0,0,0.0,119,1,0,3,5,2022-2023,serie-a
alexis blin,Lecce,352,697,257,33,1299,11,45.5,6,54.5,1095,17,1,34,15,2022-2023,serie-a
jeremie boga,Atalanta,43,228,344,37,600,95,50.5,33,34.7,1904,47,20,31,11,2022-2023,serie-a
emil bohinen,Salernitana,172,335,110,6,610,18,44.4,7,38.9,868,12,0,10,9,2022-2023,serie-a
giacomo bonaventura,Fiorentina,132,573,456,69,1134,54,42.6,19,35.2,2260,60,10,23,29,2022-2023,serie-a
federico bonazzoli,Salernitana,33,269,191,31,487,23,52.2,9,39.1,435,10,3,42,12,2022-2023,serie-a
warren bondo,Monza,8,40,13,0,60,4,75.0,1,25.0,147,3,0,1,1,2022-2023,serie-a
kevin bonifazi,Bologna,448,364,22,4,828,7,71.4,2,28.6,1823,3,0,9,5,2022-2023,serie-a
leonardo bonucci,Juventus,326,326,10,7,657,1,100.0,0,0.0,854,2,0,3,1,2022-2023,serie-a
erik botheim,Salernitana,38,146,118,23,300,7,28.6,4,57.1,259,5,3,19,12,2022-2023,serie-a
mehdi bourabia,Spezia,422,832,409,21,1639,64,43.8,32,50.0,1777,30,5,54,27,2022-2023,serie-a
edoardo bove,Roma,107,301,131,20,532,13,38.5,4,30.8,404,9,2,25,17,2022-2023,serie-a
jayden braaf,Hellas Verona,16,63,54,16,129,24,62.5,8,33.3,294,9,5,13,15,2022-2023,serie-a
domagoj bradaric,Salernitana,398,609,368,22,1352,50,34.0,28,56.0,2396,46,8,27,10,2022-2023,serie-a
josip brekalo,Fiorentina,10,49,71,8,127,10,60.0,2,20.0,342,10,2,7,6,2022-2023,serie-a
gleison bremer,Juventus,1100,827,76,50,1994,7,42.9,4,57.1,2297,6,0,18,8,2022-2023,serie-a
dylan bronn,Salernitana,562,590,48,10,1196,11,54.5,3,27.3,1487,6,0,7,2,2022-2023,serie-a
marcelo brozovic,Inter,439,987,291,22,1696,27,59.3,9,33.3,2296,29,7,19,6,2022-2023,serie-a
cristian buonaiuto,Cremonese,62,282,319,49,651,47,42.6,23,48.9,974,29,9,36,28,2022-2023,serie-a
alessandro buongiorno,Torino,860,976,110,33,1938,16,37.5,7,43.8,2324,16,2,33,6,2022-2023,serie-a
leonardo buta,Udinese,2,7,5,0,14,0,,0,,43,0,0,0,0,2022-2023,serie-a
arthur cabral,Fiorentina,36,168,289,102,487,35,42.9,17,48.6,397,14,9,60,24,2022-2023,serie-a
liberato cacace,Empoli,166,243,122,12,525,20,40.0,10,50.0,814,14,4,6,7,2022-2023,serie-a
davide calabria,Milan,414,768,307,16,1474,14,21.4,8,57.1,1966,23,2,14,7,2022-2023,serie-a
mattia caldara,Spezia,450,304,46,17,791,5,40.0,2,40.0,830,4,0,9,4,2022-2023,serie-a
luca caldirola,Monza,891,674,75,12,1636,3,33.3,1,33.3,2623,11,0,5,1,2022-2023,serie-a
hakan calhanoglu,Inter,367,1015,581,26,1941,24,33.3,10,41.7,2601,55,6,32,12,2022-2023,serie-a
mohamed camara,Roma,61,262,81,8,393,13,53.8,5,38.5,585,10,2,11,6,2022-2023,serie-a
nicolo cambiaghi,Empoli,87,255,311,56,638,57,38.6,20,35.1,1603,30,23,44,21,2022-2023,serie-a
andrea cambiaso,Bologna,620,771,423,40,1790,60,51.7,24,40.0,2822,59,17,42,18,2022-2023,serie-a
matteo cancellieri,Lazio,20,50,66,16,134,9,33.3,4,44.4,346,8,9,13,3,2022-2023,serie-a
antonio candreva,Salernitana,332,783,708,46,1802,34,23.5,14,41.2,2245,50,10,25,13,2022-2023,serie-a
gianluca caprari,Monza,128,668,577,103,1363,91,44.0,43,47.3,2661,50,42,79,32,2022-2023,serie-a
francesco caputo,Sampdoria,11,126,172,49,309,9,33.3,5,55.6,192,4,7,21,14,2022-2023,serie-a
francesco caputo,Empoli,34,207,239,103,476,12,8.3,8,66.7,449,7,7,45,24,2022-2023,serie-a
andrea carboni,Monza,41,43,20,4,104,3,33.3,2,66.7,190,2,0,0,0,2022-2023,serie-a
franco carboni,Monza,17,28,21,1,61,7,42.9,4,57.1,169,3,1,0,0,2022-2023,serie-a
valentin carboni,Inter,4,12,10,1,25,2,50.0,1,50.0,83,0,0,2,1,2022-2023,serie-a
marco carnesecchi,Cremonese,1036,0,0,0,1036,0,,0,,1600,0,0,0,0,2022-2023,serie-a
nicolo casale,Lazio,871,917,27,14,1803,3,33.3,2,66.7,3784,3,0,5,1,2022-2023,serie-a
tommaso cassandro,Lecce,4,3,1,0,8,0,,0,,4,0,0,0,0,2022-2023,serie-a
michele castagnetti,Cremonese,209,560,184,9,941,12,66.7,3,25.0,970,11,0,15,3,2022-2023,serie-a
gaetano castrovilli,Fiorentina,56,148,127,22,324,16,43.8,5,31.3,467,13,0,11,9,2022-2023,serie-a
danilo cataldi,Lazio,370,954,174,0,1487,18,33.3,8,44.4,1108,9,0,7,8,2022-2023,serie-a
pietro ceccaroni,Lecce,9,10,3,1,22,0,,0,,16,0,0,0,0,2022-2023,serie-a
federico ceccherini,Hellas Verona,308,386,96,15,780,3,66.7,1,33.3,1123,14,2,13,8,2022-2023,serie-a
assan ceesay,Lecce,69,270,311,71,641,36,61.1,12,33.3,590,15,8,64,25,2022-2023,serie-a
emil ceide,Sassuolo,30,80,124,39,233,25,32.0,14,56.0,709,13,23,15,8,2022-2023,serie-a
zeki celik,Roma,350,491,276,18,1102,16,37.5,10,62.5,1444,31,6,17,13,2022-2023,serie-a
michele cerofolini,Fiorentina,201,1,0,0,202,0,,0,,370,0,0,0,0,2022-2023,serie-a
federico chiesa,Juventus,56,166,265,49,476,45,53.3,19,42.2,1193,28,16,26,19,2022-2023,serie-a
vlad chiriches,Cremonese,358,194,6,2,554,4,75.0,0,0.0,664,2,0,2,4,2022-2023,serie-a
daniel ciofani,Cremonese,25,119,163,51,303,4,0.0,4,100.0,149,11,1,24,10,2022-2023,serie-a
tio cipot,Spezia,16,32,42,5,83,7,42.9,4,57.1,157,4,1,5,6,2022-2023,serie-a
patrick ciurria,Monza,396,694,534,51,1604,54,33.3,28,51.9,2362,48,9,47,16,2022-2023,serie-a
