Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
lukas klostermann,RB Leipzig,372,458,48,5,873,2,50.0,1,50.0,1092,8,0,3,4,2022-2023,bundesliga
ansgar knauff,Eint Frankfurt,263,373,265,43,879,63,34.9,33,52.4,1677,26,15,31,9,2022-2023,bundesliga
robin knoche,Union Berlin,1045,887,45,23,1963,13,84.6,1,7.7,2849,3,1,15,7,2022-2023,bundesliga
gregor kobel,Dortmund,1108,8,0,0,1115,1,100.0,0,0.0,1423,0,0,1,0,2022-2023,bundesliga
dominik kohr,Mainz 05,344,867,250,32,1447,22,45.5,10,45.5,1114,15,3,19,8,2022-2023,bundesliga
randal kolo muani,Eint Frankfurt,53,427,597,196,1055,161,44.1,68,42.2,2287,54,66,108,65,2022-2023,bundesliga
timothee kolodziejczak,Schalke 04,11,6,3,1,20,0,,0,,3,0,0,0,0,2022-2023,bundesliga
manu kone,Gladbach,404,1127,302,24,1796,118,48.3,38,32.2,3307,52,6,81,50,2022-2023,bundesliga
odilon kossounou,Leverkusen,463,614,75,4,1144,12,58.3,4,33.3,2039,15,0,16,13,2022-2023,bundesliga
filip kostic,Eint Frankfurt,10,16,20,3,45,3,33.3,1,33.3,105,1,1,0,1,2022-2023,bundesliga
tomas koubek,Augsburg,539,7,0,0,546,0,,0,,997,0,0,0,0,2022-2023,bundesliga
soichiro kozuki,Schalke 04,29,53,76,16,157,16,37.5,9,56.3,276,6,4,9,8,2022-2023,bundesliga
alex kral,Schalke 04,273,610,241,47,1108,51,45.1,22,43.1,1364,21,4,30,21,2022-2023,bundesliga
andrej kramaric,Hoffenheim,127,637,493,106,1238,58,48.3,22,37.9,1674,34,16,61,33,2022-2023,bundesliga
christoph kramer,Gladbach,450,769,277,41,1482,48,43.8,24,50.0,1556,28,6,26,30,2022-2023,bundesliga
tom krau,Schalke 04,313,612,241,16,1140,33,60.6,12,36.4,1272,26,2,26,31,2022-2023,bundesliga
max kruse,Wolfsburg,11,62,72,18,144,4,50.0,2,50.0,146,3,1,4,3,2022-2023,bundesliga
lukas kubler,Freiburg,345,486,191,20,1017,8,62.5,3,37.5,776,10,1,13,2,2022-2023,bundesliga
pierre kunde,Bochum,60,155,57,3,265,9,55.6,4,44.4,312,7,0,11,2,2022-2023,bundesliga
alou kuol,Stuttgart,0,1,0,0,1,0,,0,,0,0,0,0,1,2022-2023,bundesliga
daniel kyereh,Freiburg,36,113,116,16,262,12,25.0,7,58.3,183,6,1,21,12,2022-2023,bundesliga
maxence lacroix,Wolfsburg,690,586,29,9,1298,8,87.5,1,12.5,2250,9,0,10,6,2022-2023,bundesliga
aissa laidouni,Union Berlin,94,220,129,8,433,30,46.7,14,46.7,522,8,0,22,8,2022-2023,bundesliga
konrad laimer,RB Leipzig,203,553,249,38,985,56,57.1,18,32.1,1895,29,10,35,22,2022-2023,bundesliga
