Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
kostas manolas,Salernitana,195,154,6,4,354,1,100.0,0,0.0,470,2,0,1,1,2023-2024,serie-a
riccardo marchizza,Frosinone,229,262,154,16,644,8,37.5,5,62.5,561,3,1,9,1,2023-2024,serie-a
gian marco ferrari,Sassuolo,649,766,88,27,1499,5,60.0,1,20.0,3171,16,0,14,1,2023-2024,serie-a
pablo mari,Monza,1087,880,44,17,2007,8,62.5,2,25.0,2795,8,0,8,3,2023-2024,serie-a
mirko maric,Monza,9,59,69,20,135,4,25.0,3,75.0,91,3,1,10,5,2023-2024,serie-a
razvan marin,Empoli,230,591,289,15,1101,30,50.0,14,46.7,1243,17,5,24,19,2023-2024,serie-a
agustin martegani,Salernitana,65,201,113,9,371,21,57.1,5,23.8,678,15,3,10,9,2023-2024,serie-a
aaron martin,Genoa,166,288,255,10,703,12,50.0,6,50.0,972,21,3,12,4,2023-2024,serie-a
tommaso martinelli,Fiorentina,50,0,0,0,50,0,,0,,50,0,0,0,0,2023-2024,serie-a
josep martinez,Genoa,1482,20,1,0,1502,3,100.0,0,0.0,4095,0,0,0,0,2023-2024,serie-a
lautaro martinez,Inter,88,532,564,178,1173,68,27.9,39,57.4,1486,29,28,68,45,2023-2024,serie-a
lucas martinez quarta,Fiorentina,782,1064,132,41,1966,28,46.4,13,46.4,3542,20,3,21,7,2023-2024,serie-a
adam marusic,Lazio,695,1028,391,22,2103,32,43.8,14,43.8,2368,31,3,24,5,2023-2024,serie-a
adam masina,Udinese,27,14,7,0,48,0,,0,,8,0,0,2,1,2023-2024,serie-a
adam masina,Torino,395,309,42,8,741,1,100.0,0,0.0,830,4,0,4,6,2023-2024,serie-a
alan matturro,Genoa,18,17,7,2,42,1,100.0,0,0.0,7,0,0,3,0,2023-2024,serie-a
luca mazzitelli,Frosinone,341,958,294,34,1581,18,61.1,6,33.3,1244,16,1,22,22,2023-2024,serie-a
pasquale mazzocchi,Salernitana,253,327,210,12,780,40,42.5,19,47.5,1358,29,5,31,13,2023-2024,serie-a
pasquale mazzocchi,Napoli,92,155,82,6,328,18,33.3,9,50.0,519,13,2,5,3,2023-2024,serie-a
jordi mboula,Hellas Verona,10,39,49,11,98,5,40.0,2,40.0,225,2,5,8,7,2023-2024,serie-a
weston mckennie,Juventus,310,601,559,69,1457,53,34.0,29,54.7,2061,39,8,38,19,2023-2024,serie-a
