Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
keyliane abdallah,Marseille,3,1,0,0,4,0,,0,,9,0,0,1,0,2024-2025,ligue-1
yunis abdelhamid,Saint-Étienne,414,215,14,7,641,7,42.9,4,57.1,837,1,0,8,3,2024-2025,ligue-1
himad abdelli,Angers,293,1149,597,49,1989,121,47.1,61,50.4,4388,90,17,55,51,2024-2025,ligue-1
mohamed abdelmoneim,Nice,260,331,46,3,635,4,25.0,2,50.0,822,4,0,4,3,2024-2025,ligue-1
ali abdi,Nice,230,349,315,50,886,29,41.4,16,55.2,1003,15,9,32,14,2024-2025,ligue-1
matthis abline,Nantes,75,382,438,142,877,86,40.7,48,55.8,1743,42,42,92,65,2024-2025,ligue-1
abner,Lyon,207,361,225,22,791,12,50.0,6,50.0,1239,16,5,14,8,2024-2025,ligue-1
zakaria aboukhlal,Toulouse,59,196,363,113,611,53,30.2,35,66.0,880,24,19,64,26,2024-2025,ligue-1
akor adams,Montpellier,19,118,117,49,251,14,50.0,6,42.9,279,5,7,16,14,2024-2025,ligue-1
martin adeline,Reims,8,4,2,1,14,0,,0,,9,0,1,0,0,2024-2025,ligue-1
adryelson,Lyon,2,3,0,0,5,0,,0,,0,0,0,0,0,2024-2025,ligue-1
emmanuel agbadou,Reims,565,474,45,4,1080,12,75.0,3,25.0,1974,9,0,9,6,2024-2025,ligue-1
jeremy agbonifo,Lens,22,39,72,16,131,20,45.0,10,50.0,283,2,10,11,6,2024-2025,ligue-1
ruben aguilar,Lens,253,430,320,30,996,21,42.9,9,42.9,1309,21,5,19,6,2024-2025,ligue-1
naouirou ahamada,Rennes,12,16,3,0,31,1,0.0,1,100.0,55,1,0,1,1,2024-2025,ligue-1
jeaneudes aholou,Angers,259,615,167,34,1032,28,42.9,12,42.9,987,8,2,32,15,2024-2025,ligue-1
ayman aiki,Saint-Étienne,10,20,19,2,48,4,0.0,4,100.0,95,2,1,5,7,2024-2025,ligue-1
ludovic ajorque,Brest,84,446,389,125,913,17,47.1,9,52.9,449,11,4,60,11,2024-2025,ligue-1
umit akdag,Toulouse,145,232,27,1,400,1,100.0,0,0.0,452,3,0,1,0,2024-2025,ligue-1
sergio akieme,Reims,524,548,377,34,1436,31,41.9,17,54.8,2357,36,5,31,19,2024-2025,ligue-1
maghnes akliouche,Monaco,150,644,794,156,1565,103,48.5,50,48.5,3653,98,47,78,47,2024-2025,ligue-1
paul akouokou,Lyon,5,13,0,0,18,0,,0,,10,0,0,1,0,2024-2025,ligue-1
clement akpa,Auxerre,797,636,117,10,1532,23,34.8,11,47.8,2340,20,1,9,4,2024-2025,ligue-1
chuba akpom,Lille,13,76,79,30,163,9,44.4,4,44.4,192,4,2,12,5,2024-2025,ligue-1
mohamed ali cho,Nice,75,308,356,74,720,70,28.6,41,58.6,1943,39,30,68,26,2024-2025,ligue-1
jim allevinah,Angers,134,311,253,65,682,48,31.3,33,68.8,1395,34,8,38,32,2024-2025,ligue-1
thiago almada,Lyon,136,382,318,31,831,14,57.1,5,35.7,1483,34,10,17,9,2024-2025,ligue-1
jordan amavi,Brest,186,304,131,4,615,13,53.8,6,46.2,936,18,1,9,5,2024-2025,ligue-1
kelvin amian,Nantes,374,523,267,21,1153,22,59.1,8,36.4,1208,27,1,20,12,2024-2025,ligue-1
michael amir murillo,Marseille,601,1205,339,33,2135,27,51.9,13,48.1,2430,33,8,28,10,2024-2025,ligue-1
samuel amoameyaw,Strasbourg,29,72,68,10,165,12,41.7,4,33.3,300,10,4,7,2,2024-2025,ligue-1
