Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
takumi minamino,Monaco,116,530,527,110,1150,42,35.7,23,54.8,1959,44,19,60,22,2023-2024,ligue-1
lucas mincarelli,Montpellier,190,253,135,10,572,22,36.4,13,59.1,998,27,1,11,15,2023-2024,ligue-1
ignacio miramon,Lille,5,28,6,0,37,0,,0,,76,1,0,1,0,2023-2024,ligue-1
terem moffi,Nice,44,282,256,92,569,33,57.6,13,39.4,995,23,12,57,34,2023-2024,ligue-1
mostafa mohamed,Nantes,85,322,280,103,670,35,42.9,18,51.4,740,18,10,82,37,2023-2024,ligue-1
florent mollet,Nantes,170,628,508,58,1298,35,37.1,20,57.1,1549,31,9,40,15,2023-2024,ligue-1
enzo mongo,Nantes,3,2,0,0,5,0,,0,,0,0,0,0,0,2023-2024,ligue-1
diego moreira,Lyon,24,74,51,9,148,9,22.2,7,77.8,355,5,3,13,6,2023-2024,ligue-1
lebo mothiba,Strasbourg,17,64,103,37,183,5,80.0,1,20.0,280,6,5,16,11,2023-2024,ligue-1
steve mounie,Brest,39,322,316,119,673,18,61.1,7,38.9,717,23,6,58,17,2023-2024,ligue-1
samuel moutoussamy,Nantes,144,361,134,21,634,12,41.7,6,50.0,1197,17,2,19,9,2023-2024,ligue-1
loris mouyokolo,Lorient,51,14,1,0,66,0,,0,,110,0,0,0,0,2023-2024,ligue-1
francois mughe,Marseille,9,16,48,4,73,8,25.0,6,75.0,232,8,1,10,1,2023-2024,ligue-1
nordi mukiele,Paris S-G,278,296,107,15,676,11,72.7,1,9.1,996,6,3,15,11,2023-2024,ligue-1
marshall munetsi,Reims,161,433,253,72,836,33,30.3,21,63.6,935,17,1,51,17,2023-2024,ligue-1
yvon mvogo,Lorient,1235,4,0,0,1239,1,100.0,0,0.0,2834,0,0,0,0,2023-2024,ligue-1
joel mvuka,Lorient,12,27,38,2,75,13,23.1,8,61.5,94,3,0,2,2,2023-2024,ligue-1
junior mwanga,Strasbourg,188,369,168,25,713,46,60.9,15,32.6,1427,20,6,32,24,2023-2024,ligue-1
kevin ndoram,Metz,226,470,83,8,771,12,33.3,6,50.0,1006,11,0,15,8,2023-2024,ligue-1
bilal nadir,Marseille,6,39,15,3,59,2,50.0,0,0.0,122,3,1,3,0,2023-2024,ligue-1
mahamadou nagida,Rennes,15,30,39,6,82,5,60.0,1,20.0,251,6,2,2,1,2023-2024,ligue-1
keito nakamura,Reims,78,227,280,66,570,32,59.4,13,40.6,1412,24,17,34,28,2023-2024,ligue-1
keylor navas,Paris S-G,102,1,0,0,103,0,,0,,123,0,0,0,0,2023-2024,ligue-1
youssouf ndayishimiye,Nice,435,981,110,18,1516,15,73.3,3,20.0,2546,17,1,14,14,2023-2024,ligue-1
bassirou ndiaye,Lorient,11,39,23,3,69,7,28.6,5,71.4,75,2,0,12,5,2023-2024,ligue-1
iliman ndiaye,Marseille,78,302,411,73,771,79,55.7,30,38.0,1500,32,15,42,41,2023-2024,ligue-1
massamba ndiaye,Clermont Foot,185,3,0,0,188,0,,0,,375,0,0,0,0,2023-2024,ligue-1
rassoul ndiaye,Le Havre,81,188,65,2,328,14,57.1,6,42.9,502,8,0,8,6,2023-2024,ligue-1
cher ndour,Paris S-G,4,21,6,0,30,1,100.0,0,0.0,20,0,0,2,0,2023-2024,ligue-1
joseph nduquidi,Metz,82,172,43,7,289,5,20.0,4,80.0,542,12,1,12,4,2023-2024,ligue-1
loic nego,Le Havre,149,367,281,30,784,33,39.4,18,54.5,1344,36,4,15,9,2023-2024,ligue-1
steve ngoura,Le Havre,6,37,41,12,83,4,75.0,1,25.0,100,3,1,12,2,2023-2024,ligue-1
shamar nicholson,Clermont Foot,39,279,223,74,534,26,30.8,17,65.4,646,16,14,33,18,2023-2024,ligue-1
rasmus nicolaisen,Toulouse,980,989,64,44,2027,4,75.0,1,25.0,3528,5,0,10,2,2023-2024,ligue-1
arnaud nordin,Montpellier,66,227,271,66,551,55,60.0,15,27.3,1667,48,25,42,19,2023-2024,ligue-1
ernest nuamah,Lyon,128,324,561,108,983,122,41.8,63,51.6,2990,66,38,68,31,2023-2024,ligue-1
gerzino nyamsi,Strasbourg,416,314,13,10,739,3,100.0,0,0.0,1185,1,0,5,1,2023-2024,ligue-1
rabby nzingoula,Strasbourg,16,31,23,2,68,4,50.0,2,50.0,125,3,1,3,2,2023-2024,ligue-1
