Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
manu bueno,Sevilla,15,43,33,2,91,2,50.0,1,50.0,121,3,0,2,2,2024-2025,laliga
endika bujan,Athletic Club,0,0,7,2,7,2,50.0,1,50.0,13,0,0,0,0,2024-2025,laliga
pau cabanes,Villarreal,17,35,71,11,122,12,41.7,6,50.0,245,9,5,8,3,2024-2025,laliga
pau cabanes,Alavés,16,49,63,7,125,13,30.8,7,53.8,309,9,3,10,3,2024-2025,laliga
leandro cabrera,Espanyol,1047,681,76,33,1796,2,50.0,1,50.0,2284,9,0,9,1,2024-2025,laliga
fernando calero,Espanyol,288,187,24,2,498,0,,0,,525,2,0,6,0,2024-2025,laliga
eduardo camavinga,Real Madrid,272,494,207,15,957,31,48.4,10,32.3,1699,27,7,7,11,2024-2025,laliga
sergio camello,Rayo Vallecano,39,173,196,46,398,23,56.5,8,34.8,554,16,8,38,23,2024-2025,laliga
jose campana,Las Palmas,224,577,153,5,946,18,44.4,8,44.4,988,12,1,17,15,2024-2025,laliga
peio canales,Athletic Club,14,63,64,3,140,11,45.5,5,45.5,221,4,2,4,3,2024-2025,laliga
antonio candela,Valladolid,239,216,80,7,528,15,40.0,9,60.0,841,8,1,8,5,2024-2025,laliga
sergi canos,Valencia,34,76,122,20,231,13,7.7,12,92.3,279,6,4,13,5,2024-2025,laliga
dani cardenas,Rayo Vallecano,189,1,0,0,190,0,,0,,246,0,0,0,0,2024-2025,laliga
irvin cardona,Espanyol,27,98,123,23,246,13,23.1,8,61.5,460,14,6,22,4,2024-2025,laliga
marc cardona,Las Palmas,16,34,23,6,73,7,14.3,6,85.7,55,0,0,2,4,2024-2025,laliga
sergi cardona,Villarreal,711,632,506,63,1842,30,33.3,16,53.3,2057,34,10,24,11,2024-2025,laliga
johnny cardoso,Betis,397,846,201,26,1427,42,61.9,15,35.7,1557,16,1,36,23,2024-2025,laliga
jose carlos gonzalez,Las Palmas,1,5,3,0,9,0,,0,,8,0,0,0,0,2024-2025,laliga
carmona,Sevilla,726,1149,346,20,2192,50,38.0,25,50.0,2754,25,8,37,18,2024-2025,laliga
sergio carreira,Celta Vigo,277,408,380,52,1057,30,46.7,13,43.3,1421,22,16,16,14,2024-2025,laliga
dani carvajal,Real Madrid,126,232,176,12,532,5,40.0,3,60.0,513,5,0,8,6,2024-2025,laliga
william carvalho,Betis,94,255,87,6,432,5,60.0,1,20.0,592,9,0,6,6,2024-2025,laliga
marc casado,Barcelona,223,1040,276,9,1536,9,44.4,4,44.4,1540,22,0,17,9,2024-2025,laliga
catena,Osasuna,988,864,65,40,1905,11,72.7,2,18.2,2558,3,0,11,1,2024-2025,laliga
