Player,Squad,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG,Season,Competition
xavier moreno,Valladolid,0,0,,0.0,0.0,,0.0,2024-2025,laliga
mateu morey,Mallorca,3,1,0.0,0.4,0.4,0.14,-0.4,2024-2025,laliga
ilaix moriba,Celta Vigo,34,11,0.03,1.7,1.7,0.05,-0.7,2024-2025,laliga
manu morlanes,Mallorca,11,1,0.0,0.6,0.6,0.05,-0.6,2024-2025,laliga
raul moro,Valladolid,46,16,0.09,4.1,4.1,0.09,-0.1,2024-2025,laliga
cristhian mosquera,Valencia,5,2,0.2,0.4,0.4,0.08,0.6,2024-2025,laliga
santiago mourino,Alavés,13,3,0.0,0.9,0.9,0.07,-0.9,2024-2025,laliga
abdul mumin,Rayo Vallecano,10,3,0.2,0.6,0.6,0.06,1.4,2024-2025,laliga
aihen munoz,Real Sociedad,6,0,0.0,0.2,0.2,0.03,-0.2,2024-2025,laliga
alex munoz,Las Palmas,9,5,0.33,0.9,0.9,0.1,2.1,2024-2025,laliga
iker munoz,Osasuna,11,0,0.0,0.5,0.5,0.04,-0.5,2024-2025,laliga
javier munoz,Las Palmas,25,6,0.04,1.3,1.3,0.05,-0.3,2024-2025,laliga
victor munoz,Real Madrid,1,0,0.0,0.5,0.5,0.49,-0.5,2024-2025,laliga
vedat muriqi,Mallorca,52,16,0.1,9.7,7.3,0.14,-2.7,2024-2025,laliga
juan musso,Atlético Madrid,0,0,,0.0,0.0,,0.0,2024-2025,laliga
matija nastasic,Leganés,2,1,0.5,0.1,0.1,0.03,0.9,2024-2025,laliga
natan,Betis,9,4,0.11,0.3,0.3,0.04,0.7,2024-2025,laliga
pau navarro,Villarreal,1,0,0.0,0.0,0.0,0.01,0.0,2024-2025,laliga
roberto navarro,Mallorca,18,6,0.06,2.0,2.0,0.11,-1.0,2024-2025,laliga
jesus navas,Sevilla,3,2,0.33,0.5,0.5,0.18,0.5,2024-2025,laliga
yvan neyou,Leganés,16,3,0.06,0.6,0.6,0.04,0.4,2024-2025,laliga
tanguy nianzou,Sevilla,2,0,0.0,0.2,0.2,0.09,-0.2,2024-2025,laliga
saul niguez,Sevilla,42,9,0.02,2.8,2.8,0.07,-1.8,2024-2025,laliga
tamas nikitscher,Valladolid,2,1,0.0,0.1,0.1,0.04,-0.1,2024-2025,laliga
adrian nino,Atlético Madrid,2,0,0.0,0.2,0.2,0.1,-0.2,2024-2025,laliga
hugo novoa,Alavés,1,0,0.0,0.5,0.5,0.49,-0.5,2024-2025,laliga
randy nteka,Rayo Vallecano,16,8,0.19,2.6,2.6,0.16,0.4,2024-2025,laliga
unai nunez,Athletic Club,1,0,0.0,0.2,0.2,0.23,-0.2,2024-2025,laliga
rjan nyland,Sevilla,0,0,,0.0,0.0,,0.0,2024-2025,laliga
allan nyom,Getafe,9,4,0.11,0.5,0.5,0.06,0.5,2024-2025,laliga
jan oblak,Atlético Madrid,0,0,,0.0,0.0,,0.0,2024-2025,laliga
lucas ocampos,Sevilla,4,2,0.0,0.2,0.2,0.04,-0.2,2024-2025,laliga
alvaro odriozola,Real Sociedad,0,0,,0.0,0.0,,0.0,2024-2025,laliga
thiago ojeda,Villarreal,1,0,0.0,0.0,0.0,0.01,0.0,2024-2025,laliga
aingeru olabarrieta,Athletic Club,0,0,,0.0,0.0,,0.0,2024-2025,laliga
olasagasti,Real Sociedad,13,2,0.08,0.9,0.9,0.07,0.1,2024-2025,laliga
brian olivan,Espanyol,6,1,0.0,0.4,0.4,0.06,-0.4,2024-2025,laliga
lucas oliveira rosa,Valladolid,8,3,0.0,0.9,0.9,0.11,-0.9,2024-2025,laliga
dani olmo,Barcelona,40,15,0.2,6.5,4.9,0.12,3.5,2024-2025,laliga
aimar oroz,Osasuna,47,15,0.09,4.2,3.5,0.08,0.8,2024-2025,laliga
angel ortiz,Betis,2,0,0.0,0.0,0.0,0.02,0.0,2024-2025,laliga
gabriel osei misehouy,Girona,6,2,0.17,0.9,0.9,0.15,0.1,2024-2025,laliga
david otorbi,Valencia,0,0,,0.0,0.0,,0.0,2024-2025,laliga
