Player,Squad,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG,Season,Competition
alessandro bianco,Fiorentina,2,1,0.0,0.1,0.1,0.03,-0.1,2022-2023,serie-a
jaka bijol,Udinese,20,7,0.15,2.2,2.2,0.11,0.8,2022-2023,serie-a
cristiano biraghi,Fiorentina,24,5,0.08,1.8,1.1,0.04,0.2,2022-2023,serie-a
samuele birindelli,Monza,14,4,0.0,1.1,1.1,0.08,-1.1,2022-2023,serie-a
kristijan bistrovic,Lecce,8,1,0.0,0.3,0.3,0.04,-0.3,2022-2023,serie-a
alexis blin,Lecce,22,4,0.05,2.8,2.8,0.13,-1.8,2022-2023,serie-a
jeremie boga,Atalanta,13,3,0.15,1.9,1.9,0.14,0.1,2022-2023,serie-a
emil bohinen,Salernitana,4,0,0.0,0.1,0.1,0.04,-0.1,2022-2023,serie-a
giacomo bonaventura,Fiorentina,49,14,0.1,4.3,4.3,0.09,0.7,2022-2023,serie-a
federico bonazzoli,Salernitana,32,7,0.06,2.4,2.4,0.07,-0.4,2022-2023,serie-a
warren bondo,Monza,1,0,0.0,0.1,0.1,0.06,-0.1,2022-2023,serie-a
kevin bonifazi,Bologna,2,0,0.0,0.2,0.2,0.1,-0.2,2022-2023,serie-a
leonardo bonucci,Juventus,4,1,0.25,1.1,0.3,0.07,-0.1,2022-2023,serie-a
erik botheim,Salernitana,7,1,0.14,0.6,0.6,0.08,0.4,2022-2023,serie-a
mehdi bourabia,Spezia,33,5,0.03,2.1,2.1,0.06,-1.1,2022-2023,serie-a
edoardo bove,Roma,7,2,0.14,0.8,0.5,0.07,0.2,2022-2023,serie-a
jayden braaf,Hellas Verona,9,3,0.0,0.8,0.8,0.08,-0.8,2022-2023,serie-a
domagoj bradaric,Salernitana,7,0,0.0,0.2,0.2,0.03,-0.2,2022-2023,serie-a
josip brekalo,Fiorentina,5,0,0.0,0.7,0.7,0.13,-0.7,2022-2023,serie-a
gleison bremer,Juventus,32,7,0.13,4.9,4.9,0.15,-0.9,2022-2023,serie-a
dylan bronn,Salernitana,8,1,0.0,0.7,0.7,0.08,-0.7,2022-2023,serie-a
marcelo brozovic,Inter,25,7,0.12,2.5,2.5,0.1,0.5,2022-2023,serie-a
cristian buonaiuto,Cremonese,42,11,0.0,3.3,2.5,0.06,-2.3,2022-2023,serie-a
alessandro buongiorno,Torino,20,1,0.05,2.2,2.2,0.11,-1.2,2022-2023,serie-a
leonardo buta,Udinese,0,0,,0.0,0.0,,0.0,2022-2023,serie-a
arthur cabral,Fiorentina,52,20,0.12,7.9,6.3,0.12,0.1,2022-2023,serie-a
liberato cacace,Empoli,7,1,0.0,0.6,0.6,0.09,-0.6,2022-2023,serie-a
davide calabria,Milan,16,2,0.06,1.2,1.2,0.07,-0.2,2022-2023,serie-a
mattia caldara,Spezia,11,4,0.0,0.8,0.8,0.07,-0.8,2022-2023,serie-a
luca caldirola,Monza,10,4,0.2,1.1,1.1,0.11,0.9,2022-2023,serie-a
hakan calhanoglu,Inter,55,16,0.04,3.1,2.3,0.04,-0.1,2022-2023,serie-a
mohamed camara,Roma,11,1,0.0,0.6,0.6,0.06,-0.6,2022-2023,serie-a
nicolo cambiaghi,Empoli,36,14,0.17,3.4,3.4,0.09,2.6,2022-2023,serie-a
andrea cambiaso,Bologna,17,5,0.0,0.9,0.9,0.05,-0.9,2022-2023,serie-a
matteo cancellieri,Lazio,6,1,0.0,0.4,0.4,0.06,-0.4,2022-2023,serie-a
antonio candreva,Salernitana,46,20,0.15,3.7,3.7,0.08,3.3,2022-2023,serie-a
gianluca caprari,Monza,50,13,0.08,5.0,4.2,0.08,0.0,2022-2023,serie-a
francesco caputo,Sampdoria,19,5,0.05,1.9,1.9,0.1,-0.9,2022-2023,serie-a
francesco caputo,Empoli,40,15,0.08,7.5,5.9,0.16,-2.5,2022-2023,serie-a
andrea carboni,Monza,1,1,0.0,0.1,0.1,0.05,-0.1,2022-2023,serie-a
franco carboni,Monza,1,0,0.0,0.1,0.1,0.08,-0.1,2022-2023,serie-a
valentin carboni,Inter,0,0,,0.0,0.0,,0.0,2022-2023,serie-a
marco carnesecchi,Cremonese,0,0,,0.0,0.0,,0.0,2022-2023,serie-a
nicolo casale,Lazio,8,2,0.13,0.6,0.6,0.08,0.4,2022-2023,serie-a
tommaso cassandro,Lecce,0,0,,0.0,0.0,,0.0,2022-2023,serie-a
michele castagnetti,Cremonese,12,1,0.0,0.6,0.6,0.05,-0.6,2022-2023,serie-a
gaetano castrovilli,Fiorentina,18,8,0.11,1.2,1.2,0.07,0.8,2022-2023,serie-a
danilo cataldi,Lazio,7,1,0.0,0.2,0.2,0.03,-0.2,2022-2023,serie-a
pietro ceccaroni,Lecce,2,0,0.0,0.1,0.1,0.06,-0.1,2022-2023,serie-a
federico ceccherini,Hellas Verona,7,2,0.29,0.8,0.8,0.11,1.2,2022-2023,serie-a
assan ceesay,Lecce,41,10,0.12,5.1,4.3,0.11,0.9,2022-2023,serie-a
emil ceide,Sassuolo,10,3,0.0,0.8,0.8,0.08,-0.8,2022-2023,serie-a
zeki celik,Roma,5,1,0.0,0.3,0.3,0.07,-0.3,2022-2023,serie-a
michele cerofolini,Fiorentina,0,0,,0.0,0.0,,0.0,2022-2023,serie-a
federico chiesa,Juventus,26,3,0.08,1.5,1.5,0.06,0.5,2022-2023,serie-a
vlad chiriches,Cremonese,0,0,,0.0,0.0,,0.0,2022-2023,serie-a
daniel ciofani,Cremonese,28,13,0.18,5.5,2.3,0.08,2.5,2022-2023,serie-a
tio cipot,Spezia,2,1,0.0,0.0,0.0,0.02,0.0,2022-2023,serie-a
patrick ciurria,Monza,50,23,0.12,4.8,4.8,0.1,1.2,2022-2023,serie-a
nicolo cocetta,Udinese,0,0,,0.0,0.0,,0.0,2022-2023,serie-a
omar colley,Sampdoria,6,4,0.17,1.2,1.2,0.2,-0.2,2022-2023,serie-a
lorenzo colombo,Lecce,43,11,0.09,6.2,4.6,0.11,-1.2,2022-2023,serie-a
andrea colpani,Monza,25,10,0.16,2.1,2.1,0.09,1.9,2022-2023,serie-a
andrea consigli,Sassuolo,0,0,,0.0,0.0,,0.0,2022-2023,serie-a
andrea conti,Sampdoria,0,0,,0.0,0.0,,0.0,2022-2023,serie-a
diego coppola,Hellas Verona,3,0,0.0,0.3,0.3,0.11,-0.3,2022-2023,serie-a
alex cordaz,Inter,0,0,,0.0,0.0,,0.0,2022-2023,serie-a
joaquin correa,Inter,22,8,0.14,3.4,3.4,0.16,-0.4,2022-2023,serie-a
alessandro cortinovis,Hellas Verona,0,0,,0.0,0.0,,0.0,2022-2023,serie-a
lassana coulibaly,Salernitana,16,6,0.19,0.8,0.8,0.05,2.2,2022-2023,serie-a
alessio cragno,Monza,0,0,,0.0,0.0,,0.0,2022-2023,serie-a
bryan cristante,Roma,28,5,0.04,2.6,1.8,0.07,-1.6,2022-2023,serie-a
domen crnigoj,Salernitana,1,0,0.0,0.1,0.1,0.1,-0.1,2022-2023,serie-a
juan cuadrado,Juventus,32,10,0.03,1.4,1.4,0.04,-0.4,2022-2023,serie-a
mickael cuisance,Sampdoria,10,2,0.0,0.5,0.5,0.05,-0.5,2022-2023,serie-a
marco dalessandro,Monza,4,1,0.0,0.3,0.3,0.08,-0.3,2022-2023,serie-a
danilo dambrosio,Inter,3,2,0.0,0.3,0.3,0.09,-0.3,2022-2023,serie-a
luca dandrea,Sassuolo,7,3,0.0,0.3,0.3,0.04,-0.3,2022-2023,serie-a
flavius daniliuc,Salernitana,10,4,0.0,0.6,0.6,0.07,-0.6,2022-2023,serie-a
danilo,Juventus,32,5,0.09,2.8,2.8,0.09,0.2,2022-2023,serie-a
matteo darmian,Inter,7,1,0.14,1.0,1.0,0.14,0.0,2022-2023,serie-a
juan david cabal,Hellas Verona,1,1,0.0,0.0,0.0,0.02,0.0,2022-2023,serie-a
pawe dawidowicz,Hellas Verona,11,2,0.09,1.1,1.1,0.1,-0.1,2022-2023,serie-a
charles de ketelaere,Milan,19,3,0.0,2.0,2.0,0.11,-2.0,2022-2023,serie-a
manuel de luca,Sampdoria,0,0,,0.0,0.0,,0.0,2022-2023,serie-a
tommaso de nipoti,Atalanta,0,0,,0.0,0.0,,0.0,2022-2023,serie-a
mattia de sciglio,Juventus,4,0,0.0,0.1,0.1,0.02,-0.1,2022-2023,serie-a
lorenzo de silvestri,Bologna,5,3,0.2,0.6,0.6,0.13,0.4,2022-2023,serie-a
koni de winter,Empoli,0,0,,0.0,0.0,,0.0,2022-2023,serie-a
gregoire defrel,Sassuolo,16,10,0.13,3.5,3.5,0.22,-1.5,2022-2023,serie-a
duccio deglinnocenti,Empoli,0,0,,0.0,0.0,,0.0,2022-2023,serie-a
merih demiral,Atalanta,6,1,0.17,0.7,0.7,0.12,0.3,2022-2023,serie-a
diego demme,Napoli,0,0,,0.0,0.0,,0.0,2022-2023,serie-a
fabio depaoli,Hellas Verona,19,4,0.11,1.7,1.7,0.09,0.3,2022-2023,serie-a
fabio depaoli,Sampdoria,2,0,0.0,0.2,0.2,0.09,-0.2,2022-2023,serie-a
kastriot dermaku,Lecce,0,0,,0.0,0.0,,0.0,2022-2023,serie-a
cyriel dessers,Cremonese,49,12,0.12,7.1,6.4,0.13,-1.1,2022-2023,serie-a
sergino dest,Milan,2,1,0.0,0.3,0.3,0.15,-0.3,2022-2023,serie-a
mattia destro,Empoli,20,7,0.05,1.4,1.4,0.07,-0.4,2022-2023,serie-a
gerard deulofeu,Udinese,44,12,0.05,5.1,5.1,0.11,-3.1,2022-2023,serie-a
samuel di carmine,Cremonese,1,0,0.0,0.1,0.1,0.09,-0.1,2022-2023,serie-a
federico di francesco,Lecce,39,16,0.05,3.2,3.2,0.08,-1.2,2022-2023,serie-a
michele di gregorio,Monza,0,0,,0.0,0.0,,0.0,2022-2023,serie-a
giovanni di lorenzo,Napoli,31,13,0.1,2.7,2.7,0.09,0.3,2022-2023,serie-a
angel di maria,Juventus,37,12,0.08,3.1,2.3,0.06,0.9,2022-2023,serie-a
boulaye dia,Salernitana,47,21,0.32,8.8,8.0,0.17,7.2,2022-2023,serie-a
brahim diaz,Milan,35,16,0.17,6.0,6.0,0.17,0.0,2022-2023,serie-a
federico dimarco,Inter,49,15,0.08,3.1,3.1,0.06,0.9,2022-2023,serie-a
koffi djidji,Torino,8,4,0.13,0.9,0.9,0.12,0.1,2022-2023,serie-a
berat djimsiti,Atalanta,5,0,0.0,0.6,0.6,0.12,-0.6,2022-2023,serie-a
dodo,Fiorentina,11,4,0.09,0.7,0.7,0.06,0.3,2022-2023,serie-a
