Player,Squad,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG,Season,Competition
luca jaquez,Stuttgart,1,0,0.0,0.2,0.2,0.21,-0.2,2024-2025,bundesliga
dominik javorcek,Holstein Kiel,1,0,0.0,0.0,0.0,0.02,0.0,2024-2025,bundesliga
finn jeltsch,Stuttgart,2,0,0.0,0.1,0.1,0.03,-0.1,2024-2025,bundesliga
fredrik jensen,Augsburg,11,0,0.0,0.7,0.7,0.06,-0.7,2024-2025,bundesliga
moritz jenz,Mainz 05,10,4,0.0,1.6,1.6,0.16,-1.6,2024-2025,bundesliga
carl johansson,Holstein Kiel,1,1,0.0,0.0,0.0,0.05,0.0,2024-2025,bundesliga
anthony jung,Werder Bremen,1,0,0.0,0.0,0.0,0.04,0.0,2024-2025,bundesliga
josip juranovic,Union Berlin,6,2,0.0,0.3,0.3,0.05,-0.3,2024-2025,bundesliga
david jurasek,Hoffenheim,5,2,0.0,0.1,0.1,0.02,-0.1,2024-2025,bundesliga
yusuf kabaday,Augsburg,4,1,0.25,0.6,0.6,0.16,0.4,2024-2025,bundesliga
almugera kabar,Dortmund,0,0,,0.0,0.0,,0.0,2024-2025,bundesliga
issa kabore,Werder Bremen,7,0,0.0,0.7,0.7,0.1,-0.7,2024-2025,bundesliga
pavel kaderabek,Hoffenheim,14,3,0.14,0.8,0.8,0.05,1.2,2024-2025,bundesliga
jakub kaminski,Wolfsburg,15,3,0.0,0.9,0.9,0.06,-0.9,2024-2025,bundesliga
kevin kampl,RB Leipzig,7,2,0.14,0.8,0.8,0.12,0.2,2024-2025,bundesliga
harry kane,Bayern Munich,105,45,0.16,20.3,13.3,0.13,5.7,2024-2025,bundesliga
atakan karazor,Stuttgart,14,7,0.14,2.3,2.0,0.15,-0.3,2024-2025,bundesliga
mikkel kaufmann,Heidenheim,3,3,0.0,0.5,0.5,0.18,-0.5,2024-2025,bundesliga
yannik keitel,Stuttgart,5,2,0.0,0.5,0.5,0.11,-0.5,2024-2025,bundesliga
andu kelati,Holstein Kiel,6,3,0.17,0.9,0.9,0.14,0.1,2024-2025,bundesliga
thomas keller,Heidenheim,1,0,0.0,0.0,0.0,0.02,0.0,2024-2025,bundesliga
aljoscha kemlein,Union Berlin,11,3,0.09,0.9,0.9,0.09,0.1,2024-2025,bundesliga
luca kerber,Heidenheim,7,5,0.29,0.6,0.6,0.09,1.4,2024-2025,bundesliga
rani khedira,Union Berlin,14,1,0.07,1.4,1.4,0.1,-0.4,2024-2025,bundesliga
joshua kimmich,Bayern Munich,34,10,0.09,1.8,1.8,0.05,1.2,2024-2025,bundesliga
tim kleindienst,Gladbach,73,36,0.21,13.6,11.9,0.16,2.4,2024-2025,bundesliga
lukas klostermann,RB Leipzig,4,2,0.25,0.3,0.3,0.08,0.7,2024-2025,bundesliga
ansgar knauff,Eint Frankfurt,30,9,0.13,4.9,4.9,0.16,-0.9,2024-2025,bundesliga
magnus knudsen,Holstein Kiel,12,4,0.0,0.7,0.7,0.06,-0.7,2024-2025,bundesliga
gregor kobel,Dortmund,0,0,,0.0,0.0,,0.0,2024-2025,bundesliga
robin koch,Eint Frankfurt,15,6,0.2,1.7,1.7,0.12,1.3,2024-2025,bundesliga
derrick kohn,Werder Bremen,13,4,0.15,0.7,0.7,0.06,1.3,2024-2025,bundesliga
dominik kohr,Mainz 05,13,5,0.15,1.6,1.6,0.14,0.4,2024-2025,bundesliga
marco komenda,Holstein Kiel,3,0,0.0,0.1,0.1,0.03,-0.1,2024-2025,bundesliga
mert komur,Augsburg,13,7,0.15,1.1,1.1,0.09,0.9,2024-2025,bundesliga
kacper koscierski,Bochum,0,0,,0.0,0.0,,0.0,2024-2025,bundesliga
henri koudossou,Augsburg,2,0,0.0,0.1,0.1,0.04,-0.1,2024-2025,bundesliga
konstantinos koulierakis,Wolfsburg,22,3,0.0,1.0,1.0,0.04,-1.0,2024-2025,bundesliga
matej kovar,Leverkusen,0,0,,0.0,0.0,,0.0,2024-2025,bundesliga
andrej kramaric,Hoffenheim,66,23,0.12,11.8,9.5,0.15,-0.8,2024-2025,bundesliga
frans kratzig,Heidenheim,9,3,0.11,0.6,0.6,0.07,0.4,2024-2025,bundesliga
frans kratzig,Stuttgart,0,0,,0.0,0.0,,0.0,2024-2025,bundesliga
tom krau,Bochum,11,2,0.0,0.4,0.4,0.03,-0.4,2024-2025,bundesliga
rasmus kristensen,Eint Frankfurt,24,8,0.21,2.5,2.5,0.1,2.5,2024-2025,bundesliga
lukas kubler,Freiburg,18,10,0.28,2.7,2.7,0.15,2.3,2024-2025,bundesliga
jonah kusiasare,Bayern Munich,1,0,0.0,0.0,0.0,0.04,0.0,2024-2025,bundesliga
moritzbroni kwarteng,Bochum,6,1,0.0,0.2,0.2,0.03,-0.2,2024-2025,bundesliga
nediljko labrovic,Augsburg,0,0,,0.0,0.0,,0.0,2024-2025,bundesliga
konrad laimer,Bayern Munich,18,6,0.11,2.1,2.1,0.12,-0.1,2024-2025,bundesliga
stefan lainer,Gladbach,4,1,0.25,0.3,0.3,0.08,0.7,2024-2025,bundesliga
hugo larsson,Eint Frankfurt,21,10,0.14,3.1,3.1,0.15,-0.1,2024-2025,bundesliga
diogo leite,Union Berlin,18,8,0.06,1.4,1.4,0.08,-0.4,2024-2025,bundesliga
maxim leitsch,Mainz 05,6,1,0.17,1.2,1.2,0.2,-0.2,2024-2025,bundesliga
