Player,Squad,Tack_Def_3rd,Tack_Mid_3rd,Tack_Att_3rd,Tkl%,Tkl,TklW,Int,Blocks,Block_Shots,Bolck_Pass,Clearences,Err,Season,Competition
sander berge,Fulham,23,23,4,69.2,27,30,21,27,8,19,38,1,2024-2025,premier-league
lucas bergvall,Tottenham,14,20,5,53.1,17,19,24,18,8,10,22,3,2024-2025,premier-league
victor bernth kristiansen,Leicester City,56,26,5,53.8,49,51,42,38,15,23,75,3,2024-2025,premier-league
beto,Everton,2,8,4,62.5,5,6,4,12,2,10,24,1,2024-2025,premier-league
philip billing,Bournemouth,7,6,1,75.0,3,5,5,3,0,3,2,0,2024-2025,premier-league
yves bissouma,Tottenham,20,25,4,55.9,19,31,18,11,6,5,40,4,2024-2025,premier-league
oscar bobb,Manchester City,0,0,0,,0,0,0,0,0,0,0,0,2024-2025,premier-league
lamare bogarde,Aston Villa,6,6,2,62.5,10,6,1,5,3,2,13,0,2024-2025,premier-league
willy boly,Nott'ham Forest,5,1,0,100.0,4,1,3,4,2,2,12,0,2024-2025,premier-league
sven botman,Newcastle Utd,6,5,1,77.8,7,9,5,5,4,1,25,1,2024-2025,premier-league
jarrod bowen,West Ham,13,12,16,47.5,19,26,16,22,4,18,25,0,2024-2025,premier-league
conor bradley,Liverpool,7,5,2,50.0,11,10,4,9,2,7,31,0,2024-2025,premier-league
jarrad branthwaite,Everton,26,10,0,71.4,20,20,27,31,23,8,191,4,2024-2025,premier-league
james bree,Southampton,8,10,1,40.0,10,14,9,10,3,7,29,0,2024-2025,premier-league
ben brereton,Southampton,0,2,1,11.1,1,2,0,2,1,1,4,0,2024-2025,premier-league
nathan broadhead,Ipswich Town,3,6,0,25.0,3,4,4,8,1,7,5,0,2024-2025,premier-league
armando broja,Everton,1,1,1,,0,1,1,3,0,3,4,0,2024-2025,premier-league
david brooks,Bournemouth,2,8,4,12.5,2,6,5,18,2,16,9,1,2024-2025,premier-league
emi buendia,Aston Villa,3,2,1,0.0,0,6,0,5,1,4,2,0,2024-2025,premier-league
santiago bueno,Wolves,22,18,1,77.3,17,21,15,36,21,15,70,0,2024-2025,premier-league
facundo buonanotte,Leicester City,17,22,14,31.3,21,32,12,34,6,28,14,0,2024-2025,premier-league
cameron burgess,Ipswich Town,14,3,0,81.8,9,12,14,20,15,5,128,3,2024-2025,premier-league
dan burn,Newcastle Utd,22,15,2,55.6,20,24,27,36,26,10,197,4,2024-2025,premier-league
wes burns,Ipswich Town,1,9,3,40.0,4,11,10,7,2,5,13,2,2024-2025,premier-league
nathan butleroyedeji,Arsenal,0,0,0,,0,0,0,0,0,0,0,0,2024-2025,premier-league
moises caicedo,Chelsea,44,54,16,62.8,54,73,49,49,10,39,60,1,2024-2025,premier-league
tom cairney,Fulham,5,2,6,57.1,4,5,4,7,1,6,3,1,2024-2025,premier-league
jens cajuste,Ipswich Town,19,23,2,42.9,21,22,28,25,10,15,33,2,2024-2025,premier-league
riccardo calafiori,Arsenal,15,10,2,62.1,18,19,9,12,6,6,25,0,2024-2025,premier-league
dominic calvertlewin,Everton,1,4,4,33.3,2,7,7,7,2,5,23,0,2024-2025,premier-league
diego carlos,Aston Villa,6,1,1,66.7,4,3,5,13,7,6,36,2,2024-2025,premier-league
fabio carvalho,Brentford,4,4,5,46.2,6,9,3,6,1,5,2,0,2024-2025,premier-league
casemiro,Manchester Utd,50,23,10,60.8,45,50,14,39,10,29,51,3,2024-2025,premier-league
kaelan casey,West Ham,0,0,0,,0,0,0,0,0,0,1,0,2024-2025,premier-league
matty cash,Aston Villa,29,21,6,72.1,31,32,23,22,8,14,70,2,2024-2025,premier-league
eiran cashin,Brighton,0,0,0,0.0,0,0,0,0,0,0,2,0,2024-2025,premier-league
timothy castagne,Fulham,28,15,3,57.8,26,29,22,15,6,9,83,0,2024-2025,premier-league
trevoh chalobah,Crystal Palace,7,12,1,52.2,12,16,19,19,9,10,57,3,2024-2025,premier-league
trevoh chalobah,Chelsea,5,6,0,87.5,7,7,10,6,3,3,48,1,2024-2025,premier-league
conor chaplin,Ipswich Town,6,6,3,42.9,6,5,4,8,1,7,3,0,2024-2025,premier-league
youssef chermiti,Everton,0,0,0,0.0,0,0,0,0,0,0,0,0,2024-2025,premier-league
federico chiesa,Liverpool,0,1,0,0.0,0,0,0,1,0,1,1,1,2024-2025,premier-league
ben chilwell,Crystal Palace,4,3,0,20.0,1,6,6,6,2,4,16,0,2024-2025,premier-league
chiquinho,Wolves,0,0,0,,0,0,0,0,0,0,0,0,2024-2025,premier-league
hamza choudhury,Leicester City,1,0,0,33.3,1,1,5,4,2,2,2,0,2024-2025,premier-league
ryan christie,Bournemouth,19,27,8,42.2,27,33,30,44,11,33,51,3,2024-2025,premier-league
harry clarke,Ipswich Town,3,2,0,50.0,3,3,4,5,4,1,14,3,2024-2025,premier-league
jack clarke,Ipswich Town,11,10,11,50.0,17,20,7,9,0,9,29,2,2024-2025,premier-league
nathaniel clyne,Crystal Palace,8,3,1,54.5,6,8,3,4,2,2,14,1,2024-2025,premier-league
conor coady,Leicester City,6,6,1,50.0,3,9,13,32,24,8,71,2,2024-2025,premier-league
seamus coleman,Everton,2,1,0,75.0,3,2,1,5,3,2,8,0,2024-2025,premier-league
nathan collins,Brentford,23,12,5,61.1,22,24,34,77,57,20,226,3,2024-2025,premier-league
toby collyer,Manchester Utd,6,6,0,83.3,5,9,2,2,1,1,3,0,2024-2025,premier-league
levi colwill,Chelsea,25,19,3,66.7,18,34,33,37,25,12,118,4,2024-2025,premier-league
lewis cook,Bournemouth,41,36,4,55.2,37,42,41,30,11,19,70,0,2024-2025,premier-league
maxwel cornet,Southampton,1,4,0,0.0,0,5,0,0,0,0,2,0,2024-2025,premier-league
vladimir coufal,West Ham,13,7,2,45.5,10,15,8,13,11,2,39,1,2024-2025,premier-league
woyo coulibaly,Leicester City,4,2,0,100.0,2,4,5,3,1,2,1,0,2024-2025,premier-league
aaron cresswell,West Ham,5,5,1,81.8,9,7,8,9,4,5,37,0,2024-2025,premier-league
marc cucurella,Chelsea,31,31,5,52.5,32,45,28,49,16,33,95,3,2024-2025,premier-league
jorge cuenca,Fulham,5,1,0,37.5,3,2,2,4,4,0,26,0,2024-2025,premier-league
matheus cunha,Wolves,17,16,5,33.3,13,22,17,21,1,20,23,0,2024-2025,premier-league
