Player,Squad,Fls,Off,Crosses,Recov,Aerialwon%,Season,Competition
james abankwah,Udinese,4,0,0,7,50.0,2024-2025,serie-a
saud abdulhamid,Roma,2,0,7,3,0.0,2024-2025,serie-a
oliver abildgaard,Como,0,0,0,0,,2024-2025,serie-a
tammy abraham,Roma,0,0,0,0,100.0,2024-2025,serie-a
tammy abraham,Milan,23,7,3,12,52.2,2024-2025,serie-a
federico accornero,Genoa,0,0,1,1,0.0,2024-2025,serie-a
francesco acerbi,Inter,11,2,10,62,67.0,2024-2025,serie-a
che adams,Torino,29,23,10,50,36.7,2024-2025,serie-a
yacine adli,Fiorentina,9,0,63,77,23.8,2024-2025,serie-a
vasilije adzic,Juventus,1,0,0,3,40.0,2024-2025,serie-a
michel aebischer,Bologna,16,0,14,35,35.7,2024-2025,serie-a
honest ahanor,Genoa,2,0,4,14,62.5,2024-2025,serie-a
junior ajayi,Hellas Verona,1,0,0,1,,2024-2025,serie-a
jeandaniel akpaakpro,Monza,24,0,6,54,42.3,2024-2025,serie-a
david akpan ankeye,Genoa,3,0,0,0,0.0,2024-2025,serie-a
faride alidou,Hellas Verona,1,0,3,0,100.0,2024-2025,serie-a
dele alli,Como,1,0,0,0,,2024-2025,serie-a
pontus almqvist,Parma,15,2,11,40,37.5,2024-2025,serie-a
giorgio altare,Venezia,10,0,7,27,52.8,2024-2025,serie-a
sofyan amrabat,Fiorentina,4,0,3,7,50.0,2024-2025,serie-a
angelino,Roma,32,5,116,101,52.6,2024-2025,serie-a
lorenzo anghele,Juventus,0,0,0,0,0.0,2024-2025,serie-a
faustino anjorin,Empoli,24,0,17,65,37.5,2024-2025,serie-a
marko arnautovic,Inter,3,8,5,10,63.2,2024-2025,serie-a
kristjan asllani,Inter,8,0,43,49,57.1,2024-2025,serie-a
arthur atta,Udinese,16,1,24,57,41.2,2024-2025,serie-a
emil audero,Como,0,0,0,12,66.7,2024-2025,serie-a
tommaso augello,Cagliari,15,3,207,135,69.0,2024-2025,serie-a
carlos augusto,Inter,9,2,19,70,62.0,2024-2025,serie-a
yann aurel bisseck,Inter,15,1,8,66,75.8,2024-2025,serie-a
paulo azzi,Cagliari,5,0,22,24,54.5,2024-2025,serie-a
oussama el azzouzi,Bologna,0,0,0,1,,2024-2025,serie-a
jacopo bacci,Empoli,0,0,0,0,100.0,2024-2025,serie-a
milan badelj,Genoa,18,0,5,74,62.5,2024-2025,serie-a
mitchel bakker,Atalanta,1,0,1,2,50.0,2024-2025,serie-a
tommaso baldanzi,Roma,7,0,7,48,25.0,2024-2025,serie-a
keita balde,Monza,7,3,6,12,31.3,2024-2025,serie-a
botond balogh,Parma,17,0,1,64,54.0,2024-2025,serie-a
mario balotelli,Genoa,2,0,3,1,50.0,2024-2025,serie-a
lameck banda,Lecce,10,2,26,30,13.3,2024-2025,serie-a
daniel bandeira,Hellas Verona,4,0,8,36,70.0,2024-2025,serie-a
mattia bani,Genoa,7,1,4,60,48.9,2024-2025,serie-a
antonin barak,Fiorentina,0,0,1,2,0.0,2024-2025,serie-a
federico barba,Como,3,0,3,19,38.5,2024-2025,serie-a
nicolo barella,Inter,25,4,68,165,51.0,2024-2025,serie-a
davide bartesaghi,Milan,1,1,10,2,100.0,2024-2025,serie-a
federico baschirotto,Lecce,31,0,5,93,65.4,2024-2025,serie-a
daniele baselli,Como,0,0,0,0,0.0,2024-2025,serie-a
alessandro bastoni,Inter,43,0,61,96,64.7,2024-2025,serie-a
reda belahyane,Hellas Verona,31,0,3,109,25.0,2024-2025,serie-a
reda belahyane,Lazio,4,0,0,13,100.0,2024-2025,serie-a
raoul bellanova,Torino,1,0,5,4,100.0,2024-2025,serie-a
raoul bellanova,Atalanta,15,0,156,117,50.0,2024-2025,serie-a
andrea belotti,Como,9,5,5,17,40.9,2024-2025,serie-a
lucas beltran,Fiorentina,31,4,7,59,37.6,2024-2025,serie-a
adrian benedyczak,Parma,4,1,1,3,42.9,2024-2025,serie-a
ismael bennacer,Milan,5,0,6,17,75.0,2024-2025,serie-a
