Player,Squad,Fls,Off,Crosses,Recov,Aerialwon%,Season,Competition
jovane cabral,Salernitana,19,6,14,31,25.0,2023-2024,serie-a
liberato cacace,Empoli,30,1,68,119,43.6,2023-2024,serie-a
jens cajuste,Napoli,29,1,6,46,46.9,2023-2024,serie-a
davide calabria,Milan,25,0,36,90,30.8,2023-2024,serie-a
riccardo calafiori,Bologna,35,2,9,194,71.4,2023-2024,serie-a
mattia caldara,Milan,0,0,0,3,100.0,2023-2024,serie-a
luca caldirola,Monza,24,1,4,58,56.6,2023-2024,serie-a
hakan calhanoglu,Inter,43,0,153,166,59.1,2023-2024,serie-a
francesco camarda,Milan,0,0,0,1,0.0,2023-2024,serie-a
nicolo cambiaghi,Empoli,48,3,131,99,26.5,2023-2024,serie-a
andrea cambiaso,Juventus,35,4,81,124,44.8,2023-2024,serie-a
matteo cancellieri,Empoli,35,13,42,70,32.3,2023-2024,serie-a
antonio candreva,Salernitana,11,21,223,93,0.0,2023-2024,serie-a
luigi canotto,Frosinone,0,0,0,1,,2023-2024,serie-a
gianluca caprari,Monza,3,2,8,11,0.0,2023-2024,serie-a
elia caprile,Empoli,1,0,0,18,83.3,2023-2024,serie-a
francesco caputo,Empoli,10,20,1,19,34.3,2023-2024,serie-a
andrea carboni,Monza,12,1,21,56,55.3,2023-2024,serie-a
valentin carboni,Monza,21,3,14,60,23.5,2023-2024,serie-a
marco carnesecchi,Atalanta,1,0,0,39,87.5,2023-2024,serie-a
nicolo casale,Lazio,24,0,0,74,48.9,2023-2024,serie-a
giuseppe caso,Frosinone,5,1,2,13,0.0,2023-2024,serie-a
valentin castellanos,Lazio,34,20,15,51,52.6,2023-2024,serie-a
samu castillejo,Sassuolo,11,1,34,33,18.2,2023-2024,serie-a
santiago castro,Bologna,7,0,1,4,41.7,2023-2024,serie-a
gaetano castrovilli,Fiorentina,4,1,9,17,60.0,2023-2024,serie-a
danilo cataldi,Lazio,17,0,31,105,60.0,2023-2024,serie-a
emil ceide,Sassuolo,2,0,5,7,0.0,2023-2024,serie-a
zeki celik,Roma,14,0,20,33,30.0,2023-2024,serie-a
fabien centonze,Hellas Verona,13,1,28,23,64.3,2023-2024,serie-a
michele cerofolini,Frosinone,1,0,0,8,100.0,2023-2024,serie-a
alberto cerri,Empoli,15,6,1,18,57.7,2023-2024,serie-a
leonardo cerri,Juventus,0,0,0,0,,2023-2024,serie-a
charlys,Hellas Verona,0,0,0,1,,2023-2024,serie-a
walid cheddira,Frosinone,27,16,3,47,34.9,2023-2024,serie-a
federico chiesa,Juventus,13,7,117,62,0.0,2023-2024,serie-a
oliver christensen,Fiorentina,2,0,0,8,,2023-2024,serie-a
