Player,Squad,Fls,Off,Crosses,Recov,Aerialwon%,Season,Competition
abdoulie ceesay,St. Pauli,2,0,0,4,0.0,2024-2025,bundesliga
julian chabot,Stuttgart,35,5,2,98,65.0,2024-2025,bundesliga
el chadaille bitshiabu,RB Leipzig,8,0,4,55,55.0,2024-2025,bundesliga
fares chaibi,Eint Frankfurt,5,1,72,30,43.2,2024-2025,bundesliga
timothy chandler,Eint Frankfurt,0,0,1,1,80.0,2024-2025,bundesliga
anrie chase,Stuttgart,12,0,3,21,58.6,2024-2025,bundesliga
arthur chaves,Hoffenheim,38,1,8,93,51.9,2024-2025,bundesliga
fabio chiarodia,Gladbach,7,0,0,9,77.8,2024-2025,bundesliga
carney chukwuemeka,Dortmund,4,1,1,12,42.9,2024-2025,bundesliga
alexis claudemaurice,Augsburg,26,3,21,72,37.8,2024-2025,bundesliga
nnamdi collins,Eint Frankfurt,26,0,17,78,50.0,2024-2025,bundesliga
kingsley coman,Bayern Munich,9,8,45,59,40.7,2024-2025,bundesliga
sirlord conteh,Heidenheim,8,4,20,17,44.4,2024-2025,bundesliga
danny da costa,Mainz 05,19,0,22,98,46.5,2024-2025,bundesliga
yan couto,Dortmund,12,0,53,55,12.5,2024-2025,bundesliga
tomas cvancara,Gladbach,11,1,15,23,44.8,2024-2025,bundesliga
finn dahmen,Augsburg,0,0,0,33,100.0,2024-2025,bundesliga
thomas dahne,Holstein Kiel,1,0,0,15,100.0,2024-2025,bundesliga
mahmoud dahoud,Eint Frankfurt,10,0,4,20,33.3,2024-2025,bundesliga
ameen aldakhil,Stuttgart,4,0,0,17,47.1,2024-2025,bundesliga
bence dardai,Wolfsburg,9,0,10,52,40.0,2024-2025,bundesliga
lukas daschner,Bochum,4,0,19,17,33.3,2024-2025,bundesliga
alphonso davies,Bayern Munich,8,3,22,115,52.9,2024-2025,bundesliga
olivier deman,Werder Bremen,1,0,6,5,100.0,2024-2025,bundesliga
ermedin demirovic,Stuttgart,24,17,3,33,42.0,2024-2025,bundesliga
justin diehl,Stuttgart,2,0,10,8,0.0,2024-2025,bundesliga
eric dier,Bayern Munich,16,1,2,80,54.7,2024-2025,bundesliga
junior dina ebimbe,Eint Frankfurt,10,1,8,11,66.7,2024-2025,bundesliga
eren dinkci,Freiburg,9,1,15,55,30.0,2024-2025,bundesliga
ritsu doan,Freiburg,27,8,80,133,30.8,2024-2025,bundesliga
danilho doekhi,Union Berlin,36,2,10,97,55.4,2024-2025,bundesliga
niklas dorsch,Augsburg,0,0,1,2,,2024-2025,bundesliga
niklas dorsch,Heidenheim,15,0,37,74,43.8,2024-2025,bundesliga
patrick drewes,Bochum,1,0,0,36,100.0,2024-2025,bundesliga
tim drexler,Hoffenheim,8,0,1,10,14.3,2024-2025,bundesliga
marvin ducksch,Werder Bremen,6,14,167,65,39.6,2024-2025,bundesliga
julien duranville,Dortmund,10,2,13,5,0.0,2024-2025,bundesliga
adam dzwigaa,St. Pauli,5,0,3,13,76.5,2024-2025,bundesliga
johannes eggestein,St. Pauli,11,14,35,58,24.8,2024-2025,bundesliga
maximilian eggestein,Freiburg,22,1,9,154,51.7,2024-2025,bundesliga
hugo ekitike,Eint Frankfurt,39,19,17,87,46.8,2024-2025,bundesliga
elif elmas,RB Leipzig,2,1,0,3,0.0,2024-2025,bundesliga
nico elvedi,Gladbach,9,1,1,89,51.1,2024-2025,bundesliga
arne engels,Augsburg,3,0,4,0,100.0,2024-2025,bundesliga
patrick erras,Holstein Kiel,11,0,0,24,62.8,2024-2025,bundesliga
samuel essende,Augsburg,45,13,5,42,43.8,2024-2025,bundesliga
frank feller,Heidenheim,0,0,0,2,,2024-2025,bundesliga
kilian fischer,Wolfsburg,34,0,39,84,36.8,2024-2025,bundesliga
jonas fohrenbach,Heidenheim,14,1,59,67,45.2,2024-2025,bundesliga
marco friedl,Werder Bremen,26,3,2,141,51.7,2024-2025,bundesliga
marvin friedrich,Gladbach,5,0,0,42,64.2,2024-2025,bundesliga
jeremie frimpong,Leverkusen,20,9,116,84,33.3,2024-2025,bundesliga
chris fuhrich,Stuttgart,9,2,82,64,38.5,2024-2025,bundesliga
shio fukuda,Gladbach,2,1,1,1,50.0,2024-2025,bundesliga
cristian gamboa,Bochum,1,0,7,11,0.0,2024-2025,bundesliga
aleix garcia,Leverkusen,8,1,92,69,27.3,2024-2025,bundesliga
viggo gebel,RB Leipzig,0,0,0,0,100.0,2024-2025,bundesliga
lutsharel geertruida,RB Leipzig,17,1,13,83,66.7,2024-2025,bundesliga
dennis geiger,Hoffenheim,26,0,5,35,33.3,2024-2025,bundesliga
valentin gendrey,Hoffenheim,12,2,51,52,52.0,2024-2025,bundesliga
yannick gerhardt,Wolfsburg,20,2,24,49,42.0,2024-2025,bundesliga
max geschwill,Holstein Kiel,13,1,10,53,40.0,2024-2025,bundesliga
dimitris giannoulis,Augsburg,17,1,120,136,28.1,2024-2025,bundesliga
armin gigovic,Holstein Kiel,22,2,14,117,48.6,2024-2025,bundesliga
benedikt gimber,Heidenheim,61,1,3,98,55.9,2024-2025,bundesliga
matthias ginter,Freiburg,13,1,13,93,61.6,2024-2025,bundesliga
