Player,Squad,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG,Season,Competition
ian maatsen,Aston Villa,19,5,0.05,0.9,0.9,0.05,0.1,2024-2025,premier-league
alexis mac allister,Liverpool,38,13,0.13,2.8,2.8,0.07,2.2,2024-2025,premier-league
james maddison,Tottenham,39,17,0.23,5.8,5.8,0.15,3.2,2024-2025,premier-league
noni madueke,Chelsea,80,30,0.09,9.6,9.6,0.12,-2.6,2024-2025,premier-league
gabriel magalhaes,Arsenal,22,5,0.14,2.6,2.6,0.12,0.4,2024-2025,premier-league
edmondparis maghoma,Brentford,1,0,0.0,0.1,0.1,0.12,-0.1,2024-2025,premier-league
harry maguire,Manchester Utd,15,6,0.07,1.8,1.8,0.12,-0.8,2024-2025,premier-league
kobbie mainoo,Manchester Utd,15,2,0.0,0.7,0.7,0.05,-0.7,2024-2025,premier-league
tyrell malacia,Manchester Utd,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
donyell malen,Aston Villa,15,9,0.2,2.2,2.2,0.14,0.8,2024-2025,premier-league
mateus mane,Wolves,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
orel mangala,Everton,16,6,0.06,1.1,1.1,0.07,-0.1,2024-2025,premier-league
ryan manning,Southampton,8,1,0.0,0.3,0.3,0.04,-0.3,2024-2025,premier-league
solly march,Brighton,2,0,0.0,0.1,0.1,0.04,-0.1,2024-2025,premier-league
omar marmoush,Manchester City,49,17,0.14,5.5,5.5,0.11,1.5,2024-2025,premier-league
gabriel martinelli,Arsenal,55,24,0.15,7.4,7.4,0.14,0.6,2024-2025,premier-league
emiliano martinez,Aston Villa,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
lisandro martinez,Manchester Utd,17,6,0.12,1.3,1.3,0.08,0.7,2024-2025,premier-league
pape matar sarr,Tottenham,34,13,0.09,3.7,3.7,0.11,-0.7,2024-2025,premier-league
jeanphilippe mateta,Crystal Palace,68,29,0.18,13.5,11.9,0.18,0.5,2024-2025,premier-league
stephy mavididi,Leicester City,26,7,0.15,1.8,1.8,0.07,2.2,2024-2025,premier-league
konstantinos mavropanos,West Ham,18,5,0.0,1.5,1.5,0.09,-1.5,2024-2025,premier-league
noussair mazraoui,Manchester Utd,13,3,0.0,0.7,0.7,0.05,-0.7,2024-2025,premier-league
bryan mbeumo,Brentford,79,34,0.19,12.3,7.5,0.1,7.7,2024-2025,premier-league
james mcatee,Manchester City,12,4,0.25,2.8,2.8,0.23,0.2,2024-2025,premier-league
kasey mcateer,Leicester City,13,7,0.08,1.0,1.0,0.08,0.0,2024-2025,premier-league
alex mccarthy,Southampton,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
john mcginn,Aston Villa,31,5,0.03,3.1,2.8,0.09,-2.1,2024-2025,premier-league
dwight mcneil,Everton,25,10,0.16,1.1,1.1,0.04,2.9,2024-2025,premier-league
scott mctominay,Manchester Utd,1,0,0.0,0.1,0.1,0.07,-0.1,2024-2025,premier-league
ben mee,Brentford,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
jayden meghoma,Brentford,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
mikel merino,Arsenal,38,13,0.18,5.9,5.9,0.16,1.1,2024-2025,premier-league
shumaira mheuka,Chelsea,1,1,0.0,0.1,0.1,0.06,-0.1,2024-2025,premier-league
nikola milenkovic,Nott'ham Forest,29,8,0.17,4.0,4.0,0.14,1.0,2024-2025,premier-league
lewis miley,Newcastle Utd,3,2,0.33,0.5,0.5,0.18,0.5,2024-2025,premier-league
james milner,Brighton,2,0,0.0,0.2,0.2,0.08,-0.2,2024-2025,premier-league
tyrone mings,Aston Villa,9,1,0.0,0.8,0.8,0.09,-0.8,2024-2025,premier-league
yankuba minteh,Brighton,34,16,0.18,4.1,4.1,0.12,1.9,2024-2025,premier-league
tyrick mitchell,Crystal Palace,12,3,0.0,1.3,1.3,0.11,-1.3,2024-2025,premier-league
kaoru mitoma,Brighton,57,27,0.18,9.2,9.2,0.16,0.8,2024-2025,premier-league
jakub moder,Brighton,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
jeremy monga,Leicester City,3,1,0.0,0.2,0.2,0.05,-0.2,2024-2025,premier-league
mikey moore,Tottenham,3,0,0.0,0.2,0.2,0.07,-0.2,2024-2025,premier-league
morato,Nott'ham Forest,2,1,0.0,0.2,0.2,0.09,-0.2,2024-2025,premier-league
alex moreno,Nott'ham Forest,6,0,0.0,0.2,0.2,0.03,-0.2,2024-2025,premier-league
sam morsy,Ipswich Town,13,3,0.08,0.4,0.4,0.03,0.6,2024-2025,premier-league
yerson mosquera,Wolves,2,0,0.0,0.3,0.3,0.17,-0.3,2024-2025,premier-league
mason mount,Manchester Utd,20,9,0.05,3.2,3.2,0.17,-2.2,2024-2025,premier-league
divin mubama,Manchester City,1,0,0.0,0.0,0.0,0.04,0.0,2024-2025,premier-league
mykhailo mudryk,Chelsea,1,1,0.0,0.3,0.3,0.25,-0.3,2024-2025,premier-league
marshall munetsi,Wolves,22,7,0.09,3.3,3.3,0.15,-1.3,2024-2025,premier-league
rodrigo muniz,Fulham,39,19,0.21,5.8,5.8,0.15,2.2,2024-2025,premier-league
daniel munoz,Crystal Palace,37,14,0.11,4.9,4.9,0.13,-0.9,2024-2025,premier-league
arijanet muric,Ipswich Town,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
murillo,Nott'ham Forest,25,6,0.08,1.4,1.4,0.06,0.6,2024-2025,premier-league
jacob murphy,Newcastle Utd,43,15,0.19,5.7,5.7,0.13,2.3,2024-2025,premier-league
vitaliy mykolenko,Everton,14,1,0.07,0.5,0.5,0.04,0.5,2024-2025,premier-league
iliman ndiaye,Everton,35,15,0.2,6.2,4.7,0.13,2.8,2024-2025,premier-league
wilfred ndidi,Leicester City,22,8,0.0,2.0,2.0,0.09,-2.0,2024-2025,premier-league
kosta nedeljkovic,Aston Villa,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
